Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																														
Дата голосования: 07.12.2003 0:00:00																																																																														
																																																																														
Наименование Избирательной комиссии:    Ишимбайская городская																																																																														
																																																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																														
																																																																														
		Сумма	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1193	28	30	28	26	28	21	26	42	28	28	28	26	35	33	28	26	28	26	26	26	28	28	28	11	25	34	28	28	28	26	28	28	28	28	28	26	26	7	3	5	5	5	5	5	9	5	1	5	5	5	5	5	5	5	5	5	5	5	5	10	5	5	5	5	0	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	859	28	30	28	24	25	10	12	42	27	17	18	14	34	32	28	5	28	14	11	0	24	27	23	10	25	33	11	15	18	23	18	15	23	21	28	25	4	6	1	3	0	5	2	5	9	0	0	3	5	2	0	0	4	0	0	3	4	5	1	5	2	5	5	1	0	5	3	1	0	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	641	2	3	4	4	4	4	8	7	1	5	3	3	6	8	13	3	3	7	7	0	7	6	3	243	7	9	3	5	2	14	11	14	7	10	5	4	1	6	7	5	6	3	7	16	8	1	1	1	4	3	2	3	12	3	6	11	5	7	4	11	6	4	11	3	4	9	4	5	4	12	1					
14	Число погашенных открепительных удостоверений	334	0	0	0	2	3	11	14	0	1	11	10	12	1	1	0	21	0	12	15	26	4	1	5	1	0	1	17	13	10	3	10	13	5	7	0	1	22	1	2	2	5	0	3	0	0	5	1	2	0	3	5	5	1	5	5	2	1	0	4	5	3	0	0	4	0	0	2	4	5	1	5					
15	Число открепительных удостоверений выданных ТИК	7	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																														
18	"1. ""ЕДИНЕНИЕ"""	989	18	20	10	17	10	13	12	20	12	21	10	4	19	13	23	12	16	18	16	3	11	11	17	10	23	19	22	29	22	8	21	20	12	20	16	20	20	16	25	10	15	20	2	20	20	12	1	6	12	5	5	8	30	1	1	30	23	4	11	17	23	6	24	6	12	9	6	10	1	8	2					
		1.94%	2.28%	1.82%	0.92%	1.89%	1.19%	1.57%	2.18%	1.81%	1.46%	1.90%	1.09%	0.49%	1.88%	0.94%	2.05%	1.46%	1.11%	2.14%	2.24%	2.36%	1.13%	1.21%	1.46%	0.68%	1.85%	1.52%	2.14%	2.85%	2.06%	0.87%	1.93%	1.83%	1.19%	1.56%	1.37%	1.95%	3.43%	4.79%	5.41%	1.94%	2.54%	3.54%	1.04%	2.75%	1.43%	5.08%	0.76%	3.07%	2.62%	1.67%	1.00%	3.46%	5.53%	1.40%	0.38%	3.58%	3.89%	0.88%	6.21%	1.94%	5.73%	1.73%	4.56%	3.89%	3.18%	1.70%	1.89%	4.21%	0.35%	1.80%	2.85%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	843	29	23	29	35	14	9	8	22	16	15	0	18	17	32	29	21	32	6	13	4	27	25	27	22	25	19	10	21	20	24	15	44	19	25	24	23	6	10	4	2	5	3	4	6	8	1	1	0	3	2	10	0	0	1	0	3	2	4	3	5	2	0	2	0	0	5	1	2	1	2	3					
		1.65%	3.67%	2.09%	2.68%	3.91%	1.66%	1.09%	1.45%	1.99%	1.95%	1.36%	0.0%	2.20%	1.68%	2.32%	2.58%	2.55%	2.22%	0.71%	1.82%	3.14%	2.78%	2.75%	2.31%	1.50%	2.01%	1.52%	0.97%	2.07%	1.87%	2.61%	1.37%	4.04%	1.89%	1.96%	2.06%	2.24%	1.03%	2.99%	0.86%	0.38%	0.84%	0.53%	2.09%	0.82%	0.57%	0.42%	0.76%	0.0%	0.65%	0.66%	2.00%	0.0%	0.0%	1.40%	0.0%	0.35%	0.33%	0.88%	1.69%	0.57%	0.49%	0.0%	0.38%	0.0%	0.0%	0.94%	0.31%	0.84%	0.35%	0.45%	4.28%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1705	25	33	34	20	29	34	21	31	31	42	57	33	20	62	34	26	53	20	32	9	39	43	63	73	57	54	50	37	49	45	32	33	23	55	51	34	28	6	13	4	13	22	10	12	43	6	13	8	3	8	6	6	20	1	0	4	12	9	5	1	4	4	7	5	10	5	3	9	0	17	4					
		3.35%	3.16%	3.01%	3.14%	2.23%	3.45%	4.13%	3.82%	2.81%	3.78%	3.81%	6.26%	4.04%	1.98%	4.49%	3.03%	3.16%	3.68%	2.37%	4.48%	7.08%	4.02%	4.74%	5.41%	5.0%	4.58%	4.34%	4.86%	3.64%	4.59%	4.90%	2.94%	3.03%	2.28%	4.31%	4.39%	3.31%	4.81%	1.79%	2.81%	0.77%	2.20%	3.90%	5.23%	1.65%	3.08%	2.54%	9.92%	4.10%	0.65%	2.67%	1.20%	2.59%	3.69%	1.40%	0.0%	0.47%	2.03%	2.0%	2.82%	0.11%	0.99%	1.15%	1.33%	3.24%	2.65%	0.94%	0.94%	3.79%	0.0%	3.84%	5.71%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	907	19	30	30	17	12	17	13	25	16	27	13	17	21	33	21	25	50	10	10	2	29	30	24	29	26	30	24	32	30	20	23	18	17	32	26	25	8	2	2	0	0	1	4	2	18	0	3	4	1	3	6	1	4	2	0	3	1	2	3	0	1	1	1	0	2	2	2	3	0	2	0					
		1.78%	2.40%	2.73%	2.77%	1.89%	1.42%	2.06%	2.36%	2.26%	1.95%	2.45%	1.42%	2.08%	2.08%	2.39%	1.87%	3.04%	3.47%	1.18%	1.40%	1.57%	2.98%	3.31%	2.06%	1.98%	2.09%	2.41%	2.33%	3.15%	2.81%	2.17%	2.11%	1.65%	1.69%	2.51%	2.23%	2.43%	1.37%	0.59%	0.43%	0.0%	0.0%	0.17%	2.09%	0.27%	1.29%	0.0%	2.29%	2.05%	0.21%	1.00%	1.20%	0.43%	0.73%	2.81%	0.0%	0.35%	0.16%	0.44%	1.69%	0.0%	0.24%	0.28%	0.19%	0.0%	0.53%	0.37%	0.63%	1.26%	0.0%	0.45%	0.0%					
22	"5. ""За Русь Святую"""	249	1	3	8	1	5	7	2	10	4	6	4	13	3	6	5	8	7	2	2	0	2	4	6	7	6	9	7	8	7	5	14	4	3	6	2	7	6	0	1	0	0	1	1	1	10	0	1	8	1	0	4	0	1	2	1	0	3	0	2	3	0	0	1	0	0	2	0	4	0	1	1					
		0.49%	0.12%	0.27%	0.73%	0.11%	0.59%	0.85%	0.36%	0.90%	0.48%	0.54%	0.43%	1.59%	0.29%	0.43%	0.44%	0.97%	0.48%	0.23%	0.28%	0.0%	0.20%	0.44%	0.51%	0.47%	0.48%	0.72%	0.68%	0.78%	0.65%	0.54%	1.28%	0.36%	0.29%	0.47%	0.17%	0.68%	1.03%	0.0%	0.21%	0.0%	0.0%	0.17%	0.52%	0.13%	0.71%	0.0%	0.76%	4.10%	0.21%	0.0%	0.80%	0.0%	0.18%	2.81%	0.38%	0.0%	0.50%	0.0%	1.12%	0.34%	0.0%	0.0%	0.19%	0.0%	0.0%	0.37%	0.0%	1.68%	0.0%	0.22%	1.42%					
23	"6. ""Объединенная Российская партия ""Русь"""	185	1	4	4	2	2	5	3	3	7	2	4	2	3	4	2	4	8	10	2	1	3	1	6	2	5	9	3	4	5	4	9	5	4	8	6	0	3	1	1	3	0	1	1	2	1	4	0	3	0	0	1	0	1	2	0	0	1	1	0	0	3	0	1	0	1	1	1	1	1	2	1					
		0.36%	0.12%	0.36%	0.36%	0.22%	0.23%	0.60%	0.54%	0.27%	0.85%	0.18%	0.43%	0.24%	0.29%	0.29%	0.17%	0.48%	0.55%	1.18%	0.28%	0.78%	0.30%	0.11%	0.51%	0.13%	0.40%	0.72%	0.29%	0.39%	0.46%	0.43%	0.82%	0.45%	0.39%	0.62%	0.51%	0.0%	0.51%	0.29%	0.21%	0.58%	0.0%	0.17%	0.52%	0.27%	0.07%	1.69%	0.0%	1.53%	0.0%	0.0%	0.20%	0.0%	0.18%	2.81%	0.0%	0.0%	0.16%	0.22%	0.0%	0.0%	0.74%	0.0%	0.19%	0.0%	0.26%	0.18%	0.31%	0.42%	0.35%	0.45%	1.42%					
24	"7. ""Новый курс - Автомобильная Россия"""	597	17	16	18	11	15	12	7	18	16	20	8	11	20	22	20	8	18	10	5	0	15	8	23	19	17	19	23	17	21	26	11	8	12	13	9	16	12	5	2	1	3	4	0	1	3	1	0	0	1	0	1	2	2	0	0	3	0	0	1	6	3	2	7	0	2	3	1	1	0	0	1					
		1.17%	2.15%	1.45%	1.66%	1.22%	1.78%	1.45%	1.27%	1.63%	1.95%	1.81%	0.87%	1.34%	1.98%	1.59%	1.78%	0.97%	1.25%	1.18%	0.70%	0.0%	1.54%	0.88%	1.97%	1.30%	1.36%	1.52%	2.23%	1.67%	1.96%	2.83%	1.01%	0.73%	1.19%	1.02%	0.77%	1.56%	2.06%	1.49%	0.43%	0.19%	0.50%	0.70%	0.0%	0.13%	0.21%	0.42%	0.0%	0.0%	0.21%	0.0%	0.20%	0.86%	0.36%	0.0%	0.0%	0.35%	0.0%	0.0%	0.56%	0.68%	0.74%	0.57%	1.33%	0.0%	0.53%	0.56%	0.31%	0.42%	0.0%	0.0%	1.42%					
25	"8. ""Народно-республиканская партия России"""	125	1	2	1	0	0	3	0	0	3	1	3	3	1	0	5	2	4	0	3	1	1	1	0	1	4	4	2	0	2	2	3	5	3	4	2	0	2	1	3	2	0	3	0	5	5	2	0	1	0	1	3	3	5	1	1	1	5	1	2	1	1	2	1	1	2	1	1	1	0	0	0					
		0.24%	0.12%	0.18%	0.09%	0.0%	0.0%	0.36%	0.0%	0.0%	0.36%	0.09%	0.32%	0.36%	0.09%	0.0%	0.44%	0.24%	0.27%	0.0%	0.42%	0.78%	0.10%	0.11%	0.0%	0.06%	0.32%	0.32%	0.19%	0.0%	0.18%	0.21%	0.27%	0.45%	0.29%	0.31%	0.17%	0.0%	0.34%	0.29%	0.64%	0.38%	0.0%	0.53%	0.0%	0.68%	0.35%	0.84%	0.0%	0.51%	0.0%	0.33%	0.60%	1.29%	0.92%	1.40%	0.38%	0.11%	0.84%	0.22%	1.12%	0.11%	0.24%	0.57%	0.19%	0.64%	0.53%	0.18%	0.31%	0.42%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	177	1	5	2	2	0	3	3	8	3	5	3	3	3	4	5	3	8	5	4	3	6	4	3	7	11	4	4	4	4	3	7	4	2	4	2	4	0	1	1	0	0	1	1	1	3	0	0	1	0	2	1	1	2	0	0	0	2	3	0	0	0	0	1	2	2	1	1	1	2	1	0					
		0.34%	0.12%	0.45%	0.18%	0.22%	0.0%	0.36%	0.54%	0.72%	0.36%	0.45%	0.32%	0.36%	0.29%	0.29%	0.44%	0.36%	0.55%	0.59%	0.56%	2.36%	0.61%	0.44%	0.25%	0.47%	0.88%	0.32%	0.38%	0.39%	0.37%	0.32%	0.64%	0.36%	0.19%	0.31%	0.17%	0.39%	0.0%	0.29%	0.21%	0.0%	0.0%	0.17%	0.52%	0.13%	0.21%	0.0%	0.0%	0.51%	0.0%	0.66%	0.20%	0.43%	0.36%	0.0%	0.0%	0.0%	0.33%	0.66%	0.0%	0.0%	0.0%	0.0%	0.19%	1.29%	0.53%	0.18%	0.31%	0.42%	0.71%	0.22%	0.0%					
27	"10. ""Аграрная партия России"""	3810	31	38	25	18	31	35	9	45	28	22	31	24	23	37	29	21	29	50	17	5	27	19	29	40	38	49	13	22	35	31	68	37	33	29	46	21	22	37	49	224	177	96	10	63	187	16	16	17	82	42	109	40	60	0	44	13	121	68	43	99	93	55	223	59	175	239	97	26	34	88	1					
		7.49%	3.92%	3.46%	2.31%	2.01%	3.69%	4.25%	1.63%	4.08%	3.41%	2.0%	3.40%	2.94%	2.28%	2.68%	2.58%	2.55%	2.01%	5.94%	2.38%	3.93%	2.78%	2.09%	2.49%	2.73%	3.05%	3.93%	1.26%	2.16%	3.28%	3.37%	6.25%	3.40%	3.28%	2.27%	3.96%	2.04%	3.78%	11.07%	10.60%	43.49%	29.99%	17.02%	5.23%	8.66%	13.41%	6.77%	12.21%	8.71%	17.94%	14.04%	21.88%	17.31%	11.07%	0.0%	16.79%	1.55%	20.50%	15.11%	24.29%	11.34%	23.19%	15.89%	42.39%	38.31%	46.41%	45.26%	30.59%	10.97%	12.09%	19.90%	1.42%					
28	"11. ""Истинные патриоты России"""	187	3	0	3	7	3	5	0	3	3	1	3	0	3	8	4	0	1	3	6	0	0	1	3	2	1	8	1	3	7	0	13	0	6	4	5	4	6	3	1	3	4	7	0	4	4	3	0	2	1	0	0	0	2	1	0	8	3	2	2	1	1	3	1	2	1	2	1	2	3	0	0					
		0.36%	0.38%	0.0%	0.27%	0.78%	0.35%	0.60%	0.0%	0.27%	0.36%	0.09%	0.32%	0.0%	0.29%	0.58%	0.35%	0.0%	0.06%	0.35%	0.84%	0.0%	0.0%	0.11%	0.25%	0.13%	0.08%	0.64%	0.09%	0.29%	0.65%	0.0%	1.19%	0.0%	0.59%	0.31%	0.43%	0.39%	1.03%	0.89%	0.21%	0.58%	0.67%	1.24%	0.0%	0.55%	0.28%	1.27%	0.0%	1.02%	0.21%	0.0%	0.0%	0.0%	0.36%	1.40%	0.0%	0.95%	0.50%	0.44%	1.12%	0.11%	0.24%	0.86%	0.19%	1.29%	0.26%	0.37%	0.31%	0.84%	1.06%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	335	2	6	7	6	5	3	1	6	5	13	5	3	7	8	4	7	13	3	7	2	8	11	8	10	10	5	14	11	5	6	3	4	7	11	6	8	6	4	5	2	0	1	2	3	13	2	0	6	3	1	6	1	8	4	0	2	3	3	1	6	0	1	2	0	1	0	1	1	1	6	0					
		0.65%	0.25%	0.54%	0.64%	0.67%	0.59%	0.36%	0.18%	0.54%	0.61%	1.18%	0.54%	0.36%	0.69%	0.58%	0.35%	0.85%	0.90%	0.35%	0.98%	1.57%	0.82%	1.21%	0.68%	0.68%	0.80%	0.40%	1.36%	1.08%	0.46%	0.65%	0.27%	0.36%	0.69%	0.86%	0.51%	0.78%	1.03%	1.19%	1.08%	0.38%	0.0%	0.17%	1.04%	0.41%	0.93%	0.84%	0.0%	3.07%	0.65%	0.33%	1.20%	0.43%	1.47%	5.63%	0.0%	0.23%	0.50%	0.66%	0.56%	0.68%	0.0%	0.28%	0.38%	0.0%	0.26%	0.0%	0.31%	0.42%	0.35%	1.35%	0.0%					
30	"13. ""Демократическая партия России"""	191	4	5	8	7	3	6	7	3	2	6	1	2	5	1	5	5	9	3	4	1	5	5	3	1	5	4	3	5	10	2	6	13	0	1	6	4	3	1	3	0	0	0	3	3	4	0	0	0	0	0	1	0	1	0	0	0	2	0	0	1	2	0	1	0	1	3	1	0	0	1	0					
		0.37%	0.50%	0.45%	0.73%	0.78%	0.35%	0.72%	1.27%	0.27%	0.24%	0.54%	0.10%	0.24%	0.49%	0.07%	0.44%	0.60%	0.62%	0.35%	0.56%	0.78%	0.51%	0.55%	0.25%	0.06%	0.40%	0.32%	0.29%	0.49%	0.93%	0.21%	0.55%	1.19%	0.0%	0.07%	0.51%	0.39%	0.51%	0.29%	0.64%	0.0%	0.0%	0.0%	1.57%	0.41%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.18%	0.0%	0.0%	0.0%	0.33%	0.0%	0.0%	0.11%	0.49%	0.0%	0.19%	0.0%	0.26%	0.56%	0.31%	0.0%	0.0%	0.22%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	145	5	3	7	1	1	2	3	0	6	4	5	2	4	1	4	3	3	4	2	0	2	0	4	6	3	5	5	3	2	4	3	5	0	1	4	5	4	1	3	0	2	1	0	0	0	2	1	0	0	0	0	2	1	0	0	1	3	5	0	0	1	1	1	1	0	0	0	1	0	1	1					
		0.28%	0.63%	0.27%	0.64%	0.11%	0.11%	0.24%	0.54%	0.0%	0.73%	0.36%	0.54%	0.24%	0.39%	0.07%	0.35%	0.36%	0.20%	0.47%	0.28%	0.0%	0.20%	0.0%	0.34%	0.41%	0.24%	0.40%	0.48%	0.29%	0.18%	0.43%	0.27%	0.45%	0.0%	0.07%	0.34%	0.48%	0.68%	0.29%	0.64%	0.0%	0.33%	0.17%	0.0%	0.0%	0.0%	0.84%	0.76%	0.0%	0.0%	0.0%	0.0%	0.86%	0.18%	0.0%	0.0%	0.11%	0.50%	1.11%	0.0%	0.0%	0.24%	0.28%	0.19%	0.64%	0.0%	0.0%	0.0%	0.42%	0.0%	0.22%	1.42%					
32	"15. ""Партия СЛОН"""	141	3	3	0	0	1	0	1	0	2	3	1	0	7	3	3	3	2	54	0	0	0	2	5	4	2	3	2	3	1	1	1	0	6	2	2	2	2	1	0	1	0	0	0	1	1	1	0	1	0	0	0	3	1	0	0	0	2	0	1	0	0	1	1	0	1	0	1	0	0	0	0					
		0.27%	0.38%	0.27%	0.0%	0.0%	0.11%	0.0%	0.18%	0.0%	0.24%	0.27%	0.10%	0.0%	0.69%	0.21%	0.26%	0.36%	0.13%	6.42%	0.0%	0.0%	0.0%	0.22%	0.42%	0.27%	0.16%	0.24%	0.19%	0.29%	0.09%	0.10%	0.09%	0.0%	0.59%	0.15%	0.17%	0.19%	0.34%	0.29%	0.0%	0.19%	0.0%	0.0%	0.0%	0.13%	0.07%	0.42%	0.0%	0.51%	0.0%	0.0%	0.0%	1.29%	0.18%	0.0%	0.0%	0.0%	0.33%	0.0%	0.56%	0.0%	0.0%	0.28%	0.19%	0.0%	0.26%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	2675	36	80	77	75	75	52	30	76	66	52	43	53	66	61	85	67	118	38	32	2	74	65	85	95	72	92	54	57	60	53	56	83	53	93	92	56	18	8	23	3	4	9	4	11	76	2	2	9	9	1	24	4	10	0	2	6	21	8	1	22	3	4	6	0	7	11	10	13	0	20	0					
		5.26%	4.56%	7.29%	7.11%	8.37%	8.92%	6.31%	5.46%	6.89%	8.05%	4.72%	4.72%	6.50%	6.55%	4.42%	7.58%	8.16%	8.20%	4.51%	4.48%	1.57%	7.62%	7.17%	7.30%	6.50%	5.79%	7.39%	5.25%	5.62%	5.62%	5.77%	5.15%	7.62%	5.27%	7.29%	7.92%	5.46%	3.09%	2.39%	4.97%	0.58%	0.67%	1.59%	2.09%	1.51%	5.45%	0.84%	1.52%	4.61%	1.96%	0.33%	4.81%	1.73%	1.84%	0.0%	0.76%	0.71%	3.55%	1.77%	0.56%	2.52%	0.74%	1.15%	1.14%	0.0%	1.85%	2.08%	3.15%	5.48%	0.0%	4.52%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	294	7	6	6	1	5	5	5	1	7	7	6	6	7	1	3	2	2	6	7	0	2	4	3	6	4	6	3	3	5	4	4	2	2	7	3	3	6	3	1	5	4	3	3	7	4	4	0	1	1	0	30	5	7	1	4	3	2	7	12	2	7	2	3	3	1	3	5	0	0	4	0					
		0.57%	0.88%	0.54%	0.55%	0.11%	0.59%	0.60%	0.91%	0.09%	0.85%	0.63%	0.65%	0.73%	0.69%	0.07%	0.26%	0.24%	0.13%	0.71%	0.98%	0.0%	0.20%	0.44%	0.25%	0.41%	0.32%	0.48%	0.29%	0.29%	0.46%	0.43%	0.36%	0.18%	0.19%	0.54%	0.25%	0.29%	1.03%	0.89%	0.21%	0.97%	0.67%	0.53%	1.57%	0.96%	0.28%	1.69%	0.0%	0.51%	0.21%	0.0%	6.02%	2.16%	1.29%	1.40%	1.52%	0.35%	0.33%	1.55%	6.77%	0.22%	1.74%	0.57%	0.57%	1.94%	0.26%	0.56%	1.57%	0.0%	0.0%	0.90%	0.0%					
35	"18. ""ЛДПР"""	6710	105	168	200	163	170	146	73	205	157	201	151	154	173	209	172	165	226	60	133	10	189	153	179	246	208	185	170	174	182	126	129	138	181	198	203	193	83	14	12	7	12	44	28	23	171	13	23	26	25	3	6	12	16	6	2	15	24	21	5	63	7	9	9	1	12	14	13	35	2	52	7					
		13.20%	13.30%	15.32%	18.48%	18.21%	20.23%	17.73%	13.29%	18.60%	19.16%	18.27%	16.59%	18.89%	17.17%	15.15%	15.34%	20.09%	15.71%	7.13%	18.65%	7.87%	19.48%	16.88%	15.37%	16.84%	16.74%	14.87%	16.53%	17.15%	17.05%	13.72%	11.86%	12.68%	18.00%	15.54%	17.48%	18.82%	14.26%	4.19%	2.59%	1.35%	2.03%	7.80%	14.65%	3.16%	12.26%	5.50%	17.55%	13.33%	5.47%	1.00%	1.20%	5.19%	2.95%	8.45%	0.76%	1.79%	4.06%	4.66%	2.82%	7.21%	1.74%	2.60%	1.71%	0.64%	3.18%	2.65%	4.10%	14.76%	0.71%	11.76%	9.99%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	1220	26	35	41	9	23	17	9	23	24	43	28	20	32	36	32	22	36	18	14	4	29	38	37	40	36	46	32	38	32	27	20	29	34	34	31	14	13	5	9	7	7	7	9	14	32	6	1	1	2	6	2	1	16	0	1	1	6	0	2	17	4	7	2	0	9	6	6	3	3	5	1					
