Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																			
																																																																			
Наименование Избирательной комиссии:    Славянская																																																																			
																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																			
																																																																			
		Сумма	УИК  4201	УИК  4202	УИК  4203	УИК  4204	УИК  4205	УИК  4206	УИК  4207	УИК  4208	УИК  4209	УИК  4210	УИК  4211	УИК  4212	УИК  4213	УИК  4214	УИК  4215	УИК  4216	УИК  4217	УИК  4218	УИК  4219	УИК  4220	УИК  4221	УИК  4222	УИК  4223	УИК  4224	УИК  4225	УИК  4226	УИК  4227	УИК  4228	УИК  4229	УИК  4230	УИК  4231	УИК  4232	УИК  4233	УИК  4234	УИК  4235	УИК  4236	УИК  4237	УИК  4238	УИК  4239	УИК  4240	УИК  4241	УИК  4242	УИК  4243	УИК  4244	УИК  4245	УИК  4246	УИК  4247	УИК  4248	УИК  4249	УИК  4250	УИК  4251	УИК  4252	УИК  4253	УИК  4254	УИК  4255	УИК  4256	УИК  4257	УИК  4258	УИК  4259	УИК  4260					
		1.53%	1.47%	1.08%	1.35%	1.81%	1.32%	1.03%	0.82%	1.96%	1.79%	1.68%	1.53%	1.74%	1.48%	2.40%	0.76%	1.99%	1.89%	1.32%	0.83%	1.99%	1.15%	1.69%	2.05%	1.04%	0.93%	1.08%	1.30%	1.52%	0.66%	1.61%	0.52%	1.67%	0.68%	0.66%	1.54%	2.25%	1.85%	2.17%	1.94%	1.15%	2.11%	2.53%	1.47%	1.36%	4.04%	1.66%	1.07%	1.84%	1.14%	1.27%	1.45%	0.97%	1.89%	2.85%	1.77%	2.51%	1.01%	0.93%	2.12%	1.37%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1244	57	35	21	22	38	24	57	30	43	34	61	31	21	33	37	37	30	35	50	20	22	38	10	23	7	20	23	1	13	13	0	17	42	14	32	9	6	14	7	13	7	19	15	3	3	40	10	13	22	6	0	9	11	19	9	11	0	4	0	3					
		2.19%	4.67%	3.16%	2.19%	3.33%	3.60%	2.77%	3.90%	2.18%	3.21%	3.37%	4.24%	2.70%	2.23%	3.60%	2.82%	2.37%	2.71%	3.09%	4.62%	2.09%	2.10%	3.78%	1.71%	1.41%	0.81%	2.40%	1.58%	0.50%	1.45%	0.99%	0.0%	1.50%	7.19%	4.65%	1.70%	2.25%	1.39%	1.68%	0.50%	0.99%	0.64%	1.85%	1.38%	0.58%	1.21%	2.67%	1.18%	1.40%	1.39%	0.85%	0.0%	0.97%	1.15%	2.58%	1.06%	1.45%	0.0%	1.25%	0.0%	0.82%					
22	"5. ""За Русь Святую"""	254	10	4	5	7	4	3	8	10	10	7	6	9	4	7	2	7	1	10	6	7	3	2	2	9	2	2	7	0	5	6	0	8	4	2	8	1	3	3	5	1	1	7	6	2	0	4	2	2	5	2	0	7	6	5	2	1	1	0	1	0					
		0.44%	0.81%	0.36%	0.52%	1.06%	0.37%	0.34%	0.54%	0.72%	0.74%	0.69%	0.41%	0.78%	0.42%	0.76%	0.15%	0.44%	0.09%	0.88%	0.55%	0.73%	0.28%	0.19%	0.34%	0.55%	0.23%	0.24%	0.48%	0.0%	0.55%	0.46%	0.0%	0.70%	0.68%	0.66%	0.42%	0.25%	0.69%	0.36%	0.36%	0.07%	0.09%	0.68%	0.55%	0.38%	0.0%	0.26%	0.23%	0.21%	0.31%	0.28%	0.0%	0.75%	0.63%	0.67%	0.23%	0.13%	0.25%	0.0%	0.26%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	145	0	4	3	1	3	1	3	1	4	2	2	4	4	1	6	6	4	3	1	3	4	4	2	8	3	4	5	1	2	2	0	0	0	3	5	0	0	3	4	6	4	0	1	2	3	5	2	1	0	0	0	1	3	3	0	1	1	0	3	3					
		0.25%	0.0%	0.36%	0.31%	0.15%	0.28%	0.11%	0.20%	0.07%	0.29%	0.19%	0.13%	0.34%	0.42%	0.10%	0.45%	0.38%	0.36%	0.26%	0.09%	0.31%	0.38%	0.39%	0.34%	0.49%	0.35%	0.48%	0.34%	0.50%	0.22%	0.15%	0.0%	0.0%	0.0%	0.99%	0.26%	0.0%	0.0%	0.36%	0.28%	0.46%	0.36%	0.0%	0.09%	0.38%	1.21%	0.33%	0.23%	0.10%	0.0%	0.0%	0.0%	0.10%	0.31%	0.40%	0.0%	0.13%	0.25%	0.0%	0.79%	0.82%					
24	"7. ""Новый курс - Автомобильная Россия"""	340	8	7	9	4	7	4	7	12	9	2	8	16	4	13	8	29	5	8	7	8	7	13	4	5	6	7	6	0	4	3	0	2	0	2	2	0	4	5	2	12	9	3	6	4	0	8	3	4	11	3	3	2	4	5	5	2	4	0	4	1					
		0.59%	0.65%	0.63%	0.94%	0.60%	0.66%	0.46%	0.47%	0.87%	0.67%	0.19%	0.55%	1.39%	0.42%	1.42%	0.61%	1.86%	0.45%	0.70%	0.64%	0.83%	0.67%	1.29%	0.68%	0.30%	0.70%	0.84%	0.41%	0.0%	0.44%	0.23%	0.0%	0.17%	0.0%	0.66%	0.10%	0.0%	0.92%	0.60%	0.14%	0.92%	0.82%	0.29%	0.55%	0.77%	0.0%	0.53%	0.35%	0.43%	0.69%	0.42%	0.43%	0.21%	0.42%	0.67%	0.59%	0.26%	1.01%	0.0%	1.06%	0.27%					
25	"8. ""Народно-республиканская партия России"""	120	1	4	0	2	1	0	2	0	0	3	2	0	5	0	2	3	3	3	0	1	0	12	0	6	2	0	2	0	1	4	0	2	0	1	7	4	2	1	4	3	0	3	0	1	0	3	3	1	4	2	3	1	4	2	0	3	5	1	0	1					
		0.21%	0.08%	0.36%	0.0%	0.30%	0.09%	0.0%	0.13%	0.0%	0.0%	0.29%	0.13%	0.0%	0.53%	0.0%	0.15%	0.19%	0.27%	0.26%	0.0%	0.10%	0.0%	1.19%	0.0%	0.36%	0.23%	0.0%	0.13%	0.0%	0.11%	0.30%	0.0%	0.17%	0.0%	0.33%	0.37%	1.0%	0.46%	0.12%	0.28%	0.23%	0.0%	0.29%	0.0%	0.19%	0.0%	0.20%	0.35%	0.10%	0.25%	0.28%	0.43%	0.10%	0.42%	0.27%	0.0%	0.39%	1.26%	0.31%	0.0%	0.27%					
26	"9. ""Российская экологическая партия ""Зеленые"""	138	9	5	1	1	2	3	3	3	2	3	3	9	4	0	2	9	1	1	3	4	3	3	0	3	1	2	1	1	3	2	1	4	2	0	1	1	0	2	0	9	2	2	3	0	1	3	2	2	2	1	1	4	0	1	3	1	2	0	0	1					
		0.24%	0.73%	0.45%	0.10%	0.15%	0.18%	0.34%	0.20%	0.21%	0.14%	0.29%	0.20%	0.78%	0.42%	0.0%	0.15%	0.57%	0.09%	0.08%	0.27%	0.41%	0.28%	0.29%	0.0%	0.18%	0.11%	0.24%	0.06%	0.50%	0.33%	0.15%	0.52%	0.35%	0.34%	0.0%	0.05%	0.25%	0.0%	0.24%	0.0%	0.69%	0.18%	0.19%	0.27%	0.0%	0.40%	0.20%	0.23%	0.21%	0.12%	0.14%	0.14%	0.43%	0.0%	0.13%	0.35%	0.13%	0.50%	0.0%	0.0%	0.27%					
27	"10. ""Аграрная партия России"""	2569	36	30	33	19	49	23	53	51	36	32	46	40	26	23	33	37	35	44	29	27	30	28	18	67	36	40	59	6	12	85	4	93	38	32	141	9	20	46	61	68	59	58	27	71	38	61	39	34	84	44	53	36	47	23	154	68	30	8	35	5					
		4.53%	2.95%	2.71%	3.44%	2.87%	4.64%	2.65%	3.63%	3.71%	2.69%	3.18%	3.20%	3.48%	2.76%	2.51%	2.52%	2.37%	3.16%	3.88%	2.68%	2.83%	2.87%	2.78%	3.08%	4.11%	4.21%	4.81%	4.06%	3.04%	1.33%	6.53%	2.09%	8.21%	6.50%	10.63%	7.49%	2.25%	4.64%	5.54%	4.40%	5.22%	5.41%	5.66%	2.48%	13.84%	15.38%	4.07%	4.63%	3.68%	5.34%	6.25%	7.69%	3.90%	4.93%	3.12%	18.22%	8.99%	7.59%	2.5%	9.28%	1.37%					
28	"11. ""Истинные патриоты России"""	40	2	0	0	0	1	0	0	2	1	0	0	0	0	0	2	0	1	3	2	0	1	0	0	1	0	0	0	0	6	0	0	0	0	0	3	0	0	0	0	0	2	0	1	2	0	1	0	1	0	1	0	0	1	6	0	0	0	0	0	0					
		0.07%	0.16%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.14%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.09%	0.26%	0.18%	0.0%	0.09%	0.0%	0.0%	0.06%	0.0%	0.0%	0.0%	0.0%	0.66%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.09%	0.38%	0.0%	0.06%	0.0%	0.10%	0.0%	0.14%	0.0%	0.0%	0.10%	0.81%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	664	10	19	8	11	17	7	21	15	25	12	19	9	11	13	24	47	14	25	15	10	17	8	10	18	7	8	8	0	12	6	0	10	4	1	24	6	3	5	8	4	8	8	7	4	2	32	6	3	7	1	17	3	13	9	21	10	7	3	4	8					
		1.17%	0.81%	1.71%	0.83%	1.66%	1.61%	0.80%	1.43%	1.09%	1.86%	1.19%	1.32%	0.78%	1.17%	1.42%	1.83%	3.01%	1.26%	2.20%	1.38%	1.04%	1.62%	0.79%	1.71%	1.10%	0.81%	0.96%	0.55%	0.0%	1.33%	0.46%	0.0%	0.88%	0.68%	0.33%	1.27%	1.5%	0.69%	0.60%	0.57%	0.30%	0.73%	0.78%	0.64%	0.77%	0.80%	2.13%	0.71%	0.32%	0.44%	0.14%	2.46%	0.32%	1.36%	1.22%	2.48%	1.32%	1.77%	0.93%	1.06%	2.20%					
30	"13. ""Демократическая партия России"""	97	3	4	3	0	0	0	2	1	0	2	1	0	2	1	1	4	1	0	0	2	6	2	3	1	2	0	1	0	1	1	0	6	3	3	2	1	1	1	2	5	0	1	1	2	0	0	1	2	1	0	0	1	6	2	1	4	5	0	2	0					
		0.17%	0.24%	0.36%	0.31%	0.0%	0.0%	0.0%	0.13%	0.07%	0.0%	0.19%	0.06%	0.0%	0.21%	0.10%	0.07%	0.25%	0.09%	0.0%	0.0%	0.20%	0.57%	0.19%	0.51%	0.06%	0.23%	0.0%	0.06%	0.0%	0.11%	0.07%	0.0%	0.53%	0.51%	0.99%	0.10%	0.25%	0.23%	0.12%	0.14%	0.38%	0.0%	0.09%	0.09%	0.38%	0.0%	0.0%	0.11%	0.21%	0.06%	0.0%	0.0%	0.10%	0.63%	0.27%	0.11%	0.52%	1.26%	0.0%	0.53%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	46	0	3	1	0	1	1	3	1	1	2	0	0	2	2	0	0	3	2	0	1	1	1	0	0	0	1	0	0	1	1	0	1	1	1	0	0	1	0	0	1	0	0	0	3	0	0	0	1	1	0	0	5	0	1	0	0	1	0	0	1					
		0.08%	0.0%	0.27%	0.10%	0.0%	0.09%	0.11%	0.20%	0.07%	0.07%	0.19%	0.0%	0.0%	0.21%	0.21%	0.0%	0.0%	0.27%	0.17%	0.0%	0.10%	0.09%	0.09%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.11%	0.07%	0.0%	0.08%	0.17%	0.33%	0.0%	0.0%	0.23%	0.0%	0.0%	0.07%	0.0%	0.0%	0.0%	0.58%	0.0%	0.0%	0.0%	0.10%	0.06%	0.0%	0.0%	0.54%	0.0%	0.13%	0.0%	0.0%	0.25%	0.0%	0.0%	0.27%					
32	"15. ""Партия СЛОН"""	39	2	2	1	0	1	0	1	0	0	1	0	1	1	0	1	2	0	0	2	0	1	1	0	1	0	0	3	0	1	1	0	0	2	3	0	0	0	0	0	1	0	0	0	1	0	2	1	0	0	0	0	0	0	1	1	1	0	1	1	1					
		0.06%	0.16%	0.18%	0.10%	0.0%	0.09%	0.0%	0.06%	0.0%	0.0%	0.09%	0.0%	0.08%	0.10%	0.0%	0.07%	0.12%	0.0%	0.0%	0.18%	0.0%	0.09%	0.09%	0.0%	0.06%	0.0%	0.0%	0.20%	0.0%	0.11%	0.07%	0.0%	0.0%	0.34%	0.99%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.0%	0.0%	0.0%	0.19%	0.0%	0.13%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.11%	0.13%	0.0%	0.31%	0.26%	0.27%					
33	"16. ""Родина"" (народно-патриотический союз)"""	5534	90	89	83	74	131	88	165	186	110	112	187	162	93	110	220	170	143	118	144	106	155	108	63	199	86	91	177	9	73	85	4	153	41	22	146	23	26	46	117	142	114	73	109	38	15	175	51	77	120	37	57	72	31	48	52	40	21	15	19	23					
		9.76%	7.37%	8.03%	8.67%	11.21%	12.41%	10.16%	11.30%	13.55%	8.22%	11.13%	13.01%	14.11%	9.89%	12.02%	16.80%	10.91%	12.91%	10.42%	13.30%	11.12%	14.86%	10.75%	10.80%	12.23%	10.05%	10.95%	12.18%	4.56%	8.14%	6.53%	2.09%	13.51%	7.02%	7.30%	7.76%	5.75%	6.03%	5.54%	8.44%	10.91%	10.45%	7.12%	10.03%	7.40%	6.07%	11.68%	6.06%	8.34%	7.62%	5.25%	8.27%	7.80%	3.25%	6.52%	6.15%	5.29%	5.31%	4.68%	5.03%	6.33%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	127	1	2	0	2	1	1	1	2	0	0	1	1	1	1	2	16	0	1	2	2	3	1	3	2	3	0	3	0	1	5	1	4	0	3	6	1	1	5	2	0	5	5	2	0	1	1	2	1	6	1	2	0	2	8	1	4	0	2	2	1					
		0.22%	0.08%	0.18%	0.0%	0.30%	0.09%	0.11%	0.06%	0.14%	0.0%	0.0%	0.06%	0.08%	0.10%	0.10%	0.15%	1.02%	0.0%	0.08%	0.18%	0.20%	0.28%	0.09%	0.51%	0.12%	0.35%	0.0%	0.20%	0.0%	0.11%	0.38%	0.52%	0.35%	0.0%	0.99%	0.31%	0.25%	0.23%	0.60%	0.14%	0.0%	0.45%	0.48%	0.18%	0.0%	0.40%	0.06%	0.23%	0.10%	0.38%	0.14%	0.29%	0.0%	0.21%	1.08%	0.11%	0.52%	0.0%	0.62%	0.53%	0.27%					
35	"18. ""ЛДПР"""	7299	197	171	110	71	127	149	152	200	143	93	175	128	130	81	165	233	130	146	138	120	162	105	89	246	140	121	202	25	101	145	20	146	78	51	227	75	54	129	139	145	116	113	153	62	20	172	150	184	199	137	95	133	145	73	92	77	49	20	27	23					
		12.87%	16.14%	15.44%	11.49%	10.75%	12.03%	17.20%	10.41%	14.57%	10.69%	9.24%	12.17%	11.14%	13.82%	8.85%	12.60%	14.96%	11.74%	12.89%	12.75%	12.59%	15.53%	10.45%	15.26%	15.11%	16.37%	14.56%	13.90%	12.69%	11.27%	11.14%	10.47%	12.89%	13.35%	16.94%	12.06%	18.75%	12.52%	15.56%	10.03%	11.14%	10.64%	11.03%	14.08%	12.08%	8.09%	11.48%	17.83%	19.93%	12.65%	19.46%	13.78%	14.42%	15.23%	9.91%	10.88%	10.18%	12.40%	6.25%	7.16%	6.33%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	628	14	6	13	16	11	7	21	14	13	9	18	16	17	11	14	16	12	9	9	11	16	8	4	29	8	16	17	0	9	5	2	17	3	5	28	2	1	4	13	2	14	17	13	4	5	12	15	10	13	8	5	9	12	10	9	10	4	3	6	3					
		1.10%	1.14%	0.54%	1.35%	2.42%	1.04%	0.80%	1.43%	1.02%	0.97%	0.89%	1.25%	1.39%	1.80%	1.20%	1.06%	1.02%	1.08%	0.79%	0.83%	1.15%	1.53%	0.79%	0.68%	1.78%	0.93%	1.92%	1.16%	0.0%	1.00%	0.38%	1.04%	1.50%	0.51%	1.66%	1.48%	0.5%	0.23%	0.48%	0.93%	0.15%	1.28%	1.66%	1.19%	0.77%	2.02%	0.80%	1.78%	1.08%	0.82%	1.13%	0.72%	0.97%	1.26%	1.35%	1.06%	1.32%	1.01%	0.93%	1.59%	0.82%					
37	"20. ""Политическая партия ""Единая Россия"""	18580	394	338	348	189	288	293	460	427	399	317	443	323	294	318	434	481	383	333	367	268	331	297	184	367	249	257	452	124	336	511	136	306	152	66	687	119	168	351	447	280	236	293	461	152	38	544	286	354	735	286	255	239	307	278	235	273	165	205	180	141					
		32.76%	32.29%	30.53%	36.36%	28.63%	27.29%	33.83%	31.50%	31.12%	29.84%	31.51%	30.82%	28.13%	31.27%	34.75%	33.15%	30.89%	34.59%	29.41%	33.91%	28.12%	31.73%	29.58%	31.56%	22.55%	29.12%	30.92%	31.10%	62.94%	37.49%	39.27%	71.20%	27.03%	26.02%	21.92%	36.52%	29.75%	38.97%	42.34%	32.27%	21.52%	21.65%	28.61%	42.44%	29.62%	15.38%	36.31%	34.00%	38.35%	46.72%	40.62%	37.01%	25.92%	32.24%	37.77%	27.81%	36.11%	41.77%	64.06%	47.74%	38.84%					
38	"21. ""Российская Конституционно-демократическая партия"""	128	1	3	0	1	1	1	2	3	1	1	4	3	1	1	1	2	0	1	3	2	0	2	0	6	3	0	3	0	7	4	2	2	3	1	4	0	0	1	11	6	4	2	0	0	0	3	1	1	9	3	1	9	1	2	0	0	2	1	1	1					
		0.22%	0.08%	0.27%	0.0%	0.15%	0.09%	0.11%	0.13%	0.21%	0.07%	0.09%	0.27%	0.26%	0.10%	0.10%	0.07%	0.12%	0.0%	0.08%	0.27%	0.20%	0.0%	0.19%	0.0%	0.36%	0.35%	0.0%	0.20%	0.0%	0.78%	0.30%	1.04%	0.17%	0.51%	0.33%	0.21%	0.0%	0.0%	0.12%	0.79%	0.46%	0.36%	0.19%	0.0%	0.0%	0.0%	0.20%	0.11%	0.10%	0.57%	0.42%	0.14%	0.97%	0.10%	0.27%	0.0%	0.0%	0.50%	0.31%	0.26%	0.27%					
39	"22. ""Развитие предпринимательства"""	140	1	3	4	1	2	2	3	3	2	3	6	3	3	2	4	9	2	2	5	5	3	3	0	3	0	3	3	0	2	5	0	3	0	0	6	0	4	0	0	5	5	5	3	0	5	4	2	2	2	0	1	2	0	0	2	0	1	0	0	1					
		0.24%	0.08%	0.27%	0.41%	0.15%	0.18%	0.23%	0.20%	0.21%	0.14%	0.29%	0.41%	0.26%	0.31%	0.21%	0.30%	0.57%	0.18%	0.17%	0.46%	0.52%	0.28%	0.29%	0.0%	0.18%	0.0%	0.36%	0.20%	0.0%	0.22%	0.38%	0.0%	0.26%	0.0%	0.0%	0.31%	0.0%	0.92%	0.0%	0.0%	0.38%	0.45%	0.48%	0.27%	0.0%	2.02%	0.26%	0.23%	0.21%	0.12%	0.0%	0.14%	0.21%	0.0%	0.0%	0.23%	0.0%	0.25%	0.0%	0.0%	0.27%					
