Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																												
Дата голосования: 02.12.2007																																																																																																												
																																																																																																												
Наименование Избирательной комиссии:    ТИК  Центрального округа г. Курска																																																																																																												
																																																																																																												
Сводная таблица результатов выборов																																																																																																												
																																																																																																												
		Сумма	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2136	14	9	20	20	20	20	20	10	20	20	20	40	20	10	20	10	40	30	24	20	30	20	40	40	30	20	30	20	30	50	20	20	20	20	20	30	20	29	20	40	26	45	40	20	20	20	20	20	35	20	30	20	20	20	35	20	20	20	40	20	40	20	24	20	25	20	20	20	25	70	25	20	20	20	20	20	40	25	20	20	30	0	20	20	35	30	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1695	14	8	16	18	20	10	11	9	15	20	18	31	19	4	17	2	33	21	24	20	25	11	22	32	30	18	30	12	24	34	20	20	19	20	12	29	16	25	12	31	25	45	29	19	10	9	10	19	26	10	22	20	14	17	35	17	13	10	40	10	38	7	24	19	22	10	17	12	25	60	22	16	19	20	20	5	30	20	14	7	25	0	12	19	35	22	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	4748	8	20	13	12	22	7	4	2	15	48	341	64	12	5	7	2	15	515	106	19	4	16	9	11	10	6	7	21	13	6	15	7	11	12	4	8	5	11	4	18	21	14	9	14	12	10	5	198	42	18	69	37	61	957	69	75	13	10	178	18	56	16	8	23	23	8	94	7	11	151	243	307	12	25	21	26	72	76	15	3	18	1	7	16	8	16	12	8	6	0	23	11	5	12	8	0	2	28	3	11	91					
14	Число погашенных неиспользованных открепительных удостоверений	441	0	1	4	2	0	10	9	1	5	0	2	9	1	6	3	8	7	9	0	0	5	9	18	8	0	2	0	8	6	16	0	0	1	0	8	1	4	4	8	9	1	0	11	1	10	11	10	1	9	10	8	0	6	3	0	3	7	10	0	10	2	13	0	1	3	10	3	8	0	10	3	4	1	0	0	15	10	5	6	13	5	0	8	1	0	8	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	58	1	0	2	3	0	0	1	0	0	1	0	3	2	1	0	0	1	1	0	0	2	0	0	0	1	2	0	0	0	1	1	0	2	1	0	2	1	3	0	0	1	0	2	0	1	0	0	0	1	0	0	3	0	0	0	0	0	1	2	0	0	1	2	0	0	0	1	1	2	0	0	1	0	1	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																												
18	1.Политическая партия «Аграрная партия России»	2089	22	6	16	26	32	11	16	4	14	31	12	24	28	8	28	10	15	49	22	15	21	14	13	3	24	33	23	14	23	37	27	14	26	38	10	32	43	35	17	24	22	33	18	22	24	15	10	16	41	9	29	30	9	27	33	27	26	21	41	18	49	10	18	23	24	22	25	25	39	66	49	48	14	43	36	11	21	30	28	11	43	2	7	22	19	20	9	2	5	3	0	3	2	0	16	7	0	3	0	3	0					
		1.99%	1.84%	1.66%	1.82%	1.83%	1.93%	1.72%	3.40%	1.04%	1.08%	2.06%	0.88%	1.41%	1.73%	1.44%	2.36%	2.58%	1.39%	1.96%	1.48%	1.34%	1.24%	1.76%	1.11%	0.53%	1.55%	2.31%	1.81%	1.54%	1.86%	2.34%	1.58%	1.01%	1.49%	2.32%	1.47%	1.86%	2.49%	2.18%	2.55%	1.45%	1.19%	1.82%	1.79%	1.95%	1.99%	1.86%	2.05%	1.74%	3.22%	1.69%	3.44%	2.88%	1.12%	1.54%	1.85%	2.91%	1.80%	1.82%	2.12%	2.18%	2.66%	1.29%	2.33%	1.81%	2.14%	2.46%	2.09%	2.62%	2.38%	3.58%	2.73%	3.59%	1.54%	3.10%	2.36%	2.24%	1.62%	2.65%	2.97%	1.44%	3.29%	0.93%	1.10%	2.53%	1.36%	1.77%	3.27%	1.49%	2.53%	6.82%	0.00%	1.52%	3.17%	0.00%	4.27%	3.02%	0.00%	3.53%	0.00%	3.09%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1148	16	2	4	10	15	6	6	3	26	10	27	15	10	10	12	4	4	25	15	16	16	4	11	4	16	16	20	14	13	21	21	17	19	20	10	25	24	17	12	26	10	32	11	7	14	4	5	8	16	6	11	6	8	18	20	14	10	10	26	13	11	13	5	16	7	16	16	13	19	9	27	13	8	18	18	6	17	14	9	9	15	2	6	8	14	16	0	0	2	0	0	1	1	0	5	1	2	0	0	0	0					
		1.10%	1.34%	0.55%	0.46%	0.70%	0.90%	0.94%	1.28%	0.78%	2.00%	0.66%	1.98%	0.88%	0.62%	1.80%	1.01%	1.03%	0.37%	0.99%	1.01%	1.43%	0.95%	0.50%	0.94%	0.71%	1.03%	1.12%	1.57%	1.54%	1.05%	1.33%	1.23%	1.22%	1.09%	1.22%	1.47%	1.45%	1.39%	1.06%	1.80%	1.58%	0.54%	1.77%	1.09%	0.62%	1.16%	0.50%	1.02%	0.87%	1.26%	1.13%	1.30%	0.58%	0.99%	1.03%	1.12%	1.51%	0.69%	0.87%	1.34%	1.58%	0.60%	1.67%	0.65%	1.26%	0.62%	1.79%	1.34%	1.36%	1.16%	0.49%	1.51%	0.97%	0.88%	1.30%	1.18%	1.22%	1.31%	1.23%	0.96%	1.18%	1.15%	0.93%	0.94%	0.92%	1.00%	1.41%	0.00%	0.00%	1.01%	0.00%	0.00%	0.51%	1.59%	0.00%	1.33%	0.43%	1.39%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	309	3	1	2	5	6	1	3	0	6	1	7	1	4	1	3	0	3	7	0	3	2	1	4	2	8	6	9	9	14	7	6	12	2	2	4	9	6	3	1	3	6	4	3	6	5	3	0	2	4	2	0	1	0	7	3	2	6	4	6	1	6	4	2	3	3	2	2	1	4	11	0	1	1	2	1	0	1	5	2	3	8	0	1	1	2	1	3	1	2	0	0	0	0	0	0	0	0	2	0	0	2					
		0.30%	0.25%	0.28%	0.23%	0.35%	0.36%	0.16%	0.64%	0.00%	0.46%	0.07%	0.51%	0.06%	0.25%	0.18%	0.25%	0.00%	0.28%	0.28%	0.00%	0.27%	0.12%	0.13%	0.34%	0.35%	0.52%	0.42%	0.71%	0.99%	1.13%	0.44%	0.35%	0.86%	0.11%	0.12%	0.59%	0.52%	0.35%	0.19%	0.15%	0.18%	0.32%	0.22%	0.30%	0.53%	0.41%	0.37%	0.00%	0.22%	0.31%	0.38%	0.00%	0.10%	0.00%	0.40%	0.17%	0.22%	0.42%	0.35%	0.31%	0.12%	0.33%	0.51%	0.26%	0.24%	0.27%	0.22%	0.17%	0.10%	0.24%	0.60%	0.00%	0.07%	0.11%	0.14%	0.07%	0.00%	0.08%	0.44%	0.21%	0.39%	0.61%	0.00%	0.16%	0.11%	0.14%	0.09%	1.09%	0.75%	1.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.35%	0.00%	0.00%	1.53%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	14625	200	26	129	206	293	107	49	44	158	238	85	189	172	73	152	30	127	245	189	142	283	102	163	57	258	266	187	127	162	208	226	152	212	229	119	205	249	214	89	180	277	246	183	125	172	88	82	125	249	86	160	183	105	154	302	164	161	214	293	124	181	143	132	194	224	111	186	185	269	113	267	198	131	235	222	59	311	213	129	85	223	14	75	80	179	174	25	11	55	3	0	11	2	0	62	32	5	16	11	20	4					
		13.97%	16.71%	7.18%	14.69%	14.49%	17.63%	16.72%	10.43%	11.46%	12.16%	15.80%	6.22%	11.09%	10.64%	13.15%	12.84%	7.73%	11.79%	9.79%	12.69%	12.67%	16.72%	12.81%	13.97%	10.11%	16.63%	18.60%	14.71%	13.94%	13.08%	13.15%	13.23%	10.93%	12.11%	13.99%	17.45%	11.90%	14.39%	13.32%	13.34%	10.91%	14.93%	13.58%	18.19%	11.06%	14.26%	10.92%	16.80%	13.63%	19.56%	16.14%	18.96%	17.55%	13.06%	8.77%	16.91%	17.69%	11.15%	18.51%	15.14%	15.03%	9.84%	18.40%	17.10%	15.30%	19.96%	12.40%	15.53%	19.37%	16.41%	6.13%	14.89%	14.82%	14.41%	16.96%	14.58%	11.99%	24.05%	18.78%	13.69%	11.15%	17.05%	6.48%	11.74%	9.18%	12.79%	15.38%	9.09%	8.21%	27.78%	6.82%	0.00%	5.58%	3.17%	0.00%	16.53%	13.79%	3.47%	18.82%	30.56%	20.62%	3.05%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	968	8	6	24	16	12	13	0	6	14	8	8	10	10	5	9	3	8	17	7	6	14	4	13	7	5	9	13	4	15	9	12	6	12	7	1	20	12	15	9	13	18	22	5	6	5	5	8	14	29	10	12	15	6	15	26	27	9	13	21	10	20	8	13	16	11	2	8	14	14	5	17	7	6	17	32	8	20	17	10	4	3	0	7	7	19	8	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1					
		0.92%	0.67%	1.66%	2.73%	1.13%	0.72%	2.03%	0.00%	1.56%	1.08%	0.53%	0.59%	0.59%	0.62%	0.90%	0.76%	0.77%	0.74%	0.68%	0.47%	0.54%	0.83%	0.50%	1.11%	1.24%	0.32%	0.63%	1.02%	0.44%	1.21%	0.57%	0.70%	0.43%	0.69%	0.43%	0.15%	1.16%	0.69%	0.93%	1.35%	0.79%	0.97%	1.21%	0.50%	0.53%	0.41%	0.62%	1.64%	1.53%	2.28%	1.88%	1.42%	1.44%	0.75%	0.85%	1.46%	2.91%	0.62%	1.12%	1.09%	1.21%	1.09%	1.03%	1.68%	1.26%	0.98%	0.22%	0.67%	1.47%	0.85%	0.27%	0.95%	0.52%	0.66%	1.23%	2.10%	1.63%	1.55%	1.50%	1.06%	0.52%	0.23%	0.00%	1.10%	0.80%	1.36%	0.71%	0.36%	0.75%	0.51%	0.00%	0.00%	0.51%	0.00%	2.17%	0.27%	0.00%	0.69%	1.18%	0.00%	0.00%	0.76%					
23	6.Политическая партия «Партия социальной справедливости»	285	2	2	1	4	1	0	2	1	3	1	3	7	6	1	7	0	0	6	3	0	7	2	3	0	2	7	0	0	7	2	4	3	3	1	1	3	6	1	3	3	9	4	5	1	0	4	0	4	1	1	1	3	5	4	4	7	3	8	3	1	8	1	2	8	11	6	3	8	4	0	6	3	4	7	4	2	2	7	1	4	2	0	1	2	5	2	0	0	1	2	0	1	0	0	1	0	0	0	1	0	0					
		0.27%	0.17%	0.55%	0.11%	0.28%	0.06%	0.00%	0.43%	0.26%	0.23%	0.07%	0.22%	0.41%	0.37%	0.18%	0.59%	0.00%	0.00%	0.24%	0.20%	0.00%	0.41%	0.25%	0.26%	0.00%	0.13%	0.49%	0.00%	0.00%	0.56%	0.13%	0.23%	0.22%	0.17%	0.06%	0.15%	0.17%	0.35%	0.06%	0.45%	0.18%	0.49%	0.22%	0.50%	0.09%	0.00%	0.50%	0.00%	0.44%	0.08%	0.19%	0.12%	0.29%	0.62%	0.23%	0.22%	0.76%	0.21%	0.69%	0.16%	0.12%	0.43%	0.13%	0.26%	0.63%	0.98%	0.67%	0.25%	0.84%	0.24%	0.00%	0.33%	0.22%	0.44%	0.51%	0.26%	0.41%	0.15%	0.62%	0.11%	0.52%	0.15%	0.00%	0.16%	0.23%	0.36%	0.18%	0.00%	0.00%	0.51%	4.55%	0.00%	0.51%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	2.78%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	10684	141	43	108	155	120	69	47	46	126	130	366	195	163	46	114	31	114	252	119	117	164	52	134	59	136	141	135	101	148	168	182	119	173	179	67	168	206	172	83	195	203	168	106	116	119	93	31	76	115	53	87	99	72	204	172	71	174	104	198	85	190	54	78	112	102	79	139	93	150	240	158	125	74	139	139	65	106	109	87	75	125	4	78	88	136	124	26	32	20	7	4	12	5	6	26	18	13	2	2	3	9					
		10.21%	11.78%	11.88%	12.30%	10.90%	7.22%	10.78%	10.00%	11.98%	9.70%	8.63%	26.77%	11.44%	10.08%	8.29%	9.63%	7.99%	10.58%	10.07%	7.99%	10.44%	9.69%	6.53%	11.48%	10.46%	8.77%	9.86%	10.62%	11.09%	11.95%	10.62%	10.66%	8.55%	9.89%	10.94%	9.82%	9.76%	11.91%	10.70%	12.44%	11.82%	10.94%	9.27%	10.54%	10.27%	9.87%	11.54%	6.35%	8.29%	9.03%	9.94%	10.31%	9.49%	8.96%	11.62%	9.63%	7.66%	12.05%	8.99%	10.23%	10.30%	10.33%	6.95%	10.10%	8.83%	9.09%	8.83%	11.60%	9.74%	9.15%	13.02%	8.81%	9.36%	8.14%	10.03%	9.13%	13.21%	8.20%	9.61%	9.24%	9.84%	9.56%	1.85%	12.21%	10.10%	9.72%	10.96%	9.45%	23.88%	10.10%	15.91%	6.25%	6.09%	7.94%	13.04%	6.93%	7.76%	9.03%	2.35%	5.56%	3.09%	6.87%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	13729	157	35	108	144	237	105	70	68	198	186	118	224	229	88	236	75	176	282	400	112	304	120	164	58	209	183	159	134	182	292	314	195	327	275	127	269	218	217	124	229	252	276	99	151	133	106	79	85	129	45	69	113	124	139	221	126	208	181	289	75	145	80	117	191	100	129	114	126	235	117	194	128	65	136	187	65	136	143	95	64	138	6	50	146	188	171	24	12	24	6	1	10	7	4	37	32	10	18	7	15	8					
		13.11%	13.12%	9.67%	12.30%	10.13%	14.26%	16.41%	14.89%	17.71%	15.24%	12.35%	8.63%	13.14%	14.16%	15.86%	19.93%	19.33%	16.34%	11.27%	26.86%	9.99%	17.96%	15.08%	14.05%	10.28%	13.48%	12.80%	12.51%	14.71%	14.69%	18.46%	18.38%	14.02%	18.69%	16.81%	18.62%	15.62%	12.60%	13.50%	18.59%	13.88%	13.58%	15.23%	9.84%	13.36%	11.03%	13.15%	16.19%	9.27%	10.13%	8.44%	8.18%	10.83%	15.42%	7.92%	12.37%	13.59%	14.40%	15.66%	14.94%	9.09%	7.88%	10.30%	15.16%	15.06%	8.91%	14.41%	9.52%	13.19%	14.34%	6.34%	10.82%	9.58%	7.15%	9.81%	12.28%	13.21%	10.52%	12.61%	10.08%	8.40%	10.55%	2.78%	7.82%	16.76%	13.44%	15.12%	8.73%	8.96%	12.12%	13.64%	1.56%	5.08%	11.11%	8.70%	9.87%	13.79%	6.94%	21.18%	19.44%	15.46%	6.11%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	1212	13	5	19	13	20	5	4	3	19	10	15	26	12	2	6	2	15	15	10	10	11	8	14	3	22	18	9	6	12	7	20	9	32	15	7	20	21	29	2	25	22	29	12	8	11	5	7	12	20	6	14	18	10	35	36	13	11	9	22	4	22	9	10	20	10	11	14	13	29	13	22	19	10	8	24	2	27	14	11	6	21	1	11	7	30	14	3	0	3	1	0	0	0	0	3	4	0	0	0	0	2					
		1.16%	1.09%	1.38%	2.16%	0.91%	1.20%	0.78%	0.85%	0.78%	1.46%	0.66%	1.10%	1.52%	0.74%	0.36%	0.51%	0.52%	1.39%	0.60%	0.67%	0.89%	0.65%	1.01%	1.20%	0.53%	1.42%	1.26%	0.71%	0.66%	0.97%	0.44%	1.17%	0.65%	1.83%	0.92%	1.03%	1.16%	1.21%	1.80%	0.30%	1.52%	1.19%	1.60%	1.19%	0.71%	0.91%	0.62%	1.43%	1.31%	1.57%	1.13%	1.66%	1.73%	1.24%	1.99%	2.02%	1.40%	0.76%	0.78%	1.14%	0.48%	1.20%	1.16%	1.30%	1.58%	0.89%	1.23%	1.17%	1.36%	1.77%	0.70%	1.23%	1.42%	1.10%	0.58%	1.58%	0.41%	2.09%	1.23%	1.17%	0.79%	1.61%	0.46%	1.72%	0.80%	2.14%	1.24%	1.09%	0.00%	1.52%	2.27%	0.00%	0.00%	0.00%	0.00%	0.80%	1.72%	0.00%	0.00%	0.00%	0.00%	1.53%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	56125	587	227	439	799	865	300	252	202	698	834	665	959	937	307	580	218	574	1520	674	660	821	466	609	362	822	711	670	471	634	781	844	829	904	830	318	921	890	862	313	908	982	938	537	663	686	463	246	532	612	296	425	519	431	1108	886	440	792	548	963	456	1140	415	372	630	597	486	656	432	819	1241	968	763	566	725	799	261	583	533	543	482	674	179	385	472	745	557	177	74	80	21	59	158	46	35	215	129	109	40	14	54	105					
		53.61%	49.04%	62.71%	50.00%	56.19%	52.05%	46.88%	53.62%	52.60%	53.73%	55.38%	48.65%	56.25%	57.95%	55.32%	48.99%	56.19%	53.30%	60.75%	45.27%	58.88%	48.49%	58.54%	52.19%	64.18%	52.99%	49.72%	52.71%	51.70%	51.17%	49.37%	49.41%	59.60%	51.66%	50.73%	46.63%	53.48%	51.45%	53.64%	46.93%	55.03%	52.94%	51.77%	53.38%	58.67%	56.88%	57.44%	50.41%	58.02%	48.08%	55.53%	50.36%	49.76%	53.61%	63.10%	49.61%	47.46%	54.85%	47.40%	49.77%	55.27%	61.96%	53.41%	48.19%	49.68%	53.21%	54.30%	54.76%	45.24%	49.97%	67.30%	53.99%	57.11%	62.27%	52.31%	52.46%	53.05%	45.09%	47.00%	57.64%	63.25%	51.53%	82.87%	60.25%	54.19%	53.25%	49.25%	64.36%	55.22%	40.40%	47.73%	92.19%	80.20%	73.02%	76.09%	57.33%	55.60%	75.69%	47.06%	38.89%	55.67%	80.15%					
