Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																					
Дата голосования: 07.12.2003 0:00:00																																					
																																					
Наименование Избирательной комиссии:    Вичугская																																					
																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																					
																																					
		Сумма	УИК  373	УИК  374	УИК  375	УИК  376	УИК  377	УИК  378	УИК  379	УИК  380	УИК  381	УИК  382	УИК  383	УИК  384	УИК  385	УИК  386	УИК  387	УИК  388	УИК  389	УИК  390	УИК  391	УИК  392	УИК  393	УИК  394	УИК  395	УИК  396	УИК  397	УИК  398	УИК  399	УИК  400	УИК  401	УИК  402					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	358	0	9	0	7	17	1	0	3	2	8	4	3	26	5	13	6	11	7	2	7	1	16	2	35	28	28	33	23	29	32					
		3.82%	0.0%	7.96%	0.0%	4.45%	3.71%	1.36%	0.0%	0.77%	2.59%	4.87%	2.54%	6.0%	4.39%	3.03%	4.67%	5.66%	6.74%	3.22%	3.57%	3.78%	1.25%	5.19%	1.05%	4.25%	4.42%	4.21%	5.32%	3.41%	3.46%	3.91%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	196	3	3	2	0	6	0	2	8	0	0	2	1	18	0	2	4	4	3	2	2	0	7	1	28	18	22	9	16	18	15					
		2.09%	1.47%	2.65%	3.38%	0.0%	1.31%	0.0%	2.85%	2.07%	0.0%	0.0%	1.27%	2.0%	3.04%	0.0%	0.71%	3.77%	2.45%	1.38%	3.57%	1.08%	0.0%	2.27%	0.52%	3.40%	2.84%	3.31%	1.45%	2.37%	2.15%	1.83%					
22	"5. ""За Русь Святую"""	71	1	1	0	6	2	0	1	5	0	0	0	0	6	2	1	1	2	1	0	3	1	3	4	4	3	0	8	4	6	6					
		0.75%	0.49%	0.88%	0.0%	3.82%	0.43%	0.0%	1.42%	1.29%	0.0%	0.0%	0.0%	0.0%	1.01%	1.21%	0.35%	0.94%	1.22%	0.46%	0.0%	1.62%	1.25%	0.97%	2.10%	0.48%	0.47%	0.0%	1.29%	0.59%	0.71%	0.73%					
23	"6. ""Объединенная Российская партия ""Русь"""	19	0	0	0	0	1	0	1	1	0	0	0	0	0	0	2	1	0	0	0	0	0	2	1	1	3	1	0	0	1	4					
		0.20%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	1.42%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.71%	0.94%	0.0%	0.0%	0.0%	0.0%	0.0%	0.64%	0.52%	0.12%	0.47%	0.15%	0.0%	0.0%	0.11%	0.48%					
24	"7. ""Новый курс - Автомобильная Россия"""	44	0	0	1	0	2	1	1	1	0	1	0	0	5	0	1	0	0	2	0	0	0	0	1	3	3	8	2	2	7	3					
		0.46%	0.0%	0.0%	1.69%	0.0%	0.43%	1.36%	1.42%	0.25%	0.0%	0.60%	0.0%	0.0%	0.84%	0.0%	0.35%	0.0%	0.0%	0.92%	0.0%	0.0%	0.0%	0.0%	0.52%	0.36%	0.47%	1.20%	0.32%	0.29%	0.83%	0.36%					
25	"8. ""Народно-республиканская партия России"""	12	0	1	1	0	0	0	1	1	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	1	0					
		0.12%	0.0%	0.88%	1.69%	0.0%	0.0%	0.0%	1.42%	0.25%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.61%	0.0%	1.78%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.15%	0.16%	0.0%	0.11%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	30	0	0	0	0	3	1	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	7	0	5	1	4	0	1	1	2					
		0.32%	0.0%	0.0%	0.0%	0.0%	0.65%	1.36%	1.42%	0.25%	0.0%	0.0%	0.0%	2.0%	0.0%	0.0%	0.0%	0.94%	0.0%	0.0%	1.78%	0.0%	0.0%	2.27%	0.0%	0.60%	0.15%	0.60%	0.0%	0.14%	0.11%	0.24%					
27	"10. ""Аграрная партия России"""	612	53	15	8	13	21	5	2	19	7	20	37	12	17	16	14	10	30	27	11	23	4	38	10	20	26	39	17	31	27	40					
		6.53%	25.98%	13.27%	13.55%	8.28%	4.59%	6.84%	2.85%	4.93%	9.09%	12.19%	23.56%	24.0%	2.87%	9.69%	5.03%	9.43%	18.40%	12.44%	19.64%	12.43%	5.0%	12.33%	5.26%	2.43%	4.10%	5.87%	2.74%	4.60%	3.22%	4.89%					
28	"11. ""Истинные патриоты России"""	7	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	1					
		0.07%	0.0%	0.0%	1.69%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.12%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	143	2	0	0	6	11	5	2	8	0	0	2	2	15	1	3	4	0	1	1	4	0	2	1	11	10	6	8	13	12	13					
		1.52%	0.98%	0.0%	0.0%	3.82%	2.40%	6.84%	2.85%	2.07%	0.0%	0.0%	1.27%	4.0%	2.53%	0.60%	1.07%	3.77%	0.0%	0.46%	1.78%	2.16%	0.0%	0.64%	0.52%	1.33%	1.57%	0.90%	1.29%	1.93%	1.43%	1.59%					
30	"13. ""Демократическая партия России"""	17	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	4	4	1	3	0	1	0					
		0.18%	0.0%	0.88%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.48%	0.63%	0.15%	0.48%	0.0%	0.11%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	27	0	0	0	3	1	1	1	0	1	1	0	1	2	0	2	0	1	2	0	0	1	0	0	0	4	0	3	0	2	1					
		0.28%	0.0%	0.0%	0.0%	1.91%	0.21%	1.36%	1.42%	0.0%	1.29%	0.60%	0.0%	2.0%	0.33%	0.0%	0.71%	0.0%	0.61%	0.92%	0.0%	0.0%	1.25%	0.0%	0.0%	0.0%	0.63%	0.0%	0.48%	0.0%	0.23%	0.12%					
32	"15. ""Партия СЛОН"""	17	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	1	0	0	0	1	3	2	2	2	0	1					
		0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.91%	0.0%	0.0%	0.0%	0.0%	0.0%	0.61%	0.0%	1.78%	0.54%	0.0%	0.0%	0.0%	0.12%	0.47%	0.30%	0.32%	0.29%	0.0%	0.12%					
33	"16. ""Родина"" (народно-патриотический союз)"""	746	10	0	13	12	33	2	5	27	2	3	9	2	53	7	18	3	10	10	2	8	0	17	10	87	57	63	68	77	67	71					
		7.96%	4.90%	0.0%	22.03%	7.64%	7.22%	2.73%	7.14%	7.01%	2.59%	1.82%	5.73%	4.0%	8.95%	4.24%	6.47%	2.83%	6.13%	4.60%	3.57%	4.32%	0.0%	5.51%	5.26%	10.58%	9.00%	9.48%	10.96%	11.44%	8.01%	8.69%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	29	3	0	0	1	2	0	0	3	0	2	0	1	2	0	0	0	0	2	1	1	0	0	2	0	2	2	1	1	1	2					
		0.30%	1.47%	0.0%	0.0%	0.63%	0.43%	0.0%	0.0%	0.77%	0.0%	1.21%	0.0%	2.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.92%	1.78%	0.54%	0.0%	0.0%	1.05%	0.0%	0.31%	0.30%	0.16%	0.14%	0.11%	0.24%					
35	"18. ""ЛДПР"""	1313	30	23	4	13	64	7	6	59	10	49	24	8	81	25	64	13	30	45	5	33	13	43	43	123	81	87	73	51	119	87					
		14.01%	14.70%	20.35%	6.77%	8.28%	14.00%	9.58%	8.57%	15.32%	12.98%	29.87%	15.28%	16.0%	13.68%	15.15%	23.02%	12.26%	18.40%	20.73%	8.92%	17.83%	16.25%	13.96%	22.63%	14.96%	12.79%	13.10%	11.77%	7.57%	14.23%	10.64%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	273	6	2	0	3	18	0	2	11	1	2	2	0	15	1	6	2	4	12	2	9	2	0	2	28	23	24	27	17	29	23					
		2.91%	2.94%	1.76%	0.0%	1.91%	3.93%	0.0%	2.85%	2.85%	1.29%	1.21%	1.27%	0.0%	2.53%	0.60%	2.15%	1.88%	2.45%	5.52%	3.57%	4.86%	2.5%	0.0%	1.05%	3.40%	3.63%	3.61%	4.35%	2.52%	3.46%	2.81%					
37	"20. ""Политическая партия ""Единая Россия"""	3253	59	31	18	58	187	25	27	102	38	41	37	10	202	83	106	44	53	74	11	72	40	107	58	276	212	201	259	281	295	246					
		34.71%	28.92%	27.43%	30.50%	36.94%	40.91%	34.24%	38.57%	26.49%	49.35%	24.99%	23.56%	20.0%	34.12%	50.30%	38.12%	41.50%	32.51%	34.10%	19.64%	38.91%	50.0%	34.74%	30.52%	33.57%	33.49%	30.27%	41.77%	41.75%	35.28%	30.11%					
38	"21. ""Российская Конституционно-демократическая партия"""	28	0	1	0	3	0	2	2	4	0	1	1	0	2	0	0	1	0	0	0	0	0	2	0	2	2	0	3	0	1	1					
		0.29%	0.0%	0.88%	0.0%	1.91%	0.0%	2.73%	2.85%	1.03%	0.0%	0.60%	0.63%	0.0%	0.33%	0.0%	0.0%	0.94%	0.0%	0.0%	0.0%	0.0%	0.0%	0.64%	0.0%	0.24%	0.31%	0.0%	0.48%	0.0%	0.11%	0.12%					
39	"22. ""Развитие предпринимательства"""	15	1	0	0	0	2	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	4					
		0.16%	0.49%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.25%	0.0%	0.60%	0.63%	2.0%	0.0%	0.0%	0.0%	0.94%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.15%	0.15%	0.0%	0.0%	0.0%	0.48%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1353	22	15	5	15	43	14	8	97	10	15	22	4	88	13	25	4	11	17	7	17	6	49	46	112	99	93	59	111	131	195					
		14.43%	10.78%	13.27%	8.47%	9.55%	9.40%	19.17%	11.42%	25.19%	12.98%	9.14%	14.01%	8.0%	14.86%	7.87%	8.99%	3.77%	6.74%	7.83%	12.49%	9.18%	7.5%	15.90%	24.21%	13.62%	15.63%	14.00%	9.51%	16.49%	15.66%	23.86%					
																																					
41	Против всех	450	8	4	3	8	22	5	4	26	3	11	7	1	22	5	14	6	1	4	1	5	9	7	5	33	25	46	23	19	66	57					
		4.80%	3.92%	3.53%	5.08%	5.09%	4.81%	6.84%	5.71%	6.75%	3.89%	6.70%	4.45%	2.0%	3.71%	3.03%	5.03%	5.66%	0.61%	1.84%	1.78%	2.70%	11.25%	2.27%	2.63%	4.01%	3.94%	6.92%	3.70%	2.82%	7.89%	6.97%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
