Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																			
Дата голосования: 07.12.2003 0:00:00																																			
																																			
Наименование Избирательной комиссии:    Тихорецкая городская																																			
																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																			
																																			
		Сумма	УИК  5201	УИК  5202	УИК  5203	УИК  5204	УИК  5205	УИК  5206	УИК  5207	УИК  5208	УИК  5209	УИК  5210	УИК  5211	УИК  5212	УИК  5213	УИК  5214	УИК  5215	УИК  5216	УИК  5217	УИК  5218	УИК  5219	УИК  5220	УИК  5221	УИК  5222	УИК  5223	УИК  5224	УИК  5225	УИК  5226	УИК  5227	УИК  5228					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	846	28	24	37	51	42	39	48	62	31	33	35	27	20	24	18	50	30	23	23	27	18	46	33	13	15	2	18	29					
		3.31%	2.53%	2.67%	3.33%	4.25%	3.50%	3.66%	3.88%	5.11%	2.76%	3.16%	4.33%	2.92%	1.86%	3.10%	2.54%	4.26%	3.83%	2.95%	3.01%	3.16%	1.90%	4.80%	2.41%	3.22%	2.34%	1.41%	3.11%	4.48%					
22	"5. ""За Русь Святую"""	132	6	3	7	4	1	5	10	10	4	7	9	4	9	8	3	8	1	7	3	3	2	4	5	0	4	1	1	3					
		0.51%	0.54%	0.33%	0.63%	0.33%	0.08%	0.46%	0.81%	0.82%	0.35%	0.67%	1.11%	0.43%	0.83%	1.03%	0.42%	0.68%	0.12%	0.89%	0.39%	0.35%	0.21%	0.41%	0.36%	0.0%	0.62%	0.70%	0.17%	0.46%					
23	"6. ""Объединенная Российская партия ""Русь"""	53	3	0	1	1	2	1	0	2	2	2	2	3	2	1	0	1	1	2	2	2	1	7	4	5	4	0	2	0					
		0.20%	0.27%	0.0%	0.09%	0.08%	0.16%	0.09%	0.0%	0.16%	0.17%	0.19%	0.24%	0.32%	0.18%	0.12%	0.0%	0.08%	0.12%	0.25%	0.26%	0.23%	0.10%	0.73%	0.29%	1.24%	0.62%	0.0%	0.34%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	188	19	5	10	10	4	7	4	9	11	9	4	6	6	6	6	2	6	6	4	6	6	6	11	6	3	4	7	5					
		0.73%	1.71%	0.55%	0.90%	0.83%	0.33%	0.65%	0.32%	0.74%	0.98%	0.86%	0.49%	0.64%	0.55%	0.77%	0.84%	0.17%	0.76%	0.77%	0.52%	0.70%	0.63%	0.62%	0.80%	1.48%	0.46%	2.83%	1.21%	0.77%					
25	"8. ""Народно-республиканская партия России"""	31	0	1	1	2	5	3	0	3	0	1	1	1	0	1	2	1	0	1	0	1	0	4	1	0	0	0	2	0					
		0.12%	0.0%	0.11%	0.09%	0.16%	0.41%	0.28%	0.0%	0.24%	0.0%	0.09%	0.12%	0.10%	0.0%	0.12%	0.28%	0.08%	0.0%	0.12%	0.0%	0.11%	0.0%	0.41%	0.07%	0.0%	0.0%	0.0%	0.34%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	58	3	2	3	5	1	0	2	4	2	5	0	4	2	2	4	2	2	2	3	0	3	2	0	0	4	0	1	0					
		0.22%	0.27%	0.22%	0.27%	0.41%	0.08%	0.0%	0.16%	0.32%	0.17%	0.47%	0.0%	0.43%	0.18%	0.25%	0.56%	0.17%	0.25%	0.25%	0.39%	0.0%	0.31%	0.20%	0.0%	0.0%	0.62%	0.0%	0.17%	0.0%					
27	"10. ""Аграрная партия России"""	616	27	32	30	37	25	26	35	19	29	23	16	13	19	20	19	26	25	18	20	17	25	18	23	15	27	6	11	15					
		2.41%	2.44%	3.56%	2.70%	3.08%	2.08%	2.44%	2.83%	1.56%	2.58%	2.20%	1.98%	1.40%	1.77%	2.59%	2.68%	2.22%	3.19%	2.31%	2.62%	1.99%	2.64%	1.88%	1.68%	3.72%	4.21%	4.25%	1.90%	2.31%					
28	"11. ""Истинные патриоты России"""	12	3	1	0	0	0	0	0	0	0	0	0	0	0	3	0	3	1	0	0	0	0	1	0	0	0	0	0	0					
		0.04%	0.27%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.25%	0.12%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	255	15	5	11	8	19	12	14	13	9	18	9	5	4	6	9	18	4	8	8	1	7	10	14	9	7	1	3	8					
		1.00%	1.35%	0.55%	0.99%	0.66%	1.58%	1.12%	1.13%	1.07%	0.80%	1.72%	1.11%	0.54%	0.37%	0.77%	1.27%	1.53%	0.51%	1.02%	1.04%	0.11%	0.74%	1.04%	1.02%	2.23%	1.09%	0.70%	0.51%	1.23%					
30	"13. ""Демократическая партия России"""	49	0	1	0	3	1	2	3	2	0	3	2	1	2	1	1	1	4	3	2	4	4	2	5	0	0	0	1	1					
		0.19%	0.0%	0.11%	0.0%	0.25%	0.08%	0.18%	0.24%	0.16%	0.0%	0.28%	0.24%	0.10%	0.18%	0.12%	0.14%	0.08%	0.51%	0.38%	0.26%	0.46%	0.42%	0.20%	0.36%	0.0%	0.0%	0.0%	0.17%	0.15%					
31	"14. ""Великая Россия - Евразийский Союз"""	33	0	1	2	2	0	2	1	2	3	0	2	0	1	0	1	2	1	3	0	0	2	2	2	0	2	0	2	0					
		0.12%	0.0%	0.11%	0.18%	0.16%	0.0%	0.18%	0.08%	0.16%	0.26%	0.0%	0.24%	0.0%	0.09%	0.0%	0.14%	0.17%	0.12%	0.38%	0.0%	0.0%	0.21%	0.20%	0.14%	0.0%	0.31%	0.0%	0.34%	0.0%					
32	"15. ""Партия СЛОН"""	19	0	0	0	1	0	1	3	2	1	3	0	0	0	1	0	0	1	1	0	1	0	0	4	0	0	0	0	0					
		0.07%	0.0%	0.0%	0.0%	0.08%	0.0%	0.09%	0.24%	0.16%	0.08%	0.28%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.12%	0.12%	0.0%	0.11%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	2438	110	78	112	104	128	118	143	124	108	115	78	92	85	57	77	124	78	74	53	62	72	88	186	27	26	15	54	50					
		9.56%	9.94%	8.68%	10.08%	8.67%	10.68%	11.07%	11.58%	10.22%	9.64%	11.03%	9.65%	9.95%	7.92%	7.38%	10.87%	10.58%	9.96%	9.49%	6.94%	7.27%	7.62%	9.19%	13.59%	6.69%	4.05%	10.63%	9.35%	7.72%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	38	2	1	2	2	0	0	3	1	0	1	1	0	3	1	1	0	2	2	1	2	3	0	2	1	4	1	2	0					
		0.14%	0.18%	0.11%	0.18%	0.16%	0.0%	0.0%	0.24%	0.08%	0.0%	0.09%	0.12%	0.0%	0.27%	0.12%	0.14%	0.0%	0.25%	0.25%	0.13%	0.23%	0.31%	0.0%	0.14%	0.24%	0.62%	0.70%	0.34%	0.0%					
35	"18. ""ЛДПР"""	3733	136	118	136	165	129	168	194	172	160	122	106	131	159	126	99	150	124	137	130	130	164	182	235	61	109	21	70	99					
		14.64%	12.29%	13.14%	12.24%	13.76%	10.76%	15.77%	15.72%	14.17%	14.28%	11.70%	13.11%	14.17%	14.83%	16.32%	13.98%	12.80%	15.83%	17.58%	17.03%	15.25%	17.37%	19.01%	17.17%	15.13%	17.00%	14.89%	12.13%	15.30%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	307	11	11	13	19	18	15	8	12	11	8	5	13	20	7	5	24	7	14	12	16	10	4	11	7	10	3	4	9					
		1.20%	0.99%	1.22%	1.17%	1.58%	1.50%	1.40%	0.64%	0.98%	0.98%	0.76%	0.61%	1.40%	1.86%	0.90%	0.70%	2.04%	0.89%	1.79%	1.57%	1.87%	1.05%	0.41%	0.80%	1.73%	1.56%	2.12%	0.69%	1.39%					
37	"20. ""Политическая партия ""Единая Россия"""	8951	402	354	398	393	434	378	420	426	438	342	291	388	380	259	209	408	282	274	268	288	308	324	439	120	245	45	226	212					
		35.10%	36.34%	39.42%	35.82%	32.77%	36.22%	35.49%	34.03%	35.11%	39.10%	32.82%	36.01%	41.99%	35.44%	33.54%	29.51%	34.84%	36.01%	35.17%	35.12%	33.80%	32.62%	33.85%	32.09%	29.77%	38.22%	31.91%	39.16%	32.76%					
38	"21. ""Российская Конституционно-демократическая партия"""	37	1	1	1	1	1	0	0	2	2	1	3	1	0	6	0	1	2	0	0	3	2	2	3	0	1	0	1	2					
		0.14%	0.09%	0.11%	0.09%	0.08%	0.08%	0.0%	0.0%	0.16%	0.17%	0.09%	0.37%	0.10%	0.0%	0.77%	0.0%	0.08%	0.25%	0.0%	0.0%	0.35%	0.21%	0.20%	0.21%	0.0%	0.15%	0.0%	0.17%	0.30%					
39	"22. ""Развитие предпринимательства"""	63	3	2	3	5	1	0	1	2	4	2	5	2	1	3	1	4	3	4	2	0	3	0	5	1	2	0	3	1					
		0.24%	0.27%	0.22%	0.27%	0.41%	0.08%	0.0%	0.08%	0.16%	0.35%	0.19%	0.61%	0.21%	0.09%	0.38%	0.14%	0.34%	0.38%	0.51%	0.26%	0.0%	0.31%	0.0%	0.36%	0.24%	0.31%	0.0%	0.51%	0.15%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	5174	213	192	238	242	300	167	202	222	193	232	177	164	273	173	196	252	139	153	154	220	228	168	211	102	74	30	116	143					
		20.29%	19.25%	21.38%	21.42%	20.18%	25.04%	15.68%	16.36%	18.30%	17.23%	22.26%	21.90%	17.74%	25.46%	22.40%	27.68%	21.52%	17.75%	19.64%	20.18%	25.82%	24.15%	17.55%	15.42%	25.31%	11.54%	21.27%	20.10%	22.10%					
																																			
41	Против всех	1218	67	28	48	72	47	54	79	63	49	36	28	35	35	25	36	45	41	22	38	37	45	42	108	17	55	5	29	32					
		4.77%	6.05%	3.11%	4.32%	6.00%	3.92%	5.07%	6.40%	5.19%	4.37%	3.45%	3.46%	3.78%	3.26%	3.23%	5.08%	3.84%	5.23%	2.82%	4.98%	4.34%	4.76%	4.38%	7.89%	4.21%	8.58%	3.54%	5.02%	4.94%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
