Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    ТИК г. Дятьково и Дятьковского района																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК  327	УИК  328	УИК  329	УИК  330	УИК  331	УИК  332	УИК  333	УИК  334	УИК  335	УИК  336	УИК  337	УИК  338	УИК  339	УИК  340	УИК  341	УИК  342	УИК  343	УИК  344	УИК  345	УИК  346	УИК  347	УИК  348	УИК  349	УИК  350	УИК  351	УИК  352	УИК  353	УИК  354	УИК  355	УИК  356	УИК  357	УИК  358	УИК  359	УИК  360	УИК  361	УИК  362	УИК  363	УИК  364	УИК  365	УИК  366	УИК  367	УИК  368					
15	"Число открепительных удостоверений, выданных в ТИК"	3	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																	
18	. Глазьев Сергей Юрьевич	1363	54	66	34	25	73	82	45	22	80	59	70	87	6	23	21	34	27	34	43	37	25	6	19	0	14	4	0	1	2	33	0	1	1	9	0	18	0	55	26	47	76	104					
		4.10%	4.08%	5.11%	4.50%	3.75%	4.78%	5.37%	4.82%	5.24%	5.90%	5.59%	4.42%	5.54%	3.39%	2.54%	2.36%	2.97%	2.21%	3.32%	3.89%	3.73%	2.27%	2.76%	2.97%	0.00%	1.63%	3.31%	0.00%	0.81%	1.59%	4.77%	0.00%	1.32%	1.14%	3.24%	0.00%	7.32%	0.00%	4.10%	3.16%	4.22%	5.40%	5.17%					
19	. Малышкин Олег Александрович	715	24	20	20	19	32	28	19	5	32	25	27	31	1	13	16	22	28	22	28	27	40	4	14	1	17	2	1	3	4	17	0	4	2	12	1	1	1	27	24	27	28	46					
		2.15%	1.81%	1.55%	2.65%	2.85%	2.09%	1.83%	2.03%	1.19%	2.36%	2.37%	1.71%	1.98%	0.56%	1.43%	1.80%	1.92%	2.30%	2.15%	2.53%	2.72%	3.63%	1.84%	2.19%	1.00%	1.98%	1.65%	1.39%	2.44%	3.17%	2.46%	0.00%	5.26%	2.27%	4.32%	1.72%	0.41%	0.41%	2.01%	2.91%	2.42%	1.99%	2.29%					
20	. Миронов Сергей Михайлович	305	15	12	2	3	10	10	8	2	13	14	19	18	0	10	15	12	6	11	16	6	8	1	7	1	11	0	1	1	1	4	2	0	0	4	1	0	3	12	8	11	10	17					
		0.92%	1.13%	0.93%	0.26%	0.45%	0.65%	0.66%	0.86%	0.48%	0.96%	1.33%	1.20%	1.15%	0.00%	1.10%	1.69%	1.05%	0.49%	1.08%	1.45%	0.60%	0.73%	0.46%	1.10%	1.00%	1.28%	0.00%	1.39%	0.81%	0.79%	0.58%	2.94%	0.00%	0.00%	1.44%	1.72%	0.00%	1.23%	0.90%	0.97%	0.99%	0.71%	0.85%					
21	. Путин Владимир Владимирович	21232	791	737	491	420	950	889	598	268	810	610	981	915	130	579	590	822	868	622	714	643	755	101	459	82	569	99	61	91	92	433	51	61	38	164	42	152	210	835	525	727	924	1333					
		63.82%	59.79%	57.09%	65.03%	63.06%	62.17%	58.26%	64.03%	63.81%	59.73%	57.82%	62.01%	58.32%	73.45%	63.84%	66.44%	71.73%	71.21%	60.80%	64.62%	64.82%	68.51%	46.54%	71.83%	82.00%	66.16%	81.82%	84.72%	73.98%	73.02%	62.57%	75.00%	80.26%	43.18%	58.99%	72.41%	61.79%	86.07%	62.31%	63.71%	65.20%	65.62%	66.32%					
22	. Хакамада Ирина Муцуовна	778	48	42	9	11	41	39	31	11	48	19	42	76	2	17	9	27	27	27	13	15	19	4	8	0	20	2	0	0	0	15	1	1	0	3	1	2	4	26	12	14	36	56					
		2.34%	3.63%	3.25%	1.19%	1.65%	2.68%	2.56%	3.32%	2.62%	3.54%	1.80%	2.65%	4.84%	1.13%	1.87%	1.01%	2.36%	2.21%	2.64%	1.18%	1.51%	1.72%	1.84%	1.25%	0.00%	2.33%	1.65%	0.00%	0.00%	0.00%	2.17%	1.47%	1.32%	0.00%	1.08%	1.72%	0.81%	1.64%	1.94%	1.46%	1.26%	2.56%	2.79%					
23	. Харитонов Николай Михайлович	7549	338	373	177	163	358	394	195	98	312	280	377	362	31	236	212	190	227	267	246	211	210	86	99	10	183	7	7	22	23	155	14	8	44	77	12	69	21	354	189	256	260	396					
		22.69%	25.55%	28.89%	23.44%	24.47%	23.43%	25.82%	20.88%	23.33%	23.01%	26.54%	23.83%	23.07%	17.51%	26.02%	23.87%	16.58%	18.62%	26.10%	22.26%	21.27%	19.06%	39.63%	15.49%	10.00%	21.28%	5.79%	9.72%	17.89%	18.25%	22.40%	20.59%	10.53%	50.00%	27.70%	20.69%	28.05%	8.61%	26.42%	22.94%	22.96%	18.47%	19.70%					
																																																	
24	Против всех	1060	42	37	17	24	56	69	32	8	48	37	52	69	6	27	22	29	31	21	36	41	40	2	23	6	26	5	2	2	2	28	0	1	2	7	0	3	2	24	33	26	68	54					
		3.19%	3.17%	2.87%	2.25%	3.60%	3.66%	4.52%	3.43%	1.90%	3.54%	3.51%	3.29%	4.40%	3.39%	2.98%	2.48%	2.53%	2.54%	2.05%	3.26%	4.13%	3.63%	0.92%	3.60%	6.00%	3.02%	4.13%	2.78%	1.63%	1.59%	4.05%	0.00%	1.32%	2.27%	2.52%	0.00%	1.22%	0.82%	1.79%	4.00%	2.33%	4.83%	2.69%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
