Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																						
Дата голосования: 07.12.2003 0:00:00																						
																						
Наименование Избирательной комиссии:    Медынская																						
																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																						
																						
		Сумма	УИК  487	УИК  488	УИК  489	УИК  490	УИК  491	УИК  492	УИК  493	УИК  494	УИК  495	УИК  496	УИК  497	УИК  498	УИК  499	УИК  500	УИК  501					
		2.14%	1.94%	1.12%	1.91%	0.31%	4.06%	2.29%	2.38%	4.05%	5.17%	2.0%	0.0%	0.0%	1.15%	17.10%	3.50%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	121	49	19	0	5	3	13	5	1	3	11	4	0	3	2	3					
		2.21%	3.66%	1.52%	0.0%	1.56%	2.43%	3.72%	1.48%	0.67%	1.19%	3.14%	2.79%	0.0%	1.15%	2.63%	1.16%					
22	"5. ""За Русь Святую"""	36	2	6	4	0	0	3	2	0	5	6	3	0	1	0	4					
		0.65%	0.14%	0.48%	1.91%	0.0%	0.0%	0.85%	0.59%	0.0%	1.99%	1.71%	2.09%	0.0%	0.38%	0.0%	1.55%					
23	"6. ""Объединенная Российская партия ""Русь"""	17	2	3	0	0	0	1	0	1	1	0	0	0	3	2	4					
		0.31%	0.14%	0.24%	0.0%	0.0%	0.0%	0.28%	0.0%	0.67%	0.39%	0.0%	0.0%	0.0%	1.15%	2.63%	1.55%					
24	"7. ""Новый курс - Автомобильная Россия"""	30	13	8	0	0	0	0	5	0	2	1	0	0	0	1	0					
		0.54%	0.97%	0.64%	0.0%	0.0%	0.0%	0.0%	1.48%	0.0%	0.79%	0.28%	0.0%	0.0%	0.0%	1.31%	0.0%					
25	"8. ""Народно-республиканская партия России"""	5	2	0	0	0	0	1	0	0	0	0	0	0	1	1	0					
		0.09%	0.14%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	1.31%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	8	2	3	0	0	0	2	0	0	0	1	0	0	0	0	0					
		0.14%	0.14%	0.24%	0.0%	0.0%	0.0%	0.57%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	344	62	56	11	40	6	13	16	6	18	17	38	3	21	0	37					
		6.30%	4.63%	4.49%	5.26%	12.53%	4.87%	3.72%	4.76%	4.05%	7.17%	4.85%	26.57%	5.45%	8.10%	0.0%	14.39%					
28	"11. ""Истинные патриоты России"""	6	1	0	0	0	0	1	0	2	0	0	0	0	0	2	0					
		0.10%	0.07%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	1.35%	0.0%	0.0%	0.0%	0.0%	0.0%	2.63%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	48	4	7	0	3	2	15	1	2	1	5	1	0	2	3	2					
		0.87%	0.29%	0.56%	0.0%	0.94%	1.62%	4.29%	0.29%	1.35%	0.39%	1.42%	0.69%	0.0%	0.77%	3.94%	0.77%					
30	"13. ""Демократическая партия России"""	11	2	1	2	0	2	0	0	0	0	1	0	1	1	1	0					
		0.20%	0.14%	0.08%	0.95%	0.0%	1.62%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	1.81%	0.38%	1.31%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	13	4	2	1	0	1	0	0	0	1	1	0	0	1	2	0					
		0.23%	0.29%	0.16%	0.47%	0.0%	0.81%	0.0%	0.0%	0.0%	0.39%	0.28%	0.0%	0.0%	0.38%	2.63%	0.0%					
32	"15. ""Партия СЛОН"""	9	0	0	1	0	0	2	2	1	0	0	0	0	0	1	2					
		0.16%	0.0%	0.0%	0.47%	0.0%	0.0%	0.57%	0.59%	0.67%	0.0%	0.0%	0.0%	0.0%	0.0%	1.31%	0.77%					
33	"16. ""Родина"" (народно-патриотический союз)"""	408	108	104	11	14	8	34	17	2	21	43	19	0	13	1	13					
		7.47%	8.07%	8.34%	5.26%	4.38%	6.50%	9.74%	5.05%	1.35%	8.36%	12.28%	13.28%	0.0%	5.01%	1.31%	5.05%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	20	4	2	2	0	0	2	1	1	0	0	0	0	2	2	4					
		0.36%	0.29%	0.16%	0.95%	0.0%	0.0%	0.57%	0.29%	0.67%	0.0%	0.0%	0.0%	0.0%	0.77%	2.63%	1.55%					
35	"18. ""ЛДПР"""	650	160	164	41	22	16	30	37	17	37	44	17	11	31	6	17					
		11.90%	11.95%	13.16%	19.61%	6.89%	13.00%	8.59%	11.01%	11.48%	14.74%	12.57%	11.88%	20.0%	11.96%	7.89%	6.61%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	137	49	22	1	2	0	2	1	3	17	14	2	2	8	6	8					
		2.50%	3.66%	1.76%	0.47%	0.62%	0.0%	0.57%	0.29%	2.02%	6.77%	4.0%	1.39%	3.63%	3.08%	7.89%	3.11%					
37	"20. ""Политическая партия ""Единая Россия"""	2572	615	624	86	169	58	164	191	96	98	156	40	28	129	14	104					
		47.11%	45.96%	50.08%	41.14%	52.97%	47.15%	46.99%	56.84%	64.86%	39.04%	44.57%	27.97%	50.90%	49.80%	18.42%	40.46%					
38	"21. ""Российская Конституционно-демократическая партия"""	11	2	2	1	0	2	1	2	1	0	0	0	0	0	0	0					
		0.20%	0.14%	0.16%	0.47%	0.0%	1.62%	0.28%	0.59%	0.67%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	8	4	2	0	0	0	1	0	0	1	0	0	0	0	0	0					
		0.14%	0.29%	0.16%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	489	130	112	32	53	9	14	27	2	14	18	8	7	25	10	28					
		8.95%	9.71%	8.98%	15.31%	16.61%	7.31%	4.01%	8.03%	1.35%	5.57%	5.14%	5.59%	12.72%	9.65%	13.15%	10.89%					
																						
41	Против всех	187	44	46	4	5	4	20	13	3	4	14	8	3	5	2	12					
		3.42%	3.28%	3.69%	1.91%	1.56%	3.25%	5.73%	3.86%	2.02%	1.59%	4.0%	5.59%	5.45%	1.93%	2.63%	4.66%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
