Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																					
Дата голосования: 04.12.2011																																																																																					
																																																																																					
"Наименование Избирательной комиссии:    Чебоксары, Московская"																																																																																					
																																																																																					
Сводная таблица результатов выборов																																																																																					
																																																																																					
		Сумма	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2272	10	43	50	40	45	35	30	30	35	20	40	50	40	30	30	30	40	40	50	50	30	30	60	30	30	30	40	30	40	40	30	40	30	35	30	40	40	26	45	38	40	30	30	33	30	40	22	50	25	30	30	20	30	45	50	30	40	10	20	10	10	10	10	15	20	30	25	30	20	10	25	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2032	10	43	45	32	40	32	28	27	33	19	37	49	37	21	30	23	39	39	46	43	27	30	53	25	26	28	34	26	38	34	22	38	27	29	24	30	33	26	38	38	40	21	28	32	29	33	22	42	23	27	24	17	22	40	44	29	39	8	20	10	7	10	10	13	16	26	23	30	20	4	24	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2885	8	17	36	17	15	28	31	38	29	5	15	46	15	11	25	63	36	20	19	65	39	34	21	13	26	38	18	24	23	26	18	13	13	6	9	28	29	10	13	43	15	39	15	20	33	30	25	19	101	21	11	58	63	30	25	12	23	20	10	1	9	5	27	15	17	22	18	19	25	7	23	203	363	135	124	6	277	36					
14	Число погашенных неиспользованных открепительных удостоверений	240	0	0	5	8	5	3	2	3	2	1	3	1	3	9	0	7	1	1	4	7	3	0	7	5	4	2	6	4	2	6	8	2	3	6	6	10	7	0	7	0	0	9	2	1	1	7	0	8	2	3	6	3	8	5	6	1	1	2	0	0	3	0	0	2	4	4	2	0	0	6	1	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	37	0	0	2	2	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	2	0	1	1	0	1	0	1	0	1	0	0	0	2	2	2	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	2	1	1	0	0	0	3	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	20850	72	369	371	154	365	310	289	331	393	280	304	424	419	355	363	348	307	362	355	327	315	306	386	300	348	434	329	353	270	311	276	392	426	357	355	324	307	371	338	421	406	185	333	366	211	178	274	329	262	103	253	348	343	379	367	295	452	71	112	22	56	71	81	121	175	319	249	313	254	54	179	78	68	13	36	25	25	27					
		23.92%	19.51%	24.26%	22.48%	18.36%	25.89%	24.22%	21.08%	23.13%	25.60%	26.69%	24.32%	26.42%	27.84%	25.11%	25.84%	29.95%	23.98%	24.10%	22.67%	25.73%	24.23%	28.07%	24.34%	22.22%	24.80%	27.21%	22.04%	24.19%	19.93%	26.31%	26.59%	24.89%	26.26%	24.86%	24.33%	22.56%	21.73%	24.95%	25.74%	24.82%	24.61%	23.84%	26.22%	27.11%	21.71%	19.35%	23.74%	25.02%	21.53%	19.07%	24.47%	21.71%	21.15%	23.91%	24.66%	23.08%	26.36%	23.91%	21.41%	15.17%	27.45%	31.28%	32.27%	20.03%	23.62%	24.92%	25.41%	24.92%	21.15%	28.42%	22.83%	18.75%	10.16%	7.74%	10.14%	15.53%	6.81%	18.37%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	9886	18	179	187	86	131	158	169	183	160	111	145	175	148	200	166	114	129	154	179	101	189	104	173	153	173	199	187	209	176	129	115	169	191	166	181	126	160	211	140	235	183	76	133	137	101	103	120	145	119	76	133	180	174	131	166	134	166	49	88	21	25	24	20	84	91	165	131	169	149	19	102	19	41	17	34	62	10	10					
		11.34%	4.88%	11.77%	11.33%	10.25%	9.29%	12.34%	12.33%	12.79%	10.42%	10.58%	11.60%	10.90%	9.83%	14.14%	11.81%	9.81%	10.08%	10.25%	11.43%	7.95%	14.54%	9.54%	10.91%	11.33%	12.33%	12.48%	12.53%	14.32%	12.99%	10.91%	11.08%	10.73%	11.78%	11.56%	12.41%	8.77%	11.32%	14.19%	10.66%	13.86%	11.09%	9.79%	10.47%	10.15%	10.39%	11.20%	10.40%	11.03%	9.78%	14.07%	12.86%	11.23%	10.73%	8.26%	11.16%	10.49%	9.68%	16.50%	16.83%	14.48%	12.25%	10.57%	7.97%	13.91%	12.28%	12.89%	13.37%	13.46%	12.41%	10.00%	13.01%	4.57%	6.13%	10.12%	9.58%	38.51%	2.72%	6.80%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1265	4	26	25	12	32	15	21	16	17	19	22	15	18	20	21	17	11	21	23	18	20	14	23	21	19	19	22	26	21	11	13	16	25	20	20	14	18	24	14	32	29	13	26	18	18	8	16	13	18	9	17	28	22	33	32	29	25	5	14	0	5	4	4	6	11	11	7	13	19	5	16	9	4	0	7	1	4	1					
		1.45%	1.08%	1.71%	1.52%	1.43%	2.27%	1.17%	1.53%	1.12%	1.11%	1.81%	1.76%	0.93%	1.20%	1.41%	1.49%	1.46%	0.86%	1.40%	1.47%	1.42%	1.54%	1.28%	1.45%	1.56%	1.35%	1.19%	1.47%	1.78%	1.55%	0.93%	1.25%	1.02%	1.54%	1.39%	1.37%	0.97%	1.27%	1.61%	1.07%	1.89%	1.76%	1.68%	2.05%	1.33%	1.85%	0.87%	1.39%	0.99%	1.48%	1.67%	1.64%	1.75%	1.36%	2.08%	2.15%	2.27%	1.46%	1.68%	2.68%	0.00%	2.45%	1.76%	1.59%	0.99%	1.48%	0.86%	0.71%	1.04%	1.58%	2.63%	2.04%	2.16%	0.60%	0.00%	1.97%	0.62%	1.09%	0.68%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	20565	92	371	441	194	394	324	364	362	376	275	301	393	376	314	358	294	345	432	439	310	317	247	359	326	339	350	310	329	308	309	255	398	383	339	359	365	376	334	309	406	411	169	320	337	227	158	272	279	227	100	228	377	310	482	373	341	404	58	79	23	34	20	50	148	167	263	223	265	303	46	156	81	57	19	34	10	23	18					
		23.60%	24.93%	24.39%	26.73%	23.12%	27.94%	25.31%	26.55%	25.30%	24.50%	26.22%	24.08%	24.49%	24.98%	22.21%	25.48%	25.30%	26.95%	28.76%	28.03%	24.39%	24.38%	22.66%	22.64%	24.15%	24.16%	21.94%	20.76%	22.55%	22.73%	26.14%	24.57%	25.27%	23.61%	23.61%	24.61%	25.42%	26.61%	22.46%	23.53%	23.94%	24.91%	21.78%	25.20%	24.96%	23.35%	17.17%	23.57%	21.22%	18.65%	18.52%	22.05%	23.52%	19.11%	30.41%	25.07%	26.68%	23.56%	19.53%	15.11%	15.86%	16.67%	8.81%	19.92%	24.50%	22.54%	20.55%	22.76%	21.10%	25.23%	24.21%	19.90%	19.47%	8.52%	11.31%	9.58%	6.21%	6.27%	12.24%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2716	9	42	75	42	48	28	53	49	43	44	34	72	55	42	42	41	38	60	67	75	32	67	98	32	35	31	36	47	35	29	24	42	33	28	44	38	38	39	38	49	64	14	36	41	19	12	43	49	32	17	29	39	51	91	42	57	101	8	10	3	6	1	5	16	9	30	22	31	25	3	14	4	4	1	3	5	1	4					
		3.12%	2.44%	2.76%	4.55%	5.01%	3.40%	2.19%	3.87%	3.42%	2.80%	4.19%	2.72%	4.49%	3.65%	2.97%	2.99%	3.53%	2.97%	3.99%	4.28%	5.90%	2.46%	6.15%	6.18%	2.37%	2.49%	1.94%	2.41%	3.22%	2.58%	2.45%	2.31%	2.67%	2.03%	1.95%	3.02%	2.65%	2.69%	2.62%	2.89%	2.89%	3.88%	1.80%	2.83%	3.04%	1.95%	1.30%	3.73%	3.73%	2.63%	3.15%	2.80%	2.43%	3.14%	5.74%	2.82%	4.46%	5.89%	2.69%	1.91%	2.07%	2.94%	0.44%	1.99%	2.65%	1.21%	2.34%	2.24%	2.47%	2.08%	1.58%	1.79%	0.96%	0.60%	0.60%	0.85%	3.11%	0.27%	2.72%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	29397	156	498	503	340	410	406	437	450	497	290	395	493	437	442	426	310	412	437	471	406	390	336	504	457	455	514	574	456	518	364	321	507	511	484	449	502	474	463	454	517	521	282	383	414	371	441	397	444	532	218	334	539	697	437	466	392	531	101	202	68	67	93	89	216	259	457	315	416	419	60	300	215	482	115	234	48	297	79					
		33.73%	42.28%	32.74%	30.48%	40.52%	29.08%	31.72%	31.87%	31.45%	32.38%	27.65%	31.60%	30.72%	29.04%	31.26%	30.32%	26.68%	32.19%	29.09%	30.08%	31.94%	30.00%	30.83%	31.78%	33.85%	32.43%	32.23%	38.45%	31.25%	38.23%	30.80%	30.92%	32.19%	31.50%	33.70%	30.77%	34.96%	33.55%	31.14%	34.58%	30.48%	31.58%	36.34%	30.16%	30.67%	38.17%	47.93%	34.40%	33.76%	43.71%	40.37%	32.30%	33.62%	42.97%	27.57%	31.32%	30.67%	30.96%	34.01%	38.62%	46.90%	32.84%	40.97%	35.46%	35.76%	34.95%	35.70%	32.14%	33.12%	34.89%	31.58%	38.27%	51.68%	72.05%	68.45%	65.92%	29.81%	80.93%	53.74%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	468	0	6	15	5	11	8	14	8	4	6	9	7	8	4	1	3	12	8	4	16	6	11	16	8	3	9	6	5	7	4	5	6	13	5	11	11	10	9	2	9	6	3	6	10	5	2	5	5	7	3	5	13	7	8	7	10	19	1	3	1	2	2	1	3	6	2	4	6	2	0	0	4	3	1	0	0	1	0					
		0.54%	0.00%	0.39%	0.91%	0.60%	0.78%	0.63%	1.02%	0.56%	0.26%	0.57%	0.72%	0.44%	0.53%	0.28%	0.07%	0.26%	0.94%	0.53%	0.26%	1.26%	0.46%	1.01%	1.01%	0.59%	0.21%	0.56%	0.40%	0.34%	0.52%	0.34%	0.48%	0.38%	0.80%	0.35%	0.75%	0.77%	0.71%	0.61%	0.15%	0.53%	0.36%	0.39%	0.47%	0.74%	0.51%	0.22%	0.43%	0.38%	0.58%	0.56%	0.48%	0.81%	0.43%	0.50%	0.47%	0.78%	1.11%	0.34%	0.57%	0.69%	0.98%	0.88%	0.40%	0.50%	0.81%	0.16%	0.41%	0.48%	0.17%	0.00%	0.00%	0.96%	0.45%	0.60%	0.00%	0.00%	0.27%	0.00%					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
