Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																																
Дата голосования: 02.12.2007																																																																																																																
																																																																																																																
"Наименование Избирательной комиссии:    Саратов, Ленинская"																																																																																																																
																																																																																																																
Сводная таблица результатов выборов																																																																																																																
																																																																																																																
		Сумма	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	7038	150	30	60	60	60	60	60	60	35	60	35	30	60	60	90	90	90	90	90	60	0	60	60	60	60	60	60	40	60	90	90	0	60	70	90	68	90	90	60	60	60	60	90	30	60	58	62	60	80	60	90	100	90	100	60	90	60	60	70	90	90	60	60	60	60	90	40	60	60	60	60	60	60	60	90	60	30	60	90	60	60	60	60	60	30	60	60	150	180	90	60	90	60	60	86	64	60	60	90	60	60	70	60	60	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	6165	139	10	60	41	49	48	60	59	33	57	34	29	57	56	73	71	74	90	77	56	0	60	51	54	54	59	44	33	60	67	86	0	35	70	88	61	87	63	60	60	60	59	78	27	59	36	60	59	67	60	71	100	83	100	60	66	48	56	56	83	79	56	47	47	49	65	40	55	46	41	35	59	41	60	77	44	30	44	85	38	51	43	48	41	30	58	45	143	175	72	44	81	39	59	72	64	60	59	85	60	60	70	60	52	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	5008	124	12	346	26	10	12	19	49	48	45	47	16	14	30	61	30	41	47	23	13	581	24	108	78	14	26	86	10	39	23	27	135	14	87	24	22	29	19	17	15	18	16	11	35	16	19	16	18	13	31	16	16	16	20	16	20	8	11	14	5	18	9	18	8	10	9	23	11	12	11	13	27	5	5	21	12	15	19	18	14	26	11	18	9	10	9	13	17	19	98	374	532	436	19	10	14	30	13	57	37	211	13	11	15	2					
14	Число погашенных неиспользованных открепительных удостоверений	871	11	20	0	19	11	12	0	1	2	3	1	1	3	4	17	19	16	0	13	4	0	0	9	6	6	1	16	7	0	23	4	0	25	0	2	7	3	27	0	0	0	1	12	3	1	22	2	1	13	0	19	0	7	0	0	24	10	4	14	7	11	4	13	13	11	25	0	5	14	19	25	1	19	0	13	16	0	16	5	22	9	17	12	19	0	2	15	7	5	18	16	9	21	1	14	0	0	1	5	0	0	0	0	8	27					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	130	0	0	0	0	0	0	0	0	1	0	0	1	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																																
18	1.Политическая партия «Аграрная партия России»	2399	49	6	40	9	17	8	19	24	21	35	14	15	19	22	30	33	31	37	45	39	2	35	27	21	24	32	15	15	15	23	30	6	38	20	26	32	29	23	27	32	5	30	27	17	32	29	37	18	20	16	16	28	25	38	19	28	22	21	31	30	30	21	21	20	20	20	25	18	8	14	19	33	21	14	33	16	5	26	35	13	22	11	18	14	17	26	11	20	20	31	31	40	30	12	17	25	17	30	31	20	20	11	18	20	1					
		2.22%	4.18%	2.83%	2.78%	1.29%	2.79%	1.22%	2.00%	2.00%	2.17%	3.30%	1.77%	2.59%	1.62%	1.87%	2.67%	2.48%	2.50%	2.38%	3.24%	2.93%	0.34%	2.43%	2.78%	1.96%	2.20%	2.57%	1.85%	1.55%	1.42%	1.68%	2.01%	1.02%	4.02%	1.70%	2.06%	2.13%	2.41%	2.13%	2.97%	3.05%	0.68%	2.69%	2.02%	2.54%	2.17%	3.11%	3.58%	1.37%	1.71%	1.62%	1.39%	2.07%	1.97%	2.73%	1.76%	2.81%	2.83%	2.71%	2.90%	2.24%	2.37%	1.89%	3.95%	2.22%	2.28%	1.61%	2.19%	1.89%	1.47%	2.04%	2.55%	3.06%	1.87%	1.25%	2.65%	1.81%	0.78%	2.37%	2.36%	1.63%	2.47%	1.82%	2.43%	2.11%	2.76%	2.84%	2.00%	2.01%	1.94%	2.23%	2.19%	1.91%	2.51%	1.94%	1.78%	2.22%	1.62%	2.99%	2.31%	1.94%	1.56%	1.15%	2.39%	2.47%	0.63%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1182	16	3	17	7	11	6	17	13	16	22	19	7	17	21	14	25	17	28	10	15	1	14	13	8	16	15	11	10	4	17	20	2	14	8	11	10	11	10	10	3	8	9	20	8	7	8	8	16	14	14	5	17	15	17	16	10	5	7	14	8	24	14	1	8	12	9	14	12	2	4	8	5	9	12	13	8	1	7	11	7	13	5	6	5	6	6	5	11	10	15	14	36	12	8	15	15	11	7	9	14	11	14	6	11	1					
		1.09%	1.36%	1.42%	1.18%	1.00%	1.81%	0.91%	1.79%	1.08%	1.65%	2.07%	2.41%	1.21%	1.45%	1.78%	1.24%	1.88%	1.37%	1.80%	0.72%	1.13%	0.17%	0.97%	1.34%	0.75%	1.46%	1.21%	1.35%	1.03%	0.38%	1.24%	1.34%	0.34%	1.48%	0.68%	0.87%	0.67%	0.91%	0.92%	1.10%	0.29%	1.08%	0.81%	1.50%	1.19%	0.47%	0.86%	0.77%	1.22%	1.20%	1.42%	0.44%	1.26%	1.18%	1.22%	1.48%	1.00%	0.64%	0.90%	1.31%	0.60%	1.89%	1.26%	0.19%	0.89%	1.37%	0.72%	1.22%	1.26%	0.37%	0.58%	1.07%	0.46%	0.80%	1.07%	1.05%	0.90%	0.16%	0.64%	0.74%	0.88%	1.46%	0.83%	0.81%	0.75%	0.97%	0.66%	0.91%	1.10%	0.97%	1.08%	0.99%	1.72%	1.00%	1.29%	1.57%	1.33%	1.05%	0.70%	0.67%	1.36%	0.86%	1.46%	0.80%	1.36%	0.63%					
20	3.Политическая партия «Демократическая партия России»	165	1	3	1	2	2	0	1	9	0	1	3	0	2	1	0	2	2	1	3	3	0	1	2	7	2	4	1	2	2	2	1	0	2	2	0	4	2	2	2	1	3	2	5	1	5	1	2	3	2	0	1	2	1	3	1	1	1	1	2	1	4	1	0	2	2	3	1	1	0	0	1	1	0	0	1	1	1	4	2	0	1	2	1	1	3	1	1	0	0	3	2	3	1	1	1	0	2	0	1	1	0	0	1	0	0					
		0.15%	0.09%	1.42%	0.07%	0.29%	0.33%	0.00%	0.11%	0.75%	0.00%	0.09%	0.38%	0.00%	0.17%	0.08%	0.00%	0.15%	0.16%	0.06%	0.22%	0.23%	0.00%	0.07%	0.21%	0.65%	0.18%	0.32%	0.12%	0.21%	0.19%	0.15%	0.07%	0.00%	0.21%	0.17%	0.00%	0.27%	0.17%	0.18%	0.22%	0.10%	0.41%	0.18%	0.37%	0.15%	0.34%	0.11%	0.19%	0.23%	0.17%	0.00%	0.09%	0.15%	0.08%	0.22%	0.09%	0.10%	0.13%	0.13%	0.19%	0.07%	0.32%	0.09%	0.00%	0.22%	0.23%	0.24%	0.09%	0.11%	0.00%	0.00%	0.13%	0.09%	0.00%	0.00%	0.08%	0.11%	0.16%	0.36%	0.13%	0.00%	0.11%	0.33%	0.13%	0.15%	0.49%	0.11%	0.18%	0.00%	0.00%	0.22%	0.14%	0.14%	0.08%	0.16%	0.10%	0.00%	0.19%	0.00%	0.07%	0.10%	0.00%	0.00%	0.13%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	17138	177	25	122	135	135	121	197	172	173	155	141	90	227	186	185	222	199	241	251	214	17	233	141	132	181	261	145	137	228	264	237	31	144	186	200	247	188	203	151	206	131	182	212	89	274	150	227	241	167	148	185	185	257	215	171	153	136	141	169	216	191	168	89	161	116	117	145	97	107	131	158	216	198	175	186	105	76	125	211	138	148	126	141	123	107	166	77	159	149	200	215	268	177	94	159	154	164	184	174	153	158	138	129	98	18					
		15.85%	15.09%	11.79%	8.48%	19.31%	22.17%	18.42%	20.78%	14.35%	17.89%	14.60%	17.87%	15.54%	19.34%	15.78%	16.44%	16.65%	16.05%	15.50%	18.04%	16.07%	2.88%	16.16%	14.52%	12.32%	16.56%	20.99%	17.86%	14.12%	21.65%	19.27%	15.88%	5.28%	15.24%	15.83%	15.85%	16.47%	15.60%	18.76%	16.63%	19.66%	17.75%	16.32%	15.88%	13.28%	18.59%	16.11%	21.95%	18.34%	14.31%	15.03%	16.13%	13.67%	20.27%	15.46%	15.80%	15.33%	17.50%	18.22%	15.81%	16.11%	15.06%	15.09%	16.76%	17.87%	13.24%	9.39%	12.67%	10.20%	19.63%	19.07%	21.21%	20.04%	17.63%	15.67%	14.96%	11.88%	11.93%	11.37%	14.20%	17.25%	16.61%	20.83%	19.00%	18.50%	17.37%	18.14%	14.03%	15.95%	14.47%	14.40%	15.22%	12.83%	14.81%	15.19%	16.61%	13.65%	15.65%	18.31%	12.95%	14.84%	12.34%	14.38%	17.13%	12.08%	11.39%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	824	11	1	7	18	10	2	9	10	12	15	1	2	9	16	11	10	20	18	9	16	3	13	8	11	16	12	10	16	12	7	5	2	5	8	5	16	9	11	4	5	7	3	10	5	9	9	10	9	11	0	7	13	13	10	10	9	4	15	9	6	9	4	3	5	8	7	10	3	3	6	7	3	4	3	5	1	4	1	4	3	2	3	3	6	9	12	4	2	5	14	7	29	2	3	19	11	10	8	4	7	3	3	5	6	0					
		0.76%	0.94%	0.47%	0.49%	2.58%	1.64%	0.30%	0.95%	0.83%	1.24%	1.41%	0.13%	0.35%	0.77%	1.36%	0.98%	0.75%	1.61%	1.16%	0.65%	1.20%	0.51%	0.90%	0.82%	1.03%	1.46%	0.97%	1.23%	1.65%	1.14%	0.51%	0.34%	0.34%	0.53%	0.68%	0.40%	1.07%	0.75%	1.02%	0.44%	0.48%	0.95%	0.27%	0.75%	0.75%	0.61%	0.97%	0.97%	0.68%	0.94%	0.00%	0.61%	0.96%	1.03%	0.72%	0.92%	0.90%	0.51%	1.94%	0.84%	0.45%	0.71%	0.36%	0.56%	0.55%	0.91%	0.56%	0.87%	0.32%	0.55%	0.87%	0.94%	0.28%	0.36%	0.27%	0.40%	0.11%	0.63%	0.09%	0.27%	0.38%	0.22%	0.50%	0.40%	0.90%	1.46%	1.31%	0.73%	0.20%	0.49%	1.01%	0.50%	1.39%	0.17%	0.48%	1.99%	0.98%	0.95%	0.80%	0.30%	0.68%	0.23%	0.31%	0.66%	0.74%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	261	2	1	1	3	1	0	2	4	2	2	2	1	3	4	5	3	8	3	3	4	1	4	0	1	1	1	2	2	3	3	1	0	2	2	5	3	2	2	1	1	2	5	2	2	3	3	3	3	1	0	4	2	2	1	10	2	1	2	3	1	5	3	4	2	5	3	2	1	0	1	0	3	5	0	1	3	2	1	4	1	2	6	4	2	3	3	0	4	1	5	3	3	5	4	3	3	4	1	6	4	0	3	2	1	0					
		0.24%	0.17%	0.47%	0.07%	0.43%	0.16%	0.00%	0.21%	0.33%	0.21%	0.19%	0.25%	0.17%	0.26%	0.34%	0.44%	0.23%	0.65%	0.19%	0.22%	0.30%	0.17%	0.28%	0.00%	0.09%	0.09%	0.08%	0.25%	0.21%	0.28%	0.22%	0.07%	0.00%	0.21%	0.17%	0.40%	0.20%	0.17%	0.18%	0.11%	0.10%	0.27%	0.45%	0.15%	0.30%	0.20%	0.32%	0.29%	0.23%	0.09%	0.00%	0.35%	0.15%	0.16%	0.07%	0.92%	0.20%	0.13%	0.26%	0.28%	0.07%	0.39%	0.27%	0.75%	0.22%	0.57%	0.24%	0.17%	0.11%	0.00%	0.15%	0.00%	0.28%	0.45%	0.00%	0.08%	0.34%	0.31%	0.09%	0.27%	0.13%	0.22%	0.99%	0.54%	0.30%	0.49%	0.33%	0.00%	0.40%	0.10%	0.36%	0.21%	0.14%	0.42%	0.65%	0.31%	0.27%	0.38%	0.10%	0.45%	0.39%	0.00%	0.31%	0.27%	0.12%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	8189	80	7	139	51	42	51	75	97	66	63	51	49	81	95	84	81	97	107	99	93	15	88	68	92	105	87	62	65	75	91	107	5	67	77	100	100	90	81	78	72	46	89	110	63	124	41	64	103	104	76	101	116	112	95	100	87	67	48	77	111	87	94	33	62	51	116	93	82	35	41	40	94	78	90	103	93	42	71	147	63	81	40	48	34	45	65	62	48	105	111	132	171	96	71	75	95	76	64	89	65	97	76	76	61	24					
		7.57%	6.82%	3.30%	9.66%	7.30%	6.90%	7.76%	7.91%	8.09%	6.83%	5.93%	6.46%	8.46%	6.90%	8.06%	7.47%	6.08%	7.82%	6.88%	7.12%	6.98%	2.54%	6.10%	7.00%	8.59%	9.61%	6.99%	7.64%	6.70%	7.12%	6.64%	7.17%	0.85%	7.09%	6.55%	7.92%	6.67%	7.47%	7.49%	8.59%	6.87%	6.23%	7.98%	8.24%	9.40%	8.41%	4.40%	6.19%	7.84%	8.91%	7.72%	8.81%	8.57%	8.83%	6.83%	9.24%	8.72%	8.62%	6.20%	7.20%	8.28%	6.86%	8.45%	6.21%	6.88%	5.82%	9.31%	8.13%	8.62%	6.42%	5.97%	5.37%	8.72%	6.95%	8.06%	8.29%	10.52%	6.59%	6.46%	9.89%	7.88%	9.09%	6.61%	6.47%	5.11%	7.31%	7.10%	11.29%	4.81%	10.19%	7.99%	9.34%	8.19%	8.03%	11.47%	7.84%	8.42%	7.25%	6.37%	6.62%	6.30%	7.58%	7.92%	10.09%	7.52%	15.19%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	16352	156	15	118	109	104	94	127	181	162	134	122	70	212	188	183	271	191	270	250	227	29	241	169	171	199	220	157	201	176	266	278	31	160	162	217	228	217	205	133	136	115	150	236	85	242	120	162	152	161	147	153	187	193	211	137	114	123	129	167	220	150	156	87	163	163	189	148	190	78	114	115	167	228	177	214	72	83	176	155	88	130	80	123	106	100	137	77	156	151	192	207	274	143	72	110	173	135	158	247	133	165	126	126	119	15					
		15.13%	13.30%	7.08%	8.20%	15.59%	17.08%	14.31%	13.40%	15.10%	16.75%	12.62%	15.46%	12.09%	18.06%	15.95%	16.27%	20.33%	15.40%	17.36%	17.97%	17.04%	4.91%	16.71%	17.40%	15.97%	18.21%	17.70%	19.33%	20.72%	16.71%	19.42%	18.63%	5.28%	16.93%	13.79%	17.19%	15.20%	18.01%	18.95%	14.65%	12.98%	15.58%	13.45%	17.68%	12.69%	16.42%	12.89%	15.67%	11.57%	13.80%	14.92%	13.34%	13.82%	15.22%	15.17%	12.66%	11.42%	15.83%	16.67%	15.62%	16.41%	11.83%	14.02%	16.38%	18.09%	18.61%	15.17%	12.94%	19.98%	14.31%	16.59%	15.44%	15.49%	20.30%	15.85%	17.22%	8.14%	13.03%	16.01%	10.43%	11.00%	14.59%	13.22%	16.58%	15.94%	16.23%	14.97%	14.03%	15.65%	14.66%	13.82%	14.65%	13.12%	11.97%	11.63%	11.49%	15.34%	12.88%	15.72%	18.38%	12.90%	12.89%	13.13%	16.73%	14.67%	9.49%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	953	6	1	13	10	7	3	5	18	4	13	8	6	14	9	13	15	13	14	10	12	1	8	5	13	10	15	5	5	7	18	16	1	11	15	9	17	13	6	12	2	5	9	5	4	14	14	7	16	11	4	12	18	11	17	9	12	5	7	10	16	16	8	4	8	5	8	6	4	4	8	6	3	8	9	11	7	5	3	11	11	5	4	6	5	4	12	3	17	11	13	8	12	13	3	8	10	12	16	14	8	9	12	7	6	1					
		0.88%	0.51%	0.47%	0.90%	1.43%	1.15%	0.46%	0.53%	1.50%	0.41%	1.22%	1.01%	1.04%	1.19%	0.76%	1.16%	1.13%	1.05%	0.90%	0.72%	0.90%	0.17%	0.55%	0.51%	1.21%	0.91%	1.21%	0.62%	0.52%	0.66%	1.31%	1.07%	0.17%	1.16%	1.28%	0.71%	1.13%	1.08%	0.55%	1.32%	0.19%	0.68%	0.81%	0.37%	0.60%	0.95%	1.50%	0.68%	1.22%	0.94%	0.41%	1.05%	1.33%	0.87%	1.22%	0.83%	1.20%	0.64%	0.90%	0.94%	1.19%	1.26%	0.72%	0.75%	0.89%	0.57%	0.64%	0.52%	0.42%	0.73%	1.16%	0.81%	0.28%	0.71%	0.81%	0.88%	0.79%	0.78%	0.27%	0.74%	1.38%	0.56%	0.66%	0.81%	0.75%	0.65%	1.31%	0.55%	1.71%	1.07%	0.94%	0.57%	0.57%	1.09%	0.48%	0.84%	0.89%	1.15%	1.59%	1.04%	0.78%	0.70%	1.25%	0.93%	0.74%	0.63%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	55690	606	140	919	323	241	318	454	610	451	581	386	307	512	581	539	603	598	743	622	634	514	719	478	540	471	527	364	473	483	619	731	492	469	644	636	776	610	490	448	559	384	538	638	370	681	498	466	691	628	542	603	698	582	724	564	536	376	374	529	666	699	602	262	452	448	738	643	510	291	341	342	511	523	596	649	551	405	654	837	454	452	305	359	320	292	446	285	532	549	743	739	1173	656	331	515	600	566	508	724	590	749	540	350	462	97					
