Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																								
Дата голосования: 07.12.2003 0:00:00																																								
																																								
Наименование Избирательной комиссии:    Тацинская 																																								
																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																								
																																								
		Сумма	УИК  1212	УИК  1213	УИК  1214	УИК  1215	УИК  1216	УИК  1217	УИК  1218	УИК  1219	УИК  1220	УИК  1221	УИК  1222	УИК  1223	УИК  1224	УИК  1225	УИК  1226	УИК  1227	УИК  1228	УИК  1229	УИК  1230	УИК  1231	УИК  1233	УИК  1234	УИК  1235	УИК  1236	УИК  1237	УИК  1238	УИК  1239	УИК  1240	УИК  1241	УИК  1242	УИК  2450	УИК  2515	УИК  2575					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	714	38	30	29	34	43	15	42	34	25	94	77	4	7	3	16	42	18	8	13	9	6	0	14	7	10	9	10	8	9	10	37	12	1					
		3.76%	4.78%	3.30%	5.06%	5.32%	3.67%	3.69%	4.88%	3.42%	3.39%	6.88%	6.67%	1.24%	3.05%	1.62%	3.42%	4.59%	3.31%	2.59%	2.17%	1.27%	0.91%	0.0%	2.50%	2.20%	2.59%	3.02%	2.15%	2.62%	2.5%	2.18%	6.10%	3.32%	1.20%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	179	10	4	3	7	10	6	8	7	4	13	14	1	0	1	7	12	2	4	9	5	11	4	10	1	1	0	7	4	3	3	6	2	0					
		0.94%	1.25%	0.44%	0.52%	1.09%	0.85%	1.47%	0.93%	0.70%	0.54%	0.95%	1.21%	0.31%	0.0%	0.54%	1.49%	1.31%	0.36%	1.29%	1.50%	0.70%	1.67%	1.48%	1.78%	0.31%	0.25%	0.0%	1.50%	1.31%	0.83%	0.65%	0.99%	0.55%	0.0%					
22	"5. ""За Русь Святую"""	73	1	2	5	2	3	4	3	3	2	10	1	0	2	0	3	2	0	2	0	2	1	2	0	1	6	0	5	1	3	0	5	0	2					
		0.38%	0.12%	0.22%	0.87%	0.31%	0.25%	0.98%	0.34%	0.30%	0.27%	0.73%	0.08%	0.0%	0.87%	0.0%	0.64%	0.21%	0.0%	0.64%	0.0%	0.28%	0.15%	0.74%	0.0%	0.31%	1.55%	0.0%	1.07%	0.32%	0.83%	0.0%	0.82%	0.0%	2.40%					
23	"6. ""Объединенная Российская партия ""Русь"""	43	2	0	1	3	1	2	2	3	0	3	0	1	0	0	3	3	2	1	2	0	3	2	0	1	1	0	0	0	4	3	0	0	0					
		0.22%	0.25%	0.0%	0.17%	0.47%	0.08%	0.49%	0.23%	0.30%	0.0%	0.21%	0.0%	0.31%	0.0%	0.0%	0.64%	0.32%	0.36%	0.32%	0.33%	0.0%	0.45%	0.74%	0.0%	0.31%	0.25%	0.0%	0.0%	0.0%	1.11%	0.65%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	115	6	7	5	1	6	8	4	11	7	10	11	0	0	1	2	5	5	0	3	1	1	0	0	2	2	3	1	2	5	2	3	1	0					
		0.60%	0.75%	0.77%	0.87%	0.15%	0.51%	1.97%	0.46%	1.10%	0.94%	0.73%	0.95%	0.0%	0.0%	0.54%	0.42%	0.54%	0.92%	0.0%	0.50%	0.14%	0.15%	0.0%	0.0%	0.63%	0.51%	1.00%	0.21%	0.65%	1.38%	0.43%	0.49%	0.27%	0.0%					
25	"8. ""Народно-республиканская партия России"""	20	0	0	0	0	2	0	2	0	0	0	0	0	1	0	1	2	1	2	2	1	1	0	0	0	0	0	2	0	2	1	0	0	0					
		0.10%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%	0.0%	0.21%	0.21%	0.18%	0.64%	0.33%	0.14%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%	0.0%	0.55%	0.21%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	37	1	0	3	0	2	1	1	0	1	1	7	2	1	0	0	1	1	2	2	1	2	2	0	0	0	2	1	0	0	1	2	0	0					
		0.19%	0.12%	0.0%	0.52%	0.0%	0.17%	0.24%	0.11%	0.0%	0.13%	0.07%	0.60%	0.62%	0.43%	0.0%	0.0%	0.10%	0.18%	0.64%	0.33%	0.14%	0.30%	0.74%	0.0%	0.0%	0.0%	0.67%	0.21%	0.0%	0.0%	0.21%	0.33%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1085	19	24	24	35	35	27	35	21	14	16	31	48	14	8	18	32	56	22	68	59	146	35	40	31	22	44	41	25	32	36	17	8	2					
		5.71%	2.39%	2.64%	4.18%	5.48%	2.99%	6.65%	4.07%	2.11%	1.89%	1.17%	2.68%	14.95%	6.11%	4.32%	3.85%	3.50%	10.31%	7.14%	11.39%	8.34%	22.29%	13.01%	7.15%	9.77%	5.69%	14.76%	8.83%	8.19%	8.88%	7.87%	2.80%	2.21%	2.40%					
28	"11. ""Истинные патриоты России"""	39	0	2	0	0	2	4	2	2	1	1	1	2	0	0	0	1	0	0	0	0	0	1	0	4	1	1	1	0	2	11	0	0	0					
		0.20%	0.0%	0.22%	0.0%	0.0%	0.17%	0.98%	0.23%	0.20%	0.13%	0.07%	0.08%	0.62%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	1.26%	0.25%	0.33%	0.21%	0.0%	0.55%	2.40%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	152	7	8	4	4	7	4	6	6	3	13	11	0	1	4	8	10	7	2	1	4	2	2	0	1	4	4	6	2	7	2	2	9	1					
		0.80%	0.88%	0.88%	0.69%	0.62%	0.59%	0.98%	0.69%	0.60%	0.40%	0.95%	0.95%	0.0%	0.43%	2.16%	1.71%	1.09%	1.28%	0.64%	0.16%	0.56%	0.30%	0.74%	0.0%	0.31%	1.03%	1.34%	1.29%	0.65%	1.94%	0.43%	0.33%	2.49%	1.20%					
30	"13. ""Демократическая партия России"""	37	0	0	2	3	1	1	1	7	1	6	2	0	0	0	2	3	0	0	0	0	2	0	0	1	0	0	0	0	1	1	2	1	0					
		0.19%	0.0%	0.0%	0.34%	0.47%	0.08%	0.24%	0.11%	0.70%	0.13%	0.43%	0.17%	0.0%	0.0%	0.0%	0.42%	0.32%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.27%	0.21%	0.33%	0.27%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	25	2	0	0	0	1	0	1	1	2	1	1	0	2	2	0	1	1	2	2	1	0	0	0	0	1	0	0	1	0	1	0	0	2					
		0.13%	0.25%	0.0%	0.0%	0.0%	0.08%	0.0%	0.11%	0.10%	0.27%	0.07%	0.08%	0.0%	0.87%	1.08%	0.0%	0.10%	0.18%	0.64%	0.33%	0.14%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.32%	0.0%	0.21%	0.0%	0.0%	2.40%					
32	"15. ""Партия СЛОН"""	26	2	0	2	0	0	1	4	1	2	1	4	0	0	0	0	0	0	0	1	2	0	1	0	1	0	0	2	0	1	0	1	0	0					
		0.13%	0.25%	0.0%	0.34%	0.0%	0.0%	0.24%	0.46%	0.10%	0.27%	0.07%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.28%	0.0%	0.37%	0.0%	0.31%	0.0%	0.0%	0.43%	0.0%	0.27%	0.0%	0.16%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	984	30	41	17	50	80	23	63	83	61	78	61	10	9	5	17	47	16	18	28	7	30	11	27	11	14	6	26	17	23	15	47	9	4					
		5.18%	3.77%	4.52%	2.96%	7.83%	6.83%	5.66%	7.33%	8.35%	8.27%	5.71%	5.29%	3.11%	3.93%	2.70%	3.64%	5.14%	2.94%	5.84%	4.69%	0.99%	4.58%	4.08%	4.83%	3.47%	3.62%	2.01%	5.60%	5.57%	6.38%	3.28%	7.75%	2.49%	4.81%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	67	1	4	5	3	3	3	4	2	2	2	6	1	1	0	3	2	3	0	3	1	2	2	0	2	3	1	1	1	1	1	3	1	0					
		0.35%	0.12%	0.44%	0.87%	0.47%	0.25%	0.73%	0.46%	0.20%	0.27%	0.14%	0.52%	0.31%	0.43%	0.0%	0.64%	0.21%	0.55%	0.0%	0.50%	0.14%	0.30%	0.74%	0.0%	0.63%	0.77%	0.33%	0.21%	0.32%	0.27%	0.21%	0.49%	0.27%	0.0%					
35	"18. ""ЛДПР"""	2559	73	111	58	82	173	51	133	149	105	196	111	47	47	27	59	123	70	46	80	61	94	52	77	26	52	33	72	75	53	81	69	56	17					
		13.47%	9.19%	12.23%	10.12%	12.85%	14.78%	12.56%	15.48%	15.00%	14.24%	14.34%	9.62%	14.64%	20.52%	14.59%	12.63%	13.45%	12.89%	14.93%	13.40%	8.62%	14.35%	19.33%	13.77%	8.20%	13.47%	11.07%	15.51%	24.59%	14.72%	17.72%	11.38%	15.51%	20.48%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	401	26	14	17	18	35	12	16	23	11	30	26	11	7	3	9	18	9	9	3	7	7	0	10	8	10	5	8	8	10	8	12	10	1					
		2.11%	3.27%	1.54%	2.96%	2.82%	2.99%	2.95%	1.86%	2.31%	1.49%	2.19%	2.25%	3.42%	3.05%	1.62%	1.92%	1.96%	1.65%	2.92%	0.50%	0.99%	1.06%	0.0%	1.78%	2.52%	2.59%	1.67%	1.72%	2.62%	2.77%	1.75%	1.98%	2.77%	1.20%					
37	"20. ""Политическая партия ""Единая Россия"""	7496	406	410	185	216	420	142	248	331	208	588	376	96	101	107	183	326	260	76	241	485	238	98	272	168	196	91	191	119	122	182	235	140	39					
		39.47%	51.13%	45.20%	32.28%	33.85%	35.89%	34.97%	28.87%	33.33%	28.22%	43.04%	32.61%	29.90%	44.10%	57.83%	39.18%	35.66%	47.88%	24.67%	40.36%	68.59%	36.33%	36.43%	48.65%	52.99%	50.77%	30.53%	41.16%	39.01%	33.88%	39.82%	38.77%	38.78%	46.98%					
38	"21. ""Российская Конституционно-демократическая партия"""	50	1	2	0	2	1	1	2	2	1	4	2	2	3	0	4	0	0	0	1	0	1	1	7	1	1	5	1	2	1	1	1	0	0					
		0.26%	0.12%	0.22%	0.0%	0.31%	0.08%	0.24%	0.23%	0.20%	0.13%	0.29%	0.17%	0.62%	1.31%	0.0%	0.85%	0.0%	0.0%	0.0%	0.16%	0.0%	0.15%	0.37%	1.25%	0.31%	0.25%	1.67%	0.21%	0.65%	0.27%	0.21%	0.16%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	49	3	4	4	2	5	0	2	3	2	0	6	0	0	1	1	3	1	1	2	0	0	2	0	1	0	1	0	2	0	1	2	0	0					
		0.25%	0.37%	0.44%	0.69%	0.31%	0.42%	0.0%	0.23%	0.30%	0.27%	0.0%	0.52%	0.0%	0.0%	0.54%	0.21%	0.32%	0.18%	0.32%	0.33%	0.0%	0.0%	0.74%	0.0%	0.31%	0.0%	0.33%	0.0%	0.65%	0.0%	0.21%	0.33%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	3407	109	169	163	136	243	61	215	233	234	236	327	77	24	13	89	214	45	78	88	44	57	38	45	19	31	71	43	15	37	60	103	85	5					
		17.94%	13.72%	18.63%	28.44%	21.31%	20.76%	15.02%	25.02%	23.46%	31.75%	17.27%	28.36%	23.98%	10.48%	7.02%	19.05%	23.41%	8.28%	25.32%	14.74%	6.22%	8.70%	14.12%	8.05%	5.99%	8.03%	23.82%	9.26%	4.91%	10.27%	13.12%	16.99%	23.54%	6.02%					
																																								
41	Против всех	744	37	37	30	26	56	22	33	44	19	43	33	11	4	8	21	39	37	16	11	6	26	4	22	7	17	6	20	11	27	16	43	12	0					
		3.91%	4.65%	4.07%	5.23%	4.07%	4.78%	5.41%	3.84%	4.43%	2.57%	3.14%	2.86%	3.42%	1.74%	4.32%	4.49%	4.26%	6.81%	5.19%	1.84%	0.84%	3.96%	1.48%	3.93%	2.20%	4.40%	2.01%	4.31%	3.60%	7.5%	3.50%	7.09%	3.32%	0.0%					
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
