Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
"Наименование Избирательной комиссии:    Набережные Челны, Комсомольская"																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2824	УИК №2825	УИК №2826									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2086	40	40	40	40	40	50	50	55	50	40	40	40	40	40	40	60	40	50	40	40	45	40	40	40	40	50	95	40	50	40	40	40	40	40	40	40	55	55	40	40	40	40	50	40	51	40	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1832	38	29	29	36	38	37	50	48	50	33	31	40	40	40	40	57	40	48	28	40	42	40	30	27	36	48	95	39	47	28	40	26	27	40	37	27	52	42	40	35	38	31	46	40	44	25	18									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	384	8	3	3	5	17	15	15	5	15	5	10	3	5	15	11	14	7	5	7	6	19	0	5	1	4	9	12	5	4	5	20	9	2	2	7	3	8	6	7	11	4	14	14	6	16	12	5									
14	Число погашенных неиспользованных открепительных удостоверений	254	2	11	11	4	2	13	0	7	0	7	9	0	0	0	0	3	0	2	12	0	3	0	10	13	4	2	0	1	3	12	0	14	13	0	3	13	3	13	0	5	2	9	4	0	7	15	22									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	79	1	3	1	3	3	3	4	2	2	1	1	1	3	4	0	2	2	0	1	3	1	1	1	2	4	2	1	0	1	3	2	5	2	1	2	0	1	2	3	0	1	0	0	1	2	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	117	2	1	1	0	2	1	1	3	2	0	0	3	0	0	5	16	18	3	0	4	5	0	1	2	3	21	0	1	0	0	6	3	2	2	1	4	0	0	1	0	1	0	0	0	2	0	0									
		0.14%	0.21%	0.06%	0.07%	0.00%	0.09%	0.04%	0.04%	0.14%	0.11%	0.00%	0.00%	0.14%	0.00%	0.00%	0.32%	1.41%	0.84%	0.17%	0.00%	0.21%	0.23%	0.00%	0.05%	0.09%	0.15%	1.01%	0.00%	0.05%	0.00%	0.00%	0.36%	0.19%	0.12%	0.10%	0.12%	0.41%	0.00%	0.00%	0.11%	0.00%	0.05%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	11990	141	212	216	136	320	336	282	324	275	255	277	326	283	297	242	42	298	243	258	282	307	312	278	344	298	312	305	323	282	298	248	239	240	301	121	135	328	337	137	279	234	120	343	350	262	125	87									
		14.39%	14.90%	13.49%	14.65%	13.63%	14.93%	14.90%	12.60%	14.97%	14.93%	14.16%	13.00%	14.89%	13.94%	13.87%	15.51%	3.71%	13.98%	13.55%	14.93%	14.92%	14.06%	14.99%	14.95%	14.96%	14.99%	14.96%	13.97%	14.92%	14.76%	14.99%	14.90%	15.12%	14.91%	15.26%	14.98%	13.90%	14.92%	15.02%	14.75%	14.75%	12.83%	14.89%	14.87%	15.26%	14.87%	12.68%	15.03%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	137	1	3	2	0	2	1	3	4	6	0	0	1	0	11	4	20	12	5	0	8	3	0	1	2	4	6	2	2	0	0	7	3	3	4	0	2	0	0	1	10	2	0	0	0	2	0	0									
		0.16%	0.11%	0.19%	0.14%	0.00%	0.09%	0.04%	0.13%	0.18%	0.33%	0.00%	0.00%	0.05%	0.00%	0.51%	0.26%	1.77%	0.56%	0.28%	0.00%	0.42%	0.14%	0.00%	0.05%	0.09%	0.20%	0.29%	0.09%	0.09%	0.00%	0.00%	0.42%	0.19%	0.19%	0.20%	0.00%	0.21%	0.00%	0.00%	0.11%	0.53%	0.11%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	66570	754	1282	1211	796	1707	1794	1780	1788	1455	1434	1637	1748	1656	1762	1248	780	1704	1431	1376	1505	1769	1706	1482	1846	1583	1662	1719	1746	1522	1588	1327	1260	1282	1576	649	785	1797	1820	741	1463	1438	634	1833	1843	1398	792	461									
		79.89%	79.70%	81.60%	82.16%	79.76%	79.62%	79.56%	79.54%	82.59%	78.99%	79.62%	76.85%	79.85%	81.58%	82.26%	80.00%	68.90%	79.92%	79.77%	79.63%	79.63%	81.04%	81.98%	79.72%	80.30%	79.67%	79.67%	78.71%	80.65%	79.69%	79.92%	79.75%	79.70%	79.63%	79.92%	80.32%	80.84%	81.72%	81.11%	79.76%	77.33%	78.84%	78.66%	79.45%	80.34%	79.34%	80.32%	79.62%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	51	0	1	0	0	0	1	1	1	4	0	0	1	0	0	0	9	0	2	0	0	1	9	1	1	0	0	0	2	0	0	1	2	2	1	0	4	2	0	1	0	1	1	0	0	2	0	0									
		0.06%	0.00%	0.06%	0.00%	0.00%	0.00%	0.04%	0.04%	0.05%	0.22%	0.00%	0.00%	0.05%	0.00%	0.00%	0.00%	0.80%	0.00%	0.11%	0.00%	0.00%	0.05%	0.43%	0.05%	0.04%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.06%	0.13%	0.12%	0.05%	0.00%	0.41%	0.09%	0.00%	0.11%	0.00%	0.05%	0.12%	0.00%	0.00%	0.11%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	34	0	0	0	0	3	0	1	2	6	0	0	0	0	0	0	1	3	2	0	0	2	0	1	0	1	0	0	1	0	0	2	1	3	1	0	0	0	0	1	0	1	0	0	0	2	0	0									
		0.04%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.04%	0.09%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.14%	0.11%	0.00%	0.00%	0.09%	0.00%	0.05%	0.00%	0.05%	0.00%	0.00%	0.05%	0.00%	0.00%	0.12%	0.06%	0.19%	0.05%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.05%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	586	13	15	9	0	8	22	10	5	10	5	7	21	2	2	17	59	17	16	26	13	18	10	2	18	19	8	4	7	15	21	14	11	14	10	1	1	11	13	4	28	35	9	0	23	9	2	2									
		0.70%	1.37%	0.95%	0.61%	0.00%	0.37%	0.98%	0.45%	0.23%	0.54%	0.28%	0.33%	0.96%	0.10%	0.09%	1.09%	5.21%	0.80%	0.89%	1.50%	0.69%	0.82%	0.48%	0.11%	0.78%	0.96%	0.38%	0.18%	0.32%	0.79%	1.06%	0.84%	0.70%	0.87%	0.51%	0.12%	0.10%	0.50%	0.58%	0.43%	1.48%	1.92%	1.12%	0.00%	1.00%	0.51%	0.20%	0.35%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	157	3	1	1	2	2	0	9	3	10	0	8	2	3	8	7	8	2	8	2	2	3	1	1	4	8	6	2	2	0	0	2	1	2	11	0	2	6	7	3	5	3	3	0	0	2	0	2									
		0.19%	0.32%	0.06%	0.07%	0.20%	0.09%	0.00%	0.40%	0.14%	0.54%	0.00%	0.38%	0.09%	0.15%	0.37%	0.45%	0.71%	0.09%	0.45%	0.12%	0.11%	0.14%	0.05%	0.05%	0.17%	0.40%	0.29%	0.09%	0.09%	0.00%	0.00%	0.12%	0.06%	0.12%	0.56%	0.00%	0.21%	0.27%	0.31%	0.32%	0.26%	0.16%	0.37%	0.00%	0.00%	0.11%	0.00%	0.35%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	53	2	0	0	0	0	1	1	1	0	0	0	3	0	0	3	7	4	3	0	0	1	0	2	1	2	2	2	1	0	0	1	3	1	1	1	0	4	0	1	0	1	1	0	0	2	1	0									
		0.06%	0.21%	0.00%	0.00%	0.00%	0.00%	0.04%	0.04%	0.05%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.19%	0.62%	0.19%	0.17%	0.00%	0.00%	0.05%	0.00%	0.11%	0.04%	0.10%	0.10%	0.09%	0.05%	0.00%	0.00%	0.06%	0.19%	0.06%	0.05%	0.12%	0.00%	0.18%	0.00%	0.11%	0.00%	0.05%	0.12%	0.00%	0.00%	0.11%	0.10%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	37	1	1	0	0	0	1	1	3	4	0	0	1	0	0	0	3	0	4	0	0	1	0	1	1	0	2	0	1	0	0	2	2	2	1	0	0	0	0	1	0	1	0	0	0	2	1	0									
		0.04%	0.11%	0.06%	0.00%	0.00%	0.00%	0.04%	0.04%	0.14%	0.22%	0.00%	0.00%	0.05%	0.00%	0.00%	0.00%	0.27%	0.00%	0.22%	0.00%	0.00%	0.05%	0.00%	0.05%	0.04%	0.00%	0.10%	0.00%	0.05%	0.00%	0.00%	0.12%	0.13%	0.12%	0.05%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.05%	0.00%	0.00%	0.00%	0.11%	0.10%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	132	1	3	0	0	3	2	5	1	3	1	0	4	0	7	9	9	7	2	2	5	4	0	2	4	1	21	4	1	0	0	2	2	3	3	0	1	4	0	1	0	3	8	0	0	2	1	1									
		0.16%	0.11%	0.19%	0.00%	0.00%	0.14%	0.09%	0.22%	0.05%	0.16%	0.06%	0.00%	0.18%	0.00%	0.33%	0.58%	0.80%	0.33%	0.11%	0.12%	0.26%	0.18%	0.00%	0.11%	0.17%	0.05%	1.01%	0.18%	0.05%	0.00%	0.00%	0.12%	0.13%	0.19%	0.15%	0.00%	0.10%	0.18%	0.00%	0.11%	0.00%	0.16%	0.99%	0.00%	0.00%	0.11%	0.10%	0.17%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1512	16	31	23	0	77	62	41	9	20	11	89	41	4	23	15	120	35	31	51	37	40	43	51	45	38	25	4	35	38	74	20	24	27	29	32	12	21	20	7	39	20	10	25	25	54	5	13									
		1.81%	1.69%	1.97%	1.56%	0.00%	3.59%	2.75%	1.83%	0.42%	1.09%	0.61%	4.18%	1.87%	0.20%	1.07%	0.96%	10.60%	1.64%	1.73%	2.95%	1.96%	1.83%	2.07%	2.74%	1.96%	1.91%	1.20%	0.18%	1.62%	1.99%	3.72%	1.20%	1.52%	1.68%	1.47%	3.96%	1.24%	0.95%	0.89%	0.75%	2.06%	1.10%	1.24%	1.08%	1.09%	3.06%	0.51%	2.25%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	82	2	1	0	0	4	1	1	3	1	1	0	5	0	0	0	7	7	7	0	6	3	0	1	2	0	4	2	2	0	0	2	1	3	1	0	1	3	0	1	6	1	0	0	0	2	0	1									
		0.10%	0.21%	0.06%	0.00%	0.00%	0.19%	0.04%	0.04%	0.14%	0.05%	0.06%	0.00%	0.23%	0.00%	0.00%	0.00%	0.62%	0.33%	0.39%	0.00%	0.32%	0.14%	0.00%	0.05%	0.09%	0.00%	0.19%	0.09%	0.09%	0.00%	0.00%	0.12%	0.06%	0.19%	0.05%	0.00%	0.10%	0.14%	0.00%	0.11%	0.32%	0.05%	0.00%	0.00%	0.00%	0.11%	0.00%	0.17%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1452	4	13	6	60	6	21	89	7	41	90	107	21	72	14	10	33	15	21	5	19	21	0	28	16	18	8	131	31	46	3	25	21	19	24	1	21	16	44	25	41	56	7	88	35	6	59	8									
		1.74%	0.42%	0.83%	0.41%	6.01%	0.28%	0.93%	3.98%	0.32%	2.23%	4.99%	5.02%	0.96%	3.55%	0.65%	0.64%	2.92%	0.70%	1.17%	0.29%	1.01%	0.96%	0.00%	1.51%	0.70%	0.91%	0.38%	5.99%	1.43%	2.41%	0.15%	1.50%	1.33%	1.18%	1.22%	0.12%	2.16%	0.73%	1.96%	2.69%	2.17%	3.07%	0.87%	3.81%	1.53%	0.34%	5.98%	1.38%									
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
