Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																												
Дата голосования: 07.12.2003 0:00:00																																																																												
																																																																												
Наименование Избирательной комиссии:    Валуйская																																																																												
																																																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																												
																																																																												
		Сумма	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	399	59	10	10	10	0	10	10	10	10	10	10	10	10	10	10	2	2	2	2	2	8	8	2	8	2	2	2	3	2	4	2	5	2	2	8	5	8	2	2	3	2	8	2	2	5	8	2	3	2	2	5	4	2	5	4	10	2	5	2	2	2	2	3	8	8	8	8	2	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	122	5	4	8	9	0	3	8	1	7	4	4	1	10	5	5	0	0	2	0	0	4	8	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	1	2	0	1	1	4	1	0	0	0	2	0	0	5	0	2	0	0	0	0	0	0	0	2	4	3	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	94	1	0	5	2	20	2	2	0	1	5	3	4	2	3	1	0	0	0	0	1	2	2	3	9	0	0	0	0	0	0	0	0	2	0	2	0	2	0	0	1	0	0	0	1	0	3	2	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	4	4	0	1	0	0	0					
14	Число погашенных открепительных удостоверений	277	54	6	2	1	0	7	2	9	3	6	6	9	0	5	5	2	2	0	2	2	4	0	2	8	2	2	2	3	1	3	2	5	2	2	8	3	8	2	2	3	1	6	2	1	4	4	1	3	2	2	3	4	2	0	4	8	2	5	2	2	2	2	3	6	4	5	6	2	2					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																												
18	"1. ""ЕДИНЕНИЕ"""	393	6	5	12	11	0	15	6	7	7	5	9	9	5	10	5	1	3	6	7	3	6	18	4	5	1	2	2	2	5	4	5	1	4	1	8	9	13	1	2	3	0	10	0	10	10	14	2	6	0	3	9	7	1	6	7	15	6	9	0	3	0	2	9	3	4	6	3	7	13					
		1.27%	0.61%	0.92%	1.12%	0.78%	0.0%	1.95%	0.72%	1.34%	1.24%	0.79%	1.42%	0.94%	0.37%	0.83%	0.48%	0.42%	1.56%	1.43%	3.09%	1.62%	1.13%	2.34%	1.56%	0.90%	0.81%	1.19%	3.57%	1.23%	2.80%	1.50%	2.24%	0.41%	1.20%	0.62%	1.67%	1.45%	1.40%	1.92%	1.42%	0.77%	0.0%	1.89%	0.0%	4.13%	2.96%	1.92%	0.96%	1.90%	0.0%	2.58%	1.87%	1.84%	0.56%	2.32%	2.31%	1.63%	1.74%	2.98%	0.0%	2.30%	0.0%	1.21%	3.38%	0.39%	0.67%	0.79%	0.40%	3.01%	2.58%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	329	21	9	31	39	0	16	8	10	9	12	9	9	9	16	7	0	1	1	2	2	2	15	0	10	2	1	1	3	0	8	1	1	1	0	0	1	11	0	0	1	0	3	0	0	1	6	0	4	1	2	0	0	0	0	0	4	5	5	5	0	1	1	2	11	0	3	4	0	2					
		1.06%	2.15%	1.67%	2.89%	2.76%	0.0%	2.08%	0.96%	1.92%	1.59%	1.91%	1.42%	0.94%	0.67%	1.33%	0.67%	0.0%	0.52%	0.23%	0.88%	1.08%	0.37%	1.95%	0.0%	1.80%	1.63%	0.59%	1.78%	1.85%	0.0%	3.01%	0.44%	0.41%	0.30%	0.0%	0.0%	0.16%	1.19%	0.0%	0.0%	0.25%	0.0%	0.56%	0.0%	0.0%	0.29%	0.82%	0.0%	1.26%	0.99%	1.72%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%	1.45%	1.65%	2.30%	0.0%	0.42%	0.60%	0.75%	1.45%	0.0%	0.39%	0.53%	0.0%	0.39%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1232	48	36	49	64	0	63	43	22	26	38	31	51	70	74	31	6	3	11	2	7	21	28	5	30	3	0	1	3	10	6	0	5	10	4	3	19	27	2	1	9	7	21	3	6	10	25	2	6	2	5	11	5	6	8	4	30	11	15	4	2	5	13	8	32	35	41	31	6	16					
		3.98%	4.91%	6.69%	4.57%	4.54%	0.0%	8.20%	5.18%	4.23%	4.61%	6.07%	4.90%	5.33%	5.23%	6.17%	2.98%	2.56%	1.56%	2.63%	0.88%	3.78%	3.96%	3.64%	1.95%	5.41%	2.45%	0.0%	1.78%	1.85%	5.61%	2.26%	0.0%	2.07%	3.00%	2.48%	0.62%	3.06%	2.92%	3.84%	0.71%	2.33%	3.78%	3.97%	4.54%	2.47%	2.96%	3.42%	0.96%	1.90%	1.98%	4.31%	2.29%	1.31%	3.40%	3.10%	1.32%	3.27%	3.20%	4.96%	1.84%	1.53%	2.13%	7.92%	3.00%	4.23%	5.89%	5.40%	4.18%	2.58%	3.18%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	561	37	21	32	41	2	31	11	8	12	21	15	24	17	43	26	0	1	5	4	1	4	15	5	8	1	3	1	6	2	2	3	2	1	0	0	3	13	0	2	4	1	5	0	0	4	2	3	3	0	0	2	0	1	3	0	14	0	4	2	3	2	3	3	19	10	21	14	0	15					
		1.81%	3.79%	3.90%	2.99%	2.90%	5.40%	4.03%	1.32%	1.54%	2.13%	3.35%	2.37%	2.51%	1.27%	3.58%	2.50%	0.0%	0.52%	1.19%	1.76%	0.54%	0.75%	1.95%	1.95%	1.44%	0.81%	1.79%	1.78%	3.70%	1.12%	0.75%	1.34%	0.82%	0.30%	0.0%	0.0%	0.48%	1.40%	0.0%	1.42%	1.03%	0.54%	0.94%	0.0%	0.0%	1.18%	0.27%	1.44%	0.95%	0.0%	0.0%	0.41%	0.0%	0.56%	1.16%	0.0%	1.53%	0.0%	1.32%	0.92%	2.30%	0.85%	1.82%	1.12%	2.51%	1.68%	2.76%	1.88%	0.0%	2.98%					
22	"5. ""За Русь Святую"""	134	6	2	3	5	0	2	3	2	0	2	1	3	8	5	4	1	2	1	2	0	3	6	1	5	0	0	0	1	0	0	5	0	1	0	0	6	3	0	0	1	0	5	0	3	2	2	1	4	0	0	2	0	2	1	1	3	3	3	1	1	0	1	0	2	5	5	2	0	1					
		0.43%	0.61%	0.37%	0.28%	0.35%	0.0%	0.26%	0.36%	0.38%	0.0%	0.31%	0.15%	0.31%	0.59%	0.41%	0.38%	0.42%	1.04%	0.23%	0.88%	0.0%	0.56%	0.78%	0.39%	0.90%	0.0%	0.0%	0.0%	0.61%	0.0%	0.0%	2.24%	0.0%	0.30%	0.0%	0.0%	0.96%	0.32%	0.0%	0.0%	0.25%	0.0%	0.94%	0.0%	1.23%	0.59%	0.27%	0.48%	1.26%	0.0%	0.0%	0.41%	0.0%	1.13%	0.38%	0.33%	0.32%	0.87%	0.99%	0.46%	0.76%	0.0%	0.60%	0.0%	0.26%	0.84%	0.65%	0.26%	0.0%	0.19%					
23	"6. ""Объединенная Российская партия ""Русь"""	73	0	2	1	3	1	0	1	1	1	0	1	6	4	1	1	0	0	0	1	0	2	5	1	2	0	0	0	0	0	1	1	0	0	0	0	2	1	0	1	4	0	1	0	1	0	0	0	1	0	2	2	0	0	0	4	4	0	0	0	0	0	0	1	3	0	8	2	0	0					
		0.23%	0.0%	0.37%	0.09%	0.21%	2.70%	0.0%	0.12%	0.19%	0.17%	0.0%	0.15%	0.62%	0.29%	0.08%	0.09%	0.0%	0.0%	0.0%	0.44%	0.0%	0.37%	0.65%	0.39%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.44%	0.0%	0.0%	0.0%	0.0%	0.32%	0.10%	0.0%	0.71%	1.03%	0.0%	0.18%	0.0%	0.41%	0.0%	0.0%	0.0%	0.31%	0.0%	1.72%	0.41%	0.0%	0.0%	0.0%	1.32%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.39%	0.0%	1.05%	0.26%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	253	13	6	12	16	0	11	18	3	3	5	3	11	11	7	8	3	0	0	5	2	4	4	0	7	0	2	0	3	0	0	0	1	9	4	0	5	8	1	2	1	0	2	0	6	2	4	0	4	2	2	1	0	0	0	2	1	3	2	0	0	2	6	2	6	1	8	4	4	1					
		0.81%	1.33%	1.11%	1.12%	1.13%	0.0%	1.43%	2.16%	0.57%	0.53%	0.79%	0.47%	1.15%	0.82%	0.58%	0.77%	1.28%	0.0%	0.0%	2.21%	1.08%	0.75%	0.52%	0.0%	1.26%	0.0%	1.19%	0.0%	1.85%	0.0%	0.0%	0.0%	0.41%	2.70%	2.48%	0.0%	0.80%	0.86%	1.92%	1.42%	0.25%	0.0%	0.37%	0.0%	2.47%	0.59%	0.54%	0.0%	1.26%	1.98%	1.72%	0.20%	0.0%	0.0%	0.0%	0.66%	0.10%	0.87%	0.66%	0.0%	0.0%	0.85%	3.65%	0.75%	0.79%	0.16%	1.05%	0.53%	1.72%	0.19%					
25	"8. ""Народно-республиканская партия России"""	56	2	2	1	1	0	0	0	2	0	3	1	1	2	0	4	0	1	2	0	0	1	1	1	3	0	0	0	1	0	1	1	1	1	0	0	2	3	1	0	0	0	0	1	1	0	2	0	0	0	0	1	0	0	0	0	2	0	2	1	0	1	0	1	0	0	0	2	0	3					
		0.18%	0.20%	0.37%	0.09%	0.07%	0.0%	0.0%	0.0%	0.38%	0.0%	0.47%	0.15%	0.10%	0.14%	0.0%	0.38%	0.0%	0.52%	0.47%	0.0%	0.0%	0.18%	0.13%	0.39%	0.54%	0.0%	0.0%	0.0%	0.61%	0.0%	0.37%	0.44%	0.41%	0.30%	0.0%	0.0%	0.32%	0.32%	1.92%	0.0%	0.0%	0.0%	0.0%	1.51%	0.41%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.66%	0.46%	0.0%	0.42%	0.0%	0.37%	0.0%	0.0%	0.0%	0.26%	0.0%	0.59%					
26	"9. ""Российская экологическая партия ""Зеленые"""	80	5	1	2	10	1	3	2	0	1	2	1	4	4	2	6	1	0	2	0	1	1	4	0	2	0	0	0	0	0	0	2	0	1	0	0	3	4	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	2	2	0	1	0	0	3	0	0	1					
		0.25%	0.51%	0.18%	0.18%	0.70%	2.70%	0.39%	0.24%	0.0%	0.17%	0.31%	0.15%	0.41%	0.29%	0.16%	0.57%	0.42%	0.0%	0.47%	0.0%	0.54%	0.18%	0.52%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.89%	0.0%	0.30%	0.0%	0.0%	0.48%	0.43%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.41%	0.0%	0.0%	0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.10%	0.0%	0.0%	0.0%	1.53%	0.85%	0.0%	0.37%	0.0%	0.0%	0.39%	0.0%	0.0%	0.19%					
27	"10. ""Аграрная партия России"""	2378	68	11	37	66	3	27	24	8	11	21	23	40	59	44	51	51	27	55	37	31	69	70	16	62	10	24	3	10	21	78	51	14	41	18	58	52	38	14	35	69	20	69	10	22	9	25	2	28	5	17	122	45	16	22	23	125	45	26	17	16	19	9	28	43	27	30	47	11	53					
		7.68%	6.96%	2.04%	3.45%	4.68%	8.10%	3.51%	2.89%	1.54%	1.95%	3.35%	3.63%	4.18%	4.41%	3.66%	4.91%	21.79%	14.06%	13.18%	16.37%	16.75%	13.01%	9.11%	6.25%	11.19%	8.19%	14.37%	5.35%	6.17%	11.79%	29.43%	22.86%	5.80%	12.31%	11.18%	12.13%	8.38%	4.12%	26.92%	24.99%	17.92%	10.81%	13.06%	15.15%	9.09%	2.67%	3.42%	0.96%	8.88%	4.95%	14.65%	25.41%	11.84%	9.09%	8.52%	7.59%	13.66%	13.11%	8.60%	7.83%	12.30%	8.11%	5.48%	10.52%	5.68%	4.54%	3.95%	6.34%	4.74%	10.53%					
28	"11. ""Истинные патриоты России"""	35	0	0	1	0	0	1	1	1	0	0	1	1	0	1	3	0	0	1	0	0	2	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	2	0	1	0	6	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0					
		0.11%	0.0%	0.0%	0.09%	0.0%	0.0%	0.13%	0.12%	0.19%	0.0%	0.0%	0.15%	0.10%	0.0%	0.08%	0.28%	0.0%	0.0%	0.23%	0.0%	0.0%	0.37%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.61%	0.0%	1.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.51%	0.0%	0.18%	0.0%	2.47%	0.89%	0.27%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	347	9	4	15	13	0	12	14	4	9	12	8	0	13	12	13	3	1	2	6	1	6	11	4	7	0	0	1	0	2	1	4	3	2	1	7	8	9	0	0	2	1	3	1	2	5	8	3	2	0	0	4	0	0	4	2	15	8	2	1	2	5	3	5	15	16	7	8	3	3					
		1.12%	0.92%	0.74%	1.40%	0.92%	0.0%	1.56%	1.68%	0.77%	1.59%	1.91%	1.26%	0.0%	0.97%	1.00%	1.25%	1.28%	0.52%	0.47%	2.65%	0.54%	1.13%	1.43%	1.56%	1.26%	0.0%	0.0%	1.78%	0.0%	1.12%	0.37%	1.79%	1.24%	0.60%	0.62%	1.46%	1.29%	0.97%	0.0%	0.0%	0.51%	0.54%	0.56%	1.51%	0.82%	1.48%	1.09%	1.44%	0.63%	0.0%	0.0%	0.83%	0.0%	0.0%	1.55%	0.66%	1.63%	2.33%	0.66%	0.46%	1.53%	2.13%	1.82%	1.87%	1.98%	2.69%	0.92%	1.07%	1.29%	0.59%					
30	"13. ""Демократическая партия России"""	92	1	2	2	3	0	4	3	1	2	1	2	2	0	1	7	0	1	0	2	0	1	3	2	5	0	1	0	0	2	1	1	0	0	0	0	0	1	0	0	2	0	2	0	1	3	2	0	4	0	3	1	0	0	0	0	7	0	1	1	0	2	2	2	1	4	1	0	0	2					
		0.29%	0.10%	0.37%	0.18%	0.21%	0.0%	0.52%	0.36%	0.19%	0.35%	0.15%	0.31%	0.20%	0.0%	0.08%	0.67%	0.0%	0.52%	0.0%	0.88%	0.0%	0.18%	0.39%	0.78%	0.90%	0.0%	0.59%	0.0%	0.0%	1.12%	0.37%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.51%	0.0%	0.37%	0.0%	0.41%	0.89%	0.27%	0.0%	1.26%	0.0%	2.58%	0.20%	0.0%	0.0%	0.0%	0.0%	0.76%	0.0%	0.33%	0.46%	0.0%	0.85%	1.21%	0.75%	0.13%	0.67%	0.13%	0.0%	0.0%	0.39%					
31	"14. ""Великая Россия - Евразийский Союз"""	59	0	1	2	2	0	0	2	0	0	1	2	2	1	2	0	1	0	1	1	0	3	3	0	2	0	0	0	2	1	0	2	0	2	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	6	3	0	6	1	0	2					
		0.19%	0.0%	0.18%	0.18%	0.14%	0.0%	0.0%	0.24%	0.0%	0.0%	0.15%	0.31%	0.20%	0.07%	0.16%	0.0%	0.42%	0.0%	0.23%	0.44%	0.0%	0.56%	0.39%	0.0%	0.36%	0.0%	0.0%	0.0%	1.23%	0.56%	0.0%	0.89%	0.0%	0.60%	0.0%	0.0%	0.16%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.41%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.58%	0.0%	0.0%	0.0%	0.0%	0.0%	2.25%	0.39%	0.0%	0.79%	0.13%	0.0%	0.39%					
32	"15. ""Партия СЛОН"""	33	5	0	0	0	0	0	1	2	0	3	0	1	4	1	2	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3					
		0.10%	0.51%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.38%	0.0%	0.47%	0.0%	0.10%	0.29%	0.08%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.61%	0.56%	0.0%	0.0%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	1.92%	1.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.59%					
33	"16. ""Родина"" (народно-патриотический союз)"""	2539	125	72	122	182	7	90	88	54	74	70	72	102	196	117	138	9	6	14	5	10	20	20	5	40	1	0	2	4	12	8	10	8	9	7	34	44	41	4	8	23	3	32	2	9	15	43	48	22	4	5	30	7	6	15	0	59	30	21	20	7	16	6	6	57	53	66	61	11	32					
		8.20%	12.80%	13.38%	11.40%	12.91%	18.91%	11.71%	10.60%	10.40%	13.14%	11.18%	11.39%	10.66%	14.67%	9.75%	13.29%	3.84%	3.12%	3.35%	2.21%	5.40%	3.77%	2.60%	1.95%	7.22%	0.81%	0.0%	3.57%	2.46%	6.74%	3.01%	4.48%	3.31%	2.70%	4.34%	7.11%	7.09%	4.44%	7.69%	5.71%	5.97%	1.62%	6.06%	3.03%	3.71%	4.45%	5.89%	23.07%	6.98%	3.96%	4.31%	6.25%	1.84%	3.40%	5.81%	0.0%	6.44%	8.74%	6.95%	9.21%	5.38%	6.83%	3.65%	2.25%	7.53%	8.92%	8.69%	8.23%	4.74%	6.36%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	91	0	2	3	3	0	1	2	4	1	4	3	1	2	4	5	1	2	2	1	0	2	3	2	3	0	0	0	0	0	0	1	1	0	0	0	4	1	0	0	0	1	2	0	2	1	3	0	0	0	0	3	0	0	2	2	4	2	0	3	1	1	2	1	1	1	0	0	1	0					
		0.29%	0.0%	0.37%	0.28%	0.21%	0.0%	0.13%	0.24%	0.77%	0.17%	0.63%	0.47%	0.10%	0.14%	0.33%	0.48%	0.42%	1.04%	0.47%	0.44%	0.0%	0.37%	0.39%	0.78%	0.54%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.44%	0.41%	0.0%	0.0%	0.0%	0.64%	0.10%	0.0%	0.0%	0.0%	0.54%	0.37%	0.0%	0.82%	0.29%	0.41%	0.0%	0.0%	0.0%	0.0%	0.62%	0.0%	0.0%	0.77%	0.66%	0.43%	0.58%	0.0%	1.38%	0.76%	0.42%	1.21%	0.37%	0.13%	0.16%	0.0%	0.0%	0.43%	0.0%					
35	"18. ""ЛДПР"""	3711	122	69	126	151	5	80	115	73	57	96	85	116	190	151	167	22	39	41	10	28	93	101	30	57	14	14	7	7	15	29	21	21	27	21	52	52	120	5	14	36	23	65	6	32	40	101	24	30	1	4	46	26	20	31	21	139	39	28	34	14	11	11	46	100	78	79	89	22	72					
		11.99%	12.5%	12.82%	11.77%	10.71%	13.51%	10.41%	13.85%	14.06%	10.12%	15.33%	13.44%	12.13%	14.22%	12.59%	16.08%	9.40%	20.31%	9.83%	4.42%	15.13%	17.54%	13.15%	11.71%	10.28%	11.47%	8.38%	12.49%	4.32%	8.42%	10.94%	9.41%	8.71%	8.10%	13.04%	10.87%	8.38%	13.01%	9.61%	9.99%	9.35%	12.43%	12.31%	9.09%	13.22%	11.86%	13.85%	11.53%	9.52%	0.99%	3.44%	9.58%	6.84%	11.36%	12.01%	6.93%	15.19%	11.37%	9.27%	15.66%	10.76%	4.70%	6.70%	17.29%	13.22%	13.13%	10.40%	12.01%	9.48%	14.31%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	626	18	7	22	22	0	18	13	9	17	20	5	17	24	29	26	0	4	8	4	3	8	15	8	17	6	5	2	1	3	3	5	1	3	3	5	19	27	0	1	7	1	14	5	3	9	20	2	15	0	1	4	6	0	2	1	24	7	6	5	4	3	5	3	21	8	24	10	3	15					
		2.02%	1.84%	1.30%	2.05%	1.56%	0.0%	2.34%	1.56%	1.73%	3.01%	3.19%	0.79%	1.77%	1.79%	2.41%	2.50%	0.0%	2.08%	1.91%	1.76%	1.62%	1.50%	1.95%	3.12%	3.06%	4.91%	2.99%	3.57%	0.61%	1.68%	1.13%	2.24%	0.41%	0.90%	1.86%	1.04%	3.06%	2.92%	0.0%	0.71%	1.81%	0.54%	2.65%	7.57%	1.23%	2.67%	2.74%	0.96%	4.76%	0.0%	0.86%	0.83%	1.57%	0.0%	0.77%	0.33%	2.62%	2.04%	1.98%	2.30%	3.07%	1.28%	3.04%	1.12%	2.77%	1.34%	3.16%	1.34%	1.29%	2.98%					
