Выборы Президента Российской Федерации																																																																																												
																																																																																												
Наименование Избирательной комиссии:    Невская №5																																																																																												
																																																																																												
Итоги голосования 																																																																																												
																																																																																												
		Сумма	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1801					
		0.81%	0.62%	0.92%	0.87%	0.77%	0.83%	0.58%	1.13%	0.76%	2.00%	0.96%	0.34%	1.16%	0.64%	0.79%	1.05%	0.68%	0.49%	0.78%	2.03%	0.60%	0.79%	0.67%	0.66%	0.68%	0.65%	0.42%	0.49%	1.01%	0.72%	0.55%	0.38%	0.71%	0.56%	0.74%	0.97%	0.49%	0.94%	0.84%	0.85%	0.55%	1.14%	0.42%	1.17%	0.51%	0.96%	0.79%	1.04%	0.58%	0.96%	0.75%	0.50%	0.63%	0.67%	1.10%	0.90%	0.92%	1.13%	0.41%	0.94%	0.77%	0.54%	0.87%	0.55%	1.02%	0.64%	0.82%	1.31%	0.70%	0.41%	1.29%	0.85%	0.69%	1.01%	1.13%	0.64%	0.88%	0.81%	0.75%	0.78%	0.58%	0.48%	0.00%	1.75%	0.56%	1.30%					
20	. Миронов Сергей Михайлович	1289	12	10	11	12	20	16	31	17	18	18	13	18	12	11	20	15	13	14	9	10	11	15	16	14	20	10	15	18	15	12	10	4	20	17	13	16	17	5	14	9	26	19	24	23	23	13	11	19	10	18	20	23	22	16	17	12	22	16	13	9	28	13	10	15	30	16	18	19	13	16	18	22	22	9	14	12	12	15	21	9	5	0	0	15	10					
		1.21%	1.06%	1.02%	0.80%	0.92%	1.52%	1.16%	2.33%	1.43%	1.64%	1.57%	1.11%	1.61%	0.96%	0.87%	1.50%	1.13%	1.07%	1.21%	0.76%	0.75%	0.97%	1.12%	1.33%	1.06%	1.63%	0.83%	1.47%	1.65%	1.35%	1.09%	0.96%	0.36%	1.61%	1.39%	0.97%	1.11%	1.07%	0.47%	1.08%	0.70%	1.48%	1.34%	1.66%	1.67%	1.47%	1.14%	0.95%	1.57%	0.96%	1.36%	1.44%	1.61%	1.35%	1.25%	1.10%	0.92%	1.56%	1.09%	1.02%	0.69%	1.90%	0.95%	0.79%	1.27%	1.91%	1.01%	1.39%	1.67%	1.34%	1.47%	1.39%	1.37%	1.39%	0.54%	1.00%	1.06%	0.97%	1.02%	1.26%	0.86%	1.20%	0.00%	0.00%	1.40%	0.77%					
21	. Путин Владимир Владимирович	81484	893	754	1076	958	1009	1051	987	908	847	915	908	838	978	942	1008	1015	934	865	921	1027	880	1018	902	1052	932	933	835	811	827	824	850	867	980	963	1046	1076	1284	837	985	961	1302	1040	1111	1019	1193	911	857	926	776	1026	1060	1070	1231	993	1125	1004	1084	1123	998	997	1156	1089	988	938	1177	1270	986	886	692	804	955	1193	1184	1292	1072	859	949	1100	1256	772	351	151	48	796	977					
		76.48%	78.96%	76.70%	78.31%	73.58%	76.56%	75.88%	74.04%	76.37%	77.07%	79.98%	77.54%	74.75%	78.18%	74.53%	75.85%	76.49%	77.00%	74.89%	77.85%	76.93%	77.60%	76.14%	74.85%	79.52%	75.90%	77.69%	81.94%	74.13%	74.17%	75.11%	81.26%	77.27%	78.71%	78.81%	78.35%	74.62%	80.86%	78.52%	75.94%	75.25%	74.23%	73.60%	76.73%	73.89%	76.43%	79.84%	73.94%	76.72%	74.33%	77.38%	76.42%	75.09%	75.34%	77.88%	72.63%	77.35%	76.66%	76.50%	78.27%	76.40%	78.37%	79.20%	78.04%	79.69%	74.97%	80.28%	76.02%	77.92%	71.27%	73.83%	73.92%	74.47%	75.03%	77.09%	76.57%	75.68%	76.90%	74.53%	75.16%	74.02%	84.17%	82.07%	84.21%	74.39%	74.75%					
22	. Хакамада Ирина Муцуовна	5911	60	52	71	80	85	67	69	48	46	53	44	60	50	64	54	80	59	63	59	89	53	83	50	79	59	61	44	48	63	68	31	54	58	60	62	73	63	53	60	63	112	93	64	91	112	42	61	70	58	68	67	85	111	64	92	66	75	76	53	77	63	60	68	73	100	56	84	62	106	78	83	129	117	114	113	61	80	110	97	84	3	7	0	77	111					
		5.55%	5.31%	5.29%	5.17%	6.14%	6.45%	4.84%	5.18%	4.04%	4.19%	4.63%	3.76%	5.35%	4.00%	5.06%	4.06%	6.03%	4.86%	5.45%	4.99%	6.67%	4.67%	6.21%	4.15%	5.97%	4.80%	5.08%	4.32%	4.39%	5.65%	6.20%	2.96%	4.81%	4.66%	4.91%	4.64%	5.06%	3.97%	4.97%	4.63%	4.93%	6.39%	6.58%	4.42%	6.60%	7.17%	3.68%	5.26%	5.80%	5.56%	5.13%	4.83%	5.96%	6.79%	5.02%	5.94%	5.08%	5.30%	5.18%	4.16%	5.90%	4.27%	4.36%	5.37%	6.20%	6.37%	3.54%	6.48%	5.45%	10.92%	7.16%	6.42%	8.05%	7.41%	6.80%	8.07%	5.37%	6.48%	7.45%	5.80%	8.05%	0.72%	3.80%	0.00%	7.20%	8.49%					
23	. Харитонов Николай Михайлович	7908	71	81	96	106	78	142	113	102	82	76	101	106	93	123	111	83	92	91	91	86	90	108	95	74	102	79	60	111	115	91	90	89	83	78	86	120	90	68	116	106	131	133	113	114	110	66	111	76	77	105	108	128	107	86	157	98	100	119	86	105	112	93	100	70	114	87	106	79	65	83	89	106	92	99	62	86	85	97	132	75	5	8	0	74	84					
		7.42%	6.28%	8.24%	6.99%	8.14%	5.92%	10.25%	8.48%	8.58%	7.46%	6.64%	8.63%	9.46%	7.43%	9.73%	8.35%	6.25%	7.58%	7.88%	7.69%	6.44%	7.94%	8.08%	7.88%	5.59%	8.31%	6.58%	5.89%	10.15%	10.31%	8.30%	8.60%	7.93%	6.67%	6.38%	6.44%	8.32%	5.67%	6.38%	8.94%	8.30%	7.47%	9.41%	7.80%	8.27%	7.05%	5.78%	9.58%	6.30%	7.38%	7.92%	7.79%	8.98%	6.55%	6.75%	10.14%	7.55%	7.07%	8.11%	6.75%	8.05%	7.59%	6.76%	7.90%	5.95%	7.26%	5.50%	8.17%	6.95%	6.69%	7.62%	6.89%	6.62%	5.83%	5.91%	4.43%	7.58%	6.89%	6.57%	7.90%	7.19%	1.20%	4.35%	0.00%	6.92%	6.43%					
																																																																																												
24	Против всех	4079	38	26	46	72	50	48	52	42	34	32	47	41	51	58	47	50	34	39	35	56	41	47	47	42	41	45	24	42	36	55	22	34	47	49	56	58	60	39	36	62	72	52	53	62	64	40	40	43	45	41	47	46	82	42	63	47	42	52	41	46	47	47	51	34	60	67	51	37	52	47	68	61	63	74	61	56	45	72	84	53	32	9	4	50	53					
		3.83%	3.36%	2.64%	3.35%	5.53%	3.79%	3.47%	3.90%	3.53%	3.09%	2.80%	4.01%	3.66%	4.08%	4.59%	3.54%	3.77%	2.80%	3.38%	2.96%	4.19%	3.62%	3.52%	3.90%	3.17%	3.34%	3.75%	2.36%	3.84%	3.23%	5.01%	2.10%	3.03%	3.78%	4.01%	4.19%	4.02%	3.78%	3.66%	2.78%	4.86%	4.10%	3.68%	3.66%	4.50%	4.10%	3.51%	3.45%	3.56%	4.31%	3.09%	3.39%	3.23%	5.02%	3.29%	4.07%	3.62%	2.97%	3.54%	3.22%	3.52%	3.19%	3.42%	4.03%	2.89%	3.82%	4.24%	3.93%	3.25%	5.36%	4.32%	5.26%	3.81%	3.99%	4.42%	4.36%	4.93%	3.65%	4.88%	5.03%	5.08%	7.67%	4.89%	7.02%	4.67%	4.06%					
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
