Выборы Президента Российской Федерации																																																																															
																																																																															
Наименование Избирательной комиссии:    Каменск-Уральская городская																																																																															
																																																																															
Итоги голосования 																																																																															
																																																																															
		Сумма	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК  1912					
		5.82%	5.37%	7.07%	4.94%	5.76%	5.42%	4.24%	5.27%	7.11%	6.71%	4.47%	6.74%	7.64%	5.30%	6.42%	7.71%	5.48%	5.86%	6.74%	5.10%	6.28%	6.98%	6.34%	6.52%	5.97%	5.53%	4.52%	6.10%	5.80%	5.95%	6.58%	6.50%	6.02%	4.67%	7.04%	4.93%	7.88%	9.79%	4.21%	6.52%	6.55%	4.84%	6.13%	8.13%	6.10%	6.04%	4.54%	5.17%	4.52%	5.39%	4.76%	5.90%	6.28%	4.71%	4.98%	6.30%	4.55%	5.88%	7.02%	4.80%	6.98%	5.83%	6.80%	6.10%	3.82%	3.03%	4.19%	3.24%	3.00%	4.17%	3.81%	2.05%	6.68%					
23	. Харитонов Николай Михайлович	8803	19	21	23	78	105	180	148	99	116	68	45	98	122	88	68	217	120	160	127	150	130	179	151	223	134	93	127	118	194	138	194	133	59	173	154	159	137	126	174	124	159	185	62	173	91	110	199	127	159	137	145	159	167	116	128	173	110	181	138	104	135	106	109	38	130	158	79	81	5	24	25	118					
		10.47%	9.27%	11.41%	4.73%	10.96%	13.87%	14.69%	11.46%	8.91%	6.82%	11.26%	7.98%	12.28%	14.37%	8.56%	6.55%	9.99%	9.51%	11.00%	8.63%	12.39%	10.43%	13.05%	11.58%	14.02%	11.39%	12.37%	11.92%	9.92%	11.89%	8.99%	10.01%	8.99%	7.26%	10.59%	8.17%	10.19%	11.76%	9.14%	11.58%	9.34%	10.69%	11.34%	5.54%	12.41%	10.77%	14.69%	13.37%	10.25%	11.13%	9.19%	9.95%	11.10%	14.57%	10.32%	10.61%	12.68%	10.96%	13.67%	11.05%	10.52%	11.09%	6.61%	6.93%	5.38%	9.17%	12.73%	10.68%	11.05%	3.47%	7.04%	5.69%	11.10%					
																																																																															
24	Против всех	2783	9	6	14	23	22	27	39	33	52	15	13	21	34	40	36	66	46	53	54	45	31	58	48	51	44	26	33	39	47	52	60	46	39	68	74	47	25	39	46	54	63	64	40	48	25	20	47	45	53	47	49	62	28	29	36	35	22	37	39	43	42	74	56	24	43	23	19	24	6	15	9	41					
		3.31%	4.39%	3.26%	2.88%	3.23%	2.91%	2.20%	3.02%	2.97%	3.06%	2.48%	2.30%	2.63%	4.00%	3.89%	3.47%	3.04%	3.65%	3.64%	3.67%	3.72%	2.49%	4.23%	3.68%	3.21%	3.74%	3.46%	3.10%	3.28%	2.88%	3.39%	3.09%	3.11%	4.80%	4.16%	3.93%	3.01%	2.15%	2.83%	3.06%	4.07%	4.24%	3.92%	3.57%	3.44%	2.96%	2.67%	3.16%	3.63%	3.71%	3.15%	3.36%	4.33%	2.44%	2.58%	2.99%	2.57%	2.19%	2.79%	3.12%	4.35%	3.45%	4.61%	3.56%	3.40%	3.03%	1.85%	2.57%	3.27%	4.17%	4.40%	2.05%	3.86%					
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
