Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
"Наименование Избирательной комиссии:    Чита, Центральная"																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №8354	УИК №8355	УИК №8356	УИК №8357	УИК №8358	УИК №8359	УИК №8360	УИК №8361	УИК №8362	УИК №8363	УИК №8364	УИК №8365									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	730	17	21	17	19	20	18	10	5	21	18	13	11	22	19	15	21	18	17	14	16	14	16	20	12	34	21	13	13	11	23	19	11	16	9	18	12	6	45	2	7	1	6	2	8	11	0	4	19	7	5	5	6	2									
		1.55%	2.10%	2.21%	1.66%	1.60%	1.85%	1.75%	1.31%	0.60%	2.11%	1.87%	1.47%	1.08%	1.84%	2.26%	1.61%	2.26%	1.69%	1.80%	1.47%	1.71%	1.23%	2.30%	2.92%	1.94%	4.15%	1.89%	1.85%	1.25%	1.42%	2.08%	2.02%	1.28%	2.11%	1.17%	2.12%	1.87%	0.99%	2.37%	1.47%	0.87%	0.96%	1.26%	0.68%	0.60%	1.20%	0.00%	0.19%	1.81%	0.81%	0.71%	1.12%	1.88%	0.43%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1374	33	26	37	32	42	31	21	28	37	42	18	25	45	27	33	34	26	35	40	44	39	27	20	24	34	37	22	31	22	48	26	27	36	31	35	23	12	41	2	15	3	10	4	23	21	0	3	28	23	12	8	25	6									
		2.92%	4.07%	2.74%	3.60%	2.69%	3.89%	3.01%	2.75%	3.36%	3.72%	4.37%	2.04%	2.45%	3.76%	3.21%	3.54%	3.65%	2.44%	3.70%	4.21%	4.72%	3.44%	3.87%	2.92%	3.88%	4.15%	3.33%	3.13%	2.97%	2.85%	4.34%	2.77%	3.15%	4.76%	4.03%	4.12%	3.58%	1.98%	2.16%	1.47%	1.86%	2.88%	2.10%	1.36%	1.73%	2.30%	0.00%	0.14%	2.67%	2.67%	1.70%	1.79%	7.81%	1.28%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	958	14	27	23	27	29	28	17	15	27	20	16	28	42	14	35	25	30	21	27	16	27	14	23	18	19	31	17	40	21	22	20	21	16	27	20	15	17	18	1	9	3	4	1	11	6	0	1	10	19	9	6	4	7									
		2.04%	1.73%	2.84%	2.24%	2.27%	2.69%	2.72%	2.23%	1.80%	2.71%	2.08%	1.81%	2.74%	3.51%	1.66%	3.76%	2.69%	2.82%	2.22%	2.84%	1.71%	2.38%	2.01%	3.36%	2.91%	2.32%	2.79%	2.42%	3.84%	2.72%	1.99%	2.13%	2.45%	2.11%	3.51%	2.35%	2.33%	2.81%	0.95%	0.74%	1.12%	2.88%	0.84%	0.34%	0.83%	0.66%	0.00%	0.05%	0.96%	2.20%	1.28%	1.34%	1.25%	1.49%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	20914	258	280	308	393	344	338	222	256	304	313	320	327	362	283	289	252	297	271	300	258	360	219	237	196	228	335	262	281	309	378	313	273	220	234	230	178	260	1049	53	538	29	381	255	1113	739	1511	1900	737	642	574	332	214	359									
		44.47%	31.81%	29.47%	29.99%	33.03%	31.85%	32.78%	29.06%	30.70%	30.55%	32.54%	36.20%	32.03%	30.24%	33.61%	31.04%	27.07%	27.89%	28.62%	31.58%	27.65%	31.75%	31.42%	34.60%	31.66%	27.80%	30.15%	37.27%	26.94%	39.97%	34.18%	33.30%	31.86%	29.06%	30.39%	27.06%	27.68%	42.98%	55.33%	38.97%	66.75%	27.88%	79.87%	86.44%	83.94%	80.85%	91.69%	89.58%	70.39%	74.39%	81.53%	74.27%	66.88%	76.55%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	662	9	20	15	25	17	20	9	11	22	9	25	20	20	12	16	16	23	11	18	18	17	13	12	5	10	18	13	19	16	23	15	8	12	20	17	15	9	21	2	25	5	0	0	1	1	0	0	12	3	5	3	1	5									
		1.41%	1.11%	2.11%	1.46%	2.10%	1.57%	1.94%	1.18%	1.32%	2.21%	0.94%	2.83%	1.96%	1.67%	1.43%	1.72%	1.72%	2.16%	1.16%	1.89%	1.93%	1.50%	1.87%	1.75%	0.81%	1.22%	1.62%	1.85%	1.82%	2.07%	2.08%	1.60%	0.93%	1.59%	2.60%	2.00%	2.33%	1.49%	1.11%	1.47%	3.10%	4.81%	0.00%	0.00%	0.08%	0.11%	0.00%	0.00%	1.15%	0.35%	0.71%	0.67%	0.31%	1.07%									
24	"6. Политическая партия ""Гражданская Платформа"""	144	2	2	5	16	4	2	0	2	1	2	4	5	3	9	2	2	5	3	5	2	6	3	3	2	3	2	1	4	1	7	4	1	3	3	3	2	3	7	0	5	0	2	1	0	0	0	0	1	0	0	0	0	1									
		0.31%	0.25%	0.21%	0.49%	1.34%	0.37%	0.19%	0.00%	0.24%	0.10%	0.21%	0.45%	0.49%	0.25%	1.07%	0.21%	0.21%	0.47%	0.32%	0.53%	0.21%	0.53%	0.43%	0.44%	0.32%	0.37%	0.18%	0.14%	0.38%	0.13%	0.63%	0.43%	0.12%	0.40%	0.39%	0.35%	0.31%	0.50%	0.37%	0.00%	0.62%	0.00%	0.42%	0.34%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.21%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	8727	229	213	253	309	266	235	215	236	239	244	188	270	259	201	193	217	248	236	200	218	212	162	142	152	162	222	155	240	138	217	249	170	171	159	185	163	151	439	24	87	39	10	6	28	20	22	16	104	69	21	50	29	44									
		18.56%	28.24%	22.42%	24.63%	25.97%	24.63%	22.79%	28.14%	28.30%	24.02%	25.36%	21.27%	26.44%	21.64%	23.87%	20.73%	23.31%	23.29%	24.92%	21.05%	23.37%	18.69%	23.24%	20.73%	24.56%	19.76%	19.98%	22.05%	23.01%	17.85%	19.62%	26.49%	19.84%	22.59%	20.65%	21.76%	25.35%	24.96%	23.15%	17.65%	10.79%	37.50%	2.10%	2.03%	2.11%	2.19%	1.33%	0.75%	9.93%	7.99%	2.98%	11.19%	9.06%	9.38%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	382	11	7	10	6	9	6	3	10	12	5	11	9	6	18	9	15	10	10	5	16	15	9	6	5	14	14	12	12	13	14	7	5	7	10	6	6	2	20	4	2	0	1	0	1	0	0	0	3	1	2	1	1	1									
		0.81%	1.36%	0.74%	0.97%	0.50%	0.83%	0.58%	0.39%	1.20%	1.21%	0.52%	1.24%	0.88%	0.50%	2.14%	0.97%	1.61%	0.94%	1.06%	0.53%	1.71%	1.32%	1.29%	0.88%	0.81%	1.71%	1.26%	1.71%	1.15%	1.68%	1.27%	0.74%	0.58%	0.92%	1.30%	0.71%	0.93%	0.33%	1.05%	2.94%	0.25%	0.00%	0.21%	0.00%	0.08%	0.00%	0.00%	0.00%	0.29%	0.12%	0.28%	0.22%	0.31%	0.21%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	562	4	8	10	12	10	14	9	10	11	15	19	17	29	12	20	23	20	16	17	11	22	7	6	10	15	24	9	18	9	19	15	10	9	24	24	4	5	6	5	12	0	1	0	0	4	0	0	11	1	2	1	1	1									
		1.19%	0.49%	0.84%	0.97%	1.01%	0.93%	1.36%	1.18%	1.20%	1.11%	1.56%	2.15%	1.67%	2.42%	1.43%	2.15%	2.47%	1.88%	1.69%	1.79%	1.18%	1.94%	1.00%	0.88%	1.62%	1.83%	2.16%	1.28%	1.73%	1.16%	1.72%	1.60%	1.17%	1.19%	3.12%	2.82%	0.62%	0.83%	0.32%	3.68%	1.49%	0.00%	0.21%	0.00%	0.00%	0.44%	0.00%	0.00%	1.05%	0.12%	0.28%	0.22%	0.31%	0.21%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	65	1	0	2	3	2	4	0	1	3	3	1	0	2	3	1	1	3	1	3	1	1	1	0	0	2	1	2	1	1	1	1	5	2	0	1	1	2	3	0	1	0	1	0	2	0	0	0	0	1	0	0	0	0									
		0.14%	0.12%	0.00%	0.19%	0.25%	0.19%	0.39%	0.00%	0.12%	0.30%	0.31%	0.11%	0.00%	0.17%	0.36%	0.11%	0.11%	0.28%	0.11%	0.32%	0.11%	0.09%	0.14%	0.00%	0.00%	0.24%	0.09%	0.28%	0.10%	0.13%	0.09%	0.11%	0.58%	0.26%	0.00%	0.12%	0.16%	0.33%	0.16%	0.00%	0.12%	0.00%	0.21%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	674	14	15	22	17	13	16	8	13	13	16	21	18	21	21	14	23	23	18	21	14	23	18	18	11	17	28	16	17	16	18	8	14	15	22	16	17	5	9	6	17	2	2	1	3	5	0	2	3	1	1	1	0	1									
		1.43%	1.73%	1.58%	2.14%	1.43%	1.20%	1.55%	1.05%	1.56%	1.31%	1.66%	2.38%	1.76%	1.75%	2.49%	1.50%	2.47%	2.16%	1.90%	2.21%	1.50%	2.03%	2.58%	2.63%	1.78%	2.07%	2.52%	2.28%	1.63%	2.07%	1.63%	0.85%	1.63%	1.98%	2.86%	1.88%	2.64%	0.83%	0.47%	4.41%	2.11%	1.92%	0.42%	0.34%	0.23%	0.55%	0.00%	0.09%	0.29%	0.12%	0.14%	0.22%	0.00%	0.21%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	7346	140	193	206	221	199	217	159	154	191	163	160	174	239	147	191	193	227	195	169	196	258	122	128	126	195	242	112	236	150	231	165	191	144	133	197	131	91	123	25	54	15	37	22	115	76	0	7	72	67	50	31	32	34									
		15.62%	17.26%	20.32%	20.06%	18.57%	18.43%	21.05%	20.81%	18.47%	19.20%	16.94%	18.10%	17.04%	19.97%	17.46%	20.52%	20.73%	21.31%	20.59%	17.79%	21.01%	22.75%	17.50%	18.69%	20.36%	23.78%	21.78%	15.93%	22.63%	19.40%	20.89%	17.55%	22.29%	19.02%	17.27%	23.18%	20.37%	15.04%	6.49%	18.38%	6.70%	14.42%	7.76%	7.46%	8.67%	8.32%	0.00%	0.33%	6.88%	7.76%	7.10%	6.94%	10.00%	7.25%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	561	17	12	13	16	21	18	19	12	22	15	23	21	28	13	9	4	15	6	14	13	16	18	9	8	8	13	11	12	8	15	12	11	11	6	14	8	9	30	1	2	1	1	0	1	6	0	0	6	3	5	3	2	0									
		1.19%	2.10%	1.26%	1.27%	1.34%	1.94%	1.75%	2.49%	1.44%	2.21%	1.56%	2.60%	2.06%	2.34%	1.54%	0.97%	0.43%	1.41%	0.63%	1.47%	1.39%	1.41%	2.58%	1.31%	1.29%	0.98%	1.17%	1.56%	1.15%	1.03%	1.36%	1.28%	1.28%	1.45%	0.78%	1.65%	1.24%	1.49%	1.58%	0.74%	0.25%	0.96%	0.21%	0.00%	0.08%	0.66%	0.00%	0.00%	0.57%	0.35%	0.71%	0.67%	0.63%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2758	36	92	88	68	89	67	53	59	77	83	58	73	85	51	83	82	96	76	102	92	110	50	50	37	65	93	41	97	38	67	73	99	77	72	64	50	24	44	10	23	4	8	2	7	2	10	0	8	8	3	5	4	3									
		5.86%	4.44%	9.68%	8.57%	5.71%	8.24%	6.50%	6.94%	7.07%	7.74%	8.63%	6.56%	7.15%	7.10%	6.06%	8.92%	8.81%	9.01%	8.03%	10.74%	9.86%	9.70%	7.17%	7.30%	5.98%	7.93%	8.37%	5.83%	9.30%	4.92%	6.06%	7.77%	11.55%	10.17%	9.35%	7.53%	7.78%	3.97%	2.32%	7.35%	2.85%	3.85%	1.68%	0.68%	0.53%	0.22%	0.61%	0.00%	0.76%	0.93%	0.43%	1.12%	1.25%	0.64%									
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
