Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																										
Дата голосования: 18.09.2016																																																																										
																																																																										
Наименование Избирательной комиссии:    Назаровская																																																																										
																																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																																										
																																																																										
		Сумма	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №2174	УИК №2175	УИК №2176	УИК №2177	УИК №2178									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	485	7	10	5	5	15	10	7	5	5	3	5	5	5	15	15	7	7	20	5	10	7	5	20	13	4	3	5	5	1	5	5	15	5	3	5	5	15	3	5	5	20	10	7	7	5	3	2	20	7	7	7	7	7	7	7	5	7	3	5	5	7	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	80	0	0	5	0	8	0	1	2	0	0	1	0	0	2	4	1	0	1	0	1	0	0	20	13	0	0	0	0	0	0	5	1	0	0	0	0	1	0	2	0	1	0	0	1	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	136	4	3	0	4	4	3	5	2	1	5	1	2	0	4	4	5	3	3	0	3	0	0	5	3	3	2	0	1	4	1	2	4	3	0	1	0	5	1	2	0	2	0	2	2	2	0	1	6	3	1	1	3	3	2	1	2	2	0	0	1	1	1	7									
14	Число погашенных неиспользованных открепительных удостоверений	405	7	10	0	5	7	10	6	3	5	3	4	5	5	13	11	6	7	19	5	9	7	5	0	0	4	3	5	5	1	5	0	14	5	3	5	5	14	3	3	5	19	10	7	6	5	3	2	10	7	7	7	7	7	7	7	5	7	3	5	5	7	15	15									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	80	2	3	1	1	1	4	2	1	2	2	1	0	0	3	0	1	0	4	0	4	0	1	6	3	0	0	0	1	0	3	1	1	0	1	0	0	2	0	0	1	1	2	0	1	0	0	1	5	0	1	1	5	2	1	2	0	2	0	2	0	0	0	2									
		0.97%	1.67%	1.70%	0.63%	1.01%	0.35%	2.94%	1.29%	1.30%	5.13%	7.41%	1.25%	0.00%	0.00%	1.01%	0.00%	1.15%	0.00%	0.88%	0.00%	1.87%	0.00%	1.52%	1.30%	3.70%	0.00%	0.00%	0.00%	1.79%	0.00%	3.23%	1.00%	0.40%	0.00%	2.08%	0.00%	0.00%	0.75%	0.00%	0.00%	1.19%	0.28%	1.37%	0.00%	0.74%	0.00%	0.00%	2.33%	0.82%	0.00%	0.85%	0.72%	2.98%	2.27%	0.89%	1.37%	0.00%	1.61%	0.00%	2.38%	0.00%	0.00%	0.00%	0.78%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	205	1	4	5	1	4	4	2	0	1	1	2	2	0	8	4	3	5	9	2	5	0	1	19	1	1	2	4	1	1	3	5	12	2	0	1	2	2	0	1	2	10	4	3	3	1	1	0	12	2	3	3	5	3	3	2	6	1	0	3	2	2	0	13									
		2.49%	0.83%	2.27%	3.13%	1.01%	1.39%	2.94%	1.29%	0.00%	2.56%	3.70%	2.50%	3.23%	0.00%	2.70%	2.50%	3.45%	6.02%	1.97%	2.20%	2.34%	0.00%	1.52%	4.13%	1.23%	2.00%	5.41%	4.21%	1.79%	10.00%	3.23%	5.00%	4.86%	3.92%	0.00%	2.04%	3.03%	0.75%	0.00%	1.52%	2.38%	2.78%	2.74%	3.16%	2.21%	1.14%	2.13%	0.00%	1.96%	1.96%	2.54%	2.16%	2.98%	3.41%	2.68%	1.37%	6.38%	0.81%	0.00%	3.57%	3.85%	3.13%	0.00%	5.06%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	140	1	0	4	0	2	2	3	3	2	0	3	2	2	4	2	2	1	12	2	5	2	0	10	4	0	0	0	0	0	2	1	8	0	2	0	1	9	0	1	0	11	2	0	2	1	2	0	2	2	2	3	3	0	1	1	2	1	0	2	1	5	3	2									
		1.70%	0.83%	0.00%	2.50%	0.00%	0.70%	1.47%	1.94%	3.90%	5.13%	0.00%	3.75%	3.23%	3.64%	1.35%	1.25%	2.30%	1.20%	2.63%	2.20%	2.34%	2.33%	0.00%	2.17%	4.94%	0.00%	0.00%	0.00%	0.00%	0.00%	2.15%	1.00%	3.24%	0.00%	4.17%	0.00%	1.52%	3.37%	0.00%	1.52%	0.00%	3.06%	1.37%	0.00%	1.47%	1.14%	4.26%	0.00%	0.33%	1.96%	1.69%	2.16%	1.79%	0.00%	0.89%	0.68%	2.13%	0.81%	0.00%	2.38%	1.92%	7.81%	1.52%	0.78%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4948	83	126	98	66	193	58	91	62	22	17	44	35	32	174	62	46	58	249	70	137	56	44	207	37	34	24	72	39	5	63	52	131	34	28	30	45	141	31	46	57	187	83	62	91	75	20	39	332	71	69	92	93	59	75	95	61	80	39	53	31	34	155	153									
		60.09%	69.17%	71.59%	61.25%	66.67%	67.25%	42.65%	58.71%	80.52%	56.41%	62.96%	55.00%	56.45%	58.18%	58.78%	38.75%	52.87%	69.88%	54.49%	76.92%	64.02%	65.12%	66.67%	45.00%	45.68%	68.00%	64.86%	75.79%	69.64%	50.00%	67.74%	52.00%	53.04%	66.67%	58.33%	61.22%	68.18%	52.81%	72.09%	69.70%	67.86%	51.94%	56.85%	65.26%	66.91%	85.23%	42.55%	90.70%	54.25%	69.61%	58.47%	66.19%	55.36%	67.05%	66.96%	65.07%	64.89%	64.52%	84.78%	63.10%	59.62%	53.13%	78.68%	59.53%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	24	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	2	0	1	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	4	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0									
		0.29%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	1.25%	0.00%	0.00%	0.00%	1.25%	0.00%	0.00%	0.44%	0.00%	0.47%	0.00%	0.00%	0.43%	1.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	1.52%	0.00%	0.83%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.65%	0.00%	0.00%	0.72%	0.60%	1.14%	0.89%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	13	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0									
		0.16%	0.00%	0.00%	0.00%	0.00%	0.35%	0.74%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	1.23%	0.00%	0.00%	0.00%	1.79%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	1.14%	0.00%	0.00%	0.00%	0.98%	0.00%	0.00%	0.00%	0.00%	0.89%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1509	11	20	29	21	33	30	28	6	7	2	15	10	9	60	42	18	11	98	11	31	17	10	102	20	8	4	6	8	4	14	22	52	10	6	9	14	68	9	12	8	90	28	8	17	1	13	1	154	19	22	17	39	11	22	23	18	27	7	9	12	18	20	38									
		18.33%	9.17%	11.36%	18.13%	21.21%	11.50%	22.06%	18.06%	7.79%	17.95%	7.41%	18.75%	16.13%	16.36%	20.27%	26.25%	20.69%	13.25%	21.44%	12.09%	14.49%	19.77%	15.15%	22.17%	24.69%	16.00%	10.81%	6.32%	14.29%	40.00%	15.05%	22.00%	21.05%	19.61%	12.50%	18.37%	21.21%	25.47%	20.93%	18.18%	9.52%	25.00%	19.18%	8.42%	12.50%	1.14%	27.66%	2.33%	25.16%	18.63%	18.64%	12.23%	23.21%	12.50%	19.64%	15.75%	19.15%	21.77%	15.22%	10.71%	23.08%	28.13%	10.15%	14.79%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	16	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1									
		0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.65%	0.00%	0.00%	0.00%	2.50%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.75%	2.33%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	2.13%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	20	1	1	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0									
		0.24%	0.83%	0.57%	0.00%	0.00%	0.00%	0.74%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.25%	1.15%	0.00%	0.00%	0.00%	0.00%	1.16%	1.52%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.05%	0.00%	0.00%	0.00%	0.00%	0.98%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.19%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	21	0	0	2	0	1	1	1	0	1	0	1	0	0	0	1	0	0	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0									
		0.26%	0.00%	0.00%	1.25%	0.00%	0.35%	0.74%	0.65%	0.00%	2.56%	0.00%	1.25%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.66%	1.10%	0.47%	1.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.74%	0.00%	2.13%	0.00%	0.00%	0.00%	0.85%	0.00%	0.00%	0.00%	0.00%	1.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	39	0	0	0	0	1	1	2	0	0	0	2	0	1	1	4	1	0	2	1	2	0	0	2	0	0	0	1	1	0	1	1	0	0	0	0	1	2	0	0	0	3	0	0	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2									
		0.47%	0.00%	0.00%	0.00%	0.00%	0.35%	0.74%	1.29%	0.00%	0.00%	0.00%	2.50%	0.00%	1.82%	0.34%	2.50%	1.15%	0.00%	0.44%	1.10%	0.93%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	1.05%	1.79%	0.00%	1.08%	1.00%	0.00%	0.00%	0.00%	0.00%	1.52%	0.75%	0.00%	0.00%	0.00%	0.83%	0.00%	0.00%	0.00%	1.14%	8.51%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.19%	0.00%	0.00%	0.00%	0.78%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	747	19	13	5	3	41	28	13	1	2	0	7	9	8	24	29	8	3	42	3	10	2	5	74	11	4	4	8	2	0	4	11	25	2	6	5	2	23	1	4	10	31	16	17	14	5	0	1	54	1	16	10	13	7	3	13	1	7	0	7	5	3	12	40									
		9.07%	15.83%	7.39%	3.13%	3.03%	14.29%	20.59%	8.39%	1.30%	5.13%	0.00%	8.75%	14.52%	14.55%	8.11%	18.13%	9.20%	3.61%	9.19%	3.30%	4.67%	2.33%	7.58%	16.09%	13.58%	8.00%	10.81%	8.42%	3.57%	0.00%	4.30%	11.00%	10.12%	3.92%	12.50%	10.20%	3.03%	8.61%	2.33%	6.06%	11.90%	8.61%	10.96%	17.89%	10.29%	5.68%	0.00%	2.33%	8.82%	0.98%	13.56%	7.19%	7.74%	7.95%	2.68%	8.90%	1.06%	5.65%	0.00%	8.33%	9.62%	4.69%	6.09%	15.56%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	122	0	1	7	0	5	3	2	1	1	0	0	1	2	5	4	1	2	13	1	3	1	2	8	1	0	0	0	1	0	0	2	5	0	0	2	0	2	0	1	5	10	4	0	0	0	0	0	13	1	1	1	1	0	0	2	0	1	0	3	0	1	1	1									
		1.48%	0.00%	0.57%	4.38%	0.00%	1.74%	2.21%	1.29%	1.30%	2.56%	0.00%	0.00%	1.61%	3.64%	1.69%	2.50%	1.15%	2.41%	2.84%	1.10%	1.40%	1.16%	3.03%	1.74%	1.23%	0.00%	0.00%	0.00%	1.79%	0.00%	0.00%	2.00%	2.02%	0.00%	0.00%	4.08%	0.00%	0.75%	0.00%	1.52%	5.95%	2.78%	2.74%	0.00%	0.00%	0.00%	0.00%	0.00%	2.12%	0.98%	0.85%	0.72%	0.60%	0.00%	0.00%	1.37%	0.00%	0.81%	0.00%	3.57%	0.00%	1.56%	0.51%	0.39%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	118	0	4	5	2	1	2	1	0	1	3	0	0	0	5	4	1	1	6	0	4	2	1	15	2	0	1	0	1	0	0	0	4	0	0	0	1	6	0	0	1	5	1	0	4	2	0	0	16	0	2	5	0	1	1	1	1	1	0	0	1	0	2	1									
		1.43%	0.00%	2.27%	3.13%	2.02%	0.35%	1.47%	0.65%	0.00%	2.56%	11.11%	0.00%	0.00%	0.00%	1.69%	2.50%	1.15%	1.20%	1.31%	0.00%	1.87%	2.33%	1.52%	3.26%	2.47%	0.00%	2.70%	0.00%	1.79%	0.00%	0.00%	0.00%	1.62%	0.00%	0.00%	0.00%	1.52%	2.25%	0.00%	0.00%	1.19%	1.39%	0.68%	0.00%	2.94%	2.27%	0.00%	0.00%	2.61%	0.00%	1.69%	3.60%	0.00%	1.14%	0.89%	0.68%	1.06%	0.81%	0.00%	0.00%	1.92%	0.00%	1.02%	0.39%									
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
