Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Аксайская - 149																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №155	УИК №156	УИК №157	УИК №158	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №175	УИК №176	УИК №177									
		13.51%	1.13%	14.39%	4.42%	6.65%	6.82%	11.68%	4.18%	10.78%	7.59%	35.70%	11.68%	7.73%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	11	0	2	0	0	0	0	0	1	2	4	1	1									
		0.13%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.18%	0.28%	0.06%	0.24%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	279	1	8	10	17	16	3	3	7	24	17	147	26									
		3.38%	0.38%	1.99%	5.52%	5.38%	1.88%	0.70%	0.74%	0.95%	2.14%	1.21%	8.54%	6.28%									
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
