Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																	
Дата голосования: 07.12.2003 0:00:00																																																																	
																																																																	
Наименование Избирательной комиссии:    Грязовецкая																																																																	
																																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																	
																																																																	
		Сумма	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515					
18	"1. ""ЕДИНЕНИЕ"""	164	3	5	2	2	5	5	3	6	6	7	6	2	6	7	3	4	6	2	3	0	2	1	1	6	2	0	0	1	1	2	3	3	2	1	0	1	4	2	3	0	1	0	2	1	5	0	3	3	3	3	1	2	8	1	2	3	4	4					
		0.90%	0.57%	0.88%	0.36%	0.33%	0.87%	0.89%	0.40%	0.94%	1.33%	1.53%	1.05%	0.43%	1.43%	1.76%	0.55%	0.77%	1.48%	0.50%	1.29%	0.0%	0.62%	1.38%	0.81%	4.8%	0.75%	0.0%	0.0%	0.33%	0.64%	0.86%	1.11%	2.41%	0.33%	0.30%	0.0%	0.65%	1.23%	2.12%	0.59%	0.0%	1.96%	0.0%	0.92%	1.14%	1.61%	0.0%	0.93%	2.70%	1.98%	1.70%	0.26%	0.84%	1.61%	0.50%	1.27%	2.43%	2.5%	0.77%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	348	12	14	14	24	31	18	22	21	19	2	13	1	8	15	11	16	5	9	1	0	2	0	0	2	3	1	1	0	1	0	2	4	7	3	0	1	6	5	7	2	1	0	1	0	1	1	3	0	3	1	7	4	3	3	2	1	0	14					
		1.92%	2.30%	2.48%	2.56%	3.96%	5.41%	3.20%	3.00%	3.30%	4.21%	0.43%	2.28%	0.21%	1.91%	3.78%	2.04%	3.10%	1.24%	2.29%	0.43%	0.0%	0.62%	0.0%	0.0%	1.6%	1.13%	0.43%	0.49%	0.0%	0.64%	0.0%	0.74%	3.22%	1.18%	0.90%	0.0%	0.65%	1.84%	5.31%	1.39%	2.0%	1.96%	0.0%	0.46%	0.0%	0.32%	1.36%	0.93%	0.0%	1.98%	0.56%	1.86%	1.68%	0.60%	1.50%	1.27%	0.81%	0.0%	2.71%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	542	12	14	11	11	12	10	17	21	10	16	9	14	18	14	14	15	8	16	4	1	11	2	8	5	12	6	2	15	8	5	20	6	23	20	6	11	7	3	12	5	1	2	11	0	13	3	6	2	3	1	14	9	17	6	6	1	1	12					
		2.99%	2.30%	2.48%	2.01%	1.81%	2.09%	1.78%	2.32%	3.30%	2.21%	3.50%	1.58%	3.01%	4.30%	3.53%	2.60%	2.90%	1.98%	4.07%	1.73%	1.03%	3.42%	2.77%	6.55%	4.0%	4.52%	2.59%	0.98%	5.05%	5.12%	2.15%	7.40%	4.83%	3.89%	6.06%	6.18%	7.23%	2.15%	3.19%	2.38%	5.0%	1.96%	5.12%	5.09%	0.0%	4.20%	4.10%	1.86%	1.80%	1.98%	0.56%	3.72%	3.78%	3.43%	3.01%	3.82%	0.81%	0.62%	2.32%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	236	10	6	9	6	13	18	20	15	8	5	18	4	2	4	2	4	5	6	1	0	3	0	0	2	2	0	0	2	1	0	1	2	3	1	3	2	7	0	8	1	0	0	2	0	3	0	3	1	2	2	5	4	10	1	0	0	0	9					
		1.30%	1.91%	1.06%	1.64%	0.99%	2.26%	3.20%	2.73%	2.36%	1.77%	1.09%	3.16%	0.86%	0.47%	1.01%	0.37%	0.77%	1.24%	1.52%	0.43%	0.0%	0.93%	0.0%	0.0%	1.6%	0.75%	0.0%	0.0%	0.67%	0.64%	0.0%	0.37%	1.61%	0.50%	0.30%	3.09%	1.31%	2.15%	0.0%	1.59%	1.0%	0.0%	0.0%	0.92%	0.0%	0.97%	0.0%	0.93%	0.90%	1.32%	1.13%	1.32%	1.68%	2.02%	0.50%	0.0%	0.0%	0.0%	1.74%					
22	"5. ""За Русь Святую"""	64	3	3	0	0	3	2	3	1	0	3	3	0	1	0	3	4	0	0	0	0	0	0	1	0	4	1	1	0	0	2	1	1	5	1	0	1	1	0	0	0	1	1	0	0	1	0	1	0	0	0	2	1	8	0	0	1	0	0					
		0.35%	0.57%	0.53%	0.0%	0.0%	0.52%	0.35%	0.40%	0.15%	0.0%	0.65%	0.52%	0.0%	0.23%	0.0%	0.55%	0.77%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.81%	0.0%	1.50%	0.43%	0.49%	0.0%	0.0%	0.86%	0.37%	0.80%	0.84%	0.30%	0.0%	0.65%	0.30%	0.0%	0.0%	0.0%	1.96%	2.56%	0.0%	0.0%	0.32%	0.0%	0.31%	0.0%	0.0%	0.0%	0.53%	0.42%	1.61%	0.0%	0.0%	0.81%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	37	0	1	0	3	1	4	0	0	0	0	3	1	2	0	0	1	0	0	0	0	3	0	1	0	1	0	1	1	0	0	0	0	4	0	1	1	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1					
		0.20%	0.0%	0.17%	0.0%	0.49%	0.17%	0.71%	0.0%	0.0%	0.0%	0.0%	0.52%	0.21%	0.47%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.93%	0.0%	0.81%	0.0%	0.37%	0.0%	0.49%	0.33%	0.0%	0.0%	0.0%	0.0%	0.67%	0.0%	1.03%	0.65%	0.30%	0.0%	0.59%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%	0.62%	0.19%					
24	"7. ""Новый курс - Автомобильная Россия"""	99	4	4	5	5	8	8	4	10	3	5	2	3	3	4	1	0	3	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	1	1	4	0	1	0	0	0	1	0	0	1	0	1	4	1	3	0	0	1	1	1					
		0.54%	0.76%	0.71%	0.91%	0.82%	1.39%	1.42%	0.54%	1.57%	0.66%	1.09%	0.35%	0.64%	0.71%	1.01%	0.18%	0.0%	0.74%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	1.13%	0.0%	0.0%	0.0%	0.64%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.30%	1.06%	0.79%	0.0%	1.96%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.90%	0.0%	0.56%	1.06%	0.42%	0.60%	0.0%	0.0%	0.81%	0.62%	0.19%					
25	"8. ""Народно-республиканская партия России"""	20	1	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	2	2	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0					
		0.11%	0.19%	0.17%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.17%	0.21%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.81%	0.0%	0.0%	0.0%	0.49%	0.33%	0.0%	0.43%	0.0%	1.61%	0.33%	0.30%	0.0%	0.0%	0.0%	0.0%	0.19%	1.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.90%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.62%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	54	2	1	2	4	2	1	4	3	0	3	2	0	1	1	1	1	1	1	0	1	2	0	0	0	1	2	0	1	0	0	0	0	2	1	2	1	1	0	2	0	0	0	0	0	2	0	2	1	0	0	1	0	1	0	0	0	0	1					
		0.29%	0.38%	0.17%	0.36%	0.66%	0.34%	0.17%	0.54%	0.47%	0.0%	0.65%	0.35%	0.0%	0.23%	0.25%	0.18%	0.19%	0.24%	0.25%	0.0%	1.03%	0.62%	0.0%	0.0%	0.0%	0.37%	0.86%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.33%	0.30%	2.06%	0.65%	0.30%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.64%	0.0%	0.62%	0.90%	0.0%	0.0%	0.26%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.19%					
27	"10. ""Аграрная партия России"""	3550	59	59	60	84	45	57	81	64	39	38	55	57	51	25	37	56	33	21	97	60	95	4	58	29	30	131	108	20	13	11	14	9	242	116	45	51	53	28	148	32	10	0	118	6	63	22	126	52	67	94	111	33	68	98	70	51	70	176					
		19.63%	11.32%	10.47%	10.98%	13.86%	7.85%	10.16%	11.06%	10.07%	8.64%	8.33%	9.68%	12.25%	12.20%	6.31%	6.87%	10.85%	8.18%	5.34%	41.99%	61.85%	29.59%	5.55%	47.54%	23.2%	11.32%	56.70%	53.20%	6.73%	8.33%	4.74%	5.18%	7.25%	41.01%	35.15%	46.39%	33.55%	16.30%	29.78%	29.42%	32.0%	19.60%	0.0%	54.62%	6.89%	20.38%	30.13%	39.25%	46.84%	44.37%	53.40%	29.52%	13.86%	13.73%	49.24%	44.58%	41.46%	43.75%	34.10%					
28	"11. ""Истинные патриоты России"""	13	1	0	0	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0					
		0.07%	0.19%	0.0%	0.0%	0.16%	0.0%	0.17%	0.27%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.62%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.65%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.26%	0.42%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	245	7	15	9	8	7	15	15	22	8	2	14	15	2	2	11	7	10	2	0	0	11	1	0	0	0	1	1	4	0	4	0	0	8	0	0	0	6	0	5	1	0	0	0	1	0	2	5	1	2	0	2	8	5	0	3	1	0	2					
		1.35%	1.34%	2.66%	1.64%	1.32%	1.22%	2.67%	2.04%	3.46%	1.77%	0.43%	2.46%	3.22%	0.47%	0.50%	2.04%	1.35%	2.48%	0.50%	0.0%	0.0%	3.42%	1.38%	0.0%	0.0%	0.0%	0.43%	0.49%	1.34%	0.0%	1.72%	0.0%	0.0%	1.35%	0.0%	0.0%	0.0%	1.84%	0.0%	0.99%	1.0%	0.0%	0.0%	0.0%	1.14%	0.0%	2.73%	1.55%	0.90%	1.32%	0.0%	0.53%	3.36%	1.01%	0.0%	1.91%	0.81%	0.0%	0.38%					
30	"13. ""Демократическая партия России"""	35	1	0	1	1	1	1	0	4	0	1	1	0	0	1	1	0	2	1	0	0	0	0	0	0	1	0	0	1	2	0	1	0	1	1	0	2	1	0	0	1	0	0	0	0	1	1	3	0	0	0	0	0	2	0	1	0	0	0					
		0.19%	0.19%	0.0%	0.18%	0.16%	0.17%	0.17%	0.0%	0.62%	0.0%	0.21%	0.17%	0.0%	0.0%	0.25%	0.18%	0.0%	0.49%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.33%	1.28%	0.0%	0.37%	0.0%	0.16%	0.30%	0.0%	1.31%	0.30%	0.0%	0.0%	1.0%	0.0%	0.0%	0.0%	0.0%	0.32%	1.36%	0.93%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	0.0%	0.63%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	18	1	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0					
		0.09%	0.19%	0.0%	0.18%	0.16%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.50%	0.0%	1.03%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.56%	0.0%	0.0%	0.40%	0.0%	0.63%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	19	0	0	3	1	3	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0					
		0.10%	0.0%	0.0%	0.54%	0.16%	0.52%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.26%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1022	47	46	39	52	51	30	66	56	33	44	41	50	22	27	37	37	25	29	3	2	6	7	1	2	14	8	5	17	3	12	14	8	15	8	0	4	14	6	11	3	2	7	1	0	26	4	9	0	1	6	12	9	20	8	2	5	6	9					
		5.65%	9.02%	8.17%	7.14%	8.58%	8.90%	5.34%	9.01%	8.81%	7.31%	9.64%	7.21%	10.75%	5.26%	6.81%	6.87%	7.17%	6.20%	7.37%	1.29%	2.06%	1.86%	9.72%	0.81%	1.6%	5.28%	3.46%	2.46%	5.72%	1.92%	5.17%	5.18%	6.45%	2.54%	2.42%	0.0%	2.63%	4.30%	6.38%	2.18%	3.0%	3.92%	17.94%	0.46%	0.0%	8.41%	5.47%	2.80%	0.0%	0.66%	3.40%	3.19%	3.78%	4.04%	4.02%	1.27%	4.06%	3.75%	1.74%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	35	1	1	1	0	0	1	0	1	0	1	1	1	0	2	2	2	1	0	0	0	0	0	1	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	3	1	0	1	0	0	2	1	1	0	0	0	0	1	1	0	2	1	0	1					
		0.19%	0.19%	0.17%	0.18%	0.0%	0.0%	0.17%	0.0%	0.15%	0.0%	0.21%	0.17%	0.21%	0.0%	0.50%	0.37%	0.38%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.81%	0.0%	0.0%	0.43%	0.0%	0.33%	0.0%	0.86%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.59%	1.0%	0.0%	2.56%	0.0%	0.0%	0.64%	1.36%	0.31%	0.0%	0.0%	0.0%	0.0%	0.42%	0.20%	0.0%	1.27%	0.81%	0.0%	0.19%					
35	"18. ""ЛДПР"""	1822	63	46	69	64	56	62	67	84	54	52	72	50	41	34	69	43	53	63	21	2	28	5	3	17	17	21	14	30	25	26	39	10	56	20	10	21	31	18	44	8	7	0	17	14	43	7	22	6	10	16	29	23	36	11	7	9	15	42					
		10.07%	12.09%	8.17%	12.63%	10.56%	9.77%	11.05%	9.15%	13.22%	11.97%	11.40%	12.67%	10.75%	9.80%	8.58%	12.82%	8.33%	13.15%	16.03%	9.09%	2.06%	8.72%	6.94%	2.45%	13.6%	6.41%	9.09%	6.89%	10.10%	16.02%	11.20%	14.44%	8.06%	9.49%	6.06%	10.30%	13.81%	9.53%	19.14%	8.74%	8.0%	13.72%	0.0%	7.87%	16.09%	13.91%	9.58%	6.85%	5.40%	6.62%	9.09%	7.71%	9.66%	7.27%	5.52%	4.45%	7.31%	9.37%	8.13%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	442	5	20	24	16	19	14	10	17	10	13	16	11	17	14	33	16	9	14	5	6	7	1	0	6	6	0	1	12	1	10	3	1	10	8	2	5	5	3	3	3	0	0	2	0	3	2	7	3	2	0	10	8	11	3	1	1	5	8					
		2.44%	0.95%	3.55%	4.39%	2.64%	3.31%	2.49%	1.36%	2.67%	2.21%	2.85%	2.81%	2.36%	4.06%	3.53%	6.13%	3.10%	2.23%	3.56%	2.16%	6.18%	2.18%	1.38%	0.0%	4.8%	2.26%	0.0%	0.49%	4.04%	0.64%	4.31%	1.11%	0.80%	1.69%	2.42%	2.06%	3.28%	1.53%	3.19%	0.59%	3.0%	0.0%	0.0%	0.92%	0.0%	0.97%	2.73%	2.18%	2.70%	1.32%	0.0%	2.65%	3.36%	2.22%	1.50%	0.63%	0.81%	3.12%	1.55%					
37	"20. ""Политическая партия ""Единая Россия"""	6636	198	212	199	208	257	228	281	225	177	188	220	177	168	184	212	184	160	171	61	18	101	46	42	44	122	43	53	124	53	94	140	62	161	93	21	29	155	19	188	30	16	28	41	53	117	21	84	31	48	42	119	103	222	50	51	31	41	190					
		36.71%	38.00%	37.65%	36.44%	34.32%	44.85%	40.64%	38.38%	35.43%	39.24%	41.22%	38.73%	38.06%	40.19%	46.46%	39.40%	35.65%	39.70%	43.51%	26.40%	18.55%	31.46%	63.88%	34.42%	35.2%	46.03%	18.61%	26.10%	41.75%	33.97%	40.51%	51.85%	50.0%	27.28%	28.18%	21.64%	19.07%	47.69%	20.21%	37.37%	30.0%	31.37%	71.79%	18.98%	60.91%	37.86%	28.76%	26.16%	27.92%	31.78%	23.86%	31.64%	43.27%	44.84%	25.12%	32.48%	25.20%	25.62%	36.82%					
38	"21. ""Российская Конституционно-демократическая партия"""	38	0	1	1	4	0	0	1	1	0	0	1	1	0	0	2	0	3	1	0	0	1	1	0	1	0	0	0	2	1	2	0	1	0	1	0	0	1	0	1	1	0	0	0	0	2	2	1	1	0	0	1	1	1	0	0	0	0	0					
		0.21%	0.0%	0.17%	0.18%	0.66%	0.0%	0.0%	0.13%	0.15%	0.0%	0.0%	0.17%	0.21%	0.0%	0.0%	0.37%	0.0%	0.74%	0.25%	0.0%	0.0%	0.31%	1.38%	0.0%	0.8%	0.0%	0.0%	0.0%	0.67%	0.64%	0.86%	0.0%	0.80%	0.0%	0.30%	0.0%	0.0%	0.30%	0.0%	0.19%	1.0%	0.0%	0.0%	0.0%	0.0%	0.64%	2.73%	0.31%	0.90%	0.0%	0.0%	0.26%	0.42%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	29	0	2	2	0	1	3	2	5	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	2					
		0.16%	0.0%	0.35%	0.36%	0.0%	0.17%	0.53%	0.27%	0.78%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.58%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.62%	0.0%	0.0%	0.0%	0.26%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%	0.38%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1608	64	78	61	92	31	45	89	47	62	46	56	49	52	41	55	76	43	32	33	4	23	2	3	6	34	15	8	46	33	54	21	8	21	25	7	5	16	3	34	7	5	0	7	8	19	2	4	2	3	5	20	15	49	10	7	3	6	16					
		8.89%	12.28%	13.85%	11.17%	15.18%	5.41%	8.02%	12.15%	7.40%	13.74%	10.08%	9.85%	10.53%	12.44%	10.35%	10.22%	14.72%	10.66%	8.14%	14.28%	4.12%	7.16%	2.77%	2.45%	4.8%	12.83%	6.49%	3.94%	15.48%	21.15%	23.27%	7.77%	6.45%	3.55%	7.57%	7.21%	3.28%	4.92%	3.19%	6.75%	7.0%	9.80%	0.0%	3.24%	9.19%	6.14%	2.73%	1.24%	1.80%	1.98%	2.84%	5.31%	6.30%	9.89%	5.02%	4.45%	2.43%	3.75%	3.10%					
																																																																	
41	Против всех	596	18	25	27	12	20	24	30	27	15	18	29	16	11	13	13	16	19	14	1	0	19	1	2	3	8	1	5	9	5	4	7	3	13	10	0	4	6	2	20	0	4	0	9	3	6	1	18	6	4	1	27	8	6	7	2	7	7	10					
