Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																							
Дата голосования: 18.09.2016																																																																																							
																																																																																							
"Наименование Избирательной комиссии:    Уфа, Кировская"																																																																																							
																																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																							
																																																																																							
		Сумма	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №3456	УИК №3457	УИК №3480	УИК №3481	УИК №3482	УИК №3483									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	638	8	0	3	20	6	6	5	16	10	18	3	4	6	11	7	8	35	4	9	10	7	5	3	3	3	0	21	11	7	6	11	7	8	24	12	7	0	19	15	9	9	18	0	9	12	27	2	5	7	5	19	6	12	15	8	7	6	7	3	4	31	4	5	7	2	0	0	2	4	0	5	2	2	12	9	5									
		0.85%	0.56%	0.00%	0.26%	1.67%	0.67%	0.60%	0.45%	2.83%	1.19%	1.61%	0.34%	0.28%	0.43%	1.55%	0.74%	0.84%	4.55%	1.25%	0.74%	1.38%	0.86%	0.47%	0.28%	0.53%	0.45%	0.00%	3.62%	0.87%	0.64%	0.50%	1.11%	0.45%	0.69%	4.32%	1.22%	0.63%	0.00%	1.41%	1.15%	0.52%	0.57%	1.36%	0.00%	0.85%	0.77%	2.61%	0.93%	0.47%	0.45%	0.60%	1.55%	0.49%	0.89%	1.38%	0.57%	0.61%	0.53%	0.67%	0.20%	0.27%	5.79%	1.18%	1.92%	2.19%	6.90%	0.00%	0.00%	0.64%	1.40%	0.00%	0.32%	0.21%	0.12%	1.13%	0.84%	0.59%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	561	0	0	3	21	6	6	4	8	3	34	5	8	6	8	15	6	22	9	12	3	3	4	4	5	5	0	17	6	3	8	14	6	3	16	8	5	3	4	10	17	7	13	7	3	7	0	0	5	6	13	20	7	6	15	2	11	10	0	9	3	8	3	0	2	1	0	0	3	9	1	24	7	0	16	22	1									
		0.75%	0.00%	0.00%	0.26%	1.75%	0.67%	0.60%	0.36%	1.41%	0.36%	3.03%	0.57%	0.56%	0.43%	1.13%	1.59%	0.63%	2.86%	2.80%	0.99%	0.41%	0.37%	0.38%	0.37%	0.89%	0.76%	0.00%	2.93%	0.47%	0.27%	0.66%	1.41%	0.39%	0.26%	2.88%	0.81%	0.45%	0.25%	0.30%	0.77%	0.99%	0.45%	0.98%	0.42%	0.28%	0.45%	0.00%	0.00%	0.47%	0.39%	1.55%	1.63%	0.57%	0.45%	1.38%	0.14%	0.96%	0.88%	0.00%	0.60%	0.20%	1.50%	0.89%	0.00%	0.63%	3.45%	0.00%	0.00%	0.96%	3.15%	0.19%	1.52%	0.74%	0.00%	1.50%	2.06%	0.12%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	35310	667	550	540	515	370	469	533	269	395	335	417	673	655	338	450	446	289	183	573	388	386	510	521	270	311	234	263	593	529	567	469	730	628	217	462	520	570	631	614	824	733	625	793	496	731	580	101	506	735	374	575	578	625	503	659	537	536	496	715	698	267	186	132	217	20	49	46	157	135	249	743	446	761	501	503	398									
		47.05%	46.71%	44.97%	47.04%	42.99%	41.20%	47.04%	48.06%	47.53%	46.97%	29.88%	47.93%	46.74%	47.02%	47.61%	47.82%	47.05%	37.53%	57.01%	47.04%	53.44%	47.54%	48.16%	47.84%	47.96%	46.98%	46.43%	45.34%	46.69%	48.00%	47.05%	47.18%	47.01%	54.18%	39.03%	46.99%	46.64%	47.70%	46.95%	47.01%	47.77%	46.81%	47.10%	47.09%	47.06%	47.19%	55.98%	46.76%	47.60%	47.54%	44.58%	46.94%	47.11%	46.61%	46.27%	47.04%	47.06%	47.02%	47.51%	47.29%	47.04%	49.91%	55.03%	50.77%	68.03%	68.97%	62.03%	51.69%	50.32%	47.20%	47.98%	47.03%	47.05%	46.21%	47.04%	47.05%	47.27%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	519	4	0	8	54	9	13	8	9	8	24	3	3	3	5	5	7	14	5	4	5	8	4	9	3	3	3	15	9	3	3	11	12	4	9	3	8	2	7	7	9	10	9	11	7	4	0	2	4	2	8	9	7	13	10	11	3	6	4	16	5	0	6	1	1	1	0	0	1	7	0	8	6	1	15	3	5									
		0.69%	0.28%	0.00%	0.70%	4.51%	1.00%	1.30%	0.72%	1.59%	0.95%	2.14%	0.34%	0.21%	0.22%	0.70%	0.53%	0.74%	1.82%	1.56%	0.33%	0.69%	0.99%	0.38%	0.83%	0.53%	0.45%	0.60%	2.59%	0.71%	0.27%	0.25%	1.11%	0.77%	0.35%	1.62%	0.31%	0.72%	0.17%	0.52%	0.54%	0.52%	0.64%	0.68%	0.65%	0.66%	0.26%	0.00%	0.93%	0.38%	0.13%	0.95%	0.73%	0.57%	0.97%	0.92%	0.79%	0.26%	0.53%	0.38%	1.06%	0.34%	0.00%	1.78%	0.38%	0.31%	3.45%	0.00%	0.00%	0.32%	2.45%	0.00%	0.51%	0.63%	0.06%	1.41%	0.28%	0.59%									
24	"6. Политическая партия ""Гражданская Платформа"""	209	1	0	2	7	7	3	8	3	2	3	1	2	1	0	3	1	3	2	3	0	3	9	4	2	6	2	12	3	2	4	1	3	0	4	1	6	4	3	2	9	3	0	0	2	10	0	0	0	8	1	2	7	1	0	3	2	0	2	3	3	1	1	1	0	0	0	0	0	1	0	4	5	1	11	2	3									
		0.28%	0.07%	0.00%	0.17%	0.58%	0.78%	0.30%	0.72%	0.53%	0.24%	0.27%	0.11%	0.14%	0.07%	0.00%	0.32%	0.11%	0.39%	0.62%	0.25%	0.00%	0.37%	0.85%	0.37%	0.36%	0.91%	0.40%	2.07%	0.24%	0.18%	0.33%	0.10%	0.19%	0.00%	0.72%	0.10%	0.54%	0.33%	0.22%	0.15%	0.52%	0.19%	0.00%	0.00%	0.19%	0.65%	0.00%	0.00%	0.00%	0.52%	0.12%	0.16%	0.57%	0.07%	0.00%	0.21%	0.18%	0.00%	0.19%	0.20%	0.20%	0.19%	0.30%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.25%	0.53%	0.06%	1.03%	0.19%	0.36%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	17161	378	294	276	147	250	240	266	90	202	109	212	378	335	164	213	228	84	33	292	128	195	254	263	135	159	119	93	303	264	290	203	372	281	72	235	257	287	322	289	412	372	326	404	253	373	166	49	253	377	202	298	295	318	256	337	274	276	256	357	357	66	56	62	27	1	17	20	70	66	125	380	228	408	251	257	204									
		22.87%	26.47%	24.04%	24.04%	12.27%	27.84%	24.07%	23.99%	15.90%	24.02%	9.72%	24.37%	26.25%	24.05%	23.10%	22.64%	24.05%	10.91%	10.28%	23.97%	17.63%	24.01%	23.98%	24.15%	23.98%	24.02%	23.61%	16.03%	23.86%	23.96%	24.07%	20.42%	23.95%	24.25%	12.95%	23.91%	23.05%	24.02%	23.96%	22.13%	23.88%	23.75%	24.57%	23.99%	24.00%	24.08%	16.02%	22.69%	23.80%	24.39%	24.08%	24.33%	24.04%	23.71%	23.55%	24.05%	24.01%	24.21%	24.52%	23.61%	24.06%	12.34%	16.57%	23.85%	8.46%	3.45%	21.52%	22.47%	22.44%	23.08%	24.08%	24.05%	24.05%	24.77%	23.57%	24.04%	24.23%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	341	3	0	3	14	14	2	5	2	2	39	5	0	6	3	2	5	17	2	1	11	0	5	3	1	4	1	3	7	3	10	10	5	2	8	10	9	0	2	7	9	8	0	0	2	3	0	0	2	6	7	5	1	5	1	3	4	4	5	12	2	0	3	0	1	0	0	0	0	0	3	5	8	2	9	3	2									
		0.45%	0.21%	0.00%	0.26%	1.17%	1.56%	0.20%	0.45%	0.35%	0.24%	3.48%	0.57%	0.00%	0.43%	0.42%	0.21%	0.53%	2.21%	0.62%	0.08%	1.52%	0.00%	0.47%	0.28%	0.18%	0.60%	0.20%	0.52%	0.55%	0.27%	0.83%	1.01%	0.32%	0.17%	1.44%	1.02%	0.81%	0.00%	0.15%	0.54%	0.52%	0.51%	0.00%	0.00%	0.19%	0.19%	0.00%	0.00%	0.19%	0.39%	0.83%	0.41%	0.08%	0.37%	0.09%	0.21%	0.35%	0.35%	0.48%	0.79%	0.13%	0.00%	0.89%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.32%	0.84%	0.12%	0.85%	0.28%	0.24%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	430	4	0	3	14	4	3	7	14	6	54	4	1	4	5	3	0	14	7	4	5	1	4	3	3	2	6	4	3	3	8	13	10	4	8	3	6	3	4	9	8	9	4	0	7	7	0	1	2	7	5	12	12	3	8	14	3	5	1	13	4	2	1	1	0	1	0	0	2	2	4	3	7	3	17	4	5									
		0.57%	0.28%	0.00%	0.26%	1.17%	0.45%	0.30%	0.63%	2.47%	0.71%	4.82%	0.46%	0.07%	0.29%	0.70%	0.32%	0.00%	1.82%	2.18%	0.33%	0.69%	0.12%	0.38%	0.28%	0.53%	0.30%	1.19%	0.69%	0.24%	0.27%	0.66%	1.31%	0.64%	0.35%	1.44%	0.31%	0.54%	0.25%	0.30%	0.69%	0.46%	0.57%	0.30%	0.00%	0.66%	0.45%	0.00%	0.46%	0.19%	0.45%	0.60%	0.98%	0.98%	0.22%	0.74%	0.99%	0.26%	0.44%	0.10%	0.86%	0.27%	0.37%	0.30%	0.38%	0.00%	3.45%	0.00%	0.00%	0.64%	0.70%	0.77%	0.19%	0.74%	0.18%	1.60%	0.37%	0.59%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	180	6	0	6	3	4	2	7	0	0	1	3	0	4	0	2	1	1	0	2	2	0	1	5	2	4	1	0	7	3	6	1	16	1	0	8	4	0	1	0	9	2	0	0	0	3	0	0	0	6	1	0	2	2	0	2	3	2	0	2	1	1	5	0	0	0	0	0	0	0	0	4	5	2	17	3	4									
		0.24%	0.42%	0.00%	0.52%	0.25%	0.45%	0.20%	0.63%	0.00%	0.00%	0.09%	0.34%	0.00%	0.29%	0.00%	0.21%	0.11%	0.13%	0.00%	0.16%	0.28%	0.00%	0.09%	0.46%	0.36%	0.60%	0.20%	0.00%	0.55%	0.27%	0.50%	0.10%	1.03%	0.09%	0.00%	0.81%	0.36%	0.00%	0.07%	0.00%	0.52%	0.13%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.39%	0.12%	0.00%	0.16%	0.15%	0.00%	0.14%	0.26%	0.18%	0.00%	0.13%	0.07%	0.19%	1.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.53%	0.12%	1.60%	0.28%	0.48%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	768	8	0	13	35	5	14	5	18	12	69	4	15	9	2	3	7	35	14	17	10	5	3	5	4	6	3	9	6	5	10	14	10	8	19	8	12	1	19	8	8	9	0	4	17	10	0	1	21	3	15	18	13	18	14	28	5	21	22	14	2	3	8	2	2	0	0	1	0	1	11	10	6	3	16	5	7									
		1.02%	0.56%	0.00%	1.13%	2.92%	0.56%	1.40%	0.45%	3.18%	1.43%	6.16%	0.46%	1.04%	0.65%	0.28%	0.32%	0.74%	4.55%	4.36%	1.40%	1.38%	0.62%	0.28%	0.46%	0.71%	0.91%	0.60%	1.55%	0.47%	0.45%	0.83%	1.41%	0.64%	0.69%	3.42%	0.81%	1.08%	0.08%	1.41%	0.61%	0.46%	0.57%	0.00%	0.24%	1.61%	0.65%	0.00%	0.46%	1.98%	0.19%	1.79%	1.47%	1.06%	1.34%	1.29%	1.99%	0.44%	1.84%	2.11%	0.93%	0.13%	0.56%	2.37%	0.77%	0.63%	0.00%	0.00%	1.12%	0.00%	0.35%	2.12%	0.63%	0.63%	0.18%	1.50%	0.47%	0.83%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	10575	206	172	161	224	145	140	156	84	109	127	124	215	196	97	130	133	99	26	171	82	115	152	156	78	93	71	89	184	214	169	121	221	151	66	138	164	168	188	183	240	217	187	219	148	217	147	31	148	220	116	173	172	188	150	197	160	160	148	215	208	60	49	33	45	0	11	13	40	40	73	233	133	244	151	150	121									
		14.09%	14.43%	14.06%	14.02%	18.70%	16.15%	14.04%	14.07%	14.84%	12.96%	11.33%	14.25%	14.93%	14.07%	13.66%	13.82%	14.03%	12.86%	8.10%	14.04%	11.29%	14.16%	14.35%	14.33%	13.85%	14.05%	14.09%	15.34%	14.49%	19.42%	14.02%	12.17%	14.23%	13.03%	11.87%	14.04%	14.71%	14.06%	13.99%	14.01%	13.91%	13.86%	14.09%	13.00%	14.04%	14.01%	14.19%	14.35%	13.92%	14.23%	13.83%	14.12%	14.02%	14.02%	13.80%	14.06%	14.02%	14.04%	14.18%	14.22%	14.02%	11.21%	14.50%	12.69%	14.11%	0.00%	13.92%	14.61%	12.82%	13.99%	14.07%	14.75%	14.03%	14.81%	14.18%	14.03%	14.37%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	548	0	115	8	6	4	15	8	3	1	7	5	9	31	2	6	3	6	2	9	4	2	2	6	4	4	3	15	10	17	9	6	16	5	5	0	6	2	2	5	8	10	5	11	0	13	0	9	1	3	1	1	8	3	2	8	2	8	2	4	3	0	5	0	1	0	0	0	2	0	1	4	3	51	10	3	3									
		0.73%	0.00%	9.40%	0.70%	0.50%	0.45%	1.50%	0.72%	0.53%	0.12%	0.62%	0.57%	0.63%	2.23%	0.28%	0.64%	0.32%	0.78%	0.62%	0.74%	0.55%	0.25%	0.19%	0.55%	0.71%	0.60%	0.60%	2.59%	0.79%	1.54%	0.75%	0.60%	1.03%	0.43%	0.90%	0.00%	0.54%	0.17%	0.15%	0.38%	0.46%	0.64%	0.38%	0.65%	0.00%	0.84%	0.00%	4.17%	0.09%	0.19%	0.12%	0.08%	0.65%	0.22%	0.18%	0.57%	0.18%	0.70%	0.19%	0.26%	0.20%	0.00%	1.48%	0.00%	0.31%	0.00%	0.00%	0.00%	0.64%	0.00%	0.19%	0.25%	0.32%	3.10%	0.94%	0.28%	0.36%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	6228	120	53	104	89	59	79	88	35	76	73	79	114	126	61	79	85	89	26	110	62	75	96	98	50	59	45	27	115	39	108	80	139	46	66	88	99	109	120	118	137	140	121	151	95	141	114	20	95	142	77	76	110	122	73	115	103	103	96	136	134	31	9	21	4	2	1	9	28	12	47	143	86	155	22	97	76									
		8.30%	8.40%	4.33%	9.06%	7.43%	6.57%	7.92%	7.94%	6.18%	9.04%	6.51%	9.08%	7.92%	9.05%	8.59%	8.40%	8.97%	11.56%	8.10%	9.03%	8.54%	9.24%	9.07%	8.99%	8.88%	8.91%	8.93%	4.66%	9.06%	3.54%	8.96%	8.05%	8.95%	3.97%	11.87%	8.95%	8.88%	9.12%	8.93%	9.04%	7.94%	8.94%	9.12%	8.97%	9.01%	9.10%	11.00%	9.26%	8.94%	9.18%	9.18%	6.20%	8.96%	9.10%	6.72%	8.21%	9.03%	9.04%	9.20%	8.99%	9.03%	5.79%	2.66%	8.08%	1.25%	6.90%	1.27%	10.11%	8.97%	4.20%	9.06%	9.05%	9.07%	9.41%	2.07%	9.07%	9.03%									
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
