Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																		
Дата голосования: 07.12.2003 0:00:00																		
																		
Наименование Избирательной комиссии:    Игарская городская																		
																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																		
																		
		Сумма	УИК  108	УИК  109	УИК  110	УИК  111	УИК  112	УИК  113	УИК  114	УИК  115	УИК  116	УИК  117	УИК  118					
		1.67%	5.15%	0.48%	3.57%	1.15%	2.00%	3.75%	2.36%	1.79%	1.89%	1.35%	0.94%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	156	2	40	2	19	9	4	3	13	21	18	25					
		3.34%	2.06%	6.49%	1.78%	3.13%	2.00%	1.50%	1.42%	2.91%	2.84%	3.04%	4.72%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	144	2	13	4	15	21	14	4	18	21	17	15					
		3.09%	2.06%	2.11%	3.57%	2.47%	4.68%	5.26%	1.89%	4.03%	2.84%	2.87%	2.83%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	205	4	24	1	40	15	6	11	19	33	29	23					
		4.39%	4.12%	3.89%	0.89%	6.58%	3.34%	2.25%	5.21%	4.26%	4.47%	4.90%	4.34%					
22	"5. ""За Русь Святую"""	24	4	2	1	4	2	0	0	3	3	2	3					
		0.51%	4.12%	0.32%	0.89%	0.65%	0.44%	0.0%	0.0%	0.67%	0.40%	0.33%	0.56%					
23	"6. ""Объединенная Российская партия ""Русь"""	14	1	1	0	2	3	2	0	2	1	1	1					
		0.30%	1.03%	0.16%	0.0%	0.32%	0.66%	0.75%	0.0%	0.44%	0.13%	0.16%	0.18%					
24	"7. ""Новый курс - Автомобильная Россия"""	18	0	1	1	6	1	1	0	1	2	4	1					
		0.38%	0.0%	0.16%	0.89%	0.98%	0.22%	0.37%	0.0%	0.22%	0.27%	0.67%	0.18%					
25	"8. ""Народно-республиканская партия России"""	10	0	0	1	1	0	2	0	0	2	3	1					
		0.21%	0.0%	0.0%	0.89%	0.16%	0.0%	0.75%	0.0%	0.0%	0.27%	0.50%	0.18%					
26	"9. ""Российская экологическая партия ""Зеленые"""	19	0	1	1	1	0	1	0	2	4	6	3					
		0.40%	0.0%	0.16%	0.89%	0.16%	0.0%	0.37%	0.0%	0.44%	0.54%	1.01%	0.56%					
27	"10. ""Аграрная партия России"""	88	0	10	3	5	9	6	2	5	19	16	13					
		1.88%	0.0%	1.62%	2.67%	0.82%	2.00%	2.25%	0.94%	1.12%	2.57%	2.70%	2.45%					
28	"11. ""Истинные патриоты России"""	4	0	1	0	0	0	0	1	1	0	1	0					
		0.08%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.47%	0.22%	0.0%	0.16%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	38	3	10	4	3	2	2	0	1	4	6	3					
		0.81%	3.09%	1.62%	3.57%	0.49%	0.44%	0.75%	0.0%	0.22%	0.54%	1.01%	0.56%					
30	"13. ""Демократическая партия России"""	14	0	1	0	1	1	1	1	2	4	3	0					
		0.30%	0.0%	0.16%	0.0%	0.16%	0.22%	0.37%	0.47%	0.44%	0.54%	0.50%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	11	0	4	0	1	1	1	0	0	0	2	2					
		0.23%	0.0%	0.64%	0.0%	0.16%	0.22%	0.37%	0.0%	0.0%	0.0%	0.33%	0.37%					
32	"15. ""Партия СЛОН"""	9	0	2	0	0	0	0	1	2	4	0	0					
		0.19%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.47%	0.44%	0.54%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	676	6	122	18	89	47	31	26	45	96	99	97					
		14.50%	6.18%	19.80%	16.07%	14.66%	10.49%	11.65%	12.32%	10.08%	13.02%	16.75%	18.33%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	11	0	1	0	2	2	2	2	1	0	1	0					
		0.23%	0.0%	0.16%	0.0%	0.32%	0.44%	0.75%	0.94%	0.22%	0.0%	0.16%	0.0%					
35	"18. ""ЛДПР"""	704	6	82	9	108	61	39	39	93	124	72	71					
		15.10%	6.18%	13.31%	8.03%	17.79%	13.61%	14.66%	18.48%	20.85%	16.82%	12.18%	13.42%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	89	2	7	1	7	10	8	4	12	9	13	16					
		1.90%	2.06%	1.13%	0.89%	1.15%	2.23%	3.00%	1.89%	2.69%	1.22%	2.19%	3.02%					
37	"20. ""Политическая партия ""Единая Россия"""	1694	49	201	45	223	164	106	91	162	270	218	165					
		36.35%	50.51%	32.62%	40.17%	36.73%	36.60%	39.84%	43.12%	36.32%	36.63%	36.88%	31.19%					
38	"21. ""Российская Конституционно-демократическая партия"""	8	0	1	0	0	0	1	0	2	1	2	1					
		0.17%	0.0%	0.16%	0.0%	0.0%	0.0%	0.37%	0.0%	0.44%	0.13%	0.33%	0.18%					
39	"22. ""Развитие предпринимательства"""	8	0	2	0	0	0	0	1	2	1	0	2					
		0.17%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.47%	0.44%	0.13%	0.0%	0.37%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	303	8	44	10	40	46	11	11	19	52	31	31					
		6.50%	8.24%	7.14%	8.92%	6.58%	10.26%	4.13%	5.21%	4.26%	7.05%	5.24%	5.86%					
																		
41	Против всех	235	3	38	4	22	24	10	6	20	34	32	42					
		5.04%	3.09%	6.16%	3.57%	3.62%	5.35%	3.75%	2.84%	4.48%	4.61%	5.41%	7.93%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
