Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																									
Дата голосования: 07.12.2003 0:00:00																																									
																																									
Наименование Избирательной комиссии:    Половинская																																									
																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																									
																																									
		Сумма	УИК №766	УИК  767	УИК  768	УИК  769	УИК  770	УИК  771	УИК  772	УИК  773	УИК  774	УИК  775	УИК  776	УИК  777	УИК  778	УИК  779	УИК  780	УИК  781	УИК  782	УИК  783	УИК  784	УИК  785	УИК  786	УИК  787	УИК  788	УИК  789	УИК  790	УИК  791	УИК  792	УИК  793	УИК  794	УИК  795	УИК  796	УИК  797	УИК  798	УИК  799					
		1.41%	1.89%	0.97%	3.67%	0.42%	3.25%	2.15%	0.0%	2.27%	2.69%	1.70%	0.47%	2.80%	1.40%	1.21%	1.03%	1.59%	1.02%	0.0%	0.0%	0.44%	1.58%	0.63%	0.81%	1.84%	0.0%	1.96%	0.0%	2.07%	1.86%	0.0%	0.0%	1.48%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	74	2	6	1	2	2	1	0	1	0	0	0	0	6	5	7	3	1	3	1	0	0	15	0	4	1	5	0	3	2	0	0	0	3	0					
		0.96%	0.63%	1.45%	0.40%	0.85%	0.65%	0.71%	0.0%	0.75%	0.0%	0.0%	0.0%	0.0%	1.05%	0.75%	1.03%	0.95%	1.02%	3.37%	0.84%	0.0%	0.0%	3.19%	0.0%	2.45%	1.92%	1.40%	0.0%	0.88%	0.74%	0.0%	0.0%	0.0%	4.91%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	248	14	17	7	3	6	7	2	11	7	5	6	11	15	23	20	9	0	6	2	4	0	23	1	2	0	12	2	9	4	0	8	10	2	0					
		3.22%	4.41%	4.13%	2.85%	1.28%	1.95%	5.03%	3.44%	8.33%	3.13%	4.27%	2.84%	10.28%	2.63%	3.49%	2.95%	2.87%	0.0%	6.74%	1.69%	1.76%	0.0%	4.90%	0.81%	1.22%	0.0%	3.36%	2.56%	2.66%	1.49%	0.0%	12.30%	3.70%	3.27%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	91	6	5	1	1	3	0	2	0	0	2	0	1	13	10	8	2	2	1	1	3	1	11	2	3	2	4	0	1	0	0	0	5	1	0					
		1.18%	1.89%	1.21%	0.40%	0.42%	0.97%	0.0%	3.44%	0.0%	0.0%	1.70%	0.0%	0.93%	2.28%	1.51%	1.18%	0.63%	2.04%	1.12%	0.84%	1.32%	1.58%	2.34%	1.62%	1.84%	3.84%	1.12%	0.0%	0.29%	0.0%	0.0%	0.0%	1.85%	1.63%	0.0%					
22	"5. ""За Русь Святую"""	22	0	1	0	4	0	0	0	0	0	1	0	1	3	5	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	2					
		0.28%	0.0%	0.24%	0.0%	1.71%	0.0%	0.0%	0.0%	0.0%	0.0%	0.85%	0.0%	0.93%	0.52%	0.75%	0.14%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.61%	0.0%	0.0%	0.0%	0.0%	0.0%	1.09%	0.0%	0.0%	0.0%	4.44%					
23	"6. ""Объединенная Российская партия ""Русь"""	27	5	3	0	0	1	0	0	0	1	3	0	0	2	3	1	0	0	0	0	2	2	2	0	1	0	0	0	0	0	0	0	0	1	0					
		0.35%	1.57%	0.72%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.44%	2.56%	0.0%	0.0%	0.35%	0.45%	0.14%	0.0%	0.0%	0.0%	0.0%	0.88%	3.17%	0.42%	0.0%	0.61%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.63%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	34	1	1	1	0	3	0	0	2	0	0	0	1	6	2	2	0	1	0	0	1	0	1	0	0	1	0	0	4	3	0	0	4	0	0					
		0.44%	0.31%	0.24%	0.40%	0.0%	0.97%	0.0%	0.0%	1.51%	0.0%	0.0%	0.0%	0.93%	1.05%	0.30%	0.29%	0.0%	1.02%	0.0%	0.0%	0.44%	0.0%	0.21%	0.0%	0.0%	1.92%	0.0%	0.0%	1.18%	1.11%	0.0%	0.0%	1.48%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	9	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	1	0	0					
		0.11%	0.0%	0.0%	0.81%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.58%	0.21%	0.0%	0.0%	1.92%	0.28%	0.0%	0.29%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	8	0	2	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
		0.10%	0.0%	0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.17%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.81%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	632	12	32	41	29	33	8	11	12	18	10	31	15	30	21	26	10	4	10	4	41	22	45	7	2	2	28	8	62	25	1	8	22	1	1					
		8.21%	3.78%	7.78%	16.73%	12.44%	10.74%	5.75%	18.96%	9.09%	8.07%	8.54%	14.69%	14.01%	5.27%	3.19%	3.84%	3.19%	4.08%	11.23%	3.38%	18.14%	34.92%	9.59%	5.69%	1.22%	3.84%	7.84%	10.25%	18.34%	9.32%	1.09%	12.30%	8.14%	1.63%	2.22%					
28	"11. ""Истинные патриоты России"""	12	0	0	0	0	3	0	0	0	1	0	0	0	0	2	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0					
		0.15%	0.0%	0.0%	0.0%	0.0%	0.97%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	0.30%	0.14%	0.0%	0.0%	0.0%	0.84%	0.0%	0.0%	0.0%	0.0%	0.61%	0.0%	0.0%	1.28%	0.0%	0.0%	0.0%	0.0%	0.74%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	158	3	14	3	7	3	0	0	2	2	2	3	1	14	20	20	5	6	3	0	4	1	9	1	0	2	2	0	8	5	0	3	14	0	1					
		2.05%	0.94%	3.40%	1.22%	3.00%	0.97%	0.0%	0.0%	1.51%	0.89%	1.70%	1.42%	0.93%	2.46%	3.03%	2.95%	1.59%	6.12%	3.37%	0.0%	1.76%	1.58%	1.91%	0.81%	0.0%	3.84%	0.56%	0.0%	2.36%	1.86%	0.0%	4.61%	5.18%	0.0%	2.22%					
30	"13. ""Демократическая партия России"""	19	0	5	1	0	0	0	0	0	0	1	1	0	2	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	1	2	1	0	0	0					
		0.24%	0.0%	1.21%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.85%	0.47%	0.0%	0.35%	0.15%	0.29%	0.31%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	2.19%	1.53%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	13	0	0	2	0	0	0	0	0	2	1	0	0	0	1	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0					
		0.16%	0.0%	0.0%	0.81%	0.0%	0.0%	0.0%	0.0%	0.0%	0.89%	0.85%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	1.12%	1.69%	0.0%	3.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.53%	0.37%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	13	1	1	0	0	1	0	0	0	0	0	1	0	0	2	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0					
		0.16%	0.31%	0.24%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%	0.30%	0.29%	0.0%	0.0%	1.12%	0.84%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	1.63%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	277	10	10	2	2	17	3	5	4	14	3	1	3	24	46	25	12	2	8	3	10	1	13	3	4	0	10	5	8	5	4	2	7	8	3					
		3.60%	3.15%	2.43%	0.81%	0.85%	5.53%	2.15%	8.62%	3.03%	6.27%	2.56%	0.47%	2.80%	4.21%	6.99%	3.69%	3.83%	2.04%	8.98%	2.54%	4.42%	1.58%	2.77%	2.43%	2.45%	0.0%	2.80%	6.41%	2.36%	1.86%	4.39%	3.07%	2.59%	13.11%	6.66%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	21	0	3	0	0	1	0	0	0	1	1	1	0	1	1	0	1	0	1	2	0	1	2	0	0	0	0	0	1	1	1	0	1	1	0					
		0.27%	0.0%	0.72%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.44%	0.85%	0.47%	0.0%	0.17%	0.15%	0.0%	0.31%	0.0%	1.12%	1.69%	0.0%	1.58%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.37%	1.09%	0.0%	0.37%	1.63%	0.0%					
35	"18. ""ЛДПР"""	1887	110	74	74	92	57	21	4	33	49	25	63	21	122	150	206	90	33	13	31	67	3	98	33	40	18	64	28	82	56	25	19	55	20	11					
		24.53%	34.70%	18.00%	30.20%	39.48%	18.56%	15.10%	6.89%	25.0%	21.97%	21.36%	29.85%	19.62%	21.44%	22.79%	30.47%	28.75%	33.67%	14.60%	26.27%	29.64%	4.76%	20.89%	26.82%	24.53%	34.61%	17.92%	35.89%	24.26%	20.89%	27.47%	29.23%	20.37%	32.78%	24.44%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	145	1	6	5	4	2	5	0	0	5	1	6	5	19	7	11	9	2	2	2	6	1	10	2	5	2	8	5	4	2	1	0	5	0	2					
		1.88%	0.31%	1.45%	2.04%	1.71%	0.65%	3.59%	0.0%	0.0%	2.24%	0.85%	2.84%	4.67%	3.33%	1.06%	1.62%	2.87%	2.04%	2.24%	1.69%	2.65%	1.58%	2.13%	1.62%	3.06%	3.84%	2.24%	6.41%	1.18%	0.74%	1.09%	0.0%	1.85%	0.0%	4.44%					
37	"20. ""Политическая партия ""Единая Россия"""	2399	97	114	64	60	111	49	7	21	41	21	45	23	199	221	242	102	37	19	45	66	21	153	44	74	7	150	19	92	122	23	10	72	8	20					
		31.19%	30.59%	27.73%	26.12%	25.75%	36.15%	35.25%	12.06%	15.90%	18.38%	17.94%	21.32%	21.49%	34.97%	33.58%	35.79%	32.58%	37.75%	21.34%	38.13%	29.20%	33.33%	32.62%	35.77%	45.39%	13.46%	42.01%	24.35%	27.21%	45.52%	25.27%	15.38%	26.66%	13.11%	44.44%					
38	"21. ""Российская Конституционно-демократическая партия"""	18	0	1	1	0	0	0	0	0	1	0	0	2	1	0	1	1	0	0	1	1	0	2	0	0	2	0	0	1	1	0	0	2	0	0					
		0.23%	0.0%	0.24%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	1.86%	0.17%	0.0%	0.14%	0.31%	0.0%	0.0%	0.84%	0.44%	0.0%	0.42%	0.0%	0.0%	3.84%	0.0%	0.0%	0.29%	0.37%	0.0%	0.0%	0.74%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	17	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	2	0	2	0	1	0	4	1	0	0	2	0	0					
		0.22%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.75%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.14%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	1.22%	0.0%	0.28%	0.0%	1.18%	0.37%	0.0%	0.0%	0.74%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1004	31	98	17	17	30	32	22	19	58	24	44	18	83	73	55	41	5	12	14	13	5	50	22	10	12	51	8	29	17	30	7	44	9	4					
		13.05%	9.77%	23.84%	6.93%	7.29%	9.77%	23.02%	37.93%	14.39%	26.00%	20.51%	20.85%	16.82%	14.58%	11.09%	8.13%	13.09%	5.10%	13.48%	11.86%	5.75%	7.93%	10.66%	17.88%	6.13%	23.07%	14.28%	10.25%	8.57%	6.34%	32.96%	10.76%	16.29%	14.75%	8.88%					
																																									
41	Против всех	358	12	12	5	10	17	5	5	21	14	12	7	2	18	46	29	19	3	4	5	6	0	17	5	10	2	12	2	17	12	3	6	15	4	1					
		4.65%	3.78%	2.91%	2.04%	4.29%	5.53%	3.59%	8.62%	15.90%	6.27%	10.25%	3.31%	1.86%	3.16%	6.99%	4.28%	6.07%	3.06%	4.49%	4.23%	2.65%	0.0%	3.62%	4.06%	6.13%	3.84%	3.36%	2.56%	5.02%	4.47%	3.29%	9.23%	5.55%	6.55%	2.22%					
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
