Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																								
Дата голосования: 07.12.2003 0:00:00																																																																								
																																																																								
Наименование Избирательной комиссии:    Меленковская																																																																								
																																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																								
																																																																								
		Сумма	УИК  929	УИК  930	УИК  931	УИК  932	УИК  933	УИК  934	УИК  935	УИК  936	УИК  937	УИК  938	УИК  939	УИК  940	УИК  941	УИК  942	УИК  943	УИК  944	УИК  945	УИК  946	УИК  947	УИК  948	УИК  949	УИК  950	УИК  951	УИК  952	УИК  953	УИК  954	УИК  955	УИК  956	УИК  957	УИК  958	УИК  959	УИК  960	УИК  961	УИК  962	УИК  963	УИК  964	УИК  965	УИК  966	УИК  967	УИК  968	УИК  969	УИК  970	УИК  971	УИК  972	УИК  973	УИК  974	УИК  975	УИК  976	УИК  977	УИК  978	УИК  979	УИК  980	УИК  981	УИК  982	УИК  983	УИК  984	УИК  985	УИК  986	УИК  987	УИК  988	УИК  989	УИК  990	УИК  991	УИК  992	УИК  993					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																								
18	"1. ""ЕДИНЕНИЕ"""	224	6	3	3	7	16	11	4	4	6	1	2	2	2	1	3	4	7	1	3	2	6	0	6	5	0	3	2	1	8	3	1	6	0	1	4	1	0	11	1	0	3	3	8	1	4	3	3	1	4	0	5	1	6	1	3	1	2	6	8	2	0	2	3	0	7					
		1.37%	0.69%	0.29%	0.31%	0.94%	1.65%	1.12%	1.21%	1.95%	2.77%	0.54%	0.88%	1.43%	2.0%	0.52%	2.97%	3.38%	1.64%	1.17%	3.06%	1.05%	3.48%	0.0%	5.08%	1.93%	0.0%	2.08%	1.25%	0.89%	2.48%	2.72%	0.45%	1.09%	0.0%	0.76%	4.49%	0.61%	0.0%	2.58%	0.67%	0.0%	2.01%	1.10%	2.27%	0.28%	1.69%	1.94%	1.09%	1.35%	1.24%	0.0%	2.71%	0.86%	3.59%	1.17%	2.60%	1.42%	1.01%	1.81%	4.27%	3.03%	0.0%	0.97%	2.06%	0.0%	5.64%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	232	18	22	23	23	18	21	2	0	1	5	6	0	9	3	2	2	3	0	1	1	2	2	2	4	0	3	0	0	4	0	0	9	0	1	0	1	0	3	3	1	1	0	6	5	1	2	5	0	3	1	0	0	4	0	0	0	1	3	1	3	0	0	0	0	1					
		1.42%	2.08%	2.12%	2.43%	3.11%	1.85%	2.15%	0.60%	0.0%	0.46%	2.74%	2.65%	0.0%	9.0%	1.57%	1.98%	1.69%	0.70%	0.0%	1.02%	0.52%	1.16%	0.86%	1.69%	1.55%	0.0%	2.08%	0.0%	0.0%	1.24%	0.0%	0.0%	1.64%	0.0%	0.76%	0.0%	0.61%	0.0%	0.70%	2.01%	1.23%	0.67%	0.0%	1.70%	1.40%	0.42%	1.29%	1.81%	0.0%	0.93%	1.44%	0.0%	0.0%	2.39%	0.0%	0.0%	0.0%	0.50%	0.90%	0.53%	4.54%	0.0%	0.0%	0.0%	0.0%	0.80%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	422	29	23	41	20	31	29	7	9	3	5	1	6	0	4	2	4	11	3	2	0	5	5	5	7	3	4	2	3	15	2	1	21	3	3	1	2	0	5	5	2	1	8	5	9	2	1	3	6	7	1	1	2	6	0	1	3	7	3	2	3	13	3	1	6	4					
		2.58%	3.36%	2.22%	4.34%	2.70%	3.20%	2.97%	2.12%	4.39%	1.38%	2.74%	0.44%	4.31%	0.0%	2.10%	1.98%	3.38%	2.58%	3.52%	2.04%	0.0%	2.90%	2.17%	4.23%	2.71%	3.61%	2.77%	1.25%	2.67%	4.65%	1.81%	0.45%	3.83%	1.71%	2.29%	1.12%	1.23%	0.0%	1.17%	3.35%	2.46%	0.67%	2.94%	1.42%	2.52%	0.84%	0.64%	1.09%	8.10%	2.18%	1.44%	0.54%	1.72%	3.59%	0.0%	0.86%	4.28%	3.53%	0.90%	1.06%	4.54%	12.26%	1.46%	0.68%	6.59%	3.22%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	328	25	30	30	34	23	31	3	3	2	2	2	0	0	7	0	4	6	3	1	3	2	10	2	7	2	1	5	1	4	2	1	11	3	0	1	1	0	7	0	0	5	5	2	11	3	1	0	0	1	0	0	2	6	0	0	2	2	6	5	3	4	1	0	0	0					
		2.00%	2.90%	2.90%	3.17%	4.60%	2.37%	3.18%	0.90%	1.46%	0.92%	1.09%	0.88%	0.0%	0.0%	3.68%	0.0%	3.38%	1.40%	3.52%	1.02%	1.58%	1.16%	4.34%	1.69%	2.71%	2.40%	0.69%	3.12%	0.89%	1.24%	1.81%	0.45%	2.01%	1.71%	0.0%	1.12%	0.61%	0.0%	1.64%	0.0%	0.0%	3.35%	1.83%	0.56%	3.08%	1.27%	0.64%	0.0%	0.0%	0.31%	0.0%	0.0%	1.72%	3.59%	0.0%	0.0%	2.85%	1.01%	1.81%	2.67%	4.54%	3.77%	0.48%	0.0%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	106	5	7	2	5	9	3	2	3	0	1	0	1	1	3	1	1	2	0	1	0	0	3	0	2	1	2	2	1	1	0	0	1	1	0	0	1	0	3	5	0	0	1	4	3	2	0	1	1	0	3	0	0	3	0	2	2	0	2	2	5	0	4	1	0	0					
		0.64%	0.58%	0.67%	0.21%	0.67%	0.92%	0.30%	0.60%	1.46%	0.0%	0.54%	0.0%	0.71%	1.0%	1.57%	0.99%	0.84%	0.46%	0.0%	1.02%	0.0%	0.0%	1.30%	0.0%	0.77%	1.20%	1.38%	1.25%	0.89%	0.31%	0.0%	0.0%	0.18%	0.57%	0.0%	0.0%	0.61%	0.0%	0.70%	3.35%	0.0%	0.0%	0.36%	1.13%	0.84%	0.84%	0.0%	0.36%	1.35%	0.0%	4.34%	0.0%	0.0%	1.79%	0.0%	1.73%	2.85%	0.0%	0.60%	1.06%	7.57%	0.0%	1.95%	0.68%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	80	4	3	2	5	1	0	1	1	1	2	0	0	2	1	1	1	1	1	0	4	1	3	1	1	0	2	3	1	1	0	0	2	1	0	2	0	0	1	1	1	0	2	2	5	0	0	2	0	0	0	3	2	1	0	1	0	0	3	3	0	2	1	0	0	1					
		0.49%	0.46%	0.29%	0.21%	0.67%	0.10%	0.0%	0.30%	0.48%	0.46%	1.09%	0.0%	0.0%	2.0%	0.52%	0.99%	0.84%	0.23%	1.17%	0.0%	2.11%	0.58%	1.30%	0.84%	0.38%	0.0%	1.38%	1.87%	0.89%	0.31%	0.0%	0.0%	0.36%	0.57%	0.0%	2.24%	0.0%	0.0%	0.23%	0.67%	1.23%	0.0%	0.73%	0.56%	1.40%	0.0%	0.0%	0.72%	0.0%	0.0%	0.0%	1.63%	1.72%	0.59%	0.0%	0.86%	0.0%	0.0%	0.90%	1.60%	0.0%	1.88%	0.48%	0.0%	0.0%	0.80%					
24	"7. ""Новый курс - Автомобильная Россия"""	92	5	7	7	2	12	6	3	0	1	1	1	2	1	1	0	1	5	0	0	0	1	0	0	1	0	0	0	1	1	0	1	6	0	0	0	0	0	8	1	0	1	2	2	2	0	0	1	0	0	0	1	0	0	0	1	0	2	1	0	1	1	0	1	1	0					
		0.56%	0.58%	0.67%	0.74%	0.27%	1.23%	0.61%	0.90%	0.0%	0.46%	0.54%	0.44%	1.43%	1.0%	0.52%	0.0%	0.84%	1.17%	0.0%	0.0%	0.0%	0.58%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.89%	0.31%	0.0%	0.45%	1.09%	0.0%	0.0%	0.0%	0.0%	0.0%	1.87%	0.67%	0.0%	0.67%	0.73%	0.56%	0.56%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.86%	0.0%	1.01%	0.30%	0.0%	1.51%	0.94%	0.0%	0.68%	1.09%	0.0%					
25	"8. ""Народно-республиканская партия России"""	23	1	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	1	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1					
		0.14%	0.11%	0.0%	0.0%	0.0%	0.10%	0.0%	0.60%	0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.62%	0.89%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.67%	0.0%	0.0%	0.36%	0.28%	0.56%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.73%	0.0%	0.0%	0.0%	1.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.80%					
26	"9. ""Российская экологическая партия ""Зеленые"""	41	1	7	3	2	4	3	0	1	0	1	1	3	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1					
		0.25%	0.11%	0.67%	0.31%	0.27%	0.41%	0.30%	0.0%	0.48%	0.0%	0.54%	0.44%	2.15%	0.0%	0.52%	0.99%	0.0%	0.23%	0.0%	0.0%	0.0%	0.58%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.89%	0.31%	0.0%	0.0%	0.18%	0.57%	0.0%	0.0%	0.61%	0.0%	0.0%	0.67%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.48%	0.0%	0.0%	0.80%					
27	"10. ""Аграрная партия России"""	1170	50	49	28	27	37	31	18	13	22	11	3	13	1	3	2	5	14	1	2	11	21	2	3	23	9	16	10	18	20	11	51	87	11	57	4	16	25	29	13	9	3	12	16	32	13	18	26	0	23	1	2	0	11	5	13	11	87	35	42	0	3	24	3	12	2					
		7.16%	5.80%	4.73%	2.96%	3.65%	3.82%	3.18%	5.45%	6.34%	10.18%	6.04%	1.32%	9.35%	1.0%	1.57%	1.98%	4.23%	3.28%	1.17%	2.04%	5.82%	12.20%	0.86%	2.54%	8.91%	10.84%	11.11%	6.25%	16.07%	6.21%	10.0%	23.18%	15.90%	6.28%	43.51%	4.49%	9.87%	40.98%	6.80%	8.72%	11.11%	2.01%	4.41%	4.55%	8.98%	5.50%	11.68%	9.45%	0.0%	7.16%	1.44%	1.08%	0.0%	6.58%	5.88%	11.30%	15.71%	43.93%	10.60%	22.45%	0.0%	2.83%	11.70%	2.06%	13.18%	1.61%					
28	"11. ""Истинные патриоты России"""	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.03%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	1.35%	0.62%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	187	9	12	12	7	10	17	2	2	2	3	0	0	3	1	1	4	3	1	1	3	4	2	1	3	1	3	3	1	3	0	5	7	1	0	2	0	0	4	3	1	1	4	6	7	1	0	2	8	2	0	0	1	3	3	1	0	0	3	1	2	0	3	1	1	0					
		1.14%	1.04%	1.16%	1.27%	0.94%	1.03%	1.74%	0.60%	0.97%	0.92%	1.64%	0.0%	0.0%	3.0%	0.52%	0.99%	3.38%	0.70%	1.17%	1.02%	1.58%	2.32%	0.86%	0.84%	1.16%	1.20%	2.08%	1.87%	0.89%	0.93%	0.0%	2.27%	1.27%	0.57%	0.0%	2.24%	0.0%	0.0%	0.93%	2.01%	1.23%	0.67%	1.47%	1.70%	1.96%	0.42%	0.0%	0.72%	10.81%	0.62%	0.0%	0.0%	0.86%	1.79%	3.52%	0.86%	0.0%	0.0%	0.90%	0.53%	3.03%	0.0%	1.46%	0.68%	1.09%	0.0%					
30	"13. ""Демократическая партия России"""	43	3	1	2	2	1	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	0	2	0	2	0	1	1	0	0	1	0	1	0	0	0	2	0	0	0	0	3	2	0	0	1	4	0	0	3	0	0	0	0	1	1	0	0					
		0.26%	0.34%	0.09%	0.21%	0.27%	0.10%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.08%	0.62%	0.0%	0.0%	1.81%	0.0%	0.36%	0.0%	0.76%	1.12%	0.0%	0.0%	0.23%	0.0%	1.23%	0.0%	0.0%	0.0%	0.56%	0.0%	0.0%	0.0%	0.0%	0.93%	2.89%	0.0%	0.0%	0.59%	4.70%	0.0%	0.0%	1.51%	0.0%	0.0%	0.0%	0.0%	0.48%	0.68%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	48	1	2	1	4	2	0	3	1	0	0	0	0	0	0	1	0	2	0	0	0	2	3	0	1	0	0	1	0	2	1	0	1	0	0	0	0	0	1	0	0	0	0	3	3	1	3	0	0	1	0	0	0	1	1	0	1	0	0	2	2	1	0	0	0	0					
		0.29%	0.11%	0.19%	0.10%	0.54%	0.20%	0.0%	0.90%	0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.99%	0.0%	0.46%	0.0%	0.0%	0.0%	1.16%	1.30%	0.0%	0.38%	0.0%	0.0%	0.62%	0.0%	0.62%	0.90%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.85%	0.84%	0.42%	1.94%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.59%	1.17%	0.0%	1.42%	0.0%	0.0%	1.06%	3.03%	0.94%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	34	2	2	4	2	0	2	2	0	1	1	0	1	0	0	1	0	3	0	0	0	1	1	0	2	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
		0.20%	0.23%	0.19%	0.42%	0.27%	0.0%	0.20%	0.60%	0.0%	0.46%	0.54%	0.0%	0.71%	0.0%	0.0%	0.99%	0.0%	0.70%	0.0%	0.0%	0.0%	0.58%	0.43%	0.0%	0.77%	0.0%	0.0%	0.62%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.76%	0.0%	0.0%	0.0%	0.0%	0.67%	0.0%	0.0%	0.0%	0.0%	0.0%	0.84%	0.0%	0.36%	0.0%	0.31%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1051	70	118	75	69	86	103	24	11	6	13	9	3	4	15	5	4	36	5	6	7	7	8	11	11	0	5	11	7	14	5	2	37	19	2	10	5	2	25	5	4	7	15	15	29	10	3	12	1	14	1	4	3	4	0	5	0	5	20	9	1	3	8	17	4	2					
		6.43%	8.12%	11.41%	7.94%	9.33%	8.88%	10.57%	7.27%	5.36%	2.77%	7.14%	3.98%	2.15%	4.0%	7.89%	4.95%	3.38%	8.45%	5.88%	6.12%	3.70%	4.06%	3.47%	9.32%	4.26%	0.0%	3.47%	6.87%	6.24%	4.34%	4.54%	0.90%	6.76%	10.85%	1.52%	11.23%	3.08%	3.27%	5.86%	3.35%	4.93%	4.69%	5.51%	4.27%	8.14%	4.23%	1.94%	4.36%	1.35%	4.36%	1.44%	2.17%	2.58%	2.39%	0.0%	4.34%	0.0%	2.52%	6.06%	4.81%	1.51%	2.83%	3.90%	11.72%	4.39%	1.61%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	65	3	3	2	2	5	2	2	0	0	1	2	1	0	1	1	0	0	0	0	0	0	0	0	3	0	1	0	0	1	2	0	2	0	0	1	0	0	2	2	1	1	2	1	1	2	1	0	3	3	0	1	0	1	1	1	0	0	2	0	3	1	0	0	0	1					
		0.39%	0.34%	0.29%	0.21%	0.27%	0.51%	0.20%	0.60%	0.0%	0.0%	0.54%	0.88%	0.71%	0.0%	0.52%	0.99%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.16%	0.0%	0.69%	0.0%	0.0%	0.31%	1.81%	0.0%	0.36%	0.0%	0.0%	1.12%	0.0%	0.0%	0.46%	1.34%	1.23%	0.67%	0.73%	0.28%	0.28%	0.84%	0.64%	0.0%	4.05%	0.93%	0.0%	0.54%	0.0%	0.59%	1.17%	0.86%	0.0%	0.0%	0.60%	0.0%	4.54%	0.94%	0.0%	0.0%	0.0%	0.80%					
35	"18. ""ЛДПР"""	1960	101	121	123	87	123	77	70	37	26	20	42	16	23	17	20	19	64	16	10	44	22	23	21	25	5	16	17	7	49	7	34	47	21	11	13	11	1	45	10	9	2	36	58	45	15	35	28	0	50	7	18	29	17	6	4	3	13	39	22	13	10	19	26	8	7					
		12.00%	11.71%	11.70%	13.02%	11.77%	12.70%	7.90%	21.21%	18.04%	12.03%	10.98%	18.58%	11.51%	23.0%	8.94%	19.80%	16.10%	15.02%	18.82%	10.20%	23.28%	12.79%	9.99%	17.79%	9.68%	6.02%	11.11%	10.62%	6.24%	15.21%	6.36%	15.45%	8.59%	12.0%	8.39%	14.60%	6.79%	1.63%	10.56%	6.71%	11.11%	1.34%	13.23%	16.52%	12.64%	6.35%	22.72%	10.18%	0.0%	15.57%	10.14%	9.78%	25.0%	10.17%	7.05%	3.47%	4.28%	6.56%	11.81%	11.76%	19.69%	9.43%	9.26%	17.93%	8.79%	5.64%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	423	27	34	23	14	29	21	12	9	4	5	1	4	3	4	2	4	10	4	5	3	7	6	3	8	2	5	7	3	6	0	2	11	6	0	2	0	1	11	9	4	6	10	10	10	4	0	9	6	4	1	0	0	3	1	2	2	1	17	2	4	1	6	2	3	8					
		2.59%	3.13%	3.28%	2.43%	1.89%	2.99%	2.15%	3.63%	4.39%	1.85%	2.74%	0.44%	2.87%	3.0%	2.10%	1.98%	3.38%	2.34%	4.70%	5.10%	1.58%	4.06%	2.60%	2.54%	3.10%	2.40%	3.47%	4.37%	2.67%	1.86%	0.0%	0.90%	2.01%	3.42%	0.0%	2.24%	0.0%	1.63%	2.58%	6.04%	4.93%	4.02%	3.67%	2.84%	2.80%	1.69%	0.0%	3.27%	8.10%	1.24%	1.44%	0.0%	0.0%	1.79%	1.17%	1.73%	2.85%	0.50%	5.15%	1.06%	6.06%	0.94%	2.92%	1.37%	3.29%	6.45%					
37	"20. ""Политическая партия ""Единая Россия"""	6474	321	380	400	284	373	349	105	60	99	96	130	61	38	89	41	32	155	44	45	65	63	95	48	104	37	46	49	38	150	31	58	200	79	37	32	102	25	164	58	33	103	121	156	146	115	68	144	37	121	30	110	57	68	49	59	31	28	102	52	12	42	59	63	28	57					
		39.66%	37.23%	36.75%	42.37%	38.43%	38.53%	35.83%	31.81%	29.26%	45.83%	52.74%	57.52%	43.88%	38.0%	46.84%	40.59%	27.11%	36.38%	51.76%	45.91%	34.39%	36.62%	41.30%	40.67%	40.31%	44.57%	31.94%	30.62%	33.92%	46.58%	28.18%	26.36%	36.56%	45.14%	28.24%	35.95%	62.96%	40.98%	38.49%	38.92%	40.74%	69.12%	44.48%	44.44%	41.01%	48.72%	44.15%	52.36%	50.0%	37.69%	43.47%	59.78%	49.13%	40.71%	57.64%	51.30%	44.28%	14.14%	30.90%	27.80%	18.18%	39.62%	28.78%	43.44%	30.76%	45.96%					
38	"21. ""Российская Конституционно-демократическая партия"""	65	3	1	1	2	1	3	3	0	0	0	5	0	0	1	1	0	4	0	0	2	0	4	0	1	0	0	1	0	0	1	0	2	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	1	5	0	1	7	0	0	1	0	0	0	2	1	1	1	1	0	2					
