Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																														
Дата голосования: 07.12.2003 0:00:00																																														
																																														
Наименование Избирательной комиссии:    Медведевская																																														
																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																														
																																														
		Сумма	УИК  310	УИК  311	УИК  312	УИК  313	УИК  314	УИК  315	УИК  316	УИК  317	УИК  318	УИК  319	УИК  320	УИК  321	УИК  322	УИК  323	УИК  324	УИК  325	УИК  326	УИК  327	УИК  328	УИК  329	УИК  330	УИК  331	УИК  332	УИК  333	УИК  334	УИК  335	УИК  336	УИК  337	УИК  338	УИК  339	УИК  340	УИК  341	УИК  342	УИК  343	УИК  344	УИК  345	УИК  346	УИК  347	УИК  348					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	405	15	15	15	20	15	15	5	15	15	16	10	5	5	5	5	20	5	14	10	5	10	7	5	5	5	10	10	5	13	13	12	10	10	10	12	10	5	8	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	271	14	11	14	18	11	12	5	10	7	12	9	2	1	0	0	13	2	12	7	2	6	7	0	0	2	5	10	0	13	7	11	6	7	8	5	5	1	5	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	197	5	3	52	5	0	5	1	5	8	9	3	2	1	3	0	10	2	4	8	2	7	2	4	5	2	2	3	3	2	2	6	0	1	5	5	10	4	5	1					
14	Число погашенных открепительных удостоверений	134	1	4	1	2	4	3	0	5	8	4	1	3	4	5	5	7	3	2	3	3	4	0	5	5	3	5	0	5	0	6	1	4	3	2	7	5	4	3	4					
15	Число открепительных удостоверений выданных ТИК	31	3	1	1	3	2	2	1	2	0	3	1	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	1	0	0	1	0	1	1	2	0	1	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																														
18	"1. ""ЕДИНЕНИЕ"""	388	16	23	10	18	8	11	4	14	25	14	6	0	0	1	5	9	5	17	12	3	6	12	2	0	9	5	10	4	13	24	12	9	18	9	8	17	4	8	17					
		1.65%	1.13%	1.82%	1.03%	1.43%	0.79%	1.13%	1.69%	1.72%	2.42%	1.29%	1.38%	0.0%	0.0%	1.35%	4.50%	1.24%	2.55%	1.68%	1.30%	1.00%	1.03%	2.72%	1.42%	0.0%	4.20%	2.18%	2.64%	2.94%	2.27%	3.13%	1.56%	2.21%	1.40%	1.57%	1.96%	1.92%	2.19%	1.53%	2.10%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	534	63	38	37	35	21	18	7	15	24	22	5	0	3	2	4	14	2	34	6	2	10	5	1	0	2	0	4	0	21	26	14	9	27	19	3	21	0	11	9					
		2.27%	4.45%	3.00%	3.81%	2.78%	2.09%	1.85%	2.96%	1.85%	2.33%	2.02%	1.15%	0.0%	2.22%	2.70%	3.60%	1.93%	1.02%	3.36%	0.65%	0.66%	1.72%	1.13%	0.71%	0.0%	0.93%	0.0%	1.05%	0.0%	3.67%	3.39%	1.82%	2.21%	2.11%	3.31%	0.73%	2.37%	0.0%	2.11%	1.11%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	459	35	27	20	33	17	23	3	12	16	24	4	3	2	0	1	18	3	18	13	6	8	8	0	2	8	8	9	1	25	8	10	9	25	10	6	16	6	14	8					
		1.95%	2.47%	2.13%	2.06%	2.62%	1.69%	2.36%	1.27%	1.48%	1.55%	2.21%	0.92%	2.06%	1.48%	0.0%	0.90%	2.48%	1.53%	1.78%	1.41%	2.00%	1.37%	1.81%	0.0%	2.22%	3.73%	3.49%	2.38%	0.73%	4.37%	1.04%	1.30%	2.21%	1.95%	1.74%	1.47%	1.81%	3.29%	2.69%	0.99%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	430	41	27	22	47	22	21	1	18	14	10	11	2	1	0	0	11	2	14	13	1	12	9	2	0	0	0	4	1	6	25	8	12	13	20	1	22	2	11	4					
		1.83%	2.89%	2.13%	2.27%	3.74%	2.19%	2.16%	0.42%	2.22%	1.35%	0.92%	2.54%	1.37%	0.74%	0.0%	0.0%	1.52%	1.02%	1.38%	1.41%	0.33%	2.06%	2.04%	1.42%	0.0%	0.0%	0.0%	1.05%	0.73%	1.04%	3.26%	1.04%	2.95%	1.01%	3.49%	0.24%	2.49%	1.09%	2.11%	0.49%					
22	"5. ""За Русь Святую"""	120	7	4	8	1	11	5	1	1	7	4	0	0	0	1	0	4	3	4	2	2	4	7	1	0	3	1	3	0	4	5	2	3	6	5	2	1	0	7	1					
		0.51%	0.49%	0.31%	0.82%	0.07%	1.09%	0.51%	0.42%	0.12%	0.67%	0.36%	0.0%	0.0%	0.0%	1.35%	0.0%	0.55%	1.53%	0.39%	0.21%	0.66%	0.68%	1.58%	0.71%	0.0%	1.40%	0.43%	0.79%	0.0%	0.69%	0.65%	0.26%	0.73%	0.46%	0.87%	0.49%	0.11%	0.0%	1.34%	0.12%					
23	"6. ""Объединенная Российская партия ""Русь"""	68	3	3	3	0	4	1	1	2	5	4	0	1	1	0	0	3	1	6	0	1	0	0	1	0	3	0	2	5	5	3	1	1	4	0	1	2	0	0	1					
		0.28%	0.21%	0.23%	0.30%	0.0%	0.39%	0.10%	0.42%	0.24%	0.48%	0.36%	0.0%	0.68%	0.74%	0.0%	0.0%	0.41%	0.51%	0.59%	0.0%	0.33%	0.0%	0.0%	0.71%	0.0%	1.40%	0.0%	0.52%	3.67%	0.87%	0.39%	0.13%	0.24%	0.31%	0.0%	0.24%	0.22%	0.0%	0.0%	0.12%					
24	"7. ""Новый курс - Автомобильная Россия"""	122	17	12	7	10	12	5	1	5	4	1	0	0	1	0	1	0	1	4	5	1	1	1	0	1	0	0	2	0	2	9	2	0	10	3	0	1	0	2	1					
		0.52%	1.20%	0.95%	0.72%	0.79%	1.19%	0.51%	0.42%	0.61%	0.38%	0.09%	0.0%	0.0%	0.74%	0.0%	0.90%	0.0%	0.51%	0.39%	0.54%	0.33%	0.17%	0.22%	0.0%	1.11%	0.0%	0.0%	0.52%	0.0%	0.34%	1.17%	0.26%	0.0%	0.78%	0.52%	0.0%	0.11%	0.0%	0.38%	0.12%					
25	"8. ""Народно-республиканская партия России"""	40	1	0	1	2	1	2	0	3	2	0	0	0	1	1	0	0	2	1	4	0	0	2	2	0	1	0	1	0	0	2	0	0	0	0	3	3	3	1	1					
		0.17%	0.07%	0.0%	0.10%	0.15%	0.09%	0.20%	0.0%	0.37%	0.19%	0.0%	0.0%	0.0%	0.74%	1.35%	0.0%	0.0%	1.02%	0.09%	0.43%	0.0%	0.0%	0.45%	1.42%	0.0%	0.46%	0.0%	0.26%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.73%	0.33%	1.64%	0.19%	0.12%					
26	"9. ""Российская экологическая партия ""Зеленые"""	82	8	5	3	7	6	4	1	3	2	0	1	1	0	0	0	6	2	3	1	2	3	1	1	0	0	0	0	0	3	2	4	0	7	2	1	2	0	0	1					
		0.34%	0.56%	0.39%	0.30%	0.55%	0.59%	0.41%	0.42%	0.37%	0.19%	0.0%	0.23%	0.68%	0.0%	0.0%	0.0%	0.82%	1.02%	0.29%	0.10%	0.66%	0.51%	0.22%	0.71%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.26%	0.52%	0.0%	0.54%	0.34%	0.24%	0.22%	0.0%	0.0%	0.12%					
27	"10. ""Аграрная партия России"""	2144	104	79	76	84	57	60	10	31	53	142	95	20	1	10	2	128	26	105	145	34	23	63	13	4	29	5	37	7	48	42	86	31	80	41	36	139	28	62	108					
		9.14%	7.35%	6.25%	7.84%	6.69%	5.67%	6.17%	4.23%	3.82%	5.14%	13.08%	21.99%	13.79%	0.74%	13.51%	1.80%	17.70%	13.26%	10.40%	15.76%	11.37%	3.96%	14.28%	9.28%	4.44%	13.55%	2.18%	9.78%	5.14%	8.39%	5.48%	11.22%	7.63%	6.25%	7.15%	8.84%	15.74%	15.38%	11.92%	13.38%					
28	"11. ""Истинные патриоты России"""	21	0	2	0	0	1	0	0	2	0	0	0	0	0	0	0	2	1	0	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	5					
		0.08%	0.0%	0.15%	0.0%	0.0%	0.09%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.51%	0.0%	0.10%	0.33%	0.17%	0.22%	0.0%	0.0%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.19%	0.61%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	302	15	19	13	18	14	15	6	5	14	19	0	1	0	6	1	12	3	18	12	4	9	6	1	0	2	0	3	1	2	15	7	8	14	8	8	8	0	7	8					
		1.28%	1.06%	1.50%	1.34%	1.43%	1.39%	1.54%	2.54%	0.61%	1.35%	1.75%	0.0%	0.68%	0.0%	8.10%	0.90%	1.65%	1.53%	1.78%	1.30%	1.33%	1.55%	1.36%	0.71%	0.0%	0.93%	0.0%	0.79%	0.73%	0.34%	1.95%	0.91%	1.97%	1.09%	1.39%	1.96%	0.90%	0.0%	1.34%	0.99%					
30	"13. ""Демократическая партия России"""	90	6	9	4	7	2	4	2	1	3	0	2	0	1	0	1	6	1	5	3	0	4	2	1	0	0	1	1	0	5	1	3	2	3	3	0	1	1	3	2					
		0.38%	0.42%	0.71%	0.41%	0.55%	0.19%	0.41%	0.84%	0.12%	0.29%	0.0%	0.46%	0.0%	0.74%	0.0%	0.90%	0.82%	0.51%	0.49%	0.32%	0.0%	0.68%	0.45%	0.71%	0.0%	0.0%	0.43%	0.26%	0.0%	0.87%	0.13%	0.39%	0.49%	0.23%	0.52%	0.0%	0.11%	0.54%	0.57%	0.24%					
31	"14. ""Великая Россия - Евразийский Союз"""	51	2	1	1	1	1	5	1	0	3	3	0	1	0	0	0	3	0	2	5	2	1	0	0	1	0	0	3	3	1	2	0	1	0	2	2	0	0	3	1					
		0.21%	0.14%	0.07%	0.10%	0.07%	0.09%	0.51%	0.42%	0.0%	0.29%	0.27%	0.0%	0.68%	0.0%	0.0%	0.0%	0.41%	0.0%	0.19%	0.54%	0.66%	0.17%	0.0%	0.0%	1.11%	0.0%	0.0%	0.79%	2.20%	0.17%	0.26%	0.0%	0.24%	0.0%	0.34%	0.49%	0.0%	0.0%	0.57%	0.12%					
32	"15. ""Партия СЛОН"""	82	7	6	3	2	2	2	1	2	1	2	1	0	1	0	0	4	0	5	2	0	1	2	0	0	0	1	1	0	2	3	1	1	12	2	0	7	2	5	1					
		0.34%	0.49%	0.47%	0.30%	0.15%	0.19%	0.20%	0.42%	0.24%	0.09%	0.18%	0.23%	0.0%	0.74%	0.0%	0.0%	0.55%	0.0%	0.49%	0.21%	0.0%	0.17%	0.45%	0.0%	0.0%	0.0%	0.43%	0.26%	0.0%	0.34%	0.39%	0.13%	0.24%	0.93%	0.34%	0.0%	0.79%	1.09%	0.96%	0.12%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1383	151	96	67	107	82	75	11	37	60	44	12	5	1	6	7	38	6	66	68	22	30	15	3	3	3	16	10	7	18	64	20	9	66	35	18	32	15	32	26					
		5.89%	10.67%	7.60%	6.91%	8.52%	8.16%	7.72%	4.66%	4.56%	5.82%	4.05%	2.77%	3.44%	0.74%	8.10%	6.30%	5.25%	3.06%	6.54%	7.39%	7.35%	5.17%	3.40%	2.14%	3.33%	1.40%	6.98%	2.64%	5.14%	3.14%	8.35%	2.61%	2.21%	5.16%	6.10%	4.42%	3.62%	8.24%	6.15%	3.22%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	95	2	0	3	1	3	4	2	3	7	3	2	1	1	0	2	2	1	2	4	3	2	4	2	0	2	1	3	0	1	7	3	2	9	2	1	3	3	1	3					
		0.40%	0.14%	0.0%	0.30%	0.07%	0.29%	0.41%	0.84%	0.37%	0.67%	0.27%	0.46%	0.68%	0.74%	0.0%	1.80%	0.27%	0.51%	0.19%	0.43%	1.00%	0.34%	0.90%	1.42%	0.0%	0.93%	0.43%	0.79%	0.0%	0.17%	0.91%	0.39%	0.49%	0.70%	0.34%	0.24%	0.33%	1.64%	0.19%	0.37%					
35	"18. ""ЛДПР"""	2820	159	149	127	164	130	144	47	139	130	106	39	22	10	9	13	88	22	124	98	40	44	44	25	12	14	42	54	17	66	91	114	35	158	69	34	69	23	60	89					
		12.02%	11.24%	11.79%	13.10%	13.06%	12.94%	14.83%	19.91%	17.16%	12.62%	9.76%	9.02%	15.17%	7.40%	12.16%	11.71%	12.17%	11.22%	12.28%	10.65%	13.37%	7.58%	9.97%	17.85%	13.33%	6.54%	18.34%	14.28%	12.49%	11.53%	11.87%	14.88%	8.62%	12.36%	12.04%	8.35%	7.81%	12.63%	11.53%	11.02%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	500	37	39	20	25	13	24	7	21	15	36	2	3	3	4	3	22	1	20	27	2	13	8	2	4	1	4	6	2	7	9	16	10	29	8	4	11	4	13	25					
		2.13%	2.61%	3.08%	2.06%	1.99%	1.29%	2.47%	2.96%	2.59%	1.45%	3.31%	0.46%	2.06%	2.22%	5.40%	2.70%	3.04%	0.51%	1.98%	2.93%	0.66%	2.24%	1.81%	1.42%	4.44%	0.46%	1.74%	1.58%	1.47%	1.22%	1.17%	2.08%	2.46%	2.26%	1.39%	0.98%	1.24%	2.19%	2.5%	3.09%					
37	"20. ""Политическая партия ""Единая Россия"""	8596	438	453	331	440	363	317	70	367	482	467	106	50	89	28	58	194	62	334	324	56	293	145	29	32	75	86	181	68	207	251	366	139	408	205	177	345	60	135	365					
		36.65%	30.97%	35.86%	34.15%	35.05%	36.15%	32.64%	29.66%	45.30%	46.79%	43.04%	24.53%	34.48%	65.92%	37.83%	52.25%	26.83%	31.63%	33.10%	35.21%	18.72%	50.51%	32.87%	20.71%	35.55%	35.04%	37.55%	47.88%	49.99%	36.18%	32.76%	47.78%	34.23%	31.92%	35.77%	43.48%	39.07%	32.96%	25.96%	45.22%					
38	"21. ""Российская Конституционно-демократическая партия"""	30	1	2	0	3	0	0	0	2	2	2	1	0	1	0	1	1	0	3	1	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	3	0	0	3	0					
		0.12%	0.07%	0.15%	0.0%	0.23%	0.0%	0.0%	0.0%	0.24%	0.19%	0.18%	0.23%	0.0%	0.74%	0.0%	0.90%	0.13%	0.0%	0.29%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.0%	0.17%	0.0%	0.13%	0.0%	0.07%	0.0%	0.73%	0.0%	0.0%	0.57%	0.0%					
39	"22. ""Развитие предпринимательства"""	66	3	5	4	2	6	4	0	5	2	2	2	0	0	0	0	2	0	2	5	0	1	1	1	0	0	0	0	0	2	1	1	3	5	1	0	2	1	1	2					
		0.28%	0.21%	0.39%	0.41%	0.15%	0.59%	0.41%	0.0%	0.61%	0.19%	0.18%	0.46%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.19%	0.54%	0.0%	0.17%	0.22%	0.71%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.13%	0.13%	0.73%	0.39%	0.17%	0.0%	0.22%	0.54%	0.19%	0.24%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2775	177	153	111	134	136	110	27	60	71	90	92	16	9	3	5	90	34	115	77	74	58	47	33	23	29	35	27	9	69	105	44	86	246	61	68	87	13	89	62					
		11.83%	12.51%	12.11%	11.45%	10.67%	13.54%	11.32%	11.44%	7.40%	6.89%	8.29%	21.29%	11.03%	6.66%	4.05%	4.50%	12.44%	17.34%	11.39%	8.36%	24.74%	10.0%	10.65%	23.57%	25.55%	13.55%	15.28%	7.14%	6.61%	12.06%	13.70%	5.74%	21.18%	19.24%	10.64%	16.70%	9.85%	7.14%	17.11%	7.68%					
																																														
41	Против всех	1812	111	99	87	100	81	91	27	43	69	81	51	14	7	2	7	54	13	82	75	37	37	45	11	4	19	17	8	3	48	49	38	32	107	57	26	78	11	35	56					
		7.72%	7.85%	7.83%	8.97%	7.96%	8.06%	9.37%	11.44%	5.30%	6.69%	7.46%	11.80%	9.65%	5.18%	2.70%	6.30%	7.46%	6.63%	8.12%	8.15%	12.37%	6.37%	10.20%	7.85%	4.44%	8.87%	7.42%	2.11%	2.20%	8.39%	6.39%	4.96%	7.88%	8.37%	9.94%	6.38%	8.83%	6.04%	6.73%	6.93%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
