Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																															
Дата голосования: 18.09.2016																																																																																																																															
																																																																																																																															
Наименование Избирательной комиссии:    Стерлитамакская городская																																																																																																																															
																																																																																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																															
																																																																																																																															
		Сумма	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №3460	УИК №3461	УИК №3495	УИК №3496									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	927	10	8	8	10	8	5	8	8	8	7	8	8	8	8	5	10	8	8	8	5	13	8	5	8	8	8	8	8	8	8	10	8	8	8	7	8	8	10	10	7	8	10	8	8	8	8	8	8	7	8	8	8	8	8	7	8	5	10	15	8	8	10	8	8	8	8	8	8	8	10	8	13	8	8	8	15	8	10	8	8	10	10	8	10	8	10	7	7	8	8	8	10	7	8	8	10	10	10	10	8	10	7	10	7	8	10	8	13	0	0	0	0	8	5	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	519	4	0	3	10	3	1	4	3	2	4	1	6	3	4	1	6	6	3	4	1	11	7	2	6	8	6	6	5	2	5	4	8	2	1	1	4	0	6	1	1	2	5	1	3	8	4	3	3	6	7	5	6	6	2	2	4	5	5	10	3	6	6	8	2	4	3	4	6	5	10	5	8	4	5	1	11	7	6	5	3	6	5	3	5	4	3	1	4	2	4	6	9	7	4	6	7	9	4	3	8	10	6	7	4	7	8	3	12	0	0	0	0	6	2	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	332	0	0	0	2	0	0	0	1	1	0	2	2	0	2	5	0	3	1	3	0	0	1	2	2	2	4	2	0	0	4	3	1	0	2	0	2	0	0	1	0	1	0	1	3	0	0	0	3	5	1	0	1	0	0	0	0	0	2	1	0	5	1	2	0	1	1	0	3	0	4	0	2	0	0	0	0	0	0	1	4	2	0	0	0	0	0	0	0	0	1	1	2	2	0	3	1	0	2	4	2	2	3	2	3	7	0	1	1	0	196	0	0	0	1	1	5									
14	Число погашенных неиспользованных открепительных удостоверений	408	6	8	5	0	5	4	4	5	6	3	7	2	5	4	4	4	2	5	4	4	2	1	3	2	0	2	2	3	6	3	6	0	6	7	6	4	8	4	9	6	6	5	7	5	0	4	5	5	1	1	3	2	2	6	5	4	0	5	5	5	2	4	0	6	4	5	4	2	3	0	3	5	4	3	7	4	1	4	3	5	4	5	5	5	4	7	6	3	6	4	2	1	0	4	2	3	1	6	7	0	0	1	3	3	1	2	5	1	0	0	0	0	2	3	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	90	5	1	1	1	0	0	3	1	0	0	0	1	0	2	1	1	0	1	0	0	1	1	0	0	1	0	2	1	2	0	3	1	0	0	0	0	0	0	0	0	0	1	0	2	1	1	0	0	0	1	0	2	0	3	0	1	1	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	3	2	1	0	0	0	1	1	0	3	1	2	0	0	0	0	1	2	1	0	1	2	0	2	3	4	0	2	0	3	2	1	1	0	0	0	0	2	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	282	0	4	4	2	4	0	0	3	20	3	0	4	1	0	1	2	0	2	0	3	0	1	7	2	2	2	1	2	2	5	2	0	2	1	4	1	0	4	0	2	1	0	2	3	1	0	0	0	9	2	0	2	0	2	3	2	0	3	3	3	1	2	0	0	1	5	1	4	2	11	2	2	3	0	12	8	0	3	3	2	2	2	0	4	1	1	2	0	0	0	13	4	2	2	7	2	15	0	5	4	3	4	5	3	4	2	1	0	0	0	0	0	0	1	2	0									
		0.19%	0.00%	0.28%	0.22%	0.11%	0.25%	0.00%	0.00%	0.29%	1.23%	0.34%	0.00%	0.27%	0.12%	0.00%	0.12%	0.12%	0.00%	0.14%	0.00%	0.66%	0.00%	0.06%	0.99%	0.13%	0.13%	0.12%	0.08%	0.15%	0.24%	0.36%	0.12%	0.00%	0.16%	0.09%	0.47%	0.08%	0.00%	0.19%	0.00%	0.26%	0.12%	0.00%	0.19%	0.23%	0.10%	0.00%	0.00%	0.00%	1.36%	0.11%	0.00%	0.14%	0.00%	0.14%	0.33%	0.13%	0.00%	0.16%	0.20%	0.20%	0.06%	0.15%	0.00%	0.00%	0.09%	0.40%	0.09%	0.27%	0.21%	0.61%	0.18%	0.12%	0.26%	0.00%	1.09%	0.38%	0.00%	0.16%	0.26%	0.14%	0.12%	0.11%	0.00%	0.21%	0.08%	0.09%	0.24%	0.00%	0.00%	0.00%	0.83%	0.23%	0.16%	0.21%	1.75%	0.11%	0.75%	0.00%	0.28%	0.24%	0.14%	0.55%	0.27%	0.43%	0.60%	0.10%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	2.30%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	529	2	9	3	4	6	0	2	5	36	2	0	5	3	3	0	4	0	4	0	7	0	3	7	2	1	1	2	3	24	5	2	0	20	3	5	2	2	4	3	4	1	0	1	5	2	0	4	6	18	3	0	2	0	2	2	0	0	30	4	5	4	8	0	0	2	0	2	2	3	15	2	2	4	5	4	6	0	3	2	2	3	7	10	9	2	10	0	1	4	4	35	0	2	1	28	3	13	0	2	1	5	1	6	4	14	3	2	0	0	6	0	4	6	0	4	0									
		0.36%	0.10%	0.63%	0.17%	0.22%	0.37%	0.00%	0.14%	0.49%	2.21%	0.23%	0.00%	0.34%	0.36%	0.23%	0.00%	0.25%	0.00%	0.27%	0.00%	1.54%	0.00%	0.19%	0.99%	0.13%	0.06%	0.06%	0.16%	0.23%	2.85%	0.36%	0.12%	0.00%	1.63%	0.26%	0.59%	0.15%	0.18%	0.19%	0.18%	0.52%	0.12%	0.00%	0.10%	0.38%	0.19%	0.00%	0.40%	0.55%	2.72%	0.17%	0.00%	0.14%	0.00%	0.14%	0.22%	0.00%	0.00%	1.63%	0.27%	0.33%	0.25%	0.61%	0.00%	0.00%	0.17%	0.00%	0.18%	0.14%	0.32%	0.84%	0.18%	0.12%	0.35%	0.46%	0.36%	0.28%	0.00%	0.16%	0.17%	0.14%	0.18%	0.37%	0.67%	0.48%	0.16%	0.91%	0.00%	0.11%	0.35%	0.26%	2.22%	0.00%	0.16%	0.11%	7.00%	0.17%	0.65%	0.00%	0.11%	0.06%	0.23%	0.14%	0.33%	0.57%	2.11%	0.16%	0.19%	0.00%	0.00%	1.08%	0.00%	3.64%	0.60%	0.00%	4.60%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	504	2	3	5	5	2	0	6	6	10	3	0	8	3	0	1	1	15	5	0	4	5	2	8	3	3	2	3	7	11	2	3	0	10	5	4	3	2	4	25	1	2	6	1	5	3	2	5	3	5	2	2	3	4	4	4	1	0	4	2	10	13	2	0	4	3	12	2	1	4	16	3	5	2	4	13	6	2	2	4	3	4	4	2	5	1	3	1	2	3	6	19	19	4	2	17	5	3	0	3	2	4	4	3	3	6	3	3	15	0	3	0	0	2	2	0	0									
		0.35%	0.10%	0.21%	0.28%	0.28%	0.12%	0.00%	0.42%	0.59%	0.61%	0.34%	0.00%	0.54%	0.36%	0.00%	0.12%	0.06%	1.04%	0.34%	0.00%	0.88%	0.36%	0.13%	1.13%	0.19%	0.19%	0.12%	0.24%	0.53%	1.31%	0.14%	0.18%	0.00%	0.82%	0.43%	0.47%	0.23%	0.18%	0.19%	1.48%	0.13%	0.24%	0.41%	0.10%	0.38%	0.29%	0.19%	0.50%	0.28%	0.76%	0.11%	0.39%	0.21%	0.36%	0.27%	0.44%	0.07%	0.00%	0.22%	0.13%	0.65%	0.81%	0.15%	0.00%	0.37%	0.26%	0.96%	0.18%	0.07%	0.43%	0.89%	0.27%	0.29%	0.17%	0.37%	1.18%	0.28%	0.16%	0.11%	0.35%	0.21%	0.24%	0.21%	0.13%	0.27%	0.08%	0.27%	0.12%	0.23%	0.26%	0.38%	1.21%	1.09%	0.32%	0.21%	4.25%	0.28%	0.15%	0.00%	0.17%	0.12%	0.19%	0.55%	0.16%	0.43%	0.90%	0.16%	0.29%	1.02%	0.00%	0.54%	0.00%	0.00%	0.20%	0.29%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	80634	1101	788	994	998	881	434	789	563	801	480	809	815	432	716	457	890	799	809	704	320	752	866	463	886	860	894	702	726	441	762	928	946	683	626	464	718	603	1137	932	426	459	811	579	726	587	581	555	599	393	961	280	792	607	814	504	825	402	1014	820	845	886	721	826	608	646	676	595	806	514	964	602	936	632	592	560	1164	690	1010	630	783	918	1032	829	1035	681	602	454	484	642	866	971	953	690	513	168	973	1089	1045	984	908	1181	401	1002	390	371	1059	566	828	5	458	13	68	554	392	50	69									
		55.26%	55.08%	55.07%	55.04%	55.23%	54.99%	58.26%	55.10%	54.93%	49.23%	55.05%	55.07%	54.99%	52.43%	54.41%	55.13%	55.01%	55.14%	55.03%	55.00%	70.48%	54.45%	55.69%	65.21%	56.40%	55.02%	55.02%	55.94%	55.25%	52.38%	54.43%	55.01%	57.75%	55.76%	53.92%	55.04%	54.89%	55.22%	54.80%	55.05%	54.97%	54.97%	54.98%	55.04%	54.96%	56.01%	56.24%	55.06%	55.00%	59.46%	55.10%	54.79%	55.08%	54.98%	55.04%	54.96%	55.04%	55.45%	55.14%	55.03%	55.01%	55.10%	54.62%	53.46%	56.24%	55.12%	54.12%	54.99%	55.05%	55.09%	53.70%	54.98%	55.03%	55.05%	54.97%	50.91%	54.98%	55.65%	55.01%	55.02%	54.99%	55.14%	54.95%	55.19%	55.05%	55.91%	55.03%	55.03%	55.63%	55.44%	55.34%	61.65%	54.90%	55.47%	55.04%	42.00%	54.82%	54.70%	55.47%	54.94%	55.37%	55.06%	55.01%	54.99%	55.40%	55.79%	54.73%	55.00%	56.14%	55.56%	82.52%	86.67%	61.82%	54.96%	55.92%	57.47%	55.20%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	363	10	2	4	7	3	0	3	0	27	0	0	1	3	0	1	5	7	2	0	3	4	1	7	3	2	2	0	1	4	8	1	0	3	1	4	1	0	4	0	2	1	1	4	3	1	3	3	1	8	2	3	1	0	3	1	2	0	3	3	2	2	1	6	0	5	10	3	2	1	14	1	7	5	5	8	6	2	3	2	2	3	6	1	1	2	1	4	0	2	4	9	7	2	1	8	1	2	0	7	4	2	2	3	0	7	4	5	10	0	1	0	1	4	0	3	0									
		0.25%	0.50%	0.14%	0.22%	0.39%	0.19%	0.00%	0.21%	0.00%	1.66%	0.00%	0.00%	0.07%	0.36%	0.00%	0.12%	0.31%	0.48%	0.14%	0.00%	0.66%	0.29%	0.06%	0.99%	0.19%	0.13%	0.12%	0.00%	0.08%	0.48%	0.57%	0.06%	0.00%	0.24%	0.09%	0.47%	0.08%	0.00%	0.19%	0.00%	0.26%	0.12%	0.07%	0.38%	0.23%	0.10%	0.29%	0.30%	0.09%	1.21%	0.11%	0.59%	0.07%	0.00%	0.20%	0.11%	0.13%	0.00%	0.16%	0.20%	0.13%	0.12%	0.08%	0.39%	0.00%	0.43%	0.80%	0.28%	0.14%	0.11%	0.78%	0.09%	0.41%	0.44%	0.46%	0.73%	0.28%	0.16%	0.16%	0.17%	0.14%	0.18%	0.32%	0.07%	0.05%	0.16%	0.09%	0.48%	0.00%	0.17%	0.26%	0.57%	0.40%	0.16%	0.11%	2.00%	0.06%	0.10%	0.00%	0.39%	0.24%	0.09%	0.27%	0.16%	0.00%	1.05%	0.21%	0.49%	0.68%	0.00%	0.18%	0.00%	0.91%	0.40%	0.00%	3.45%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	171	0	1	1	1	4	15	3	4	2	0	0	1	1	0	0	3	0	1	0	0	0	2	1	2	1	1	1	2	2	0	3	0	0	2	0	0	0	6	0	0	1	2	2	2	1	0	0	1	0	2	0	2	0	4	0	1	0	1	1	0	2	1	3	0	1	6	1	5	0	5	1	1	1	0	11	2	0	3	0	3	1	6	1	3	1	1	1	1	0	0	0	2	0	1	3	2	2	0	4	2	2	1	3	0	2	3	1	0	0	0	0	1	1	0	0	0									
		0.12%	0.00%	0.07%	0.06%	0.06%	0.25%	2.01%	0.21%	0.39%	0.12%	0.00%	0.00%	0.07%	0.12%	0.00%	0.00%	0.19%	0.00%	0.07%	0.00%	0.00%	0.00%	0.13%	0.14%	0.13%	0.06%	0.06%	0.08%	0.15%	0.24%	0.00%	0.18%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.12%	0.14%	0.19%	0.15%	0.10%	0.00%	0.00%	0.09%	0.00%	0.11%	0.00%	0.14%	0.00%	0.27%	0.00%	0.07%	0.00%	0.05%	0.07%	0.00%	0.12%	0.08%	0.19%	0.00%	0.09%	0.48%	0.09%	0.34%	0.00%	0.28%	0.09%	0.06%	0.09%	0.00%	1.00%	0.09%	0.00%	0.16%	0.00%	0.21%	0.06%	0.32%	0.07%	0.16%	0.08%	0.09%	0.12%	0.11%	0.00%	0.00%	0.00%	0.12%	0.00%	0.11%	0.75%	0.11%	0.10%	0.00%	0.22%	0.12%	0.09%	0.14%	0.16%	0.00%	0.30%	0.16%	0.10%	0.00%	0.00%	0.00%	0.00%	0.91%	0.10%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4649	68	41	55	56	48	22	43	31	42	31	44	44	23	3	25	49	44	44	38	40	46	48	43	45	47	49	38	39	53	42	92	48	37	35	25	41	33	62	50	23	25	44	31	38	33	31	31	33	45	53	15	41	3	45	28	45	22	73	45	46	48	39	54	33	35	30	33	44	27	50	32	51	35	32	83	63	40	55	37	43	51	56	48	57	37	33	33	28	35	52	72	52	37	28	57	53	60	59	54	50	65	22	55	21	35	55	31	32	0	17	1	17	30	22	12	4									
		3.19%	3.40%	2.87%	3.05%	3.10%	2.99%	2.95%	3.00%	3.02%	2.58%	3.56%	2.99%	2.97%	2.79%	0.23%	3.02%	3.03%	3.04%	2.99%	2.97%	8.81%	3.33%	3.09%	6.06%	2.86%	3.01%	3.02%	3.03%	2.97%	6.29%	3.00%	5.45%	2.93%	3.02%	3.01%	2.97%	3.13%	3.02%	2.99%	2.95%	2.97%	2.99%	2.98%	2.95%	2.88%	3.15%	3.00%	3.08%	3.03%	6.81%	3.04%	2.94%	2.85%	0.27%	3.04%	3.05%	3.00%	3.03%	3.97%	3.02%	2.99%	2.99%	2.95%	3.50%	3.05%	2.99%	2.40%	3.05%	3.01%	2.89%	2.79%	2.92%	2.99%	3.05%	2.97%	7.55%	2.98%	3.23%	2.99%	3.23%	3.02%	3.06%	2.98%	3.20%	3.03%	3.04%	3.02%	4.00%	3.22%	3.02%	3.32%	4.57%	2.99%	2.97%	3.00%	14.25%	2.99%	3.01%	3.13%	3.02%	3.05%	3.03%	3.02%	3.02%	2.98%	5.26%	2.84%	3.01%	2.17%	0.00%	3.06%	6.67%	15.45%	2.98%	3.14%	13.79%	3.20%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	187	2	2	1	0	2	0	2	0	8	0	0	1	2	0	2	1	0	3	0	4	3	1	10	4	3	0	0	0	2	1	1	0	1	2	0	0	0	5	0	2	0	3	2	3	1	1	0	1	5	2	1	8	0	0	0	2	0	2	0	0	2	1	0	0	0	0	1	3	1	9	1	1	1	3	5	1	0	3	3	3	2	4	0	4	1	1	2	0	3	0	3	2	0	1	3	1	3	0	3	2	4	0	4	0	3	4	1	0	0	1	0	1	0	0	0	0									
		0.13%	0.10%	0.14%	0.06%	0.00%	0.12%	0.00%	0.14%	0.00%	0.49%	0.00%	0.00%	0.07%	0.24%	0.00%	0.24%	0.06%	0.00%	0.20%	0.00%	0.88%	0.22%	0.06%	1.41%	0.25%	0.19%	0.00%	0.00%	0.00%	0.24%	0.07%	0.06%	0.00%	0.08%	0.17%	0.00%	0.00%	0.00%	0.24%	0.00%	0.26%	0.00%	0.20%	0.19%	0.23%	0.10%	0.10%	0.00%	0.09%	0.76%	0.11%	0.20%	0.56%	0.00%	0.00%	0.00%	0.13%	0.00%	0.11%	0.00%	0.00%	0.12%	0.08%	0.00%	0.00%	0.00%	0.00%	0.09%	0.20%	0.11%	0.50%	0.09%	0.06%	0.09%	0.28%	0.45%	0.05%	0.00%	0.16%	0.26%	0.21%	0.12%	0.21%	0.00%	0.21%	0.08%	0.09%	0.24%	0.00%	0.26%	0.00%	0.19%	0.12%	0.00%	0.11%	0.75%	0.06%	0.15%	0.00%	0.17%	0.12%	0.19%	0.00%	0.22%	0.00%	0.45%	0.21%	0.10%	0.00%	0.00%	0.18%	0.00%	0.91%	0.00%	0.00%	0.00%	0.00%									
