Выборы Президента Российской Федерации																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Адмиралтейская №1																																																																																					
																																																																																					
Итоги голосования 																																																																																					
																																																																																					
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																					
18	. Глазьев Сергей Юрьевич	2683	45	45	45	37	48	41	41	49	40	42	34	53	46	41	33	35	39	34	46	26	47	47	51	36	30	43	51	36	39	27	33	46	48	50	40	25	38	38	44	22	28	38	53	51	35	51	35	40	24	40	43	32	34	30	40	20	58	40	23	45	22	16	40	21	35	17	25	33	26	24	9	11	6	11	4	9	2	1					
		3.52%	3.99%	3.91%	3.96%	3.76%	4.07%	3.80%	3.67%	4.28%	3.17%	3.66%	3.25%	4.38%	3.59%	3.62%	3.98%	3.76%	4.70%	2.72%	3.74%	2.17%	3.93%	4.89%	4.79%	3.48%	2.91%	3.71%	3.95%	3.09%	4.06%	1.53%	3.42%	3.70%	4.70%	3.26%	2.76%	2.70%	4.09%	3.55%	4.90%	2.33%	3.81%	3.32%	4.69%	4.37%	3.27%	4.56%	3.32%	2.89%	2.39%	5.57%	4.15%	3.64%	3.55%	3.29%	3.96%	3.33%	3.99%	3.72%	4.65%	2.64%	2.36%	1.85%	3.87%	2.27%	3.29%	2.05%	2.91%	3.20%	3.14%	2.60%	4.50%	7.64%	5.66%	4.44%	2.09%	7.96%	0.89%	0.49%					
19	. Малышкин Олег Александрович	633	14	11	11	6	4	7	11	6	10	12	6	10	8	12	7	6	9	20	7	12	9	5	7	5	8	10	11	4	3	20	4	11	5	10	13	4	8	4	10	8	7	10	10	6	12	6	5	8	10	3	7	13	8	17	7	4	16	7	6	23	7	10	10	7	8	9	3	4	10	17	4	2	0	3	1	1	1	3					
		0.83%	1.24%	0.96%	0.97%	0.61%	0.34%	0.65%	0.99%	0.52%	0.79%	1.04%	0.57%	0.83%	0.62%	1.06%	0.84%	0.65%	1.08%	1.60%	0.57%	1.00%	0.75%	0.52%	0.66%	0.48%	0.78%	0.86%	0.85%	0.34%	0.31%	1.13%	0.41%	0.88%	0.49%	0.65%	0.90%	0.43%	0.86%	0.37%	1.11%	0.85%	0.95%	0.87%	0.89%	0.51%	1.12%	0.54%	0.47%	0.58%	1.00%	0.42%	0.68%	1.48%	0.84%	1.86%	0.69%	0.67%	1.10%	0.65%	1.21%	1.35%	0.75%	1.16%	0.97%	0.76%	0.75%	1.09%	0.35%	0.39%	1.21%	1.84%	2.00%	1.39%	0.00%	1.21%	0.52%	0.88%	0.44%	1.46%					
20	. Миронов Сергей Михайлович	1034	8	13	12	17	16	15	13	11	18	17	33	17	21	22	16	18	10	19	17	21	21	9	20	14	15	17	13	7	16	20	8	20	10	22	17	14	13	12	7	19	11	16	15	18	11	9	13	5	10	14	12	13	13	9	14	5	21	9	9	15	10	10	17	18	14	19	20	9	15	15	9	1	1	4	0	1	1	0					
		1.36%	0.71%	1.13%	1.06%	1.73%	1.36%	1.39%	1.16%	0.96%	1.43%	1.48%	3.15%	1.40%	1.64%	1.94%	1.93%	1.94%	1.20%	1.52%	1.38%	1.75%	1.75%	0.94%	1.88%	1.36%	1.46%	1.47%	1.01%	0.60%	1.67%	1.13%	0.83%	1.61%	0.98%	1.44%	1.17%	1.51%	1.40%	1.12%	0.78%	2.01%	1.50%	1.40%	1.33%	1.54%	1.03%	0.81%	1.23%	0.36%	1.00%	1.95%	1.16%	1.48%	1.36%	0.99%	1.38%	0.83%	1.45%	0.84%	1.82%	0.88%	1.07%	1.16%	1.65%	1.95%	1.32%	2.29%	2.33%	0.87%	1.81%	1.63%	4.50%	0.69%	0.94%	1.61%	0.00%	0.88%	0.44%	0.00%					
21	. Путин Владимир Владимирович	57939	835	867	828	736	884	816	841	845	959	882	772	924	978	875	628	669	603	937	901	926	863	712	777	774	731	878	956	879	702	1470	726	892	742	1203	1225	728	666	821	686	711	513	882	846	889	807	822	819	1095	761	523	744	655	737	700	764	465	1070	765	383	1402	760	710	815	706	869	658	663	794	644	726	148	105	81	166	159	83	192	170					
		76.00%	74.02%	75.33%	72.82%	74.80%	75.04%	75.63%	75.36%	73.73%	76.05%	76.76%	73.73%	76.36%	76.23%	77.30%	75.75%	71.94%	72.65%	75.08%	73.31%	77.30%	72.10%	74.09%	73.03%	74.93%	70.97%	75.75%	73.99%	75.39%	73.12%	83.14%	75.16%	71.76%	72.67%	78.52%	84.60%	78.70%	71.77%	76.80%	76.39%	75.32%	69.89%	76.96%	74.93%	76.18%	75.49%	73.52%	77.70%	79.12%	75.87%	72.84%	71.88%	74.43%	77.01%	76.75%	75.57%	77.50%	73.69%	71.10%	77.37%	82.18%	81.63%	82.27%	78.90%	76.32%	81.67%	79.37%	77.09%	77.09%	77.87%	78.66%	74.00%	72.92%	76.42%	66.94%	83.25%	73.45%	85.33%	82.52%					
22	. Хакамада Ирина Муцуовна	6380	102	92	116	88	92	106	109	101	98	100	83	93	104	98	70	108	85	113	115	98	133	103	105	115	135	103	113	116	122	85	107	117	108	106	56	67	111	95	68	86	92	90	95	93	91	108	83	107	86	67	109	73	66	65	90	53	130	120	25	65	35	45	57	80	48	47	59	86	45	48	14	7	2	45	3	3	10	16					
		8.37%	9.04%	7.99%	10.20%	8.94%	7.81%	9.82%	9.77%	8.81%	7.77%	8.70%	7.93%	7.69%	8.11%	8.66%	8.44%	11.61%	10.24%	9.05%	9.36%	8.18%	11.11%	10.72%	9.87%	11.13%	13.11%	8.89%	8.75%	9.95%	12.71%	4.81%	11.08%	9.41%	10.58%	6.92%	3.87%	7.24%	11.96%	8.89%	7.57%	9.11%	12.53%	7.85%	8.41%	7.97%	8.51%	9.66%	7.87%	7.73%	8.57%	9.33%	10.53%	8.30%	6.90%	7.13%	8.90%	8.83%	8.95%	11.15%	5.05%	3.81%	3.76%	5.21%	5.52%	8.65%	4.51%	5.67%	6.86%	8.35%	5.44%	5.20%	7.00%	4.86%	1.89%	18.15%	1.57%	2.65%	4.44%	7.77%					
23	. Харитонов Николай Михайлович	4301	74	71	81	50	76	54	63	76	100	59	79	65	72	46	44	59	52	60	94	74	61	46	69	49	68	56	89	68	33	62	46	94	58	61	43	48	46	61	53	53	54	52	61	69	59	67	47	72	68	46	65	51	41	55	56	26	95	85	29	73	63	44	56	49	57	52	53	69	62	56	8	9	7	12	10	5	3	2					
		5.64%	6.56%	6.17%	7.12%	5.08%	6.45%	5.00%	5.65%	6.63%	7.93%	5.13%	7.55%	5.37%	5.61%	4.06%	5.31%	6.34%	6.27%	4.81%	7.65%	6.18%	5.10%	4.79%	6.48%	4.74%	6.60%	4.83%	6.89%	5.83%	3.44%	3.51%	4.76%	7.56%	5.68%	3.98%	2.97%	5.19%	4.96%	5.71%	5.90%	5.61%	7.36%	4.54%	5.40%	5.91%	5.52%	5.99%	4.46%	5.20%	6.78%	6.41%	6.28%	5.80%	4.28%	6.03%	5.54%	4.33%	6.54%	7.90%	5.86%	4.28%	6.77%	5.10%	5.42%	5.30%	5.36%	6.27%	6.16%	6.70%	7.50%	6.07%	4.00%	6.25%	6.60%	4.84%	5.24%	4.42%	1.33%	0.97%					
																																																																																					
24	Против всех	2901	42	43	39	45	50	31	38	50	25	35	37	41	47	34	31	30	27	54	45	35	53	37	31	37	36	43	48	47	42	71	33	51	47	70	47	36	44	36	23	40	26	53	46	34	51	51	46	51	37	23	48	41	56	35	38	22	56	46	20	78	33	25	33	39	33	25	34	35	21	34	7	9	6	5	12	11	16	14					
		3.81%	3.72%	3.74%	3.43%	4.57%	4.24%	2.87%	3.41%	4.36%	1.98%	3.05%	3.53%	3.39%	3.66%	3.00%	3.74%	3.23%	3.25%	4.33%	3.66%	2.92%	4.43%	3.85%	2.91%	3.58%	3.50%	3.71%	3.72%	4.03%	4.38%	4.02%	3.42%	4.10%	4.60%	4.57%	3.25%	3.89%	4.74%	3.37%	2.56%	4.24%	3.54%	4.62%	4.07%	2.91%	4.77%	4.56%	4.36%	3.68%	3.69%	3.20%	4.64%	4.66%	5.85%	3.84%	3.76%	3.67%	3.86%	4.28%	4.04%	4.57%	3.54%	2.90%	3.19%	4.22%	3.10%	3.02%	3.95%	3.40%	2.54%	3.68%	3.50%	6.25%	5.66%	2.02%	6.28%	9.73%	7.11%	6.80%					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
