Выборы Президента Российской Федерации																																																						
																																																						
Наименование Избирательной комиссии:    Лысковская																																																						
																																																						
Итоги голосования 																																																						
																																																						
		Сумма	УИК  1227	УИК  1228	УИК  1229	УИК  1230	УИК  1231	УИК  1232	УИК  1233	УИК  1234	УИК  1235	УИК  1236	УИК  1237	УИК  1238	УИК  1239	УИК  1240	УИК  1241	УИК  1242	УИК  1243	УИК  1244	УИК  1245	УИК  1246	УИК  1247	УИК  1248	УИК  1249	УИК  1250	УИК  1251	УИК  1252	УИК  1253	УИК  1254	УИК  1255	УИК  1256	УИК  1257	УИК  1258	УИК  1259	УИК  1260	УИК  1261	УИК  1262	УИК  1263	УИК  1264	УИК  1265	УИК  1266	УИК  1267	УИК  1268	УИК  1269	УИК  1270	УИК  1271	УИК  1272	УИК  1273					
15	"Число открепительных удостоверений, выданных в ТИК"	7	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																						
18	. Глазьев Сергей Юрьевич	657	13	6	16	39	48	19	35	45	56	22	26	13	30	7	11	3	5	5	2	11	4	7	17	5	15	8	3	9	16	7	7	0	14	11	16	2	6	19	5	16	18	3	2	15	2	3	15					
		3.14%	2.28%	1.47%	3.04%	3.95%	3.96%	3.15%	3.39%	3.91%	5.51%	3.40%	3.84%	2.83%	5.24%	2.10%	3.16%	0.73%	2.59%	1.06%	0.92%	6.01%	3.77%	3.10%	2.53%	2.15%	4.10%	2.61%	2.21%	2.00%	2.96%	2.49%	1.74%	0.00%	5.38%	3.16%	2.74%	0.89%	2.54%	4.88%	3.31%	2.10%	6.57%	2.24%	1.55%	4.25%	1.67%	3.57%	1.59%					
19	. Малышкин Олег Александрович	534	27	10	16	27	33	25	20	32	24	11	19	15	9	8	21	11	5	5	7	4	2	4	14	1	3	6	4	8	21	2	14	8	4	8	10	11	4	13	2	12	8	2	2	16	3	0	23					
		2.55%	4.74%	2.46%	3.04%	2.73%	2.72%	4.15%	1.94%	2.78%	2.36%	1.70%	2.81%	3.26%	1.57%	2.40%	6.03%	2.68%	2.59%	1.06%	3.21%	2.19%	1.89%	1.77%	2.08%	0.43%	0.82%	1.95%	2.94%	1.77%	3.89%	0.71%	3.47%	4.82%	1.54%	2.30%	1.72%	4.91%	1.69%	3.34%	1.32%	1.57%	2.92%	1.49%	1.55%	4.53%	2.50%	0.00%	2.43%					
20	. Миронов Сергей Михайлович	178	5	3	9	11	7	6	10	5	10	11	5	5	4	1	0	5	3	2	2	3	2	2	8	2	0	4	3	2	2	2	5	1	1	1	5	4	2	2	1	1	1	2	5	4	0	1	8					
		0.85%	0.88%	0.74%	1.71%	1.11%	0.58%	1.00%	0.97%	0.43%	0.98%	1.70%	0.74%	1.09%	0.70%	0.30%	0.00%	1.22%	1.55%	0.43%	0.92%	1.64%	1.89%	0.88%	1.19%	0.86%	0.00%	1.30%	2.21%	0.44%	0.37%	0.71%	1.24%	0.60%	0.38%	0.29%	0.86%	1.79%	0.85%	0.51%	0.66%	0.13%	0.36%	1.49%	3.88%	1.13%	0.00%	1.19%	0.85%					
21	. Путин Владимир Владимирович	12917	320	229	294	529	679	346	616	699	565	377	420	255	348	211	192	270	138	296	169	128	51	136	437	142	264	232	85	293	356	128	245	120	186	252	388	157	175	203	117	533	185	97	90	232	91	62	579					
		61.80%	56.14%	56.27%	55.89%	53.54%	56.02%	57.38%	59.63%	60.68%	55.56%	58.18%	62.04%	55.43%	60.73%	63.36%	55.17%	65.69%	71.50%	62.98%	77.52%	69.95%	48.11%	60.18%	65.03%	60.94%	72.13%	75.57%	62.50%	64.97%	65.93%	45.55%	60.79%	72.29%	71.54%	72.41%	66.55%	70.09%	74.15%	52.19%	77.48%	69.95%	67.52%	72.39%	69.77%	65.72%	75.83%	73.81%	61.21%					
22	. Хакамада Ирина Муцуовна	673	16	10	24	29	39	23	30	49	44	44	25	23	21	9	17	10	6	6	5	1	1	3	24	3	8	11	5	13	16	6	8	2	4	13	12	5	4	15	2	36	8	3	5	8	0	1	26					
		3.22%	2.81%	2.46%	4.56%	2.94%	3.22%	3.81%	2.90%	4.25%	4.33%	6.79%	3.69%	5.00%	3.66%	2.70%	4.89%	2.43%	3.11%	1.28%	2.29%	0.55%	0.94%	1.33%	3.57%	1.29%	2.19%	3.58%	3.68%	2.88%	2.96%	2.14%	1.99%	1.20%	1.54%	3.74%	2.06%	2.23%	1.69%	3.86%	1.32%	4.72%	2.92%	2.24%	3.88%	2.27%	0.00%	1.19%	2.75%					
23	. Харитонов Николай Михайлович	5203	171	138	145	312	355	156	291	265	273	159	167	124	140	82	90	93	30	151	32	28	42	68	138	78	72	42	35	116	108	127	104	33	48	56	132	45	44	123	21	138	47	26	13	54	22	17	252					
		24.89%	30.00%	33.91%	27.57%	31.58%	29.29%	25.87%	28.17%	23.00%	26.84%	24.54%	24.67%	26.96%	24.43%	24.62%	25.86%	22.63%	15.54%	32.13%	14.68%	15.30%	39.62%	30.09%	20.54%	33.48%	19.67%	13.68%	25.74%	25.72%	20.00%	45.20%	25.81%	19.88%	18.46%	16.09%	22.64%	20.09%	18.64%	31.62%	13.91%	18.11%	17.15%	19.40%	10.08%	15.30%	18.33%	20.24%	26.64%					
																																																						
24	Против всех	579	15	10	18	35	46	23	27	50	34	17	12	20	16	9	11	16	2	4	1	7	1	4	23	1	0	4	0	5	16	4	16	1	1	6	16	0	0	10	3	23	7	1	6	24	2	0	32					
		2.77%	2.63%	2.46%	3.42%	3.54%	3.80%	3.81%	2.61%	4.34%	3.34%	2.62%	1.77%	4.35%	2.79%	2.70%	3.16%	3.89%	1.04%	0.85%	0.46%	3.83%	0.94%	1.77%	3.42%	0.43%	0.00%	1.30%	0.00%	1.11%	2.96%	1.42%	3.97%	0.60%	0.38%	1.72%	2.74%	0.00%	0.00%	2.57%	1.99%	3.02%	2.55%	0.75%	4.65%	6.80%	1.67%	0.00%	3.38%					
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
