Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																			
Дата голосования: 18.09.2016																																																																			
																																																																			
Наименование Избирательной комиссии:    Братская 																																																																			
																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																			
																																																																			
		Сумма	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	162	0	10	3	0	0	3	0	6	0	1	2	2	8	1	4	6	2	0	3	0	2	1	3	2	2	0	2	3	1	3	7	3	0	5	4	1	8	1	4	11	1	4	4	10	1	0	3	8	0	2	1	0	3	2	4	5									
		1.12%	0.00%	1.14%	0.92%	0.00%	0.00%	1.38%	0.00%	0.98%	0.00%	1.35%	1.23%	1.48%	1.19%	1.22%	2.72%	1.98%	1.12%	0.00%	0.86%	0.00%	0.68%	0.57%	1.80%	0.80%	0.60%	0.00%	1.02%	0.63%	0.43%	1.86%	2.02%	1.03%	0.00%	1.53%	1.00%	0.29%	2.34%	0.38%	1.57%	2.61%	0.41%	1.42%	1.45%	2.95%	0.37%	0.00%	0.58%	4.04%	0.00%	1.92%	0.70%	0.00%	1.44%	1.65%	0.89%	3.09%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	552	6	38	18	8	2	9	1	23	1	0	4	1	22	5	3	17	15	0	5	7	3	8	9	7	8	6	4	26	10	7	10	7	20	12	15	13	8	13	13	14	11	16	4	12	14	8	24	4	6	5	5	5	8	5	21	6									
		3.82%	4.20%	4.31%	5.52%	5.44%	3.85%	4.15%	1.28%	3.74%	1.72%	0.00%	2.45%	0.74%	3.28%	6.10%	2.04%	5.61%	8.43%	0.00%	1.43%	6.73%	1.02%	4.55%	5.39%	2.79%	2.40%	5.50%	2.04%	5.50%	4.26%	4.35%	2.88%	2.41%	4.66%	3.67%	3.75%	3.83%	2.34%	4.94%	5.12%	3.33%	4.47%	5.67%	1.45%	3.54%	5.15%	3.02%	4.62%	2.02%	2.94%	4.81%	3.52%	6.33%	3.85%	4.13%	4.69%	3.70%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	254	1	5	3	3	4	1	0	11	0	2	5	1	18	3	2	2	4	0	3	1	9	3	3	7	9	2	2	5	7	1	1	8	9	6	7	5	1	9	7	12	2	4	0	5	6	8	11	10	3	4	3	2	2	2	4	6									
		1.76%	0.70%	0.57%	0.92%	2.04%	7.69%	0.46%	0.00%	1.79%	0.00%	2.70%	3.07%	0.74%	2.68%	3.66%	1.36%	0.66%	2.25%	0.00%	0.86%	0.96%	3.07%	1.70%	1.80%	2.79%	2.70%	1.83%	1.02%	1.06%	2.98%	0.62%	0.29%	2.75%	2.10%	1.83%	1.75%	1.47%	0.29%	3.42%	2.76%	2.85%	0.81%	1.42%	0.00%	1.47%	2.21%	3.02%	2.12%	5.05%	1.47%	3.85%	2.11%	2.53%	0.96%	1.65%	0.89%	3.70%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5958	99	364	127	78	34	103	46	236	30	36	83	88	249	36	82	119	62	0	259	61	192	95	76	134	162	56	136	157	112	82	163	196	127	104	145	106	97	64	83	123	62	81	83	103	80	83	138	47	113	61	69	22	96	49	193	76									
		41.28%	69.23%	41.32%	38.96%	53.06%	65.38%	47.47%	58.97%	38.37%	51.72%	48.65%	50.92%	65.19%	37.11%	43.90%	55.78%	39.27%	34.83%	0.00%	74.00%	58.65%	65.53%	53.98%	45.51%	53.39%	48.65%	51.38%	69.39%	33.19%	47.66%	50.93%	46.97%	67.35%	29.60%	31.80%	36.25%	31.27%	28.36%	24.33%	32.68%	29.22%	25.20%	28.72%	30.07%	30.38%	29.41%	31.32%	26.54%	23.74%	55.39%	58.65%	48.59%	27.85%	46.15%	40.50%	43.08%	46.91%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	82	1	4	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	23	1	2	0	1	0	1	0	1	1	3	4	0	1	2	2	2	2	0	2	2	0	3	3	3	1	1	0	2	4	1	0	0	0	0	2	0	2	0									
		0.57%	0.70%	0.45%	0.31%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	63.89%	0.29%	1.92%	0.00%	0.57%	0.00%	0.40%	0.00%	0.92%	0.51%	0.63%	1.70%	0.00%	0.29%	0.69%	0.47%	0.61%	0.50%	0.00%	0.58%	0.76%	0.00%	0.71%	1.22%	1.06%	0.36%	0.29%	0.00%	0.75%	0.77%	0.51%	0.00%	0.00%	0.00%	0.00%	0.96%	0.00%	0.45%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	30	0	1	1	0	0	0	0	3	0	0	1	1	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	3	0	1	0	1	1	0	1	1	2	0	0	1	1	1	0	1	1	0	1	0	0	1	0									
		0.21%	0.00%	0.11%	0.31%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.61%	0.74%	0.00%	1.22%	0.00%	0.33%	0.56%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.70%	0.00%	0.25%	0.00%	0.29%	0.38%	0.00%	0.24%	0.41%	0.71%	0.00%	0.00%	0.37%	0.38%	0.19%	0.00%	0.49%	0.96%	0.00%	1.27%	0.00%	0.00%	0.22%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2904	12	157	61	20	12	36	15	125	11	12	22	14	149	8	20	41	24	0	21	13	49	29	0	52	47	17	9	78	35	20	67	30	135	106	108	98	116	70	66	97	81	61	90	80	86	57	118	80	25	11	29	17	42	22	84	19									
		20.12%	8.39%	17.82%	18.71%	13.61%	23.08%	16.59%	19.23%	20.33%	18.97%	16.22%	13.50%	10.37%	22.21%	9.76%	13.61%	13.53%	13.48%	0.00%	6.00%	12.50%	16.72%	16.48%	0.00%	20.72%	14.11%	15.60%	4.59%	16.49%	14.89%	12.42%	19.31%	10.31%	31.47%	32.42%	27.00%	28.91%	33.92%	26.62%	25.98%	23.04%	32.93%	21.63%	32.61%	23.60%	31.62%	21.51%	22.69%	40.40%	12.25%	10.58%	20.42%	21.52%	20.19%	18.18%	18.75%	11.73%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	75	0	2	2	0	0	0	0	3	0	0	0	0	1	0	0	0	1	6	0	0	1	1	22	0	0	0	0	0	3	0	0	0	1	5	2	2	3	3	2	2	1	1	1	1	2	1	3	0	1	0	0	0	0	0	1	1									
		0.52%	0.00%	0.23%	0.61%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.56%	16.67%	0.00%	0.00%	0.34%	0.57%	13.17%	0.00%	0.00%	0.00%	0.00%	0.00%	1.28%	0.00%	0.00%	0.00%	0.23%	1.53%	0.50%	0.59%	0.88%	1.14%	0.79%	0.48%	0.41%	0.35%	0.36%	0.29%	0.74%	0.38%	0.58%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.62%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	64	1	7	1	1	0	1	1	5	0	0	1	1	4	1	1	1	2	0	0	0	1	0	0	0	0	0	1	3	1	0	0	0	1	4	1	3	2	1	1	1	1	2	0	2	0	2	0	2	3	0	1	0	0	3	0	0									
		0.44%	0.70%	0.79%	0.31%	0.68%	0.00%	0.46%	1.28%	0.81%	0.00%	0.00%	0.61%	0.74%	0.60%	1.22%	0.68%	0.33%	1.12%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.63%	0.43%	0.00%	0.00%	0.00%	0.23%	1.22%	0.25%	0.88%	0.58%	0.38%	0.39%	0.24%	0.41%	0.71%	0.00%	0.59%	0.00%	0.75%	0.00%	1.01%	1.47%	0.00%	0.70%	0.00%	0.00%	2.48%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	19	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	3	0	0	0	0	2	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0									
		0.13%	0.00%	0.11%	0.00%	0.00%	0.00%	0.46%	1.28%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.56%	0.86%	0.00%	0.00%	0.00%	0.00%	0.80%	0.00%	0.00%	0.51%	0.00%	0.43%	0.62%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%	0.22%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	71	0	2	3	0	0	1	14	1	1	1	2	0	3	0	0	2	0	0	1	1	0	0	1	0	3	1	0	2	0	1	1	0	1	4	2	1	2	0	1	2	0	0	1	2	0	5	1	0	1	1	0	0	2	1	3	0									
		0.49%	0.00%	0.23%	0.92%	0.00%	0.00%	0.46%	17.95%	0.16%	1.72%	1.35%	1.23%	0.00%	0.45%	0.00%	0.00%	0.66%	0.00%	0.00%	0.29%	0.96%	0.00%	0.00%	0.60%	0.00%	0.90%	0.92%	0.00%	0.42%	0.00%	0.62%	0.29%	0.00%	0.23%	1.22%	0.50%	0.29%	0.58%	0.00%	0.39%	0.48%	0.00%	0.00%	0.36%	0.59%	0.00%	1.89%	0.19%	0.00%	0.49%	0.96%	0.00%	0.00%	0.96%	0.83%	0.67%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3495	12	238	88	33	0	56	0	172	12	20	34	23	187	22	33	100	54	3	43	12	23	32	39	39	91	24	34	181	48	37	78	38	109	62	89	87	82	73	60	124	62	84	79	103	67	74	170	38	36	13	27	27	41	28	109	45									
		24.22%	8.39%	27.01%	26.99%	22.45%	0.00%	25.81%	0.00%	27.97%	20.69%	27.03%	20.86%	17.04%	27.87%	26.83%	22.45%	33.00%	30.34%	8.33%	12.29%	11.54%	7.85%	18.18%	23.35%	15.54%	27.33%	22.02%	17.35%	38.27%	20.43%	22.98%	22.48%	13.06%	25.41%	18.96%	22.25%	25.66%	23.98%	27.76%	23.62%	29.45%	25.20%	29.79%	28.62%	30.38%	24.63%	27.92%	32.69%	19.19%	17.65%	12.50%	19.01%	34.18%	19.71%	23.14%	24.33%	27.78%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	52	1	3	2	0	0	0	0	5	0	0	1	0	1	0	0	1	1	0	0	0	1	1	1	0	2	0	1	0	0	0	1	0	2	0	3	1	1	4	2	1	1	1	2	1	0	1	2	0	1	0	1	0	3	1	0	2									
		0.36%	0.70%	0.34%	0.61%	0.00%	0.00%	0.00%	0.00%	0.81%	0.00%	0.00%	0.61%	0.00%	0.15%	0.00%	0.00%	0.33%	0.56%	0.00%	0.00%	0.00%	0.34%	0.57%	0.60%	0.00%	0.60%	0.00%	0.51%	0.00%	0.00%	0.00%	0.29%	0.00%	0.47%	0.00%	0.75%	0.29%	0.29%	1.52%	0.79%	0.24%	0.41%	0.35%	0.72%	0.29%	0.00%	0.38%	0.38%	0.00%	0.49%	0.00%	0.70%	0.00%	1.44%	0.83%	0.00%	1.23%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	352	3	17	10	1	0	3	0	14	2	1	1	1	8	1	0	4	7	0	1	2	5	2	8	6	3	1	1	6	4	5	7	4	14	9	13	10	9	13	10	21	12	16	7	8	7	13	24	4	5	5	5	2	3	5	9	0									
		2.44%	2.10%	1.93%	3.07%	0.68%	0.00%	1.38%	0.00%	2.28%	3.45%	1.35%	0.61%	0.74%	1.19%	1.22%	0.00%	1.32%	3.93%	0.00%	0.29%	1.92%	1.71%	1.14%	4.79%	2.39%	0.90%	0.92%	0.51%	1.27%	1.70%	3.11%	2.02%	1.37%	3.26%	2.75%	3.25%	2.95%	2.63%	4.94%	3.94%	4.99%	4.88%	5.67%	2.54%	2.36%	2.57%	4.91%	4.62%	2.02%	2.45%	4.81%	3.52%	2.53%	1.44%	4.13%	2.01%	0.00%									
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
