Выборы Президента Российской Федерации																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Шебекинская																																																																																	
																																																																																	
Итоги голосования 																																																																																	
																																																																																	
		Сумма	УИК  1077	УИК  1078	УИК  1079	УИК  1080	УИК  1081	УИК  1082	УИК  1083	УИК  1084	УИК  1085	УИК  1086	УИК  1087	УИК  1088	УИК  1089	УИК  1090	УИК  1091	УИК  1092	УИК  1093	УИК  1094	УИК  1095	УИК  1096	УИК  1097	УИК  1098	УИК  1099	УИК  1100	УИК  1101	УИК  1102	УИК  1103	УИК  1104	УИК  1105	УИК  1106	УИК  1107	УИК  1108	УИК  1109	УИК  1110	УИК  1111	УИК  1112	УИК  1113	УИК  1114	УИК  1115	УИК  1116	УИК  1117	УИК  1118	УИК  1119	УИК  1120	УИК  1121	УИК  1122	УИК  1123	УИК  1124	УИК  1125	УИК  1126	УИК  1127	УИК  1128	УИК  1129	УИК  1130	УИК  1131	УИК  1132	УИК  1133	УИК  1134	УИК  1135	УИК  1136	УИК  1137	УИК  1138	УИК  1139	УИК  1140	УИК  1141	УИК  1142	УИК  1143	УИК  1144	УИК  1145	УИК  1146	УИК  1147	УИК  1148	УИК  1149	УИК  1150					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																	
18	. Глазьев Сергей Юрьевич	2644	26	98	71	32	59	70	61	130	113	79	89	73	121	51	39	56	38	24	29	25	94	6	10	9	8	4	29	10	6	16	15	20	6	27	13	56	18	24	25	16	27	34	13	12	2	34	10	24	53	13	21	26	72	142	22	16	17	13	2	5	13	8	25	56	47	17	34	34	31	43	25	19	15	23					
		5.07%	3.58%	4.77%	4.78%	3.35%	4.37%	5.05%	5.31%	7.64%	9.18%	5.25%	5.42%	5.88%	6.65%	6.26%	6.41%	5.08%	4.41%	4.78%	5.49%	3.11%	7.19%	2.23%	3.91%	3.61%	2.20%	2.94%	2.92%	3.91%	3.39%	3.56%	4.67%	4.89%	2.88%	5.68%	4.92%	4.11%	3.57%	4.95%	3.29%	3.76%	4.56%	4.50%	2.90%	3.02%	1.52%	6.94%	3.24%	5.42%	6.43%	4.11%	3.50%	7.67%	5.76%	8.19%	13.92%	5.80%	3.52%	1.92%	1.10%	2.53%	4.76%	7.48%	5.69%	4.22%	4.30%	3.67%	4.89%	4.37%	6.20%	6.13%	5.13%	3.02%	3.41%	4.78%					
19	. Малышкин Олег Александрович	1409	20	52	29	29	27	27	38	46	30	44	40	33	35	23	14	29	19	20	22	26	38	23	6	6	8	1	24	8	0	6	12	10	1	16	5	36	17	15	21	14	20	34	11	16	1	11	2	11	37	5	22	5	34	39	2	2	15	10	5	2	1	3	14	45	36	13	30	29	6	29	9	19	14	7					
		2.70%	2.75%	2.53%	1.95%	3.03%	2.00%	1.95%	3.31%	2.70%	2.44%	2.93%	2.43%	2.66%	1.92%	2.82%	2.30%	2.63%	2.21%	3.98%	4.17%	3.23%	2.91%	8.55%	2.34%	2.41%	2.20%	0.74%	2.41%	3.12%	0.00%	1.33%	3.74%	2.44%	0.48%	3.37%	1.89%	2.64%	3.37%	3.09%	2.76%	3.29%	3.38%	4.50%	2.45%	4.02%	0.76%	2.24%	0.65%	2.48%	4.49%	1.58%	3.67%	1.47%	2.72%	2.25%	1.27%	0.72%	3.11%	1.48%	2.76%	1.01%	0.37%	2.80%	3.19%	3.39%	3.29%	2.81%	4.32%	3.73%	1.20%	4.14%	1.85%	3.02%	3.18%	1.46%					
20	. Миронов Сергей Михайлович	484	8	18	20	5	18	6	9	11	7	11	14	13	13	5	5	5	17	0	6	8	10	9	4	2	3	0	12	4	0	3	9	6	0	3	5	9	2	5	6	6	6	9	5	6	0	4	6	6	4	3	3	1	14	5	3	5	2	7	2	0	6	0	2	14	10	2	11	11	1	7	10	6	3	13					
		0.93%	1.10%	0.88%	1.35%	0.52%	1.33%	0.43%	0.78%	0.65%	0.57%	0.73%	0.85%	1.05%	0.71%	0.61%	0.82%	0.45%	1.97%	0.00%	1.14%	1.00%	0.76%	3.35%	1.56%	0.80%	0.82%	0.00%	1.21%	1.56%	0.00%	0.67%	2.80%	1.47%	0.00%	0.63%	1.89%	0.66%	0.40%	1.03%	0.79%	1.41%	1.01%	1.19%	1.11%	1.51%	0.00%	0.82%	1.94%	1.35%	0.49%	0.95%	0.50%	0.29%	1.12%	0.29%	1.90%	1.81%	0.41%	1.03%	1.10%	0.00%	2.20%	0.00%	0.46%	1.06%	0.91%	0.43%	1.58%	1.41%	0.20%	1.00%	2.05%	0.95%	0.68%	2.70%					
21	. Путин Владимир Владимирович	29073	387	1056	778	530	752	733	623	898	574	863	913	729	1045	465	339	603	439	239	269	406	669	161	146	143	226	114	636	143	108	258	115	255	129	267	140	709	254	308	418	260	340	392	281	237	84	252	157	262	490	147	371	173	679	1029	92	164	255	429	134	145	179	55	272	748	693	256	387	429	324	370	279	359	242	267					
		55.74%	53.23%	51.41%	52.43%	55.44%	55.74%	52.85%	54.22%	52.79%	46.63%	57.38%	55.57%	58.70%	57.45%	57.06%	55.76%	54.72%	50.99%	47.61%	50.95%	50.50%	51.15%	59.85%	57.03%	57.43%	62.09%	83.82%	63.98%	55.86%	61.02%	57.33%	35.83%	62.35%	62.02%	56.21%	53.03%	52.06%	50.40%	63.51%	54.93%	61.18%	57.43%	51.85%	62.58%	59.55%	63.64%	51.43%	50.81%	59.14%	59.47%	46.52%	61.83%	51.03%	54.28%	59.38%	58.23%	59.42%	52.80%	63.37%	74.03%	73.23%	65.57%	51.40%	61.96%	56.37%	63.35%	55.29%	55.68%	55.14%	64.80%	52.78%	57.29%	56.98%	55.00%	55.51%					
22	. Хакамада Ирина Муцуовна	1334	20	70	44	33	43	31	36	59	43	48	66	42	53	32	24	23	24	14	15	21	34	7	7	4	5	0	18	4	2	6	4	5	10	7	8	23	9	10	12	8	17	25	14	11	3	10	4	14	17	5	16	12	28	29	3	6	7	10	6	8	7	4	5	27	37	9	9	16	5	12	6	19	3	6					
		2.56%	2.75%	3.41%	2.96%	3.45%	3.19%	2.24%	3.13%	3.47%	3.49%	3.19%	4.02%	3.38%	2.91%	3.93%	3.95%	2.09%	2.79%	2.79%	2.84%	2.61%	2.60%	2.60%	2.73%	1.61%	1.37%	0.00%	1.81%	1.56%	1.13%	1.33%	1.25%	1.22%	4.81%	1.47%	3.03%	1.69%	1.79%	2.06%	1.58%	1.88%	2.87%	3.31%	3.12%	2.76%	2.27%	2.04%	1.29%	3.16%	2.06%	1.58%	2.67%	3.54%	2.24%	1.67%	1.90%	2.17%	1.45%	1.48%	3.31%	4.04%	2.56%	3.74%	1.14%	2.03%	3.38%	1.94%	1.29%	2.06%	1.00%	1.71%	1.23%	3.02%	0.68%	1.25%					
23	. Харитонов Николай Михайлович	14907	242	653	478	284	384	470	335	470	399	391	432	288	460	205	156	344	277	188	155	275	386	57	74	72	108	14	244	83	55	148	155	104	59	133	87	494	184	111	242	109	161	218	93	97	40	171	121	109	182	131	139	115	358	386	25	69	172	171	30	27	61	34	102	365	216	142	193	216	121	216	145	184	145	147					
		28.58%	33.29%	31.79%	32.21%	29.71%	28.47%	33.89%	29.16%	27.63%	32.41%	26.00%	26.29%	23.19%	25.29%	25.15%	25.66%	31.22%	32.17%	37.45%	29.36%	34.20%	29.51%	21.19%	28.91%	28.92%	29.67%	10.29%	24.55%	32.42%	31.07%	32.89%	48.29%	25.43%	28.37%	28.00%	32.95%	36.27%	36.51%	22.89%	31.80%	25.65%	27.20%	28.84%	20.71%	24.37%	30.30%	34.90%	39.16%	24.60%	22.09%	41.46%	23.17%	33.92%	28.62%	22.27%	15.82%	25.00%	35.61%	25.26%	16.57%	13.64%	22.34%	31.78%	23.23%	27.51%	19.74%	30.67%	27.77%	27.76%	24.20%	30.81%	29.77%	29.21%	32.95%	30.56%					
																																																																																	
24	Против всех	1632	17	82	48	29	46	32	34	66	54	59	78	55	78	26	27	36	29	11	28	27	63	1	1	8	4	0	19	2	1	2	11	4	2	11	4	24	8	5	20	9	14	32	25	11	0	1	7	5	30	5	16	7	49	81	4	11	8	20	1	9	1	1	8	62	38	18	24	34	7	10	6	12	4	10					
		3.13%	2.34%	3.99%	3.23%	3.03%	3.41%	2.31%	2.96%	3.88%	4.39%	3.92%	4.75%	4.43%	4.29%	3.19%	4.44%	3.27%	3.37%	2.19%	5.30%	3.36%	4.82%	0.37%	0.39%	3.21%	1.10%	0.00%	1.91%	0.78%	0.56%	0.44%	3.43%	0.98%	0.96%	2.32%	1.52%	1.76%	1.59%	1.03%	2.63%	2.12%	2.36%	4.23%	5.57%	2.76%	0.00%	0.20%	2.27%	1.13%	3.64%	1.58%	2.67%	2.06%	3.92%	4.67%	2.53%	3.99%	1.66%	2.95%	0.55%	4.55%	0.37%	0.93%	1.82%	4.67%	3.47%	3.89%	3.45%	4.37%	1.40%	1.43%	1.23%	1.90%	0.91%	2.08%					
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
