Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Октябрьская																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280									
		0.22%	0.67%	0.00%	1.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.04%	0.00%	0.00%	0.00%	0.91%	0.00%	0.32%	0.00%	0.00%	0.00%	4.65%	0.00%	1.30%	2.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	1.70%	0.28%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1711	29	3	26	16	5	58	9	4	8	14	5	93	23	33	86	24	38	4	9	24	22	9	20	19	16	13	27	11	28	75	131	92	112	114	12	9	18	8	26	108	36	24	16	2	28	34	3	61	42	29	55									
		16.48%	19.33%	5.77%	13.40%	26.67%	12.82%	16.34%	20.45%	12.90%	15.69%	18.18%	11.63%	18.24%	13.22%	34.38%	13.80%	15.69%	17.59%	10.81%	18.37%	10.39%	13.17%	10.00%	13.16%	10.73%	10.88%	11.50%	13.30%	11.83%	12.73%	13.84%	21.16%	20.63%	21.50%	17.95%	27.91%	21.43%	11.69%	16.00%	13.98%	19.29%	27.48%	16.67%	11.94%	3.57%	15.14%	31.19%	6.00%	14.42%	15.67%	16.48%	15.32%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	31	1	0	0	0	1	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	3	4	2	2	3	0	2	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1									
		0.30%	0.67%	0.00%	0.00%	0.00%	2.56%	0.00%	2.27%	0.00%	0.00%	0.00%	0.00%	0.59%	0.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.88%	0.99%	0.00%	0.00%	0.55%	0.65%	0.45%	0.38%	0.47%	0.00%	4.76%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.75%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.28%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	28	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	2	0	0	0	1	7	0	1	4	5	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0									
		0.27%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	1.04%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	1.36%	0.00%	0.00%	0.00%	0.45%	1.29%	0.00%	0.22%	0.77%	0.79%	2.33%	0.00%	0.00%	2.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	12	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0									
		0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.18%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	51	0	0	0	2	0	2	0	0	0	0	0	1	0	2	1	0	0	0	0	2	0	0	0	2	1	0	1	1	0	2	4	6	4	2	0	0	0	2	1	3	0	0	0	0	2	1	1	5	1	2	0									
		0.49%	0.00%	0.00%	0.00%	3.33%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	2.08%	0.16%	0.00%	0.00%	0.00%	0.00%	0.87%	0.00%	0.00%	0.00%	1.13%	0.68%	0.00%	0.49%	1.08%	0.00%	0.37%	0.65%	1.35%	0.77%	0.31%	0.00%	0.00%	0.00%	4.00%	0.54%	0.54%	0.00%	0.00%	0.00%	0.00%	1.08%	0.92%	2.00%	1.18%	0.37%	1.14%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1057	17	5	11	0	2	41	0	0	1	10	0	50	17	2	36	5	26	2	2	21	25	3	12	20	7	14	29	4	27	74	62	64	77	84	0	2	19	3	20	96	14	8	13	2	36	11	5	36	10	8	24									
		10.18%	11.33%	9.62%	5.67%	0.00%	5.13%	11.55%	0.00%	0.00%	1.96%	12.99%	0.00%	9.80%	9.77%	2.08%	5.78%	3.27%	12.04%	5.41%	4.08%	9.09%	14.97%	3.33%	7.89%	11.30%	4.76%	12.39%	14.29%	4.30%	12.27%	13.65%	10.02%	14.35%	14.78%	13.23%	0.00%	4.76%	12.34%	6.00%	10.75%	17.14%	10.69%	5.56%	9.70%	3.57%	19.46%	10.09%	10.00%	8.51%	3.73%	4.55%	6.69%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	26	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	1	0	1	0	0	1	0	0	1	1	1	0	0	1	2	0	0	3	0	1	1	3	0	0	0	0	1	0	0	2	0	0	1	1	0	0									
		0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	1.30%	0.00%	0.00%	0.00%	0.00%	0.32%	0.65%	0.00%	2.70%	0.00%	0.00%	0.60%	0.00%	0.00%	0.56%	0.68%	0.88%	0.00%	0.00%	0.45%	0.37%	0.00%	0.00%	0.58%	0.00%	2.33%	2.38%	1.95%	0.00%	0.00%	0.00%	0.00%	0.69%	0.00%	0.00%	1.08%	0.00%	0.00%	0.24%	0.37%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1688	24	6	15	17	7	114	7	11	6	20	11	72	18	12	80	6	39	6	4	48	21	32	44	15	9	21	17	4	28	116	144	69	89	148	6	8	22	7	27	98	8	39	19	36	32	14	11	10	21	10	40									
		16.26%	16.00%	11.54%	7.73%	28.33%	17.95%	32.11%	15.91%	35.48%	11.76%	25.97%	25.58%	14.12%	10.34%	12.50%	12.84%	3.92%	18.06%	16.22%	8.16%	20.78%	12.57%	35.56%	28.95%	8.47%	6.12%	18.58%	8.37%	4.30%	12.73%	21.40%	23.26%	15.47%	17.08%	23.31%	13.95%	19.05%	14.29%	14.00%	14.52%	17.50%	6.11%	27.08%	14.18%	64.29%	17.30%	12.84%	22.00%	2.36%	7.84%	5.68%	11.14%									
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
