Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Изобильненская																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №1271									
		2.64%	2.74%	1.64%	3.04%	3.26%	1.52%	1.89%	3.58%	0.99%	2.53%	2.04%	2.32%	2.50%	3.30%	3.16%	4.55%	0.93%	2.04%	2.57%	2.06%	3.29%	2.43%	1.77%	2.45%	2.19%	2.87%	2.17%	1.15%	4.57%	3.11%	1.96%	1.52%	4.34%	3.88%	9.04%	1.81%	3.68%	3.13%	5.12%	4.47%	2.93%	2.32%	1.78%	1.38%	1.89%	5.86%	2.09%	2.17%	4.16%	2.82%	3.13%	2.21%	2.37%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	639	8	8	6	18	8	11	11	17	11	12	18	12	22	22	16	5	32	11	10	6	26	23	36	22	21	17	7	16	13	6	9	28	2	2	2	10	8	6	12	13	12	2	13	9	3	8	8	4	12	0	4	21									
		1.79%	1.46%	1.31%	1.07%	3.45%	1.21%	1.39%	1.88%	3.36%	2.14%	1.88%	2.78%	1.99%	3.02%	4.64%	3.31%	0.93%	2.72%	1.77%	1.72%	1.04%	3.01%	2.03%	3.04%	1.93%	1.47%	1.60%	1.34%	1.88%	1.44%	1.68%	0.86%	3.92%	0.86%	1.13%	0.90%	2.04%	2.27%	1.46%	1.31%	1.59%	1.03%	1.18%	1.20%	0.81%	0.93%	1.86%	0.97%	0.72%	1.09%	0.00%	2.94%	1.46%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	19262	263	307	261	220	376	429	284	235	229	312	314	289	363	220	202	368	488	284	279	293	294	413	446	474	840	614	284	523	530	239	651	342	147	126	140	254	190	218	413	320	775	119	766	779	196	301	607	331	709	61	85	1059									
		54.07%	47.99%	50.33%	46.61%	42.15%	57.06%	54.10%	48.46%	46.44%	44.55%	48.98%	48.53%	48.09%	49.86%	46.41%	41.74%	68.66%	41.46%	45.66%	47.86%	50.78%	34.07%	36.52%	37.64%	41.62%	58.70%	57.87%	54.30%	61.31%	58.82%	66.76%	61.94%	47.90%	63.36%	71.19%	63.35%	51.94%	53.98%	53.17%	45.04%	39.02%	66.64%	70.41%	70.47%	69.99%	60.49%	70.00%	73.22%	59.86%	64.57%	63.54%	62.50%	73.80%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	249	3	3	4	3	4	8	5	3	7	5	9	8	12	2	1	3	4	8	5	11	10	13	18	10	13	6	5	3	4	1	7	0	2	0	0	4	3	7	3	5	3	0	3	0	1	1	4	5	3	0	0	7									
		0.70%	0.55%	0.49%	0.71%	0.57%	0.61%	1.01%	0.85%	0.59%	1.36%	0.78%	1.39%	1.33%	1.65%	0.42%	0.21%	0.56%	0.34%	1.29%	0.86%	1.91%	1.16%	1.15%	1.52%	0.88%	0.91%	0.57%	0.96%	0.35%	0.44%	0.28%	0.67%	0.00%	0.86%	0.00%	0.00%	0.82%	0.85%	1.71%	0.33%	0.61%	0.26%	0.00%	0.28%	0.00%	0.31%	0.23%	0.48%	0.90%	0.27%	0.00%	0.00%	0.49%									
24	"6. Политическая партия ""Гражданская Платформа"""	49	0	3	0	1	1	1	0	1	1	1	0	0	2	1	1	0	2	3	1	0	1	0	1	0	2	2	2	1	1	0	2	3	1	0	1	0	0	3	1	1	0	0	0	1	0	1	0	2	3	0	0	1									
		0.14%	0.00%	0.49%	0.00%	0.19%	0.15%	0.13%	0.00%	0.20%	0.19%	0.16%	0.00%	0.00%	0.27%	0.21%	0.21%	0.00%	0.17%	0.48%	0.17%	0.00%	0.12%	0.00%	0.08%	0.00%	0.14%	0.19%	0.38%	0.12%	0.11%	0.00%	0.19%	0.42%	0.43%	0.00%	0.45%	0.00%	0.00%	0.73%	0.11%	0.12%	0.00%	0.00%	0.00%	0.09%	0.00%	0.23%	0.00%	0.36%	0.27%	0.00%	0.00%	0.07%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6591	114	127	99	88	97	130	107	92	98	98	108	125	131	80	106	71	247	127	133	128	269	330	311	295	231	198	113	141	128	36	201	128	23	12	36	122	79	80	230	216	171	27	119	169	62	57	94	78	139	13	26	151									
		18.50%	20.80%	20.82%	17.68%	16.86%	14.72%	16.39%	18.26%	18.18%	19.07%	15.38%	16.69%	20.80%	17.99%	16.88%	21.90%	13.25%	20.99%	20.42%	22.81%	22.18%	31.17%	29.18%	26.24%	25.90%	16.14%	18.66%	21.61%	16.53%	14.21%	10.06%	19.12%	17.93%	9.91%	6.78%	16.29%	24.95%	22.44%	19.51%	25.08%	26.34%	14.70%	15.98%	10.95%	15.18%	19.14%	13.26%	11.34%	14.10%	12.66%	13.54%	19.12%	10.52%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	138	4	2	1	3	2	2	3	4	1	2	8	6	5	1	3	0	6	4	5	0	4	13	6	6	10	6	0	0	0	1	5	3	0	3	0	2	0	0	1	0	1	0	3	0	1	1	0	0	2	0	2	6									
		0.39%	0.73%	0.33%	0.18%	0.57%	0.30%	0.25%	0.51%	0.79%	0.19%	0.31%	1.24%	0.99%	0.69%	0.21%	0.62%	0.00%	0.51%	0.64%	0.86%	0.00%	0.46%	1.15%	0.51%	0.53%	0.70%	0.57%	0.00%	0.00%	0.00%	0.28%	0.48%	0.42%	0.00%	1.69%	0.00%	0.41%	0.00%	0.00%	0.11%	0.00%	0.09%	0.00%	0.28%	0.00%	0.31%	0.23%	0.00%	0.00%	0.18%	0.00%	1.47%	0.42%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	275	7	9	4	13	4	14	6	7	4	8	14	6	3	2	12	2	12	2	9	7	4	12	12	10	20	3	3	4	0	0	3	5	5	0	1	2	0	2	8	8	2	1	5	2	2	1	1	2	6	0	1	5									
		0.77%	1.28%	1.48%	0.71%	2.49%	0.61%	1.77%	1.02%	1.38%	0.78%	1.26%	2.16%	0.99%	0.41%	0.42%	2.48%	0.37%	1.02%	0.32%	1.54%	1.21%	0.46%	1.06%	1.01%	0.88%	1.40%	0.28%	0.57%	0.47%	0.00%	0.00%	0.29%	0.70%	2.16%	0.00%	0.45%	0.41%	0.00%	0.49%	0.87%	0.98%	0.17%	0.59%	0.46%	0.18%	0.62%	0.23%	0.12%	0.36%	0.55%	0.00%	0.74%	0.35%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	84	0	0	1	0	0	3	0	3	0	0	0	0	0	2	1	0	1	1	2	1	0	1	3	40	3	2	0	1	1	0	2	2	0	0	0	0	0	5	0	3	0	0	1	1	0	0	0	2	1	0	0	1									
		0.24%	0.00%	0.00%	0.18%	0.00%	0.00%	0.38%	0.00%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.21%	0.00%	0.08%	0.16%	0.34%	0.17%	0.00%	0.09%	0.25%	3.51%	0.21%	0.19%	0.00%	0.12%	0.11%	0.00%	0.19%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	1.22%	0.00%	0.37%	0.00%	0.00%	0.09%	0.09%	0.00%	0.00%	0.00%	0.36%	0.09%	0.00%	0.00%	0.07%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	272	1	7	5	2	5	9	7	4	4	8	6	10	5	7	10	1	9	4	3	2	10	22	13	16	12	7	2	6	1	1	9	4	1	1	2	0	1	0	12	13	2	1	4	3	1	2	5	0	1	2	0	9									
		0.76%	0.18%	1.15%	0.89%	0.38%	0.76%	1.13%	1.19%	0.79%	0.78%	1.26%	0.93%	1.66%	0.69%	1.48%	2.07%	0.19%	0.76%	0.64%	0.51%	0.35%	1.16%	1.95%	1.10%	1.40%	0.84%	0.66%	0.38%	0.70%	0.11%	0.28%	0.86%	0.56%	0.43%	0.56%	0.90%	0.00%	0.28%	0.00%	1.31%	1.59%	0.17%	0.59%	0.37%	0.27%	0.31%	0.47%	0.60%	0.00%	0.09%	2.08%	0.00%	0.63%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4318	79	76	104	94	108	92	93	81	100	116	90	81	98	69	69	59	208	115	83	67	98	137	192	100	149	101	55	75	130	41	76	108	26	5	21	57	33	46	139	108	101	10	103	102	21	34	54	68	127	8	10	101									
		12.12%	14.42%	12.46%	18.57%	18.01%	16.39%	11.60%	15.87%	16.01%	19.46%	18.21%	13.91%	13.48%	13.46%	14.56%	14.26%	11.01%	17.67%	18.49%	14.24%	11.61%	11.36%	12.11%	16.20%	8.78%	10.41%	9.52%	10.52%	8.79%	14.43%	11.45%	7.23%	15.13%	11.21%	2.82%	9.50%	11.66%	9.38%	11.22%	15.16%	13.17%	8.68%	5.92%	9.48%	9.16%	6.48%	7.91%	6.51%	12.30%	11.57%	8.33%	7.35%	7.04%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	140	5	2	1	1	1	8	2	2	1	7	7	0	4	2	1	1	7	0	3	4	3	5	6	8	4	5	3	3	0	1	4	2	2	0	1	1	0	1	3	1	11	3	3	2	0	1	2	2	2	1	1	0									
		0.39%	0.91%	0.33%	0.18%	0.19%	0.15%	1.01%	0.34%	0.40%	0.19%	1.10%	1.08%	0.00%	0.55%	0.42%	0.21%	0.19%	0.59%	0.00%	0.51%	0.69%	0.35%	0.44%	0.51%	0.70%	0.28%	0.47%	0.57%	0.35%	0.00%	0.28%	0.38%	0.28%	0.86%	0.00%	0.45%	0.20%	0.00%	0.24%	0.33%	0.12%	0.95%	1.78%	0.28%	0.18%	0.00%	0.23%	0.24%	0.36%	0.18%	1.04%	0.74%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1251	25	39	26	20	21	37	16	37	25	29	40	27	22	18	20	15	81	27	19	19	55	69	57	51	46	28	13	20	42	11	23	30	4	2	3	7	6	9	30	23	22	1	21	8	0	6	22	17	28	6	2	26									
		3.51%	4.56%	6.39%	4.64%	3.83%	3.19%	4.67%	2.73%	7.31%	4.86%	4.55%	6.18%	4.49%	3.02%	3.80%	4.13%	2.80%	6.88%	4.34%	3.26%	3.29%	6.37%	6.10%	4.81%	4.48%	3.21%	2.64%	2.49%	2.34%	4.66%	3.07%	2.19%	4.20%	1.72%	1.13%	1.36%	1.43%	1.70%	2.20%	3.27%	2.80%	1.89%	0.59%	1.93%	0.72%	0.00%	1.40%	2.65%	3.07%	2.55%	6.25%	1.47%	1.81%									
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
