Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																			
Дата голосования: 18.09.2016																																																																			
																																																																			
Наименование Избирательной комиссии:    Петушинская																																																																			
																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																			
																																																																			
		Сумма	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208									
		2.34%	3.79%	2.25%	1.51%	0.77%	0.65%	2.12%	0.86%	2.75%	0.87%	0.88%	0.78%	0.41%	3.68%	1.54%	0.91%	0.00%	1.73%	2.68%	2.42%	0.00%	1.23%	3.17%	0.98%	3.77%	0.61%	1.92%	0.00%	1.45%	0.00%	4.94%	3.02%	1.51%	2.20%	2.32%	2.08%	3.67%	3.53%	0.91%	4.69%	2.69%	2.92%	2.51%	0.97%	3.66%	2.67%	1.89%	4.42%	7.63%	1.61%	8.14%	1.61%	0.97%	2.33%	1.12%	1.67%	4.04%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	576	10	16	8	6	4	26	13	5	6	13	12	6	9	1	9	6	9	12	4	9	5	8	10	5	3	3	4	0	2	0	12	18	15	32	18	13	20	12	15	20	15	15	6	20	18	8	3	6	10	1	1	7	2	15	26	24									
		3.39%	2.23%	2.58%	3.02%	4.62%	2.58%	3.94%	2.24%	1.72%	2.62%	5.70%	4.65%	2.46%	4.74%	1.54%	8.18%	4.76%	3.90%	4.03%	3.23%	4.04%	1.54%	3.62%	2.45%	3.14%	1.83%	5.77%	4.60%	0.00%	2.41%	0.00%	3.30%	4.52%	3.66%	6.18%	3.12%	3.18%	2.94%	2.72%	3.52%	3.36%	3.37%	4.18%	5.83%	2.61%	2.18%	3.03%	2.65%	4.58%	8.06%	1.16%	1.61%	6.80%	2.33%	5.62%	3.94%	3.73%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	609	8	33	8	2	7	20	22	10	7	7	8	14	13	2	1	2	7	5	5	3	6	2	10	5	4	5	9	3	3	1	12	23	10	17	15	15	27	16	12	30	14	19	3	47	37	10	2	0	6	2	2	0	4	6	27	21									
		3.59%	1.79%	5.31%	3.02%	1.54%	4.52%	3.03%	3.79%	3.44%	3.06%	3.07%	3.10%	5.74%	6.84%	3.08%	0.91%	1.59%	3.03%	1.68%	4.03%	1.35%	1.85%	0.90%	2.45%	3.14%	2.44%	9.62%	10.34%	4.35%	3.61%	1.23%	3.30%	5.78%	2.44%	3.28%	2.60%	3.67%	3.97%	3.63%	2.82%	5.04%	3.15%	5.29%	2.91%	6.14%	4.49%	3.79%	1.77%	0.00%	4.84%	2.33%	3.23%	0.00%	4.65%	2.25%	4.09%	3.26%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8028	205	267	127	59	78	297	285	131	123	98	100	107	90	37	42	60	128	149	66	142	210	125	291	66	126	34	34	35	42	52	152	160	187	254	250	177	301	186	180	266	185	129	46	320	360	116	73	65	53	41	38	49	35	152	345	302									
		47.28%	45.76%	42.99%	47.92%	45.38%	50.32%	45.00%	49.05%	45.02%	53.71%	42.98%	38.76%	43.85%	47.37%	56.92%	38.18%	47.62%	55.41%	50.00%	53.23%	63.68%	64.81%	56.56%	71.32%	41.51%	76.83%	65.38%	39.08%	50.72%	50.60%	64.20%	41.76%	40.20%	45.61%	49.03%	43.33%	43.28%	44.26%	42.18%	42.25%	44.71%	41.57%	35.93%	44.66%	41.83%	43.69%	43.94%	64.60%	49.62%	42.74%	47.67%	61.29%	47.57%	40.70%	56.93%	52.27%	46.89%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	148	4	4	1	2	0	11	7	6	3	4	4	0	1	1	0	0	0	2	0	0	4	5	3	3	1	0	0	0	1	1	1	3	3	0	9	1	6	3	5	2	5	2	1	10	7	3	0	1	0	2	1	0	1	2	9	3									
		0.87%	0.89%	0.64%	0.38%	1.54%	0.00%	1.67%	1.20%	2.06%	1.31%	1.75%	1.55%	0.00%	0.53%	1.54%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%	1.23%	2.26%	0.74%	1.89%	0.61%	0.00%	0.00%	0.00%	1.20%	1.23%	0.27%	0.75%	0.73%	0.00%	1.56%	0.24%	0.88%	0.68%	1.17%	0.34%	1.12%	0.56%	0.97%	1.31%	0.85%	1.14%	0.00%	0.76%	0.00%	2.33%	1.61%	0.00%	1.16%	0.75%	1.36%	0.47%									
24	"6. Политическая партия ""Гражданская Платформа"""	25	2	1	0	0	0	2	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	4	0	3	0	2	1	0	0	0	0	0	0	0	0	1	0	1									
		0.15%	0.45%	0.16%	0.00%	0.00%	0.00%	0.30%	0.17%	0.34%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.15%	0.00%	0.23%	0.67%	0.00%	0.84%	0.00%	0.26%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.16%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3144	99	93	51	24	31	123	102	53	44	49	73	53	37	12	28	29	40	54	28	32	44	31	27	40	15	6	16	19	21	18	71	84	66	91	154	85	120	100	76	83	91	82	23	126	135	40	22	21	33	15	10	21	19	39	115	130									
		18.52%	22.10%	14.98%	19.25%	18.46%	20.00%	18.64%	17.56%	18.21%	19.21%	21.49%	28.29%	21.72%	19.47%	18.46%	25.45%	23.02%	17.32%	18.12%	22.58%	14.35%	13.58%	14.03%	6.62%	25.16%	9.15%	11.54%	18.39%	27.54%	25.30%	22.22%	19.51%	21.11%	16.10%	17.57%	26.69%	20.78%	17.65%	22.68%	17.84%	13.95%	20.45%	22.84%	22.33%	16.47%	16.38%	15.15%	19.47%	16.03%	26.61%	17.44%	16.13%	20.39%	22.09%	14.61%	17.42%	20.19%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	161	6	7	2	2	1	8	4	2	0	2	3	1	1	1	1	1	0	3	0	0	1	1	1	0	0	1	0	0	0	0	1	3	3	3	4	1	10	5	7	7	10	7	1	11	17	3	0	1	1	0	0	0	0	3	7	7									
		0.95%	1.34%	1.13%	0.75%	1.54%	0.65%	1.21%	0.69%	0.69%	0.00%	0.88%	1.16%	0.41%	0.53%	1.54%	0.91%	0.79%	0.00%	1.01%	0.00%	0.00%	0.31%	0.45%	0.25%	0.00%	0.00%	1.92%	0.00%	0.00%	0.00%	0.00%	0.27%	0.75%	0.73%	0.58%	0.69%	0.24%	1.47%	1.13%	1.64%	1.18%	2.25%	1.95%	0.97%	1.44%	2.06%	1.14%	0.00%	0.76%	0.81%	0.00%	0.00%	0.00%	0.00%	1.12%	1.06%	1.09%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	178	6	6	3	1	1	5	5	4	3	3	5	7	2	1	0	2	4	7	1	0	0	0	0	1	0	0	0	0	1	1	5	2	1	4	8	6	11	9	15	6	6	3	1	6	13	3	0	1	1	1	0	0	2	0	1	4									
		1.05%	1.34%	0.97%	1.13%	0.77%	0.65%	0.76%	0.86%	1.37%	1.31%	1.32%	1.94%	2.87%	1.05%	1.54%	0.00%	1.59%	1.73%	2.35%	0.81%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	1.20%	1.23%	1.37%	0.50%	0.24%	0.77%	1.39%	1.47%	1.62%	2.04%	3.52%	1.01%	1.35%	0.84%	0.97%	0.78%	1.58%	1.14%	0.00%	0.76%	0.81%	1.16%	0.00%	0.00%	2.33%	0.00%	0.15%	0.62%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	22	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	10	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0									
		0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	1.89%	0.00%	0.00%	11.49%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	300	6	11	6	8	5	10	12	14	3	1	7	4	4	1	3	0	2	5	2	1	0	2	3	1	1	1	2	1	2	0	5	7	4	8	6	4	12	3	11	13	6	9	3	21	33	4	0	3	1	1	0	2	1	1	14	10									
		1.77%	1.34%	1.77%	2.26%	6.15%	3.23%	1.52%	2.07%	4.81%	1.31%	0.44%	2.71%	1.64%	2.11%	1.54%	2.73%	0.00%	0.87%	1.68%	1.61%	0.45%	0.00%	0.90%	0.74%	0.63%	0.61%	1.92%	2.30%	1.45%	2.41%	0.00%	1.37%	1.76%	0.98%	1.54%	1.04%	0.98%	1.76%	0.68%	2.58%	2.18%	1.35%	2.51%	2.91%	2.75%	4.00%	1.52%	0.00%	2.29%	0.81%	1.16%	0.00%	1.94%	1.16%	0.37%	2.12%	1.55%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2130	42	103	30	15	15	94	83	29	25	20	30	32	18	4	17	12	24	29	11	21	33	19	42	19	9	0	5	8	5	3	58	66	74	49	72	56	79	63	61	83	63	57	14	117	128	51	7	8	16	9	6	11	16	26	65	78									
		12.54%	9.38%	16.59%	11.32%	11.54%	9.68%	14.24%	14.29%	9.97%	10.92%	8.77%	11.63%	13.11%	9.47%	6.15%	15.45%	9.52%	10.39%	9.73%	8.87%	9.42%	10.19%	8.60%	10.29%	11.95%	5.49%	0.00%	5.75%	11.59%	6.02%	3.70%	15.93%	16.58%	18.05%	9.46%	12.48%	13.69%	11.62%	14.29%	14.32%	13.95%	14.16%	15.88%	13.59%	15.29%	15.53%	19.32%	6.19%	6.11%	12.90%	10.47%	9.68%	10.68%	18.60%	9.74%	9.85%	12.11%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	76	6	2	3	3	0	2	0	0	1	3	2	0	1	1	1	2	1	2	1	2	2	1	0	2	0	0	0	0	0	0	1	0	2	0	1	2	3	1	1	6	2	1	0	6	3	1	0	3	1	0	1	1	0	0	2	0									
		0.45%	1.34%	0.32%	1.13%	2.31%	0.00%	0.30%	0.00%	0.00%	0.44%	1.32%	0.78%	0.00%	0.53%	1.54%	0.91%	1.59%	0.43%	0.67%	0.81%	0.90%	0.62%	0.45%	0.00%	1.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.49%	0.00%	0.17%	0.49%	0.44%	0.23%	0.23%	1.01%	0.45%	0.28%	0.00%	0.78%	0.36%	0.38%	0.00%	2.29%	0.81%	0.00%	1.61%	0.97%	0.00%	0.00%	0.30%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	764	19	46	15	3	11	29	28	19	5	19	4	14	3	3	2	9	8	8	3	8	12	19	13	7	3	1	5	2	5	1	30	17	22	26	16	17	36	27	9	36	26	15	4	38	31	14	0	5	0	5	1	10	3	6	27	19									
		4.50%	4.24%	7.41%	5.66%	2.31%	7.10%	4.39%	4.82%	6.53%	2.18%	8.33%	1.55%	5.74%	1.58%	4.62%	1.82%	7.14%	3.46%	2.68%	2.42%	3.59%	3.70%	8.60%	3.19%	4.40%	1.83%	1.92%	5.75%	2.90%	6.02%	1.23%	8.24%	4.27%	5.37%	5.02%	2.77%	4.16%	5.29%	6.12%	2.11%	6.05%	5.84%	4.18%	3.88%	4.97%	3.76%	5.30%	0.00%	3.82%	0.00%	5.81%	1.61%	9.71%	3.49%	2.25%	4.09%	2.95%									
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
