Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																						
Дата голосования: 07.12.2003 0:00:00																						
																						
Наименование Избирательной комиссии:    Нурлатская городская																						
																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																						
																						
		Сумма	УИК  2352	УИК  2353	УИК  2354	УИК  2355	УИК  2356	УИК  2357	УИК  2358	УИК  2359	УИК  2360	УИК  2361	УИК  2362	УИК  2363	УИК  2364	УИК  2365	УИК  2366					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	53	3	5	1	4	0	1	2	7	5	14	10	1	0	0	0					
14	Число погашенных открепительных удостоверений	223	7	22	24	28	7	18	12	23	18	26	13	0	10	10	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
18	"1. ""ЕДИНЕНИЕ"""	65	4	6	2	7	3	5	0	6	1	31	0	0	0	0	0					
		0.32%	0.23%	0.40%	0.10%	0.39%	0.49%	0.22%	0.0%	0.31%	0.05%	1.53%	0.0%	0.0%	0.0%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	45	4	3	3	11	0	0	0	5	2	17	0	0	0	0	0					
		0.22%	0.23%	0.20%	0.16%	0.61%	0.0%	0.0%	0.0%	0.25%	0.10%	0.84%	0.0%	0.0%	0.0%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	89	11	23	14	9	0	0	0	5	1	24	2	0	0	0	0					
		0.44%	0.65%	1.53%	0.75%	0.50%	0.0%	0.0%	0.0%	0.25%	0.05%	1.18%	0.19%	0.0%	0.0%	0.0%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	42	4	4	2	3	1	0	0	6	1	20	0	0	0	1	0					
		0.20%	0.23%	0.26%	0.10%	0.16%	0.16%	0.0%	0.0%	0.31%	0.05%	0.99%	0.0%	0.0%	0.0%	0.18%	0.0%					
22	"5. ""За Русь Святую"""	10	0	1	2	0	0	0	0	0	0	7	0	0	0	0	0					
		0.04%	0.0%	0.06%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	12	3	2	3	0	0	0	0	0	1	3	0	0	0	0	0					
		0.05%	0.17%	0.13%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.05%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	15	0	8	2	0	0	0	0	2	1	2	0	0	0	0	0					
		0.07%	0.0%	0.53%	0.10%	0.0%	0.0%	0.0%	0.0%	0.10%	0.05%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	4	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0					
		0.01%	0.0%	0.06%	0.05%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	8	0	1	2	0	0	0	0	4	1	0	0	0	0	0	0					
		0.03%	0.0%	0.06%	0.10%	0.0%	0.0%	0.0%	0.0%	0.20%	0.05%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	52	10	6	2	9	0	0	0	2	1	18	4	0	0	0	0					
		0.25%	0.59%	0.40%	0.10%	0.50%	0.0%	0.0%	0.0%	0.10%	0.05%	0.89%	0.39%	0.0%	0.0%	0.0%	0.0%					
28	"11. ""Истинные патриоты России"""	12	1	2	2	0	0	0	0	0	0	7	0	0	0	0	0					
		0.05%	0.05%	0.13%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	33	4	1	2	9	0	0	0	2	0	15	0	0	0	0	0					
		0.16%	0.23%	0.06%	0.10%	0.50%	0.0%	0.0%	0.0%	0.10%	0.0%	0.74%	0.0%	0.0%	0.0%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	6	0	1	1	0	0	0	0	0	1	3	0	0	0	0	0					
		0.02%	0.0%	0.06%	0.05%	0.0%	0.0%	0.0%	0.0%	0.0%	0.05%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	8	3	0	3	0	0	0	0	0	0	2	0	0	0	0	0					
		0.03%	0.17%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	5	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0					
		0.02%	0.0%	0.06%	0.05%	0.0%	0.0%	0.0%	0.0%	0.05%	0.05%	0.04%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	98	17	24	5	14	7	22	0	0	2	0	0	1	6	0	0					
		0.48%	1.00%	1.60%	0.26%	0.78%	1.16%	0.97%	0.0%	0.0%	0.10%	0.0%	0.0%	0.55%	1.15%	0.0%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	21	0	4	2	0	0	0	0	1	1	13	0	0	0	0	0					
		0.10%	0.0%	0.26%	0.10%	0.0%	0.0%	0.0%	0.0%	0.05%	0.05%	0.64%	0.0%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	259	83	93	12	14	5	34	0	5	2	0	9	1	0	1	0					
		1.28%	4.92%	6.20%	0.64%	0.78%	0.83%	1.50%	0.0%	0.25%	0.10%	0.0%	0.89%	0.55%	0.0%	0.18%	0.0%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	120	21	22	16	13	11	0	0	10	1	22	3	1	0	0	0					
		0.59%	1.24%	1.46%	0.86%	0.72%	1.82%	0.0%	0.0%	0.51%	0.05%	1.08%	0.29%	0.55%	0.0%	0.0%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	17060	1322	1103	1562	1608	568	2086	1543	1733	1502	1551	969	169	505	523	316					
		84.65%	78.41%	73.58%	84.29%	90.18%	94.35%	92.30%	72.37%	89.83%	82.12%	76.82%	96.22%	93.88%	96.92%	97.57%	100.0%					
38	"21. ""Российская Конституционно-демократическая партия"""	20	1	3	4	6	1	0	0	0	2	3	0	0	0	0	0					
		0.09%	0.05%	0.20%	0.21%	0.33%	0.16%	0.0%	0.0%	0.0%	0.10%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	12	0	3	2	0	2	0	0	1	1	3	0	0	0	0	0					
		0.05%	0.0%	0.20%	0.10%	0.0%	0.33%	0.0%	0.0%	0.05%	0.05%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1112	183	128	110	62	0	110	104	132	141	110	18	2	10	2	0					
		5.51%	10.85%	8.53%	5.93%	3.47%	0.0%	4.86%	4.87%	6.84%	7.70%	5.44%	1.78%	1.11%	1.91%	0.37%	0.0%					
																						
41	Против всех	108	8	15	25	18	1	0	0	10	2	26	0	2	0	1	0					
		0.53%	0.47%	1.00%	1.34%	1.00%	0.16%	0.0%	0.0%	0.51%	0.10%	1.28%	0.0%	1.11%	0.0%	0.18%	0.0%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
