Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Давлекановская																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №3486	УИК №3487	УИК №3488	УИК №3489	УИК №3490	УИК №3491	УИК №3492									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	114	2	3	2	5	1	4	0	0	2	5	6	2	3	0	0	1	4	3	0	0	4	0	2	0	1	0	0	0	3	1	2	0	4	13	0	1	0	0	3	1	1	1	2	1	1	3	2	2	3	20	0									
		0.47%	0.23%	0.29%	0.23%	1.33%	0.32%	0.46%	0.00%	0.00%	0.20%	0.46%	0.56%	0.58%	0.48%	0.00%	0.00%	0.41%	0.94%	0.73%	0.00%	0.00%	1.09%	0.00%	0.66%	0.00%	0.19%	0.00%	0.00%	0.00%	1.64%	0.26%	1.55%	0.00%	0.98%	1.45%	0.00%	0.37%	0.00%	0.00%	0.51%	0.24%	0.25%	0.29%	0.46%	1.15%	0.50%	1.08%	0.89%	0.58%	0.35%	4.95%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	362	11	12	0	26	3	3	0	5	5	13	25	8	28	1	5	2	4	0	0	0	6	0	9	14	5	1	13	0	0	25	5	5	12	51	0	0	0	0	4	1	1	0	6	1	10	0	0	0	21	15	6									
		1.49%	1.25%	1.18%	0.00%	6.93%	0.95%	0.35%	0.00%	1.01%	0.50%	1.20%	2.35%	2.31%	4.46%	0.10%	1.26%	0.81%	0.94%	0.00%	0.00%	0.00%	1.63%	0.00%	2.95%	5.30%	0.94%	0.25%	4.45%	0.00%	0.00%	6.39%	3.88%	0.90%	2.94%	5.68%	0.00%	0.00%	0.00%	0.00%	0.68%	0.24%	0.25%	0.00%	1.39%	1.15%	5.00%	0.00%	0.00%	0.00%	2.47%	3.71%	2.26%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	225	8	4	1	11	4	7	3	5	0	9	21	3	12	0	2	3	2	0	6	2	0	1	6	6	5	1	6	1	0	8	1	8	1	11	0	4	0	0	4	0	0	3	2	2	2	4	1	1	19	22	3									
		0.92%	0.91%	0.39%	0.12%	2.93%	1.27%	0.81%	0.82%	1.01%	0.00%	0.83%	1.98%	0.87%	1.91%	0.00%	0.50%	1.22%	0.47%	0.00%	1.89%	0.38%	0.00%	0.33%	1.97%	2.27%	0.94%	0.25%	2.05%	0.18%	0.00%	2.05%	0.78%	1.44%	0.25%	1.22%	0.00%	1.47%	0.00%	0.00%	0.68%	0.00%	0.00%	0.88%	0.46%	2.30%	1.00%	1.44%	0.44%	0.29%	2.24%	5.45%	1.13%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	14285	518	612	517	174	191	489	221	300	601	648	634	185	376	562	49	180	212	243	186	312	218	177	199	200	360	15	219	25	130	247	95	345	245	523	239	160	285	131	479	255	236	200	313	52	141	172	137	215	620	275	167									
		58.67%	58.73%	60.18%	60.05%	46.40%	60.44%	56.60%	60.38%	60.73%	59.68%	60.00%	59.64%	53.47%	59.87%	58.73%	12.34%	73.17%	50.00%	58.98%	58.49%	60.00%	59.40%	59.20%	65.25%	75.76%	67.92%	3.74%	75.00%	4.55%	71.04%	63.17%	73.64%	61.94%	60.05%	58.24%	58.44%	58.61%	61.16%	59.55%	82.02%	60.00%	59.45%	58.82%	72.29%	59.77%	70.50%	62.09%	60.89%	62.32%	72.94%	68.07%	62.78%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	141	2	1	0	4	2	3	0	3	0	11	28	1	4	2	0	1	4	0	0	0	0	1	0	1	3	1	0	2	2	3	2	0	1	16	0	0	0	0	1	2	1	1	2	1	0	0	1	0	21	12	1									
		0.58%	0.23%	0.10%	0.00%	1.07%	0.63%	0.35%	0.00%	0.61%	0.00%	1.02%	2.63%	0.29%	0.64%	0.21%	0.00%	0.41%	0.94%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.38%	0.57%	0.25%	0.00%	0.36%	1.09%	0.77%	1.55%	0.00%	0.25%	1.78%	0.00%	0.00%	0.00%	0.00%	0.17%	0.47%	0.25%	0.29%	0.46%	1.15%	0.00%	0.00%	0.44%	0.00%	2.47%	2.97%	0.38%									
24	"6. Политическая партия ""Гражданская Платформа"""	26	1	0	1	0	2	1	0	0	0	0	2	0	3	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	3	0	0	0	4	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	1	0									
		0.11%	0.11%	0.00%	0.12%	0.00%	0.63%	0.12%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.48%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.34%	0.00%	0.00%	0.77%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	2.30%	0.00%	0.00%	0.44%	0.00%	0.00%	0.25%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5031	181	224	181	77	68	189	76	105	210	227	179	84	74	238	315	17	61	86	66	109	78	63	7	9	43	314	8	422	11	52	6	100	86	105	90	57	104	46	41	89	83	71	42	18	24	43	45	73	71	20	43									
		20.66%	20.52%	22.03%	21.02%	20.53%	21.52%	21.88%	20.77%	21.26%	20.85%	21.02%	16.84%	24.28%	11.78%	24.87%	79.35%	6.91%	14.39%	20.87%	20.75%	20.96%	21.25%	21.07%	2.30%	3.41%	8.11%	78.30%	2.74%	76.87%	6.01%	13.30%	4.65%	17.95%	21.08%	11.69%	22.00%	20.88%	22.32%	20.91%	7.02%	20.94%	20.91%	20.88%	9.70%	20.69%	12.00%	15.52%	20.00%	21.16%	8.35%	4.95%	16.17%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	22	0	1	0	3	0	3	0	0	0	0	2	1	2	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0									
		0.09%	0.00%	0.10%	0.00%	0.80%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.19%	0.29%	0.32%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	1.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.25%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	35	0	1	1	3	0	6	1	2	0	2	2	0	4	1	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	2	0									
		0.14%	0.00%	0.10%	0.12%	0.80%	0.00%	0.69%	0.27%	0.40%	0.00%	0.19%	0.19%	0.00%	0.64%	0.10%	0.00%	0.81%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.50%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	13	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0									
		0.05%	0.00%	0.10%	0.12%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.41%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.18%	0.55%	0.00%	0.78%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	52	2	4	0	2	1	3	0	4	0	2	4	0	1	3	0	0	1	0	0	0	0	0	1	0	2	0	0	3	1	2	0	0	0	0	0	0	0	0	1	0	0	0	4	0	1	4	1	1	1	3	0									
		0.21%	0.23%	0.39%	0.00%	0.53%	0.32%	0.35%	0.00%	0.81%	0.00%	0.19%	0.38%	0.00%	0.16%	0.31%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.38%	0.00%	0.00%	0.55%	0.55%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.92%	0.00%	0.50%	1.44%	0.44%	0.29%	0.12%	0.74%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2926	115	108	112	41	35	103	47	65	132	140	127	43	72	100	24	33	47	53	41	68	52	39	80	33	83	53	40	69	27	30	15	72	53	126	57	35	52	28	30	55	48	44	47	10	15	36	24	45	56	30	36									
		12.02%	13.04%	10.62%	13.01%	10.93%	11.08%	11.92%	12.84%	13.16%	13.11%	12.96%	11.95%	12.43%	11.46%	10.45%	6.05%	13.41%	11.08%	12.86%	12.89%	13.08%	14.17%	13.04%	26.23%	12.50%	15.66%	13.22%	13.70%	12.57%	14.75%	7.67%	11.63%	12.93%	12.99%	14.03%	13.94%	12.82%	11.16%	12.73%	5.14%	12.94%	12.09%	12.94%	10.85%	11.49%	7.50%	12.99%	10.67%	13.04%	6.59%	7.43%	13.53%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	122	1	3	1	6	1	0	0	3	2	4	6	1	7	3	1	2	1	7	0	0	0	0	0	0	18	2	1	2	0	5	0	7	2	14	3	2	0	0	4	1	2	1	2	0	0	1	0	2	4	0	0									
		0.50%	0.11%	0.29%	0.12%	1.60%	0.32%	0.00%	0.00%	0.61%	0.20%	0.37%	0.56%	0.29%	1.11%	0.31%	0.25%	0.81%	0.24%	1.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.40%	0.50%	0.34%	0.36%	0.00%	1.28%	0.00%	1.26%	0.49%	1.56%	0.73%	0.73%	0.00%	0.00%	0.68%	0.24%	0.50%	0.29%	0.46%	0.00%	0.00%	0.36%	0.00%	0.58%	0.47%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	807	41	43	44	5	8	41	18	2	50	19	14	12	15	47	1	3	84	20	16	26	9	15	0	0	2	12	3	4	8	11	2	20	1	18	20	14	23	11	6	21	19	17	4	0	3	10	11	4	17	3	10									
		3.31%	4.65%	4.23%	5.11%	1.33%	2.53%	4.75%	4.92%	0.40%	4.97%	1.76%	1.32%	3.47%	2.39%	4.91%	0.25%	1.22%	19.81%	4.85%	5.03%	5.00%	2.45%	5.02%	0.00%	0.00%	0.38%	2.99%	1.03%	0.73%	4.37%	2.81%	1.55%	3.59%	0.25%	2.00%	4.89%	5.13%	4.94%	5.00%	1.03%	4.94%	4.79%	5.00%	0.92%	0.00%	1.50%	3.61%	4.89%	1.16%	2.00%	0.74%	3.76%									
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
