Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Арзамасская																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145									
		0.22%	0.30%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.88%	0.85%	0.51%	0.00%	0.00%	0.12%	0.57%	0.00%	0.00%	0.71%	0.00%	0.14%	0.00%	0.76%	0.39%	0.30%	0.33%	0.35%	0.49%	0.33%	0.00%	0.00%	0.21%	0.00%	0.15%	0.00%	0.00%	0.39%	0.00%	0.22%	0.52%	0.28%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.30%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	73	1	0	1	1	4	1	1	2	0	0	0	0	3	0	0	3	7	0	2	0	0	0	0	1	2	0	2	4	2	1	2	2	3	2	5	1	1	2	1	1	0	0	1	4	0	1	2	3	4									
		0.33%	0.15%	0.00%	0.51%	0.23%	0.90%	0.20%	0.87%	0.59%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.36%	0.99%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.76%	0.39%	0.00%	0.33%	0.28%	0.24%	0.16%	0.24%	0.56%	0.32%	0.43%	0.77%	0.35%	0.69%	0.78%	0.31%	0.22%	0.00%	0.00%	0.50%	1.37%	0.00%	0.34%	0.42%	1.03%	0.30%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	30	2	0	0	0	2	2	1	0	0	0	0	0	0	0	0	1	4	0	0	1	1	0	0	0	0	0	1	1	3	2	0	0	3	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	2									
		0.14%	0.30%	0.00%	0.00%	0.00%	0.45%	0.40%	0.87%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.57%	0.00%	0.00%	0.35%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.07%	0.37%	0.33%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.22%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	0.15%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	81	4	0	1	0	4	2	0	0	0	0	0	2	0	1	0	9	9	0	1	1	1	4	1	2	4	2	1	0	5	2	0	0	7	1	1	0	0	0	1	5	3	1	0	0	1	2	0	0	3									
		0.37%	0.60%	0.00%	0.51%	0.00%	0.90%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	1.69%	0.00%	0.42%	0.00%	1.08%	1.28%	0.00%	0.19%	0.35%	0.12%	0.57%	0.96%	1.53%	0.79%	0.60%	0.16%	0.00%	0.61%	0.33%	0.00%	0.00%	0.74%	0.21%	0.15%	0.00%	0.00%	0.00%	0.31%	1.08%	0.79%	0.28%	0.00%	0.00%	0.24%	0.68%	0.00%	0.00%	0.22%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2537	76	1	33	27	39	35	9	17	3	4	23	9	147	23	14	162	114	24	45	23	156	92	12	14	78	29	65	121	127	59	77	31	131	28	91	15	8	21	43	83	75	63	23	28	43	32	36	28	100									
		11.48%	11.38%	0.70%	16.84%	6.26%	8.82%	7.07%	7.83%	4.99%	2.68%	3.48%	20.35%	7.63%	15.03%	9.58%	7.53%	19.35%	16.26%	12.00%	8.56%	8.16%	19.26%	13.11%	11.54%	10.69%	15.32%	8.71%	10.69%	8.46%	15.49%	9.64%	9.14%	8.64%	13.89%	5.96%	13.98%	5.30%	5.52%	8.17%	13.48%	17.93%	19.69%	17.70%	11.56%	9.59%	10.17%	10.81%	7.64%	9.59%	7.41%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	58	1	0	0	1	2	1	1	0	0	1	0	0	4	2	0	6	2	0	1	1	0	3	0	0	2	0	1	3	1	3	2	0	3	0	0	0	0	2	1	6	1	1	0	3	1	1	1	0	0									
		0.26%	0.15%	0.00%	0.00%	0.23%	0.45%	0.20%	0.87%	0.00%	0.00%	0.87%	0.00%	0.00%	0.41%	0.83%	0.00%	0.72%	0.29%	0.00%	0.19%	0.35%	0.00%	0.43%	0.00%	0.00%	0.39%	0.00%	0.16%	0.21%	0.12%	0.49%	0.24%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.78%	0.31%	1.30%	0.26%	0.28%	0.00%	1.03%	0.24%	0.34%	0.21%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	342	14	0	3	6	14	3	1	3	0	0	2	4	22	5	0	23	19	7	0	5	2	15	0	1	8	6	10	16	12	9	10	3	24	3	14	5	1	4	6	15	8	6	5	8	0	4	4	2	10									
		1.55%	2.10%	0.00%	1.53%	1.39%	3.17%	0.61%	0.87%	0.88%	0.00%	0.00%	1.77%	3.39%	2.25%	2.08%	0.00%	2.75%	2.71%	3.50%	0.00%	1.77%	0.25%	2.14%	0.00%	0.76%	1.57%	1.80%	1.64%	1.12%	1.46%	1.47%	1.19%	0.84%	2.55%	0.64%	2.15%	1.77%	0.69%	1.56%	1.88%	3.24%	2.10%	1.69%	2.51%	2.74%	0.00%	1.35%	0.85%	0.68%	0.74%									
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
