Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																								
Дата голосования: 18.09.2016																																																																								
																																																																								
"Наименование Избирательной комиссии:    Тамбов, Октябрьская"																																																																								
																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																								
																																																																								
		Сумма	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №946									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1912	30	35	30	0	0	10	30	60	30	25	20	40	40	35	40	31	40	40	30	40	20	30	40	31	30	30	30	40	30	30	30	30	25	35	30	20	30	30	30	40	20	30	30	50	30	30	40	30	50	20	55	30	30	30	40	50	40	30	30	30	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1713	30	34	30	0	0	10	22	42	30	25	14	40	24	35	40	31	29	40	30	40	20	22	32	30	30	28	29	27	22	24	21	13	24	32	21	20	23	28	30	40	20	29	24	50	19	21	40	17	46	20	55	30	30	30	40	50	40	30	30	30	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1750	23	47	61	5	123	78	45	19	22	30	12	26	17	15	15	57	71	12	27	10	5	26	22	24	60	24	23	10	21	40	11	18	7	20	14	7	12	19	54	8	10	20	33	18	33	16	111	56	51	9	46	16	3	9	57	19	19	11	40	20	13									
14	Число погашенных неиспользованных открепительных удостоверений	199	0	1	0	0	0	0	8	18	0	0	6	0	16	0	0	0	11	0	0	0	0	8	8	1	0	2	1	13	8	6	9	17	1	3	9	0	7	2	0	0	0	1	6	0	11	9	0	13	4	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	195	1	1	4	0	0	2	0	6	4	2	3	3	17	2	7	3	3	3	3	2	5	3	5	3	1	7	3	4	1	4	2	1	5	4	2	1	4	2	4	1	1	2	3	5	1	3	6	0	5	3	2	1	3	4	3	1	3	7	9	5	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	10831	276	238	228	35	35	84	135	224	247	189	99	280	119	294	227	287	167	224	60	330	286	92	164	24	238	109	161	173	104	111	123	127	214	245	85	177	66	73	102	239	235	178	211	228	143	138	222	91	235	142	208	326	306	254	214	258	246	177	138	169	21									
		18.51%	25.87%	22.33%	21.63%	13.36%	7.17%	20.19%	22.02%	20.29%	22.03%	21.26%	22.10%	24.35%	10.21%	24.66%	20.62%	23.94%	15.81%	22.54%	6.84%	19.62%	35.22%	20.04%	24.01%	2.49%	20.75%	12.95%	8.86%	10.68%	10.77%	11.51%	9.64%	8.49%	13.67%	15.51%	16.97%	26.42%	8.21%	6.89%	8.11%	25.37%	28.08%	25.76%	26.95%	25.45%	30.95%	24.86%	20.33%	12.60%	24.08%	23.59%	17.55%	28.75%	30.15%	24.61%	22.08%	20.46%	25.03%	16.48%	19.38%	17.24%	11.60%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	965	11	15	31	5	3	8	16	26	20	11	6	22	12	25	25	26	18	14	5	19	17	11	8	14	23	11	18	25	10	10	9	9	20	21	12	21	59	13	23	15	17	10	24	25	5	13	15	10	23	15	8	20	15	20	10	29	14	5	7	12	1									
		1.65%	1.03%	1.41%	2.94%	1.91%	0.61%	1.92%	2.61%	2.36%	1.78%	1.24%	1.34%	1.91%	1.03%	2.10%	2.27%	2.17%	1.70%	1.41%	0.57%	1.13%	2.09%	2.40%	1.17%	1.45%	2.01%	1.31%	0.99%	1.54%	1.04%	1.04%	0.71%	0.60%	1.28%	1.33%	2.40%	3.13%	7.34%	1.23%	1.83%	1.59%	2.03%	1.45%	3.07%	2.79%	1.08%	2.34%	1.37%	1.39%	2.36%	2.49%	0.68%	1.76%	1.48%	1.94%	1.03%	2.30%	1.42%	0.47%	0.98%	1.22%	0.55%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	609	5	3	20	8	3	5	16	18	5	10	9	20	11	23	7	12	7	16	5	12	7	5	5	6	14	6	6	12	8	2	7	3	13	18	9	13	6	8	7	10	14	14	5	15	4	7	10	10	16	11	6	15	20	22	4	23	7	6	2	17	1									
		1.04%	0.47%	0.28%	1.90%	3.05%	0.61%	1.20%	2.61%	1.63%	0.45%	1.12%	2.01%	1.74%	0.94%	1.93%	0.64%	1.00%	0.66%	1.61%	0.57%	0.71%	0.86%	1.09%	0.73%	0.62%	1.22%	0.71%	0.33%	0.74%	0.83%	0.21%	0.55%	0.20%	0.83%	1.14%	1.80%	1.94%	0.75%	0.76%	0.56%	1.06%	1.67%	2.03%	0.64%	1.67%	0.87%	1.26%	0.92%	1.39%	1.64%	1.83%	0.51%	1.32%	1.97%	2.13%	0.41%	1.82%	0.71%	0.56%	0.28%	1.73%	0.55%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	28560	348	491	370	134	331	158	195	346	404	457	168	317	654	366	522	389	457	390	557	987	214	268	198	711	456	490	1362	1178	542	683	924	1220	939	847	227	195	562	784	904	290	254	254	264	255	152	210	546	347	487	218	735	338	336	319	499	465	407	592	315	399	133									
		48.81%	32.61%	46.06%	35.10%	51.15%	67.83%	37.98%	31.81%	31.34%	36.04%	51.41%	37.50%	27.57%	56.14%	30.70%	47.41%	32.44%	43.28%	39.24%	63.51%	58.68%	26.35%	58.39%	28.99%	73.68%	39.76%	58.19%	74.92%	72.72%	56.11%	70.85%	72.41%	81.55%	60.00%	53.61%	45.31%	29.10%	69.90%	74.03%	71.92%	30.79%	30.35%	36.76%	33.72%	28.46%	32.90%	37.84%	50.00%	48.06%	49.90%	36.21%	62.03%	29.81%	33.10%	30.91%	51.50%	36.88%	41.40%	55.12%	44.24%	40.71%	73.48%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	313	6	0	10	3	2	3	10	9	7	5	2	12	9	9	5	7	4	12	3	6	1	1	6	5	2	6	4	3	2	3	3	3	9	9	4	2	1	8	6	12	4	3	5	4	2	2	4	1	4	0	5	8	10	11	2	16	3	4	4	7	0									
		0.53%	0.56%	0.00%	0.95%	1.15%	0.41%	0.72%	1.63%	0.82%	0.62%	0.56%	0.45%	1.04%	0.77%	0.76%	0.45%	0.58%	0.38%	1.21%	0.34%	0.36%	0.12%	0.22%	0.88%	0.52%	0.17%	0.71%	0.22%	0.19%	0.21%	0.31%	0.24%	0.20%	0.58%	0.57%	0.80%	0.30%	0.12%	0.76%	0.48%	1.27%	0.48%	0.43%	0.64%	0.45%	0.43%	0.36%	0.37%	0.14%	0.41%	0.00%	0.42%	0.71%	0.99%	1.07%	0.21%	1.27%	0.31%	0.37%	0.56%	0.71%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	58	0	0	2	3	0	0	0	3	0	1	0	0	2	1	0	0	2	2	0	0	0	0	0	1	4	2	0	1	0	0	0	0	1	1	3	1	4	6	1	3	0	0	2	0	0	0	1	1	0	1	1	0	2	0	1	0	1	0	1	3	0									
		0.10%	0.00%	0.00%	0.19%	1.15%	0.00%	0.00%	0.00%	0.27%	0.00%	0.11%	0.00%	0.00%	0.17%	0.08%	0.00%	0.00%	0.19%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.35%	0.24%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.06%	0.06%	0.60%	0.15%	0.50%	0.57%	0.08%	0.32%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.09%	0.14%	0.00%	0.17%	0.08%	0.00%	0.20%	0.00%	0.10%	0.00%	0.10%	0.00%	0.14%	0.31%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3977	90	58	83	25	28	46	53	87	86	46	44	95	167	88	49	102	55	84	80	80	75	17	63	52	124	44	61	51	35	39	31	45	70	99	55	54	28	44	40	70	75	61	58	87	43	40	80	41	71	63	38	102	89	96	40	128	68	38	85	127	4									
		6.80%	8.43%	5.44%	7.87%	9.54%	5.74%	11.06%	8.65%	7.88%	7.67%	5.17%	9.82%	8.26%	14.33%	7.38%	4.45%	8.51%	5.21%	8.45%	9.12%	4.76%	9.24%	3.70%	9.22%	5.39%	10.81%	5.23%	3.36%	3.15%	3.62%	4.05%	2.43%	3.01%	4.47%	6.27%	10.98%	8.06%	3.48%	4.15%	3.18%	7.43%	8.96%	8.83%	7.41%	9.71%	9.31%	7.21%	7.33%	5.68%	7.27%	10.47%	3.21%	8.99%	8.77%	9.30%	4.13%	10.15%	6.92%	3.54%	11.94%	12.96%	2.21%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	423	7	11	10	1	3	2	5	25	10	4	4	15	8	9	9	11	5	14	3	6	5	7	8	5	8	7	6	5	7	3	4	5	8	8	3	13	4	6	3	8	8	10	6	8	4	5	9	2	9	1	6	13	8	9	3	12	7	8	2	7	1									
		0.72%	0.66%	1.03%	0.95%	0.38%	0.61%	0.48%	0.82%	2.26%	0.89%	0.45%	0.89%	1.30%	0.69%	0.76%	0.82%	0.92%	0.47%	1.41%	0.34%	0.36%	0.62%	1.53%	1.17%	0.52%	0.70%	0.83%	0.33%	0.31%	0.72%	0.31%	0.31%	0.33%	0.51%	0.51%	0.60%	1.94%	0.50%	0.57%	0.24%	0.85%	0.96%	1.45%	0.77%	0.89%	0.87%	0.90%	0.82%	0.28%	0.92%	0.17%	0.51%	1.15%	0.79%	0.87%	0.31%	0.95%	0.71%	0.74%	0.28%	0.71%	0.55%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	433	3	5	8	1	1	8	8	18	10	10	3	16	4	16	18	13	4	12	4	13	2	4	6	3	3	6	5	7	9	6	7	2	9	8	7	5	5	8	9	8	10	6	4	6	6	7	8	3	3	2	6	3	9	14	2	3	8	7	4	28	0									
		0.74%	0.28%	0.47%	0.76%	0.38%	0.20%	1.92%	1.31%	1.63%	0.89%	1.12%	0.67%	1.39%	0.34%	1.34%	1.63%	1.08%	0.38%	1.21%	0.46%	0.77%	0.25%	0.87%	0.88%	0.31%	0.26%	0.71%	0.28%	0.43%	0.93%	0.62%	0.55%	0.13%	0.58%	0.51%	1.40%	0.75%	0.62%	0.76%	0.72%	0.85%	1.19%	0.87%	0.51%	0.67%	1.30%	1.26%	0.73%	0.42%	0.31%	0.33%	0.51%	0.26%	0.89%	1.36%	0.21%	0.24%	0.81%	0.65%	0.56%	2.86%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	54	3	1	1	0	0	1	0	1	1	2	0	0	3	0	0	2	1	0	2	1	0	1	0	1	1	1	2	0	1	0	0	0	1	0	0	1	2	2	1	3	0	1	0	1	0	1	2	0	1	1	0	1	1	1	1	2	0	2	2	1	0									
		0.09%	0.28%	0.09%	0.09%	0.00%	0.00%	0.24%	0.00%	0.09%	0.09%	0.22%	0.00%	0.00%	0.26%	0.00%	0.00%	0.17%	0.09%	0.00%	0.23%	0.06%	0.00%	0.22%	0.00%	0.10%	0.09%	0.12%	0.11%	0.00%	0.10%	0.00%	0.00%	0.00%	0.06%	0.00%	0.00%	0.15%	0.25%	0.19%	0.08%	0.32%	0.00%	0.14%	0.00%	0.11%	0.00%	0.18%	0.18%	0.00%	0.10%	0.17%	0.00%	0.09%	0.10%	0.10%	0.10%	0.16%	0.00%	0.19%	0.28%	0.10%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1076	8	12	22	3	5	7	20	44	30	24	20	42	8	32	29	24	22	35	8	16	10	11	15	8	29	16	16	19	12	6	17	6	22	36	9	23	5	15	22	31	23	13	14	26	5	8	22	14	12	9	12	21	16	25	4	27	12	16	12	45	1									
		1.84%	0.75%	1.13%	2.09%	1.15%	1.02%	1.68%	3.26%	3.99%	2.68%	2.70%	4.46%	3.65%	0.69%	2.68%	2.63%	2.00%	2.08%	3.52%	0.91%	0.95%	1.23%	2.40%	2.20%	0.83%	2.53%	1.90%	0.88%	1.17%	1.24%	0.62%	1.33%	0.40%	1.41%	2.28%	1.80%	3.43%	0.62%	1.42%	1.75%	3.29%	2.75%	1.88%	1.79%	2.90%	1.08%	1.44%	2.01%	1.94%	1.23%	1.50%	1.01%	1.85%	1.58%	2.42%	0.41%	2.14%	1.22%	1.49%	1.69%	4.59%	0.55%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6577	191	157	173	25	32	53	103	200	182	100	62	184	84	202	90	197	95	120	116	137	108	20	125	84	142	92	91	88	139	75	111	57	156	156	54	111	5	60	77	142	114	98	110	154	57	68	103	65	86	88	98	163	106	159	119	162	128	127	60	105	11									
		11.24%	17.90%	14.73%	16.41%	9.54%	6.56%	12.74%	16.80%	18.12%	16.24%	11.25%	13.84%	16.00%	7.21%	16.95%	8.17%	16.43%	8.99%	12.07%	13.23%	8.15%	13.30%	4.36%	18.30%	8.70%	12.38%	10.93%	5.01%	5.43%	14.39%	7.78%	8.70%	3.81%	9.97%	9.87%	10.78%	16.57%	0.62%	5.67%	6.13%	15.07%	13.62%	14.18%	14.05%	17.19%	12.34%	12.25%	9.43%	9.00%	8.81%	14.62%	8.27%	14.37%	10.44%	15.41%	12.28%	12.85%	13.02%	11.82%	8.43%	10.71%	6.08%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	157	5	4	1	0	2	2	2	2	4	1	1	6	5	2	5	5	3	4	5	4	0	0	1	2	6	1	0	0	2	1	1	1	3	8	2	2	5	5	1	5	2	1	3	2	0	1	2	0	1	2	2	5	5	4	1	2	4	2	4	4	1									
		0.27%	0.47%	0.38%	0.09%	0.00%	0.41%	0.48%	0.33%	0.18%	0.36%	0.11%	0.22%	0.52%	0.43%	0.17%	0.45%	0.42%	0.28%	0.40%	0.57%	0.24%	0.00%	0.00%	0.15%	0.21%	0.52%	0.12%	0.00%	0.00%	0.21%	0.10%	0.08%	0.07%	0.19%	0.51%	0.40%	0.30%	0.62%	0.47%	0.08%	0.53%	0.24%	0.14%	0.38%	0.22%	0.00%	0.18%	0.18%	0.00%	0.10%	0.33%	0.17%	0.44%	0.49%	0.39%	0.10%	0.16%	0.41%	0.19%	0.56%	0.41%	0.55%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2869	80	58	75	13	30	23	36	80	76	16	25	101	53	79	42	104	42	47	19	61	47	17	60	34	48	38	56	42	20	17	31	14	85	100	20	32	34	20	35	81	52	24	50	55	26	27	52	28	24	23	20	84	70	78	48	82	70	67	53	41	4									
		4.90%	7.50%	5.44%	7.12%	4.96%	6.15%	5.53%	5.87%	7.25%	6.78%	1.80%	5.58%	8.78%	4.55%	6.63%	3.81%	8.67%	3.98%	4.73%	2.17%	3.63%	5.79%	3.70%	8.78%	3.52%	4.18%	4.51%	3.08%	2.59%	2.07%	1.76%	2.43%	0.94%	5.43%	6.33%	3.99%	4.78%	4.23%	1.89%	2.78%	8.60%	6.21%	3.47%	6.39%	6.14%	5.63%	4.86%	4.76%	3.88%	2.46%	3.82%	1.69%	7.41%	6.90%	7.56%	4.95%	6.50%	7.12%	6.24%	7.44%	4.18%	2.21%									
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
