Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																																																																									
Дата голосования: 04.12.2011																																																																																																																																																									
																																																																																																																																																									
Наименование Избирательной комиссии:    Находкинская																																																																																																																																																									
																																																																																																																																																									
Сводная таблица результатов выборов																																																																																																																																																									
																																																																																																																																																									
		Сумма	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1351	УИК №1352	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1525	15	20	30	0	20	20	5	5	10	10	10	10	10	5	5	5	40	30	20	10	20	20	70	0	30	20	10	20	20	20	20	20	20	20	20	20	20	20	20	20	30	30	5	30	20	20	10	10	20	20	20	20	20	10	20	20	10	20	30	20	10	20	30	20	30	40	20	20	30	30	0	20	30	20	30	40	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1145	9	6	18	0	13	12	0	5	10	7	7	6	7	4	5	4	35	30	20	7	10	14	63	0	28	13	8	14	11	15	15	10	13	14	19	17	20	11	18	11	25	22	1	27	14	11	9	9	12	13	11	8	18	7	16	15	4	14	24	19	7	11	22	15	27	31	15	18	24	30	0	18	23	15	22	28	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	996	6	4	56	0	15	8	5	6	15	9	9	21	9	7	16	3	7	19	17	1	8	5	31	0	19	4	15	8	8	13	2	12	11	15	15	5	34	10	11	12	16	25	2	13	16	10	5	33	32	13	11	14	8	12	15	12	4	8	11	17	12	15	16	17	13	4	11	15	17	6	0	4	4	6	53	10	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	380	6	14	12	0	7	8	5	0	0	3	3	4	3	1	0	1	5	0	0	3	10	6	7	0	2	7	2	6	9	5	5	10	7	6	1	3	0	9	2	9	5	8	4	3	6	9	1	1	8	7	9	12	2	3	4	5	6	6	6	1	3	9	8	5	3	9	5	2	6	0	0	2	7	5	8	12	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	98	0	0	1	0	4	1	1	0	0	0	2	0	0	1	0	0	1	2	0	2	0	2	13	0	1	0	1	0	0	0	0	0	3	0	1	1	4	2	5	1	2	2	1	0	0	0	0	1	0	0	3	3	1	0	2	2	1	2	0	1	0	0	1	1	3	3	1	2	1	3	0	5	0	2	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																																																																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	10666	39	92	214	2	239	69	25	33	161	173	175	174	105	54	34	28	190	160	165	103	91	175	183	2	242	151	128	64	106	149	143	138	198	144	149	141	177	115	159	159	177	152	21	178	104	114	90	119	162	168	186	119	111	180	182	199	104	146	204	134	93	131	168	155	212	176	183	194	204	259	4	125	226	107	153	132	129	0	1	1	0	0	0	1	1	0	1	0	10	2	4	0	0	0	0	1	1	0	4	1	1	1	1	0	0	0	0	0	0	2	2	4	3	3	1	5	4	1	1	0	0	3	0	0	0	0	0	0	0	2	0	0	4	8	1	2	0	4	4	0	0	0	0	10	5	16					
		17.37%	11.11%	16.23%	11.44%	7.14%	13.07%	9.39%	17.01%	12.55%	18.66%	17.13%	18.58%	20.35%	13.11%	13.64%	10.46%	10.37%	21.35%	18.71%	19.05%	17.02%	21.26%	16.88%	15.11%	7.41%	18.24%	18.13%	18.26%	9.17%	18.34%	17.91%	17.23%	23.79%	26.40%	18.51%	21.19%	19.11%	21.38%	18.88%	18.73%	20.36%	20.61%	14.95%	18.10%	20.37%	17.33%	15.02%	15.05%	18.48%	18.49%	22.34%	19.29%	20.99%	16.16%	20.95%	22.33%	18.44%	22.86%	16.61%	21.47%	17.11%	17.35%	19.32%	19.60%	18.97%	23.50%	17.60%	16.62%	18.74%	19.54%	22.39%	13.79%	13.68%	19.95%	15.85%	20.48%	14.62%	16.80%	0.00%	3.45%	3.45%	0.00%	0.00%	0.00%	4.35%	4.55%	0.00%	4.17%	0.00%	58.82%	11.11%	3.64%	0.00%	0.00%	0.00%	0.00%	1.14%	1.28%	0.00%	7.55%	1.56%	4.17%	1.75%	1.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	11.11%	9.09%	21.05%	18.75%	16.67%	4.55%	25.00%	16.67%	5.56%	4.76%	0.00%	0.00%	20.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.67%	0.00%	0.00%	4.94%	29.63%	4.17%	3.13%	0.00%	16.67%	19.05%	0.00%	0.00%	0.00%	0.00%	16.95%	6.17%	51.61%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	12358	72	95	196	12	225	92	20	45	164	236	182	174	202	90	65	64	175	208	177	120	83	234	253	2	278	194	123	165	120	176	156	114	121	159	172	145	155	115	192	139	168	183	24	171	115	137	159	121	194	148	169	125	172	159	150	211	101	222	194	232	140	182	191	172	182	224	263	246	194	255	0	211	243	137	183	197	188	0	0	1	1	0	0	1	1	2	2	4	4	4	7	3	0	3	3	1	4	1	17	1	2	18	1	0	0	0	0	0	1	1	14	0	0	0	0	0	3	3	2	2	0	0	0	0	0	0	0	0	10	11	6	8	41	2	4	2	4	3	11	0	0	0	0	16	58	2					
		20.13%	20.51%	16.75%	10.48%	42.86%	12.31%	12.52%	13.61%	17.11%	19.00%	23.37%	19.32%	20.35%	25.22%	22.73%	20.00%	23.70%	19.66%	24.33%	20.44%	19.83%	19.39%	22.57%	20.89%	7.41%	20.95%	23.29%	17.55%	23.64%	20.76%	21.15%	18.80%	19.66%	16.13%	20.44%	24.47%	19.65%	18.72%	18.88%	22.61%	17.80%	19.56%	17.99%	20.69%	19.57%	19.17%	18.05%	26.59%	18.79%	22.15%	19.68%	17.53%	22.05%	25.04%	18.51%	18.40%	19.56%	22.20%	25.26%	20.42%	29.63%	26.12%	26.84%	22.29%	21.05%	20.18%	22.40%	23.89%	23.77%	18.58%	22.04%	0.00%	23.09%	21.45%	20.30%	24.50%	21.82%	24.48%	0.00%	0.00%	3.45%	3.45%	0.00%	0.00%	4.35%	4.55%	10.00%	8.33%	3.48%	23.53%	22.22%	6.36%	10.34%	0.00%	3.49%	3.57%	1.14%	5.13%	1.32%	32.08%	1.56%	8.33%	31.58%	1.82%	0.00%	0.00%	0.00%	0.00%	0.00%	5.56%	5.56%	63.64%	0.00%	0.00%	0.00%	0.00%	0.00%	12.50%	16.67%	9.52%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	66.67%	36.67%	100.00%	100.00%	50.62%	7.41%	16.67%	3.13%	7.27%	12.50%	52.38%	0.00%	0.00%	0.00%	0.00%	27.12%	71.60%	6.45%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	530	6	6	5	0	9	5	1	4	14	6	7	9	4	4	5	3	6	7	11	0	4	20	18	0	15	7	2	0	2	7	4	1	4	0	3	5	11	6	7	6	23	7	3	10	9	6	3	10	3	3	8	6	4	14	6	8	3	7	16	3	4	5	8	6	9	6	10	12	14	12	0	8	7	5	4	10	7	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	1	1	0					
		0.86%	1.71%	1.06%	0.27%	0.00%	0.49%	0.68%	0.68%	1.52%	1.62%	0.59%	0.74%	1.05%	0.50%	1.01%	1.54%	1.11%	0.67%	0.82%	1.27%	0.00%	0.93%	1.93%	1.49%	0.00%	1.13%	0.84%	0.29%	0.00%	0.35%	0.84%	0.48%	0.17%	0.53%	0.00%	0.43%	0.68%	1.33%	0.99%	0.82%	0.77%	2.68%	0.69%	2.59%	1.14%	1.50%	0.79%	0.50%	1.55%	0.34%	0.40%	0.83%	1.06%	0.58%	1.63%	0.74%	0.74%	0.66%	0.80%	1.68%	0.38%	0.75%	0.74%	0.93%	0.73%	0.99%	0.60%	0.91%	1.16%	1.34%	1.04%	0.00%	0.88%	0.62%	0.74%	0.54%	1.11%	0.91%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.61%	0.00%	0.00%	2.73%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.56%	0.00%	1.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.23%	0.00%	4.17%	0.00%	0.00%	12.50%	0.00%	0.00%	0.00%	0.00%	0.00%	1.69%	1.23%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	13358	43	92	207	1	234	95	11	56	207	244	226	235	145	84	55	51	187	186	170	121	104	229	233	1	329	198	167	113	140	212	168	134	183	209	143	173	250	164	207	231	212	264	31	215	137	154	125	162	203	177	209	155	163	211	231	279	96	199	251	138	120	119	222	221	224	251	272	263	263	289	12	182	303	205	132	188	119	0	1	0	1	0	1	1	1	1	1	6	1	3	5	2	0	2	4	1	2	0	3	1	1	19	1	0	0	0	0	0	2	1	1	0	0	0	0	0	0	2	0	2	2	0	0	0	0	0	0	0	5	6	0	0	3	3	8	1	0	4	2	0	0	0	0	15	5	3					
		21.76%	12.25%	16.23%	11.06%	3.57%	12.80%	12.93%	7.48%	21.29%	23.99%	24.16%	23.99%	27.49%	18.10%	21.21%	16.92%	18.89%	21.01%	21.75%	19.63%	20.00%	24.30%	22.08%	19.24%	3.70%	24.79%	23.77%	23.82%	16.19%	24.22%	25.48%	20.24%	23.10%	24.40%	26.86%	20.34%	23.44%	30.19%	26.93%	24.38%	29.58%	24.68%	25.96%	26.72%	24.60%	22.83%	20.29%	20.90%	25.16%	23.17%	23.54%	21.68%	27.34%	23.73%	24.56%	28.34%	25.86%	21.10%	22.64%	26.42%	17.62%	22.39%	17.55%	25.90%	27.05%	24.83%	25.10%	24.70%	25.41%	25.19%	24.98%	41.38%	19.91%	26.74%	30.37%	17.67%	20.82%	15.49%	0.00%	3.45%	0.00%	3.45%	0.00%	5.00%	4.35%	4.55%	5.00%	4.17%	5.22%	5.88%	16.67%	4.55%	6.90%	0.00%	2.33%	4.76%	1.14%	2.56%	0.00%	5.66%	1.56%	4.17%	33.33%	1.82%	0.00%	0.00%	0.00%	0.00%	0.00%	11.11%	5.56%	4.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	11.11%	0.00%	9.09%	13.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	33.33%	20.00%	0.00%	0.00%	3.70%	11.11%	33.33%	1.56%	0.00%	16.67%	9.52%	0.00%	0.00%	0.00%	0.00%	25.42%	6.17%	9.68%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1953	3	11	26	1	20	16	1	1	52	52	31	38	17	6	8	4	27	19	28	13	20	38	38	0	57	20	23	21	25	21	20	15	21	25	14	22	31	18	58	28	36	38	2	30	20	35	21	40	38	28	31	16	11	18	33	42	14	45	49	12	24	19	29	27	34	39	48	38	54	40	0	23	38	22	16	27	12	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	4	1	0	0	0	0	0	0	0					
		3.18%	0.85%	1.94%	1.39%	3.57%	1.09%	2.18%	0.68%	0.38%	6.03%	5.15%	3.29%	4.44%	2.12%	1.52%	2.46%	1.48%	3.03%	2.22%	3.23%	2.15%	4.67%	3.66%	3.14%	0.00%	4.30%	2.40%	3.28%	3.01%	4.33%	2.52%	2.41%	2.59%	2.80%	3.21%	1.99%	2.98%	3.74%	2.96%	6.83%	3.59%	4.19%	3.74%	1.72%	3.43%	3.33%	4.61%	3.51%	6.21%	4.34%	3.72%	3.22%	2.82%	1.60%	2.10%	4.05%	3.89%	3.08%	5.12%	5.16%	1.53%	4.48%	2.80%	3.38%	3.30%	3.77%	3.90%	4.36%	3.67%	5.17%	3.46%	0.00%	2.52%	3.35%	3.26%	2.14%	2.99%	1.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.55%	0.00%	0.00%	1.74%	0.00%	5.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.55%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.23%	0.00%	4.17%	0.00%	0.00%	16.67%	4.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	20832	174	252	1214	12	1043	429	87	119	235	273	299	199	321	142	145	105	279	239	286	234	112	301	458	22	376	239	241	321	169	243	308	164	203	213	199	222	187	167	201	191	213	359	34	230	207	301	179	178	253	200	336	128	207	247	197	313	118	229	214	241	134	195	216	222	224	283	288	253	284	271	12	339	290	183	247	315	288	29	27	27	27	28	19	19	18	16	20	93	1	8	81	24	72	81	77	85	71	73	29	60	20	16	51	17	28	26	27	25	15	14	4	15	13	15	18	15	13	12	17	14	13	12	20	20	41	36	16	16	0	8	0	0	26	14	9	59	51	3	3	10	9	9	8	15	12	10					
