Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
Наименование Избирательной комиссии:    Урмарская																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540									
		1.88%	3.31%	2.40%	2.27%	2.33%	0.86%	1.64%	0.35%	2.47%	0.00%	1.45%	1.76%	1.47%	2.02%	1.86%	5.05%	2.74%	1.87%	0.61%	2.86%	0.00%	0.70%	1.90%	1.48%	2.17%	1.29%	1.62%	5.19%	0.95%	0.90%	1.82%	0.89%	1.74%	0.75%	2.44%	2.74%	2.38%	2.14%	0.74%	0.43%	1.27%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8062	655	769	416	118	230	112	197	59	145	151	115	94	139	225	62	79	386	87	84	111	83	75	345	440	206	122	55	408	180	71	81	288	101	323	251	52	175	364	159	49									
		62.74%	54.18%	54.35%	58.92%	45.74%	65.71%	61.20%	68.88%	72.84%	66.21%	54.91%	67.65%	69.12%	70.20%	52.45%	62.63%	54.11%	65.53%	52.73%	60.00%	70.25%	58.45%	47.47%	63.77%	59.78%	66.24%	65.95%	71.43%	77.71%	81.08%	64.55%	72.32%	71.64%	75.94%	71.62%	68.77%	61.90%	74.79%	67.53%	68.53%	62.03%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	51	5	4	1	1	2	0	0	2	1	0	1	1	2	3	1	0	3	0	1	0	0	0	6	2	2	0	0	0	2	1	0	2	0	2	4	0	1	0	1	0									
		0.40%	0.41%	0.28%	0.14%	0.39%	0.57%	0.00%	0.00%	2.47%	0.46%	0.00%	0.59%	0.74%	1.01%	0.70%	1.01%	0.00%	0.51%	0.00%	0.71%	0.00%	0.00%	0.00%	1.11%	0.27%	0.64%	0.00%	0.00%	0.00%	0.90%	0.91%	0.00%	0.50%	0.00%	0.44%	1.10%	0.00%	0.43%	0.00%	0.43%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	26	3	1	2	5	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	2	1	1	1	0	0	0	0	0	0	1	1	2	0	0	1	0	0	0									
		0.20%	0.25%	0.07%	0.28%	1.94%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.74%	0.00%	0.00%	1.01%	0.00%	0.00%	0.61%	0.71%	0.00%	0.70%	1.27%	0.18%	0.14%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.75%	0.44%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1076	120	131	50	24	45	24	20	6	8	29	20	12	20	33	12	13	56	6	11	5	18	13	44	70	25	20	2	23	10	9	11	21	12	16	36	8	24	43	17	9									
		8.37%	9.93%	9.26%	7.08%	9.30%	12.86%	13.11%	6.99%	7.41%	3.65%	10.55%	11.76%	8.82%	10.10%	7.69%	12.12%	8.90%	9.51%	3.64%	7.86%	3.16%	12.68%	8.23%	8.13%	9.51%	8.04%	10.81%	2.60%	4.38%	4.50%	8.18%	9.82%	5.22%	9.02%	3.55%	9.86%	9.52%	10.26%	7.98%	7.33%	11.39%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	47	7	4	1	1	1	0	0	0	0	0	1	1	0	1	0	3	4	0	1	0	1	1	2	4	1	1	0	3	0	0	0	2	0	1	1	0	2	1	1	1									
		0.37%	0.58%	0.28%	0.14%	0.39%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.59%	0.74%	0.00%	0.23%	0.00%	2.05%	0.68%	0.00%	0.71%	0.00%	0.70%	0.63%	0.37%	0.54%	0.32%	0.54%	0.00%	0.57%	0.00%	0.00%	0.00%	0.50%	0.00%	0.22%	0.27%	0.00%	0.85%	0.19%	0.43%	1.27%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	52	8	7	4	0	2	0	0	0	0	2	0	0	0	2	0	1	3	0	6	0	0	0	4	2	0	0	0	1	0	0	0	1	0	2	0	0	1	2	4	0									
		0.40%	0.66%	0.49%	0.57%	0.00%	0.57%	0.00%	0.00%	0.00%	0.00%	0.73%	0.00%	0.00%	0.00%	0.47%	0.00%	0.68%	0.51%	0.00%	4.29%	0.00%	0.00%	0.00%	0.74%	0.27%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.25%	0.00%	0.44%	0.00%	0.00%	0.43%	0.37%	1.72%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	33	2	2	2	2	2	1	0	0	0	1	0	0	0	1	0	0	2	0	0	0	1	0	2	4	1	0	1	2	3	0	0	0	0	2	0	1	1	0	0	0									
		0.26%	0.17%	0.14%	0.28%	0.78%	0.57%	0.55%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.70%	0.00%	0.37%	0.54%	0.32%	0.00%	1.30%	0.38%	1.35%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	1.19%	0.43%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	44	7	5	1	3	2	1	1	0	0	1	0	0	1	0	1	1	1	0	1	0	0	0	2	1	3	1	0	2	0	0	0	1	0	0	2	0	2	2	2	0									
		0.34%	0.58%	0.35%	0.14%	1.16%	0.57%	0.55%	0.35%	0.00%	0.00%	0.36%	0.00%	0.00%	0.51%	0.00%	1.01%	0.68%	0.17%	0.00%	0.71%	0.00%	0.00%	0.00%	0.37%	0.14%	0.96%	0.54%	0.00%	0.38%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.55%	0.00%	0.85%	0.37%	0.86%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1447	194	191	76	47	36	23	21	6	22	37	16	17	17	67	9	23	55	33	13	22	19	16	63	81	32	19	10	38	17	10	14	23	5	20	42	13	17	53	20	10									
		11.26%	16.05%	13.50%	10.76%	18.22%	10.29%	12.57%	7.34%	7.41%	10.05%	13.45%	9.41%	12.50%	8.59%	15.62%	9.09%	15.75%	9.34%	20.00%	9.29%	13.92%	13.38%	10.13%	11.65%	11.01%	10.29%	10.27%	12.99%	7.24%	7.66%	9.09%	12.50%	5.72%	3.76%	4.43%	11.51%	15.48%	7.26%	9.83%	8.62%	12.66%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	41	5	3	2	4	2	0	0	0	0	3	0	0	0	3	0	2	2	1	0	1	0	0	1	5	1	1	0	1	1	0	0	2	0	0	0	0	0	1	0	0									
		0.32%	0.41%	0.21%	0.28%	1.55%	0.57%	0.00%	0.00%	0.00%	0.00%	1.09%	0.00%	0.00%	0.00%	0.70%	0.00%	1.37%	0.34%	0.61%	0.00%	0.63%	0.00%	0.00%	0.18%	0.68%	0.32%	0.54%	0.00%	0.19%	0.45%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1024	93	181	90	30	16	13	8	4	26	23	3	3	5	51	6	2	41	26	3	7	6	35	32	62	22	12	2	23	5	11	2	28	5	67	11	2	3	45	17	3									
		7.97%	7.69%	12.79%	12.75%	11.63%	4.57%	7.10%	2.80%	4.94%	11.87%	8.36%	1.76%	2.21%	2.53%	11.89%	6.06%	1.37%	6.96%	15.76%	2.14%	4.43%	4.23%	22.15%	5.91%	8.42%	7.07%	6.49%	2.60%	4.38%	2.25%	10.00%	1.79%	6.97%	3.76%	14.86%	3.01%	2.38%	1.28%	8.35%	7.33%	3.80%									
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
