Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Каменская																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №1923									
		0.40%	0.53%	0.66%	0.00%	0.82%	0.20%	0.47%	1.07%	0.15%	0.39%	0.66%	0.40%	0.18%	0.79%	0.40%	0.17%	0.82%	0.37%	0.29%	0.78%	0.34%	0.00%	0.28%	0.42%	0.81%	0.00%	0.00%	0.00%	0.00%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	1.96%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.39%	0.00%	0.68%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	26	0	2	0	0	1	0	0	1	0	0	1	2	1	1	2	0	1	1	0	1	1	1	0	0	1	0	0	0	2	3	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0									
		0.16%	0.00%	0.44%	0.00%	0.00%	0.20%	0.00%	0.00%	0.15%	0.00%	0.00%	0.20%	0.36%	0.20%	0.13%	0.33%	0.00%	0.19%	0.14%	0.00%	0.17%	0.42%	0.28%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.72%	2.48%	0.00%	2.70%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2355	68	80	40	87	78	67	66	79	97	104	75	79	78	90	65	67	93	75	107	107	53	44	32	20	51	5	26	3	54	6	11	6	48	9	3	41	5	6	44	7	14	61	30	2	23	7	57	37	8	26	14									
		14.38%	18.18%	17.66%	17.62%	17.83%	15.38%	10.52%	10.12%	11.52%	18.95%	17.16%	15.15%	14.42%	15.45%	11.97%	10.82%	13.79%	17.22%	10.82%	16.59%	18.26%	22.27%	12.54%	13.33%	16.26%	15.79%	9.80%	12.87%	6.52%	19.35%	4.96%	29.73%	16.22%	15.84%	7.14%	5.88%	14.44%	13.89%	22.22%	11.03%	11.48%	10.94%	14.32%	11.81%	2.25%	15.75%	14.89%	16.01%	15.55%	16.67%	13.07%	12.39%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	44	3	1	0	2	1	1	0	4	6	1	2	1	1	2	1	3	1	4	3	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0									
		0.27%	0.80%	0.22%	0.00%	0.41%	0.20%	0.16%	0.00%	0.58%	1.17%	0.17%	0.40%	0.18%	0.20%	0.27%	0.17%	0.62%	0.19%	0.58%	0.47%	0.34%	0.00%	0.28%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.12%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	96	0	1	1	2	6	5	7	8	4	4	1	5	2	5	5	2	4	2	5	2	0	0	1	1	0	1	2	1	0	0	0	0	2	0	0	0	0	0	4	0	0	3	2	0	1	4	2	0	0	0	1									
		0.59%	0.00%	0.22%	0.44%	0.41%	1.18%	0.78%	1.07%	1.17%	0.78%	0.66%	0.20%	0.91%	0.40%	0.66%	0.83%	0.41%	0.74%	0.29%	0.78%	0.34%	0.00%	0.00%	0.42%	0.81%	0.00%	1.96%	0.99%	2.17%	0.00%	0.00%	0.00%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%	0.00%	1.00%	0.00%	0.00%	0.70%	0.79%	0.00%	0.68%	8.51%	0.56%	0.00%	0.00%	0.00%	0.88%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	29	0	1	2	1	0	1	2	1	1	0	0	0	2	2	0	1	2	1	2	1	0	0	0	0	1	0	2	1	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0									
		0.18%	0.00%	0.22%	0.88%	0.20%	0.00%	0.16%	0.31%	0.15%	0.20%	0.00%	0.00%	0.00%	0.40%	0.27%	0.00%	0.21%	0.37%	0.14%	0.31%	0.17%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.99%	2.17%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	183	4	5	1	8	12	12	17	16	11	4	5	5	6	7	7	6	4	8	6	7	1	5	4	1	1	0	2	0	0	0	0	0	0	0	1	0	1	0	1	0	1	2	1	1	6	0	2	0	0	2	0									
		1.12%	1.07%	1.10%	0.44%	1.64%	2.37%	1.88%	2.61%	2.33%	2.15%	0.66%	1.01%	0.91%	1.19%	0.93%	1.16%	1.23%	0.74%	1.15%	0.93%	1.19%	0.42%	1.42%	1.67%	0.81%	0.31%	0.00%	0.99%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.96%	0.00%	2.78%	0.00%	0.25%	0.00%	0.78%	0.47%	0.39%	1.12%	4.11%	0.00%	0.56%	0.00%	0.00%	1.01%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2446	37	56	17	67	75	108	86	113	78	91	78	74	58	233	78	71	80	105	128	77	25	47	25	15	32	3	23	3	30	7	3	2	66	9	6	49	3	1	61	5	29	65	49	14	28	5	59	27	7	25	13									
		14.94%	9.89%	12.36%	7.49%	13.73%	14.79%	16.95%	13.19%	16.47%	15.23%	15.02%	15.76%	13.50%	11.49%	30.98%	12.98%	14.61%	14.81%	15.15%	19.84%	13.14%	10.50%	13.39%	10.42%	12.20%	9.91%	5.88%	11.39%	6.52%	10.75%	5.79%	8.11%	5.41%	21.78%	7.14%	11.76%	17.25%	8.33%	3.70%	15.29%	8.20%	22.66%	15.26%	19.29%	15.73%	19.18%	10.64%	16.57%	11.34%	14.58%	12.56%	11.50%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	30	1	1	1	1	0	0	0	2	1	0	3	0	2	0	2	1	1	2	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	2									
		0.18%	0.27%	0.22%	0.44%	0.20%	0.00%	0.00%	0.00%	0.29%	0.20%	0.00%	0.61%	0.00%	0.40%	0.00%	0.33%	0.21%	0.19%	0.29%	0.16%	0.17%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.79%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%	1.77%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4830	124	134	89	157	154	241	249	195	144	192	159	191	113	143	202	167	205	253	161	198	47	148	101	33	66	13	58	14	62	44	13	12	61	36	5	64	13	5	104	14	24	94	61	12	46	9	88	50	11	27	24									
		29.50%	33.16%	29.58%	39.21%	32.17%	30.37%	37.83%	38.19%	28.43%	28.13%	31.68%	32.12%	34.85%	22.38%	19.02%	33.61%	34.36%	37.96%	36.51%	24.96%	33.79%	19.75%	42.17%	42.08%	26.83%	20.43%	25.49%	28.71%	30.43%	22.22%	36.36%	35.14%	32.43%	20.13%	28.57%	9.80%	22.54%	36.11%	18.52%	26.07%	22.95%	18.75%	22.07%	24.02%	13.48%	31.51%	19.15%	24.72%	21.01%	22.92%	13.57%	21.24%									
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
