Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																																																			
																																																																																																			
Наименование Избирательной комиссии:    Балашовская																																																																																																			
																																																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																			
																																																																																																			
		Сумма	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1422	15	18	12	16	12	6	20	14	15	19	19	14	13	15	15	20	26	23	12	12	67	14	18	17	22	35	19	13	21	16	16	16	21	17	25	19	20	39	19	31	16	28	19	29	14	21	47	25	25	34	5	14	11	11	2	4	31	8	8	12	13	3	2	11	3	3	2	15	12	3	2	9	9	2	13	4	10	4	33	4	13	19	6	9	4	3	10	8	6	12	24	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	850	3	5	5	6	9	0	15	7	12	11	17	8	6	9	13	14	25	12	4	8	45	7	5	6	15	27	13	10	9	4	9	7	15	8	15	16	19	30	16	27	12	19	17	11	3	12	31	16	6	29	5	4	7	3	0	1	9	7	1	2	10	0	0	8	0	0	0	13	9	0	0	9	3	2	13	0	7	0	31	4	13	7	2	0	1	2	6	6	3	3	7	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	978	3	6	0	1	1	1	10	30	10	24	6	7	6	4	8	12	301	23	7	3	16	6	5	9	10	5	7	8	98	5	4	14	4	2	5	12	4	7	5	12	21	48	9	8	7	5	20	2	8	3	4	4	2	1	2	7	3	2	4	2	7	3	1	4	6	3	2	5	2	3	2	2	3	0	6	0	1	2	5	1	5	7	5	7	0	2	10	8	2	6	5	0					
14	Число погашенных открепительных удостоверений	572	12	13	7	10	3	6	5	7	3	8	2	6	7	6	2	6	1	11	8	4	22	7	13	11	7	8	6	3	12	12	7	9	6	9	10	3	1	9	3	4	4	9	2	18	11	9	16	9	19	5	0	10	4	8	2	3	22	1	7	10	3	3	2	3	3	3	2	2	3	3	2	0	6	0	0	4	3	4	2	0	0	12	4	9	3	1	4	2	3	9	17	2					
15	Число открепительных удостоверений выданных ТИК	38	1	1	0	0	1	1	1	0	2	1	1	0	0	0	1	1	0	0	0	1	0	0	0	1	2	0	1	1	1	1	0	0	3	2	1	1	1	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных бюллетеней	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																			
18	"1. ""ЕДИНЕНИЕ"""	525	9	2	6	1	4	5	3	6	6	3	3	3	3	6	4	7	15	9	5	5	2	4	3	4	6	8	4	11	10	2	1	5	6	7	9	7	9	3	1	1	7	12	9	11	6	3	24	3	9	11	6	9	8	6	0	0	17	3	10	3	1	5	3	2	4	3	4	6	9	3	4	10	2	4	3	5	3	3	5	9	10	7	3	11	4	1	4	5	4	7	9	7					
		0.90%	1.50%	0.30%	1.30%	0.13%	0.74%	1.15%	0.30%	0.83%	0.96%	0.35%	0.32%	0.48%	0.66%	1.24%	0.59%	0.90%	1.28%	1.04%	1.05%	0.91%	0.24%	0.62%	0.44%	0.66%	0.55%	0.62%	0.47%	1.58%	1.12%	0.33%	0.14%	0.80%	0.61%	0.89%	0.86%	0.75%	1.04%	0.33%	0.10%	0.14%	0.91%	0.88%	1.0%	0.81%	1.44%	0.28%	1.53%	0.28%	0.84%	0.65%	2.11%	1.41%	2.07%	1.5%	0.0%	0.0%	1.27%	0.71%	2.38%	0.47%	0.28%	3.01%	2.72%	0.37%	1.88%	1.84%	3.36%	1.08%	2.39%	1.40%	3.38%	1.95%	1.24%	7.27%	0.45%	2.31%	0.62%	1.63%	0.57%	5.35%	1.61%	0.84%	0.92%	2.24%	1.74%	0.63%	0.74%	1.19%	1.27%	1.12%	0.82%	2.69%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	3121	31	34	15	34	25	18	44	29	48	39	92	46	44	27	33	31	60	32	41	30	46	20	21	34	58	62	39	42	30	27	34	27	42	57	51	82	60	104	90	68	87	144	101	85	22	65	64	45	54	195	4	20	7	22	4	11	33	2	9	11	6	1	1	24	2	0	0	21	13	2	0	17	2	2	19	3	13	2	34	5	20	24	22	13	1	5	12	2	13	16	78	16					
		5.36%	5.18%	5.26%	3.25%	4.71%	4.65%	4.14%	4.45%	4.04%	7.71%	4.55%	9.91%	7.38%	9.69%	5.61%	4.91%	4.0%	5.12%	3.72%	8.68%	5.49%	5.58%	3.10%	3.12%	5.63%	5.36%	4.81%	4.60%	6.06%	3.38%	4.55%	4.79%	4.36%	4.33%	7.25%	4.88%	8.79%	6.95%	11.49%	9.71%	9.91%	11.43%	10.66%	11.22%	6.25%	5.31%	6.13%	4.10%	4.26%	5.07%	11.66%	1.40%	3.13%	1.81%	5.5%	9.75%	4.66%	2.48%	0.47%	2.14%	1.75%	1.69%	0.60%	0.90%	4.47%	0.94%	0.0%	0.0%	3.79%	3.45%	0.93%	0.0%	3.32%	1.24%	3.63%	2.90%	1.38%	2.72%	1.09%	3.93%	2.97%	3.23%	2.90%	6.79%	2.65%	0.43%	3.18%	2.22%	0.47%	4.14%	2.56%	7.14%	6.15%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1441	14	30	18	24	22	14	24	15	16	26	45	11	16	28	10	11	25	21	15	22	25	12	23	22	29	41	35	24	31	15	26	14	23	11	28	37	13	19	20	30	22	23	31	41	12	8	24	27	24	26	9	8	9	12	3	1	24	7	3	9	12	1	0	12	3	4	4	7	8	5	0	9	4	1	12	0	7	3	19	2	21	22	7	0	4	3	10	6	7	9	27	4					
		2.47%	2.34%	4.64%	3.90%	3.32%	4.09%	3.22%	2.42%	2.09%	2.57%	3.03%	4.84%	1.76%	3.52%	5.82%	1.49%	1.41%	2.13%	2.44%	3.17%	4.02%	3.03%	1.86%	3.41%	3.64%	2.68%	3.18%	4.13%	3.46%	3.49%	2.52%	3.66%	2.26%	2.37%	1.39%	2.68%	3.96%	1.50%	2.09%	2.15%	4.37%	2.89%	1.70%	3.44%	3.01%	2.89%	0.75%	1.53%	2.55%	2.25%	1.55%	3.16%	1.25%	2.33%	3.0%	7.31%	0.42%	1.80%	1.67%	0.71%	1.43%	3.39%	0.60%	0.0%	2.23%	1.41%	2.45%	3.36%	1.26%	2.12%	2.34%	0.0%	1.76%	2.48%	1.81%	1.83%	0.0%	1.46%	1.63%	2.19%	1.19%	3.39%	2.66%	2.16%	0.0%	1.74%	1.91%	1.85%	1.43%	2.22%	1.44%	2.47%	1.53%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1293	13	12	8	11	13	2	29	11	20	24	40	31	12	11	20	26	38	30	11	24	28	16	11	20	35	35	15	19	20	17	6	4	21	13	23	28	22	20	25	20	18	35	20	40	9	32	37	28	32	63	1	8	9	13	0	1	16	1	5	5	2	2	3	4	3	0	0	7	5	1	0	2	1	0	7	0	4	0	26	0	11	11	6	1	2	0	4	7	0	5	17	5					
		2.22%	2.17%	1.85%	1.73%	1.52%	2.42%	0.46%	2.93%	1.53%	3.21%	2.80%	4.31%	4.97%	2.64%	2.28%	2.98%	3.35%	3.24%	3.49%	2.33%	4.39%	3.39%	2.48%	1.63%	3.31%	3.23%	2.71%	1.77%	2.74%	2.25%	2.86%	0.84%	0.64%	2.16%	1.65%	2.20%	3.00%	2.54%	2.20%	2.69%	2.91%	2.36%	2.59%	2.22%	2.94%	2.17%	3.02%	2.37%	2.65%	3.00%	3.76%	0.35%	1.25%	2.33%	3.25%	0.0%	0.42%	1.20%	0.23%	1.19%	0.79%	0.56%	1.20%	2.72%	0.74%	1.41%	0.0%	0.0%	1.26%	1.32%	0.46%	0.0%	0.39%	0.62%	0.0%	1.07%	0.0%	0.83%	0.0%	3.00%	0.0%	1.77%	1.33%	1.85%	0.20%	0.87%	0.0%	0.74%	1.67%	0.0%	0.80%	1.55%	1.92%					
22	"5. ""За Русь Святую"""	321	1	5	2	3	7	1	5	4	4	0	5	2	3	3	7	5	5	9	2	1	3	4	4	9	5	9	8	3	6	1	3	4	6	2	7	9	3	3	5	7	3	15	4	5	1	4	5	4	2	9	1	6	1	3	0	1	6	1	2	4	0	1	1	4	1	0	3	4	3	3	1	2	1	1	4	0	2	1	3	0	0	10	0	1	3	1	3	3	0	2	11	0					
		0.55%	0.16%	0.77%	0.43%	0.41%	1.30%	0.23%	0.50%	0.55%	0.64%	0.0%	0.53%	0.32%	0.66%	0.62%	1.04%	0.64%	0.42%	1.04%	0.42%	0.18%	0.36%	0.62%	0.59%	1.49%	0.46%	0.69%	0.94%	0.43%	0.67%	0.16%	0.42%	0.64%	0.61%	0.25%	0.67%	0.96%	0.34%	0.33%	0.53%	1.02%	0.39%	1.11%	0.44%	0.36%	0.24%	0.37%	0.32%	0.37%	0.18%	0.53%	0.35%	0.94%	0.25%	0.75%	0.0%	0.42%	0.45%	0.23%	0.47%	0.63%	0.0%	0.60%	0.90%	0.74%	0.47%	0.0%	2.52%	0.72%	0.79%	1.40%	0.84%	0.39%	0.62%	1.81%	0.61%	0.0%	0.41%	0.54%	0.34%	0.0%	0.0%	1.21%	0.0%	0.20%	1.31%	0.63%	0.55%	0.71%	0.0%	0.32%	1.00%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	133	2	4	0	2	0	2	3	2	3	0	0	2	2	1	0	1	6	0	0	1	1	0	2	0	2	4	0	4	2	0	1	0	2	2	0	2	3	0	0	1	0	1	1	2	0	2	3	2	1	2	0	2	3	1	0	1	6	0	2	5	2	1	0	0	1	1	0	3	2	1	0	2	1	0	1	0	3	2	3	2	2	1	0	0	4	0	1	3	0	1	5	0					
		0.22%	0.33%	0.61%	0.0%	0.27%	0.0%	0.46%	0.30%	0.27%	0.48%	0.0%	0.0%	0.32%	0.44%	0.20%	0.0%	0.12%	0.51%	0.0%	0.0%	0.18%	0.12%	0.0%	0.29%	0.0%	0.18%	0.31%	0.0%	0.57%	0.22%	0.0%	0.14%	0.0%	0.20%	0.25%	0.0%	0.21%	0.34%	0.0%	0.0%	0.14%	0.0%	0.07%	0.11%	0.14%	0.0%	0.18%	0.19%	0.18%	0.09%	0.11%	0.0%	0.31%	0.77%	0.25%	0.0%	0.42%	0.45%	0.0%	0.47%	0.79%	0.56%	0.60%	0.0%	0.0%	0.47%	0.61%	0.0%	0.54%	0.53%	0.46%	0.0%	0.39%	0.62%	0.0%	0.15%	0.0%	0.62%	1.09%	0.34%	1.19%	0.32%	0.12%	0.0%	0.0%	1.74%	0.0%	0.18%	0.71%	0.0%	0.16%	0.45%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	343	5	6	3	7	1	0	6	1	8	5	4	7	4	1	1	7	6	5	6	4	8	3	5	0	6	8	3	5	7	0	4	3	8	2	2	4	4	12	8	2	4	5	9	12	8	10	21	8	3	13	0	2	1	1	0	0	9	1	2	0	2	0	0	7	0	0	0	2	0	0	0	0	1	1	0	0	0	1	14	0	4	5	2	1	1	1	0	1	0	3	6	1					
		0.58%	0.83%	0.92%	0.65%	0.97%	0.18%	0.0%	0.60%	0.13%	1.28%	0.58%	0.43%	1.12%	0.88%	0.20%	0.14%	0.90%	0.51%	0.58%	1.27%	0.73%	0.97%	0.46%	0.74%	0.0%	0.55%	0.62%	0.35%	0.72%	0.78%	0.0%	0.56%	0.48%	0.82%	0.25%	0.19%	0.42%	0.46%	1.32%	0.86%	0.29%	0.52%	0.37%	1.0%	0.88%	1.93%	0.94%	1.34%	0.75%	0.28%	0.77%	0.0%	0.31%	0.25%	0.25%	0.0%	0.0%	0.67%	0.23%	0.47%	0.0%	0.56%	0.0%	0.0%	1.30%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.62%	1.81%	0.0%	0.0%	0.0%	0.54%	1.61%	0.0%	0.64%	0.60%	0.61%	0.20%	0.43%	0.63%	0.0%	0.23%	0.0%	0.48%	0.54%	0.38%					
25	"8. ""Народно-республиканская партия России"""	112	1	0	0	5	3	2	2	0	1	0	1	2	0	1	1	3	1	2	1	0	1	1	0	3	0	0	0	0	0	1	3	0	1	0	2	0	2	1	2	0	0	1	8	2	2	4	2	0	1	2	0	2	1	1	0	0	3	0	0	4	0	0	0	3	0	1	0	1	1	0	0	3	1	0	2	2	1	0	4	0	0	0	1	2	3	0	3	3	0	1	4	0					
		0.19%	0.16%	0.0%	0.0%	0.69%	0.55%	0.46%	0.20%	0.0%	0.16%	0.0%	0.10%	0.32%	0.0%	0.20%	0.14%	0.38%	0.08%	0.23%	0.21%	0.0%	0.12%	0.15%	0.0%	0.49%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.42%	0.0%	0.10%	0.0%	0.19%	0.0%	0.23%	0.11%	0.21%	0.0%	0.0%	0.07%	0.88%	0.14%	0.48%	0.37%	0.12%	0.0%	0.09%	0.11%	0.0%	0.31%	0.25%	0.25%	0.0%	0.0%	0.22%	0.0%	0.0%	0.63%	0.0%	0.0%	0.0%	0.55%	0.0%	0.61%	0.0%	0.18%	0.26%	0.0%	0.0%	0.58%	0.62%	0.0%	0.30%	0.92%	0.20%	0.0%	0.46%	0.0%	0.0%	0.0%	0.30%	0.40%	1.31%	0.0%	0.55%	0.71%	0.0%	0.16%	0.36%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	164	2	0	1	0	3	0	3	0	0	5	2	2	0	1	0	1	11	0	1	1	0	1	5	3	4	0	1	1	3	9	3	0	5	3	7	4	1	2	1	2	0	5	3	4	2	7	10	3	4	3	2	0	0	0	0	0	1	0	1	2	0	0	0	1	0	0	0	4	0	0	0	1	1	0	4	1	1	0	4	0	0	1	0	1	0	1	0	0	1	1	6	1					
		0.28%	0.33%	0.0%	0.21%	0.0%	0.55%	0.0%	0.30%	0.0%	0.0%	0.58%	0.21%	0.32%	0.0%	0.20%	0.0%	0.12%	0.94%	0.0%	0.21%	0.18%	0.0%	0.15%	0.74%	0.49%	0.37%	0.0%	0.11%	0.14%	0.33%	1.51%	0.42%	0.0%	0.51%	0.38%	0.67%	0.42%	0.11%	0.22%	0.10%	0.29%	0.0%	0.37%	0.33%	0.29%	0.48%	0.66%	0.64%	0.28%	0.37%	0.17%	0.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.0%	0.23%	0.31%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.72%	0.0%	0.0%	0.0%	0.19%	0.62%	0.0%	0.61%	0.46%	0.20%	0.0%	0.46%	0.0%	0.0%	0.12%	0.0%	0.20%	0.0%	0.63%	0.0%	0.0%	0.31%	0.16%	0.54%	0.38%					
27	"10. ""Аграрная партия России"""	1419	6	13	5	13	9	1	23	7	9	7	19	14	4	8	4	7	16	10	7	23	21	8	13	17	12	30	15	13	25	17	15	14	23	11	19	17	20	15	22	17	9	11	13	28	5	10	16	12	19	31	12	13	9	16	0	8	39	15	22	20	6	11	7	42	19	5	4	47	23	3	5	16	8	2	30	12	20	10	13	8	31	30	32	44	6	7	21	13	11	28	36	12					
		2.43%	1.00%	2.01%	1.08%	1.80%	1.67%	0.23%	2.32%	0.97%	1.44%	0.81%	2.04%	2.24%	0.88%	1.66%	0.59%	0.90%	1.36%	1.16%	1.48%	4.21%	2.54%	1.24%	1.93%	2.81%	1.11%	2.33%	1.77%	1.87%	2.81%	2.86%	2.11%	2.26%	2.37%	1.39%	1.81%	1.82%	2.31%	1.65%	2.37%	2.47%	1.18%	0.81%	1.44%	2.06%	1.20%	0.94%	1.02%	1.13%	1.78%	1.85%	4.22%	2.03%	2.33%	4.0%	0.0%	3.38%	2.93%	3.57%	5.23%	3.18%	1.69%	6.62%	6.36%	7.83%	8.96%	3.06%	3.36%	8.48%	6.11%	1.40%	4.23%	3.13%	4.96%	3.63%	4.58%	5.55%	4.19%	5.46%	1.50%	4.76%	5.01%	3.63%	9.87%	8.99%	2.62%	4.45%	3.89%	3.10%	3.50%	4.49%	3.29%	4.61%					
28	"11. ""Истинные патриоты России"""	38	1	0	0	2	0	0	1	0	1	0	0	2	1	0	0	3	0	3	0	0	1	0	1	0	0	1	1	1	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
		0.06%	0.16%	0.0%	0.0%	0.27%	0.0%	0.0%	0.10%	0.0%	0.16%	0.0%	0.0%	0.32%	0.22%	0.0%	0.0%	0.38%	0.0%	0.34%	0.0%	0.0%	0.12%	0.0%	0.14%	0.0%	0.0%	0.07%	0.11%	0.14%	0.0%	0.0%	0.0%	0.0%	0.10%	0.12%	0.09%	0.0%	0.11%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.07%	0.0%	0.23%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.0%	0.0%	0.15%	0.92%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	1888	28	28	25	23	17	22	30	24	18	31	34	15	12	16	26	32	29	41	19	32	44	21	15	28	41	51	31	13	26	12	25	17	29	31	39	27	34	35	22	30	24	45	21	31	11	22	35	25	27	69	17	21	21	13	0	6	45	21	4	9	8	4	1	19	10	0	4	17	11	1	1	8	0	5	32	1	9	3	15	1	19	15	16	20	15	5	16	27	7	11	35	12					
		3.24%	4.68%	4.33%	5.42%	3.19%	3.16%	5.06%	3.03%	3.34%	2.89%	3.62%	3.66%	2.40%	2.64%	3.32%	3.87%	4.12%	2.47%	4.77%	4.02%	5.86%	5.33%	3.25%	2.22%	4.64%	3.79%	3.96%	3.65%	1.87%	2.93%	2.02%	3.52%	2.74%	2.99%	3.94%	3.73%	2.89%	3.93%	3.86%	2.37%	4.37%	3.15%	3.33%	2.33%	2.28%	2.65%	2.07%	2.24%	2.36%	2.53%	4.12%	5.98%	3.29%	5.44%	3.25%	0.0%	2.54%	3.38%	5.01%	0.95%	1.43%	2.26%	2.40%	0.90%	3.54%	4.71%	0.0%	3.36%	3.06%	2.92%	0.46%	0.84%	1.56%	0.0%	9.09%	4.89%	0.46%	1.88%	1.63%	1.73%	0.59%	3.07%	1.81%	4.93%	4.08%	6.55%	3.18%	2.96%	6.44%	2.22%	1.76%	3.20%	4.61%					
30	"13. ""Демократическая партия России"""	87	0	0	0	1	1	0	1	2	1	2	2	0	1	0	1	0	2	0	0	1	0	1	2	0	1	3	0	0	1	1	0	3	0	1	2	0	0	0	1	0	0	3	1	2	0	4	0	2	2	1	1	0	1	2	0	3	2	1	3	1	0	0	1	3	1	0	0	4	1	2	0	2	0	0	2	0	2	1	1	0	2	1	1	0	0	0	1	0	0	0	1	1					
