Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																														
Дата голосования: 07.12.2003 0:00:00																																														
																																														
Наименование Избирательной комиссии:    Заинская																																														
																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																														
																																														
		Сумма	УИК  1471	УИК  1472	УИК  1473	УИК  1474	УИК  1475	УИК  1476	УИК  1477	УИК  1478	УИК  1479	УИК  1480	УИК  1481	УИК  1482	УИК  1483	УИК  1484	УИК  1485	УИК  1486	УИК  1487	УИК  1488	УИК  1489	УИК  1490	УИК  1491	УИК  1492	УИК  1493	УИК  1494	УИК  1495	УИК  1496	УИК  1497	УИК  1498	УИК  1499	УИК  1500	УИК  1501	УИК  1502	УИК  1503	УИК  1504	УИК  1505	УИК  1506	УИК  1507	УИК  1508	УИК  1509					
		0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.80%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.08%	0.0%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2					
		0.02%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.67%					
23	"6. ""Объединенная Российская партия ""Русь"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3					
		0.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	1.00%					
25	"8. ""Народно-республиканская партия России"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	33	0	0	0	2	0	0	0	0	0	3	2	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	6	9	0	0	1	1	0	1					
		0.30%	0.0%	0.0%	0.0%	1.40%	0.0%	0.0%	0.0%	0.0%	0.0%	1.10%	0.77%	0.0%	0.0%	1.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	2.17%	2.54%	0.0%	0.0%	0.4%	0.67%	0.0%	0.33%					
28	"11. ""Истинные патриоты России"""	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0					
		0.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.35%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	11	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	3	0	0					
		0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.84%	0.0%	0.95%	0.0%	2.02%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0					
		0.02%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.56%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
		0.01%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	35	0	0	1	0	0	0	0	0	0	5	3	1	1	0	0	0	11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	4					
		0.32%	0.0%	0.0%	0.60%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.83%	1.16%	0.54%	0.65%	0.0%	0.0%	0.0%	1.66%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.98%	0.0%	0.0%	0.0%	0.67%	0.0%	1.34%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
		0.01%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.67%	0.0%	0.0%					
35	"18. ""ЛДПР"""	70	0	0	0	0	0	0	0	0	0	4	4	0	3	0	0	0	0	0	0	0	1	2	0	1	1	1	1	0	0	2	1	2	29	0	1	1	7	0	9					
		0.64%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.47%	1.55%	0.0%	1.97%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.60%	0.0%	0.18%	0.17%	0.31%	0.35%	0.0%	0.0%	0.93%	1.11%	0.72%	8.21%	0.0%	0.47%	0.4%	4.72%	0.0%	3.02%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	188	0	0	0	0	0	1	0	0	0	7	20	0	0	0	10	1	12	0	2	2	1	34	0	1	4	2	3	30	2	1	2	3	9	4	0	8	5	0	24					
		1.72%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	0.0%	0.0%	0.0%	2.57%	7.78%	0.0%	0.0%	0.0%	2.77%	0.89%	1.81%	0.0%	0.35%	0.68%	0.28%	10.21%	0.0%	0.18%	0.68%	0.63%	1.06%	4.29%	0.77%	0.46%	2.22%	1.08%	2.54%	1.11%	0.0%	3.2%	3.37%	0.0%	8.05%					
37	"20. ""Политическая партия ""Единая Россия"""	10174	303	112	157	140	146	241	155	84	238	232	183	176	148	160	350	111	597	209	560	286	341	280	344	549	574	311	275	634	254	209	83	254	240	353	191	231	109	125	229					
		93.45%	99.99%	98.24%	95.73%	98.59%	100.0%	97.57%	100.0%	100.0%	96.35%	85.29%	71.20%	95.65%	97.36%	96.96%	97.22%	99.10%	90.18%	96.75%	99.11%	97.61%	98.27%	84.08%	96.62%	99.09%	98.96%	99.04%	97.51%	90.83%	98.83%	97.66%	92.22%	92.02%	67.98%	98.60%	90.95%	92.4%	73.64%	96.89%	76.84%					
38	"21. ""Российская Конституционно-демократическая партия"""	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
		0.05%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.73%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.4%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	218	0	2	4	0	0	5	0	0	5	6	29	4	0	3	0	0	13	5	3	4	3	4	9	1	1	0	3	34	1	0	3	4	30	1	6	3	14	4	14					
		2.00%	0.0%	1.75%	2.43%	0.0%	0.0%	2.02%	0.0%	0.0%	2.02%	2.20%	11.28%	2.17%	0.0%	1.81%	0.0%	0.0%	1.96%	2.31%	0.53%	1.36%	0.86%	1.20%	2.52%	0.18%	0.17%	0.0%	1.06%	4.87%	0.38%	0.0%	3.33%	1.44%	8.49%	0.27%	2.85%	1.2%	9.45%	3.10%	4.69%					
																																														
41	Против всех	40	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	10	0	0	0	0	1	3	0	0	0	0	0	0	0	0	2	8	0	4	1	3	0	2					
		0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	0.73%	1.16%	0.0%	0.0%	0.0%	0.0%	0.0%	1.51%	0.0%	0.0%	0.0%	0.0%	0.30%	0.84%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.72%	2.26%	0.0%	1.90%	0.4%	2.02%	0.0%	0.67%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
