Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																				
Дата голосования: 18.09.2016																																																				
																																																				
Наименование Избирательной комиссии:    Морозовская																																																				
																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																				
																																																				
		Сумма	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247									
14	Число погашенных неиспользованных открепительных удостоверений	478	26	4	19	12	25	14	14	27	23	8	20	28	23	24	21	7	7	1	5	10	12	10	10	14	9	11	4	10	7	10	4	4	8	9	8	5	5	5	5	5	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	32	0	1	0	1	1	1	1	2	3	3	1	1	1	5	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	0	2	0	1	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	164	8	6	2	4	6	8	1	8	5	20	6	8	12	6	8	8	0	2	5	1	5	1	0	3	4	3	0	2	0	5	0	5	2	1	2	1	1	2	3	0	0									
		1.22%	1.36%	1.63%	0.80%	1.15%	1.12%	1.56%	0.54%	1.83%	1.17%	1.79%	0.96%	0.81%	2.28%	1.09%	1.67%	3.72%	0.00%	0.81%	5.00%	0.48%	1.53%	1.18%	0.00%	0.97%	1.38%	0.81%	0.00%	0.67%	0.00%	1.51%	0.00%	2.37%	0.35%	0.79%	0.91%	0.58%	1.04%	1.20%	1.74%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	440	17	16	15	6	30	16	10	11	16	26	20	15	14	28	18	14	1	4	7	22	6	2	4	6	5	18	2	6	7	15	5	2	14	7	13	3	7	3	5	2	2									
		3.28%	2.89%	4.35%	6.00%	1.72%	5.58%	3.12%	5.43%	2.51%	3.73%	2.32%	3.19%	1.53%	2.66%	5.08%	3.77%	6.51%	0.55%	1.62%	7.00%	10.48%	1.83%	2.35%	5.13%	1.94%	1.73%	4.86%	2.33%	2.00%	2.66%	4.53%	3.79%	0.95%	2.47%	5.51%	5.91%	1.74%	7.29%	1.81%	2.91%	1.83%	1.85%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	209	7	2	6	6	10	8	2	0	19	14	8	8	2	17	16	1	2	5	3	7	4	2	3	15	2	6	1	4	1	5	0	0	5	1	3	4	0	2	2	2	4									
		1.56%	1.19%	0.54%	2.40%	1.72%	1.86%	1.56%	1.09%	0.00%	4.43%	1.25%	1.28%	0.81%	0.38%	3.09%	3.35%	0.47%	1.10%	2.02%	3.00%	3.33%	1.22%	2.35%	3.85%	4.84%	0.69%	1.62%	1.16%	1.33%	0.38%	1.51%	0.00%	0.00%	0.88%	0.79%	1.36%	2.33%	0.00%	1.20%	1.16%	1.83%	3.70%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6841	286	207	114	214	199	221	68	230	153	515	318	684	238	193	178	95	131	107	41	129	157	35	36	178	204	168	52	136	161	151	77	158	379	50	95	108	61	94	98	49	73									
		50.99%	48.56%	56.25%	45.60%	61.32%	36.99%	43.08%	36.96%	52.51%	35.66%	45.98%	50.72%	69.65%	45.25%	35.03%	37.24%	44.19%	72.38%	43.32%	41.00%	61.43%	48.01%	41.18%	46.15%	57.42%	70.59%	45.41%	60.47%	45.33%	61.22%	45.62%	58.33%	74.88%	66.84%	39.37%	43.18%	62.79%	63.54%	56.63%	56.98%	44.95%	67.59%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	68	6	3	0	0	1	1	1	0	5	12	5	2	2	4	2	0	0	2	2	1	2	0	1	0	0	3	0	2	1	1	0	0	4	0	2	1	0	0	1	1	0									
		0.51%	1.02%	0.82%	0.00%	0.00%	0.19%	0.19%	0.54%	0.00%	1.17%	1.07%	0.80%	0.20%	0.38%	0.73%	0.42%	0.00%	0.00%	0.81%	2.00%	0.48%	0.61%	0.00%	1.28%	0.00%	0.00%	0.81%	0.00%	0.67%	0.38%	0.30%	0.00%	0.00%	0.71%	0.00%	0.91%	0.58%	0.00%	0.00%	0.58%	0.92%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	45	0	0	0	0	0	2	1	0	1	1	0	12	2	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	2	0	0	0	13	2	1	0	0	1	0	0	3									
		0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.54%	0.00%	0.23%	0.09%	0.00%	1.22%	0.38%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.27%	0.00%	0.33%	0.76%	0.00%	0.00%	0.00%	2.29%	1.57%	0.45%	0.00%	0.00%	0.60%	0.00%	0.00%	2.78%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2629	110	56	42	59	99	107	49	118	122	310	125	89	120	117	119	37	21	48	16	33	81	23	18	57	35	62	14	88	37	88	27	29	94	17	35	28	10	24	27	20	18									
		19.60%	18.68%	15.22%	16.80%	16.91%	18.40%	20.86%	26.63%	26.94%	28.44%	27.68%	19.94%	9.06%	22.81%	21.23%	24.90%	17.21%	11.60%	19.43%	16.00%	15.71%	24.77%	27.06%	23.08%	18.39%	12.11%	16.76%	16.28%	29.33%	14.07%	26.59%	20.45%	13.74%	16.58%	13.39%	15.91%	16.28%	10.42%	14.46%	15.70%	18.35%	16.67%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	48	2	2	0	0	1	2	1	0	1	7	1	5	2	2	4	1	0	2	0	1	0	0	1	2	0	0	0	0	2	3	0	2	1	0	1	0	0	1	0	1	0									
		0.36%	0.34%	0.54%	0.00%	0.00%	0.19%	0.39%	0.54%	0.00%	0.23%	0.63%	0.16%	0.51%	0.38%	0.36%	0.84%	0.47%	0.00%	0.81%	0.00%	0.48%	0.00%	0.00%	1.28%	0.65%	0.00%	0.00%	0.00%	0.00%	0.76%	0.91%	0.00%	0.95%	0.18%	0.00%	0.45%	0.00%	0.00%	0.60%	0.00%	0.92%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	93	2	1	4	3	7	8	0	1	7	7	8	8	7	7	5	0	0	1	0	1	1	0	0	2	1	2	1	0	0	3	0	0	2	1	2	0	0	1	0	0	0									
		0.69%	0.34%	0.27%	1.60%	0.86%	1.30%	1.56%	0.00%	0.23%	1.63%	0.63%	1.28%	0.81%	1.33%	1.27%	1.05%	0.00%	0.00%	0.40%	0.00%	0.48%	0.31%	0.00%	0.00%	0.65%	0.35%	0.54%	1.16%	0.00%	0.00%	0.91%	0.00%	0.00%	0.35%	0.79%	0.91%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	17	0	0	0	0	1	0	0	0	2	1	1	2	0	0	1	0	0	0	0	0	2	0	1	1	0	1	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0									
		0.13%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.47%	0.09%	0.16%	0.20%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%	1.28%	0.32%	0.00%	0.27%	0.00%	0.00%	0.38%	0.60%	0.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	91	7	3	0	1	1	7	2	1	3	11	2	5	4	1	5	2	0	3	0	1	4	0	2	0	1	6	1	2	1	0	0	0	2	2	6	2	1	1	1	0	0									
		0.68%	1.19%	0.82%	0.00%	0.29%	0.19%	1.36%	1.09%	0.23%	0.70%	0.98%	0.32%	0.51%	0.76%	0.18%	1.05%	0.93%	0.00%	1.21%	0.00%	0.48%	1.22%	0.00%	2.56%	0.00%	0.35%	1.62%	1.16%	0.67%	0.38%	0.00%	0.00%	0.00%	0.35%	1.57%	2.73%	1.16%	1.04%	0.60%	0.58%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1828	114	41	40	32	90	104	36	51	68	113	100	109	92	106	83	42	15	51	17	10	45	10	9	37	30	59	11	24	25	43	13	10	27	30	34	20	10	21	22	28	6									
		13.63%	19.35%	11.14%	16.00%	9.17%	16.73%	20.27%	19.57%	11.64%	15.85%	10.09%	15.95%	11.10%	17.49%	19.24%	17.36%	19.53%	8.29%	20.65%	17.00%	4.76%	13.76%	11.76%	11.54%	11.94%	10.38%	15.95%	12.79%	8.00%	9.51%	12.99%	9.85%	4.74%	4.76%	23.62%	15.45%	11.63%	10.42%	12.65%	12.79%	25.69%	5.56%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	44	0	3	0	0	2	2	0	0	1	9	1	2	4	2	2	1	0	2	0	0	3	1	0	0	0	0	0	2	0	1	0	1	1	0	0	0	3	1	0	0	0									
		0.33%	0.00%	0.82%	0.00%	0.00%	0.37%	0.39%	0.00%	0.00%	0.23%	0.80%	0.16%	0.20%	0.76%	0.36%	0.42%	0.47%	0.00%	0.81%	0.00%	0.00%	0.92%	1.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.30%	0.00%	0.47%	0.18%	0.00%	0.00%	0.00%	3.13%	0.60%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	609	24	14	18	19	43	22	9	17	24	32	23	21	22	58	27	8	11	14	1	4	9	9	3	4	6	22	1	18	21	13	4	4	19	11	21	5	3	12	9	4	0									
		4.54%	4.07%	3.80%	7.20%	5.44%	7.99%	4.29%	4.89%	3.88%	5.59%	2.86%	3.67%	2.14%	4.18%	10.53%	5.65%	3.72%	6.08%	5.67%	1.00%	1.90%	2.75%	10.59%	3.85%	1.29%	2.08%	5.95%	1.16%	6.00%	7.98%	3.93%	3.03%	1.90%	3.35%	8.66%	9.55%	2.91%	3.13%	7.23%	5.23%	3.67%	0.00%									
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
