Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																							
Дата голосования: 18.09.2016																																																																							
																																																																							
Наименование Избирательной комиссии:    Новокубанская																																																																							
																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																							
																																																																							
		Сумма	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3227	УИК №3228	УИК №3229	УИК №3230	УИК №3231	УИК №3232	УИК №3233	УИК №3234	УИК №3235	УИК №3236	УИК №3237	УИК №3238	УИК №3239	УИК №3240	УИК №3241	УИК №3242	УИК №3243	УИК №3244	УИК №3245	УИК №3246	УИК №3247	УИК №3248	УИК №3249	УИК №3250	УИК №3251	УИК №3252	УИК №3253	УИК №3254	УИК №3255	УИК №3256	УИК №3257	УИК №3258	УИК №3259	УИК №3260									
		0.42%	0.82%	0.00%	0.32%	0.52%	0.36%	0.00%	0.00%	1.31%	0.00%	0.00%	0.86%	0.00%	0.00%	1.15%	0.00%	0.00%	0.34%	0.81%	0.46%	0.22%	0.45%	0.31%	0.69%	0.18%	0.60%	0.46%	1.16%	0.00%	0.74%	1.05%	1.27%	0.99%	0.80%	0.31%	0.00%	0.00%	1.29%	0.00%	0.41%	0.66%	0.00%	0.64%	0.00%	0.00%	0.00%	0.23%	0.34%	0.88%	0.00%	0.41%	0.16%	0.41%	0.65%	0.65%	0.00%	0.70%	0.71%	0.20%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	198	1	0	3	5	2	1	1	7	4	0	0	1	0	0	1	1	3	8	1	8	5	8	11	5	6	3	8	4	5	6	6	2	11	7	1	0	0	7	5	7	0	0	0	3	0	3	8	1	1	5	5	1	2	2	2	5	0	0	6	0									
		0.69%	0.82%	0.00%	0.32%	0.65%	0.24%	0.53%	1.16%	1.53%	0.91%	0.00%	0.00%	0.39%	0.00%	0.00%	0.32%	0.79%	0.50%	1.30%	0.23%	1.76%	0.74%	0.83%	1.89%	0.90%	1.81%	0.68%	1.85%	1.00%	0.93%	1.05%	0.76%	0.66%	1.75%	2.19%	0.19%	0.00%	0.00%	1.29%	1.03%	0.77%	0.00%	0.00%	0.00%	1.46%	0.00%	0.70%	0.54%	0.44%	0.24%	0.68%	0.82%	0.20%	0.33%	0.32%	0.33%	1.17%	0.00%	0.00%	0.40%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	35	0	0	0	0	1	0	0	0	2	1	0	2	0	0	1	0	1	0	1	1	0	0	1	2	0	2	1	0	2	1	1	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	3	0	0	2	0									
		0.12%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.45%	0.70%	0.00%	0.78%	0.00%	0.00%	0.32%	0.00%	0.17%	0.00%	0.23%	0.22%	0.00%	0.00%	0.17%	0.36%	0.00%	0.46%	0.23%	0.00%	0.37%	0.18%	0.13%	0.33%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.32%	0.00%	0.70%	0.00%	0.00%	0.13%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	212	1	0	8	11	2	0	0	1	2	1	0	0	2	2	0	0	9	14	6	2	5	7	5	4	6	3	7	0	8	9	6	4	11	4	7	0	0	6	4	7	1	0	0	1	1	3	9	1	0	2	3	2	2	2	7	3	1	0	3	7									
		0.74%	0.82%	0.00%	0.86%	1.43%	0.24%	0.00%	0.00%	0.22%	0.45%	0.70%	0.00%	0.00%	0.68%	0.76%	0.00%	0.00%	1.51%	2.27%	1.37%	0.44%	0.74%	0.73%	0.86%	0.72%	1.81%	0.68%	1.62%	0.00%	1.48%	1.58%	0.76%	1.33%	1.75%	1.25%	1.31%	0.00%	0.00%	1.11%	0.82%	0.77%	0.61%	0.00%	0.00%	0.49%	0.83%	0.70%	0.61%	0.44%	0.00%	0.27%	0.49%	0.41%	0.33%	0.32%	1.17%	0.70%	0.71%	0.00%	0.20%	1.17%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3587	9	14	118	112	129	29	8	76	24	19	22	37	24	13	15	15	109	108	80	89	81	102	88	74	70	62	76	58	100	97	125	44	99	50	75	7	12	86	68	149	30	12	4	14	7	27	159	14	46	122	57	77	116	84	44	31	11	39	89	31									
		12.45%	7.38%	10.69%	12.70%	14.53%	15.60%	15.26%	9.30%	16.56%	5.44%	13.29%	9.44%	14.40%	8.19%	4.96%	4.81%	11.90%	18.32%	17.50%	18.26%	19.60%	12.04%	10.59%	15.15%	13.31%	21.08%	14.16%	17.59%	14.54%	18.55%	17.02%	15.82%	14.62%	15.79%	15.67%	13.99%	3.72%	7.74%	15.87%	14.02%	16.46%	18.18%	3.82%	4.71%	6.80%	5.83%	6.26%	10.78%	6.17%	10.93%	16.55%	9.30%	15.62%	18.99%	13.61%	7.36%	7.24%	7.86%	3.86%	5.87%	5.20%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	125	1	1	4	6	4	2	0	7	2	0	0	2	2	0	1	0	6	1	2	1	4	4	0	3	1	2	3	3	7	1	3	0	3	1	0	0	4	4	5	1	1	0	0	0	1	3	8	2	0	0	0	1	1	3	8	0	1	0	5	0									
		0.43%	0.82%	0.76%	0.43%	0.78%	0.48%	1.05%	0.00%	1.53%	0.45%	0.00%	0.00%	0.78%	0.68%	0.00%	0.32%	0.00%	1.01%	0.16%	0.46%	0.22%	0.59%	0.42%	0.00%	0.54%	0.30%	0.46%	0.69%	0.75%	1.30%	0.18%	0.38%	0.00%	0.48%	0.31%	0.00%	0.00%	2.58%	0.74%	1.03%	0.11%	0.61%	0.00%	0.00%	0.00%	0.83%	0.70%	0.54%	0.88%	0.00%	0.00%	0.00%	0.20%	0.16%	0.49%	1.34%	0.00%	0.71%	0.00%	0.33%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1069	26	3	39	33	37	7	2	11	25	4	6	4	12	2	10	7	28	43	16	22	38	26	15	20	5	20	22	12	34	22	38	6	20	19	31	1	3	25	34	35	3	4	11	7	6	6	44	34	8	15	16	15	21	13	34	12	5	6	36	10									
		3.71%	21.31%	2.29%	4.20%	4.28%	4.47%	3.68%	2.33%	2.40%	5.67%	2.80%	2.58%	1.56%	4.10%	0.76%	3.21%	5.56%	4.71%	6.97%	3.65%	4.85%	5.65%	2.70%	2.58%	3.60%	1.51%	4.57%	5.09%	3.01%	6.31%	3.86%	4.81%	1.99%	3.19%	5.96%	5.78%	0.53%	1.94%	4.61%	7.01%	3.87%	1.82%	1.27%	12.94%	3.40%	5.00%	1.39%	2.98%	14.98%	1.90%	2.04%	2.61%	3.04%	3.44%	2.11%	5.69%	2.80%	3.57%	0.59%	2.38%	1.68%									
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
