Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																	
Дата голосования: 07.12.2003 0:00:00																																	
																																	
"Наименование Избирательной комиссии:    г.Ростов-на-Дону, Кировская"																																	
																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																	
																																	
		Сумма	УИК  1611	УИК  1612	УИК  1613	УИК  1614	УИК  1615	УИК  1616	УИК  1617	УИК  1618	УИК  1619	УИК  1620	УИК  1621	УИК  1622	УИК  1623	УИК  1624	УИК  1625	УИК  1626	УИК  1627	УИК  1628	УИК  1629	УИК  1630	УИК  1631	УИК  1632	УИК  1633	УИК  1634	УИК  1635	УИК  1639					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2213	60	69	94	123	131	119	135	72	83	55	56	106	91	112	101	132	69	42	76	114	134	81	85	20	53	0					
		7.33%	6.52%	9.38%	10.05%	7.86%	10.18%	4.86%	10.34%	7.56%	6.96%	5.46%	4.58%	8.77%	9.56%	9.02%	9.48%	8.87%	5.90%	5.45%	7.19%	8.24%	9.09%	6.90%	6.67%	3.49%	6.55%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1373	37	37	62	60	74	64	55	64	65	37	54	56	45	49	65	82	69	38	53	43	70	56	59	30	42	7					
		4.54%	4.02%	5.03%	6.63%	3.83%	5.75%	2.61%	4.21%	6.72%	5.45%	3.67%	4.41%	4.63%	4.73%	3.94%	6.10%	5.51%	5.90%	4.93%	5.01%	3.11%	4.75%	4.77%	4.63%	5.24%	5.19%	0.71%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	3119	103	106	112	144	167	123	175	126	125	98	129	145	107	148	141	180	135	70	96	151	157	127	110	60	80	4					
		10.33%	11.19%	14.42%	11.97%	9.20%	12.98%	5.02%	13.40%	13.23%	10.48%	9.73%	10.55%	12.00%	11.25%	11.92%	13.23%	12.09%	11.54%	9.09%	9.09%	10.92%	10.65%	10.82%	8.64%	10.48%	9.88%	0.40%					
22	"5. ""За Русь Святую"""	137	3	3	7	4	5	14	15	2	9	6	10	6	5	1	5	2	5	3	7	5	3	3	6	2	3	3					
		0.45%	0.32%	0.40%	0.74%	0.25%	0.38%	0.57%	1.14%	0.21%	0.75%	0.59%	0.81%	0.49%	0.52%	0.08%	0.46%	0.13%	0.42%	0.38%	0.66%	0.36%	0.20%	0.25%	0.47%	0.34%	0.37%	0.30%					
23	"6. ""Объединенная Российская партия ""Русь"""	61	2	0	5	2	1	2	1	3	4	2	0	0	3	1	3	0	5	4	10	1	1	3	5	1	1	1					
		0.20%	0.21%	0.0%	0.53%	0.12%	0.07%	0.08%	0.07%	0.31%	0.33%	0.19%	0.0%	0.0%	0.31%	0.08%	0.28%	0.0%	0.42%	0.51%	0.94%	0.07%	0.06%	0.25%	0.39%	0.17%	0.12%	0.10%					
24	"7. ""Новый курс - Автомобильная Россия"""	283	10	1	13	15	16	23	7	9	6	20	19	6	7	12	9	12	13	10	7	16	10	9	16	7	8	2					
		0.93%	1.08%	0.13%	1.39%	0.95%	1.24%	0.93%	0.53%	0.94%	0.50%	1.98%	1.55%	0.49%	0.73%	0.96%	0.84%	0.80%	1.11%	1.29%	0.66%	1.15%	0.67%	0.76%	1.25%	1.22%	0.98%	0.20%					
25	"8. ""Народно-республиканская партия России"""	23	0	2	0	0	2	4	0	1	0	2	0	1	0	0	1	2	1	0	0	2	0	0	1	0	2	2					
		0.07%	0.0%	0.27%	0.0%	0.0%	0.15%	0.16%	0.0%	0.10%	0.0%	0.19%	0.0%	0.08%	0.0%	0.0%	0.09%	0.13%	0.08%	0.0%	0.0%	0.14%	0.0%	0.0%	0.07%	0.0%	0.24%	0.20%					
26	"9. ""Российская экологическая партия ""Зеленые"""	200	4	3	10	2	12	15	5	4	17	8	8	7	3	5	11	12	9	5	5	9	10	11	11	3	3	8					
		0.66%	0.43%	0.40%	1.06%	0.12%	0.93%	0.61%	0.38%	0.42%	1.42%	0.79%	0.65%	0.57%	0.31%	0.40%	1.03%	0.80%	0.76%	0.64%	0.47%	0.65%	0.67%	0.93%	0.86%	0.52%	0.37%	0.81%					
27	"10. ""Аграрная партия России"""	367	10	9	12	15	15	12	23	13	20	9	15	16	11	14	19	10	5	12	12	19	26	10	17	8	16	19					
		1.21%	1.08%	1.22%	1.28%	0.95%	1.16%	0.49%	1.76%	1.36%	1.67%	0.89%	1.22%	1.32%	1.15%	1.12%	1.78%	0.67%	0.42%	1.55%	1.13%	1.37%	1.76%	0.85%	1.33%	1.39%	1.97%	1.93%					
28	"11. ""Истинные патриоты России"""	22	0	4	0	0	4	1	1	1	6	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	1					
		0.07%	0.0%	0.54%	0.0%	0.0%	0.31%	0.04%	0.07%	0.10%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.0%	0.07%	0.0%	0.17%	0.0%	0.0%	0.0%	0.10%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	284	13	9	6	11	17	30	11	11	7	13	14	13	9	10	9	9	5	5	10	9	20	7	16	7	11	2					
		0.94%	1.41%	1.22%	0.64%	0.70%	1.32%	1.22%	0.84%	1.15%	0.58%	1.29%	1.14%	1.07%	0.94%	0.80%	0.84%	0.60%	0.42%	0.64%	0.94%	0.65%	1.35%	0.59%	1.25%	1.22%	1.35%	0.20%					
30	"13. ""Демократическая партия России"""	43	3	2	4	2	0	7	1	1	2	0	1	1	0	0	3	3	0	0	2	0	1	2	6	0	1	1					
		0.14%	0.32%	0.27%	0.42%	0.12%	0.0%	0.28%	0.07%	0.10%	0.16%	0.0%	0.08%	0.08%	0.0%	0.0%	0.28%	0.20%	0.0%	0.0%	0.18%	0.0%	0.06%	0.17%	0.47%	0.0%	0.12%	0.10%					
31	"14. ""Великая Россия - Евразийский Союз"""	126	2	0	6	4	6	6	2	5	14	4	2	6	0	8	0	0	1	0	2	29	3	0	9	1	1	15					
		0.41%	0.21%	0.0%	0.64%	0.25%	0.46%	0.24%	0.15%	0.52%	1.17%	0.39%	0.16%	0.49%	0.0%	0.64%	0.0%	0.0%	0.08%	0.0%	0.18%	2.09%	0.20%	0.0%	0.70%	0.17%	0.12%	1.52%					
32	"15. ""Партия СЛОН"""	75	1	1	2	3	1	8	1	1	5	1	1	3	2	1	0	8	1	1	1	3	8	1	1	0	2	18					
		0.24%	0.10%	0.13%	0.21%	0.19%	0.07%	0.32%	0.07%	0.10%	0.41%	0.09%	0.08%	0.24%	0.21%	0.08%	0.0%	0.53%	0.08%	0.12%	0.09%	0.21%	0.54%	0.08%	0.07%	0.0%	0.24%	1.83%					
33	"16. ""Родина"" (народно-патриотический союз)"""	3435	77	68	86	166	149	200	230	109	126	99	117	144	117	153	148	236	130	72	107	212	245	143	138	58	101	4					
		11.38%	8.36%	9.25%	9.19%	10.61%	11.58%	8.16%	17.62%	11.44%	10.57%	9.83%	9.57%	11.92%	12.30%	12.32%	13.89%	15.86%	11.12%	9.35%	10.13%	15.34%	16.63%	12.19%	10.84%	10.13%	12.48%	0.40%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	50	1	0	0	0	0	8	1	2	3	2	2	0	1	18	1	0	1	2	2	0	0	0	2	0	0	4					
		0.16%	0.10%	0.0%	0.0%	0.0%	0.0%	0.32%	0.07%	0.21%	0.25%	0.19%	0.16%	0.0%	0.10%	1.45%	0.09%	0.0%	0.08%	0.25%	0.18%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.40%					
35	"18. ""ЛДПР"""	2117	85	69	72	79	83	200	66	53	71	101	121	85	47	65	52	92	86	70	107	74	91	76	90	56	65	61					
		7.01%	9.23%	9.38%	7.70%	5.05%	6.45%	8.16%	5.05%	5.56%	5.95%	10.02%	9.90%	7.03%	4.94%	5.23%	4.88%	6.18%	7.35%	9.09%	10.13%	5.35%	6.17%	6.47%	7.06%	9.79%	8.03%	6.21%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	459	22	11	24	13	25	23	24	19	21	17	25	21	15	26	14	28	14	16	6	20	19	12	19	11	9	5					
		1.52%	2.39%	1.49%	2.56%	0.83%	1.94%	0.93%	1.83%	1.99%	1.76%	1.68%	2.04%	1.73%	1.57%	2.09%	1.31%	1.88%	1.19%	2.07%	0.56%	1.44%	1.28%	1.02%	1.49%	1.92%	1.11%	0.50%					
37	"20. ""Политическая партия ""Единая Россия"""	9798	269	184	231	692	325	1170	282	236	391	330	371	339	260	330	254	415	350	240	335	375	372	461	403	158	264	761					
		32.46%	29.23%	25.03%	24.70%	44.24%	25.27%	47.79%	21.60%	24.78%	32.80%	32.77%	30.36%	28.06%	27.33%	26.59%	23.84%	27.88%	29.94%	31.16%	31.72%	27.13%	25.25%	39.30%	31.65%	27.62%	32.63%	77.49%					
38	"21. ""Российская Конституционно-демократическая партия"""	39	4	1	1	2	0	5	0	0	1	0	4	3	1	2	1	1	2	0	0	2	2	4	3	0	0	0					
		0.12%	0.43%	0.13%	0.10%	0.12%	0.0%	0.20%	0.0%	0.0%	0.08%	0.0%	0.32%	0.24%	0.10%	0.16%	0.09%	0.06%	0.17%	0.0%	0.0%	0.14%	0.13%	0.34%	0.23%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	100	4	4	2	3	5	4	5	2	7	3	5	4	5	6	1	4	4	0	6	2	4	4	3	1	8	4					
		0.33%	0.43%	0.54%	0.21%	0.19%	0.38%	0.16%	0.38%	0.21%	0.58%	0.29%	0.40%	0.33%	0.52%	0.48%	0.09%	0.26%	0.34%	0.0%	0.56%	0.14%	0.27%	0.34%	0.23%	0.17%	0.98%	0.40%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	3875	124	92	113	159	169	229	181	146	117	113	191	156	165	186	157	232	160	100	134	223	209	136	174	102	80	27					
		12.84%	13.47%	12.51%	12.08%	10.16%	13.14%	9.35%	13.86%	15.33%	9.81%	11.22%	15.63%	12.91%	17.35%	14.98%	14.74%	15.59%	13.68%	12.98%	12.68%	16.13%	14.18%	11.59%	13.66%	17.83%	9.88%	2.74%					
																																	
41	Против всех	1514	71	42	55	53	59	125	68	56	76	68	60	70	46	76	55	10	81	59	54	60	73	17	77	32	43	28					
		5.01%	7.71%	5.71%	5.88%	3.38%	4.58%	5.10%	5.21%	5.88%	6.37%	6.75%	4.90%	5.79%	4.83%	6.12%	5.16%	0.67%	6.92%	7.66%	5.11%	4.34%	4.95%	1.44%	6.04%	5.59%	5.31%	2.85%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
