Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Труновская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК  1155	УИК  1156	УИК  1157	УИК  1158	УИК  1159	УИК  1160	УИК  1161	УИК  1162	УИК  1163	УИК  1164	УИК  1165	УИК  1166	УИК  1167	УИК  1168	УИК  1169	УИК  1170	УИК  1171	УИК  1172	УИК  1173	УИК  1174	УИК  1175	УИК  1176	УИК  1177	УИК  1178	УИК  1179	УИК  1180					
19	. Малышкин Олег Александрович	507	11	65	41	24	26	25	31	9	17	24	27	16	2	18	10	6	31	26	13	21	1	12	11	5	22	13					
		3.40%	4.72%	4.43%	2.82%	3.47%	2.50%	3.52%	3.27%	4.00%	2.77%	3.85%	3.13%	3.57%	1.47%	4.12%	5.92%	2.71%	3.81%	2.56%	4.29%	2.71%	0.73%	5.08%	9.40%	4.31%	2.89%	3.47%					
20	. Миронов Сергей Михайлович	87	4	3	8	2	5	6	6	3	1	6	4	6	1	2	2	6	2	4	2	2	1	0	3	0	7	1					
		0.58%	1.72%	0.20%	0.55%	0.29%	0.48%	0.84%	0.63%	1.33%	0.16%	0.96%	0.46%	1.34%	0.74%	0.46%	1.18%	2.71%	0.25%	0.39%	0.66%	0.26%	0.73%	0.00%	2.56%	0.00%	0.92%	0.27%					
21	. Путин Владимир Владимирович	9344	141	930	919	451	669	420	648	139	331	374	549	282	89	304	101	125	496	662	155	533	86	195	74	66	373	232					
		62.58%	60.52%	63.39%	63.25%	65.17%	64.20%	59.07%	68.28%	61.78%	53.91%	60.03%	63.62%	62.95%	65.44%	69.57%	59.76%	56.56%	60.93%	65.22%	51.16%	68.77%	62.77%	82.63%	63.25%	56.90%	49.08%	61.87%					
22	. Хакамада Ирина Муцуовна	277	10	30	38	16	27	14	25	6	5	8	7	5	1	6	8	0	11	9	5	6	2	4	0	3	25	6					
		1.86%	4.29%	2.04%	2.62%	2.31%	2.59%	1.97%	2.63%	2.67%	0.81%	1.28%	0.81%	1.12%	0.74%	1.37%	4.73%	0.00%	1.35%	0.89%	1.65%	0.77%	1.46%	1.69%	0.00%	2.59%	3.29%	1.60%					
23	. Харитонов Николай Михайлович	3627	54	281	316	151	228	203	156	63	225	181	225	114	41	82	29	78	230	241	98	160	32	12	23	34	275	95					
		24.29%	23.18%	19.15%	21.75%	21.82%	21.88%	28.55%	16.44%	28.00%	36.64%	29.05%	26.07%	25.45%	30.15%	18.76%	17.16%	35.29%	28.26%	23.74%	32.34%	20.65%	23.36%	5.08%	19.66%	29.31%	36.18%	25.33%					
																																	
24	Против всех	486	12	62	70	14	34	18	38	5	18	18	24	15	2	10	8	1	19	27	16	18	9	5	3	5	18	17					
		3.25%	5.15%	4.23%	4.82%	2.02%	3.26%	2.53%	4.00%	2.22%	2.93%	2.89%	2.78%	3.35%	1.47%	2.29%	4.73%	0.45%	2.33%	2.66%	5.28%	2.32%	6.57%	2.12%	2.56%	4.31%	2.37%	4.53%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
