Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																									
Дата голосования: 18.09.2016																																																																									
																																																																									
Наименование Избирательной комиссии:    Тогучинская																																																																									
																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																									
																																																																									
		Сумма	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1093	10	30	35	30	25	20	40	20	35	20	30	10	20	20	10	5	5	35	35	35	20	10	5	33	5	5	20	10	10	5	35	5	25	15	20	30	15	10	15	5	5	25	15	35	15	20	5	20	25	10	15	5	20	5	5	10	20	5	5	10	15	35									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	460	9	16	18	24	22	15	33	14	25	1	13	0	4	5	1	0	0	10	8	6	1	10	0	33	2	0	5	0	0	1	8	0	5	3	5	22	5	7	0	1	0	4	5	0	9	2	1	10	1	4	4	0	20	0	1	4	10	1	2	3	12	35									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	330	1	3	11	17	12	7	7	3	3	5	8	14	3	6	2	2	2	22	5	3	0	3	3	4	2	4	4	5	2	3	3	7	5	2	2	8	3	3	3	4	2	3	5	6	4	3	10	5	22	9	2	3	1	2	0	5	12	5	5	5	4	11									
14	Число погашенных неиспользованных открепительных удостоверений	633	1	14	17	6	3	5	7	6	10	19	17	10	16	15	9	5	5	25	27	29	19	0	5	0	3	5	15	10	10	4	27	5	20	12	15	8	10	3	15	4	5	21	10	35	6	18	4	10	24	6	11	5	0	5	4	6	10	4	3	7	3	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	24	0	3	4	2	1	3	4	1	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	390	3	14	19	46	21	23	24	15	16	1	6	1	2	4	2	1	0	25	19	23	2	1	1	2	1	3	3	1	0	0	7	0	4	4	3	3	2	1	3	0	0	7	3	4	2	9	5	14	9	4	3	0	3	0	0	4	3	0	1	2	3	8									
		2.11%	2.80%	2.11%	2.37%	4.39%	3.63%	3.43%	2.84%	2.73%	1.91%	0.32%	1.96%	1.52%	1.64%	1.19%	1.13%	1.45%	0.00%	2.41%	2.03%	2.81%	0.57%	0.83%	1.23%	0.85%	0.97%	3.57%	1.33%	1.10%	0.00%	0.00%	1.80%	0.00%	1.09%	3.13%	1.39%	0.81%	0.93%	0.96%	1.59%	0.00%	0.00%	2.33%	2.33%	1.33%	1.15%	3.36%	3.79%	3.42%	3.41%	2.40%	0.93%	0.00%	1.02%	0.00%	0.00%	3.25%	1.22%	0.00%	2.13%	1.28%	1.60%	1.19%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	629	4	13	30	45	24	26	30	28	27	8	14	0	8	20	9	4	5	27	17	26	8	6	2	9	7	2	4	3	1	0	5	2	9	2	7	20	12	1	6	2	2	8	4	7	6	14	3	17	13	8	13	0	2	3	2	5	11	2	2	4	4	26									
		3.40%	3.74%	1.96%	3.75%	4.29%	4.15%	3.88%	3.55%	5.09%	3.22%	2.56%	4.58%	0.00%	6.56%	5.97%	5.08%	5.80%	5.10%	2.60%	1.82%	3.17%	2.27%	4.96%	2.47%	3.81%	6.80%	2.38%	1.78%	3.30%	0.86%	0.00%	1.29%	2.70%	2.45%	1.56%	3.24%	5.41%	5.61%	0.96%	3.17%	3.85%	3.13%	2.66%	3.10%	2.33%	3.45%	5.22%	2.27%	4.16%	4.92%	4.79%	4.04%	0.00%	0.68%	2.31%	6.45%	4.07%	4.47%	4.55%	4.26%	2.56%	2.14%	3.86%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	327	6	11	7	29	8	12	17	12	12	4	12	0	5	0	5	2	3	19	16	16	15	0	0	4	1	5	5	1	1	0	8	1	6	4	1	9	4	3	3	0	0	6	1	5	3	1	1	8	1	1	7	1	3	2	1	2	1	0	0	1	4	11									
		1.77%	5.61%	1.66%	0.87%	2.76%	1.38%	1.79%	2.01%	2.18%	1.43%	1.28%	3.92%	0.00%	4.10%	0.00%	2.82%	2.90%	3.06%	1.83%	1.71%	1.95%	4.25%	0.00%	0.00%	1.69%	0.97%	5.95%	2.22%	1.10%	0.86%	0.00%	2.06%	1.35%	1.63%	3.13%	0.46%	2.43%	1.87%	2.88%	1.59%	0.00%	0.00%	1.99%	0.78%	1.67%	1.72%	0.37%	0.76%	1.96%	0.38%	0.60%	2.17%	1.56%	1.02%	1.54%	3.23%	1.63%	0.41%	0.00%	0.00%	0.64%	2.14%	1.63%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7483	40	236	268	383	231	216	322	213	283	156	124	38	50	141	84	32	38	359	344	280	155	47	40	102	31	36	112	68	67	34	223	42	174	56	95	123	90	44	90	18	22	158	66	146	85	103	51	147	93	74	144	42	141	50	20	47	119	17	13	69	89	302									
		40.50%	37.38%	35.60%	33.46%	36.51%	39.97%	32.24%	38.11%	38.73%	33.77%	49.84%	40.52%	57.58%	40.98%	42.09%	47.46%	46.38%	38.78%	34.62%	36.75%	34.19%	43.91%	38.84%	49.38%	43.22%	30.10%	42.86%	49.78%	74.73%	57.76%	57.63%	57.33%	56.76%	47.28%	43.75%	43.98%	33.24%	42.06%	42.31%	47.62%	34.62%	34.38%	52.49%	51.16%	48.67%	48.85%	38.43%	38.64%	35.94%	35.23%	44.31%	44.72%	65.63%	48.12%	38.46%	64.52%	38.21%	48.37%	38.64%	27.66%	44.23%	47.59%	44.87%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	106	1	3	1	13	8	7	6	5	7	1	0	0	2	1	0	1	1	4	8	4	3	0	0	1	1	2	1	0	0	0	0	2	1	0	0	3	2	0	1	0	0	0	1	2	0	1	0	2	1	2	2	0	1	0	1	0	1	0	0	0	2	0									
		0.57%	0.93%	0.45%	0.12%	1.24%	1.38%	1.04%	0.71%	0.91%	0.84%	0.32%	0.00%	0.00%	1.64%	0.30%	0.00%	1.45%	1.02%	0.39%	0.85%	0.49%	0.85%	0.00%	0.00%	0.42%	0.97%	2.38%	0.44%	0.00%	0.00%	0.00%	0.00%	2.70%	0.27%	0.00%	0.00%	0.81%	0.93%	0.00%	0.53%	0.00%	0.00%	0.00%	0.78%	0.67%	0.00%	0.37%	0.00%	0.49%	0.38%	1.20%	0.62%	0.00%	0.34%	0.00%	3.23%	0.00%	0.41%	0.00%	0.00%	0.00%	1.07%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	74	0	2	1	2	1	2	3	2	1	0	1	0	0	1	0	0	2	1	0	2	2	1	30	3	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	1	2									
		0.40%	0.00%	0.30%	0.12%	0.19%	0.17%	0.30%	0.36%	0.36%	0.12%	0.00%	0.33%	0.00%	0.00%	0.30%	0.00%	0.00%	2.04%	0.10%	0.00%	0.24%	0.57%	0.83%	37.04%	1.27%	1.94%	1.19%	0.44%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.24%	0.00%	0.00%	1.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.30%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5658	33	238	302	273	168	228	298	148	305	95	92	19	30	114	48	14	36	358	294	248	91	44	2	71	37	21	58	16	34	21	87	20	108	36	67	119	66	39	54	19	30	71	33	82	33	89	46	125	68	31	89	20	95	48	6	43	66	18	21	45	40	208									
		30.62%	30.84%	35.90%	37.70%	26.02%	29.07%	34.03%	35.27%	26.91%	36.40%	30.35%	30.07%	28.79%	24.59%	34.03%	27.12%	20.29%	36.73%	34.52%	31.41%	30.28%	25.78%	36.36%	2.47%	30.08%	35.92%	25.00%	25.78%	17.58%	29.31%	35.59%	22.37%	27.03%	29.35%	28.13%	31.02%	32.16%	30.84%	37.50%	28.57%	36.54%	46.88%	23.59%	25.58%	27.33%	18.97%	33.21%	34.85%	30.56%	25.76%	18.56%	27.64%	31.25%	32.42%	36.92%	19.35%	34.96%	26.83%	40.91%	44.68%	28.85%	21.39%	30.91%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	67	0	6	1	5	4	2	2	0	2	0	4	0	0	0	0	1	0	6	9	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	2	0	0	0	2	0	0	6	3	0	0	1	0	0	0	0	0	0	0	1	3									
		0.36%	0.00%	0.90%	0.12%	0.48%	0.69%	0.30%	0.24%	0.00%	0.24%	0.00%	1.31%	0.00%	0.00%	0.00%	0.00%	1.45%	0.00%	0.58%	0.96%	0.24%	0.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.53%	0.00%	0.00%	0.66%	0.00%	0.00%	0.00%	0.75%	0.00%	0.00%	2.27%	1.80%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.45%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	66	0	8	3	1	2	4	3	3	3	1	0	0	1	0	0	1	0	5	1	3	1	0	0	1	1	0	1	0	0	0	4	1	0	1	0	0	2	0	1	0	0	1	1	1	0	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	1	5									
		0.36%	0.00%	1.21%	0.37%	0.10%	0.35%	0.60%	0.36%	0.55%	0.36%	0.32%	0.00%	0.00%	0.82%	0.00%	0.00%	1.45%	0.00%	0.48%	0.11%	0.37%	0.28%	0.00%	0.00%	0.42%	0.97%	0.00%	0.44%	0.00%	0.00%	0.00%	1.03%	1.35%	0.00%	0.78%	0.00%	0.00%	0.93%	0.00%	0.53%	0.00%	0.00%	0.33%	0.78%	0.33%	0.00%	0.00%	0.76%	0.24%	0.38%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.53%	0.74%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	25	0	0	3	4	0	1	1	0	1	0	0	0	1	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1									
		0.14%	0.00%	0.00%	0.37%	0.38%	0.00%	0.15%	0.12%	0.00%	0.12%	0.00%	0.00%	0.00%	0.82%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	2.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.37%	0.76%	0.00%	0.38%	0.60%	0.31%	0.00%	0.00%	0.00%	0.00%	0.81%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	135	0	7	6	16	5	8	5	3	15	1	2	2	1	0	3	0	0	5	3	3	2	0	0	0	1	2	3	0	0	0	0	0	3	0	1	1	2	1	2	1	0	2	1	2	1	2	0	3	5	5	2	0	0	2	0	1	1	0	0	1	1	2									
		0.73%	0.00%	1.06%	0.75%	1.53%	0.87%	1.19%	0.59%	0.55%	1.79%	0.32%	0.65%	3.03%	0.82%	0.00%	1.69%	0.00%	0.00%	0.48%	0.32%	0.37%	0.57%	0.00%	0.00%	0.00%	0.97%	2.38%	1.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.82%	0.00%	0.46%	0.27%	0.93%	0.96%	1.06%	1.92%	0.00%	0.66%	0.78%	0.67%	0.57%	0.75%	0.00%	0.73%	1.89%	2.99%	0.62%	0.00%	0.00%	1.54%	0.00%	0.81%	0.41%	0.00%	0.00%	0.64%	0.53%	0.30%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2563	12	85	105	163	68	92	99	82	104	28	40	4	15	41	18	10	9	185	176	152	57	17	2	33	11	11	30	2	5	4	46	3	43	17	26	81	29	13	23	11	8	37	10	34	32	31	17	57	47	30	47	1	41	18	1	16	33	7	10	22	34	78									
		13.87%	11.21%	12.82%	13.11%	15.54%	11.76%	13.73%	11.72%	14.91%	12.41%	8.95%	13.07%	6.06%	12.30%	12.24%	10.17%	14.49%	9.18%	17.84%	18.80%	18.56%	16.15%	14.05%	2.47%	13.98%	10.68%	13.10%	13.33%	2.20%	4.31%	6.78%	11.83%	4.05%	11.68%	13.28%	12.04%	21.89%	13.55%	12.50%	12.17%	21.15%	12.50%	12.29%	7.75%	11.33%	18.39%	11.57%	12.88%	13.94%	17.80%	17.96%	14.60%	1.56%	13.99%	13.85%	3.23%	13.01%	13.41%	15.91%	21.28%	14.10%	18.18%	11.59%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	55	0	2	1	5	2	2	2	2	2	1	2	1	1	0	1	0	1	4	2	3	0	2	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	2	2	0	1	0	2	0	0	0	0	2	0	0	0	2	0	1									
		0.30%	0.00%	0.30%	0.12%	0.48%	0.35%	0.30%	0.24%	0.36%	0.24%	0.32%	0.65%	1.52%	0.82%	0.00%	0.56%	0.00%	1.02%	0.39%	0.21%	0.37%	0.00%	1.65%	0.00%	0.42%	0.97%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.46%	0.27%	0.00%	0.96%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	0.75%	1.52%	0.00%	0.38%	0.00%	0.62%	0.00%	0.00%	0.00%	0.00%	1.63%	0.00%	0.00%	0.00%	1.28%	0.00%	0.15%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	348	3	15	17	33	13	23	13	12	25	8	4	0	0	5	4	2	2	13	15	28	5	1	2	4	1	0	4	0	4	0	2	0	8	2	5	5	2	0	2	0	0	3	3	4	0	5	2	10	11	6	3	0	0	3	0	0	5	0	0	2	1	8									
		1.88%	2.80%	2.26%	2.12%	3.15%	2.25%	3.43%	1.54%	2.18%	2.98%	2.56%	1.31%	0.00%	0.00%	1.49%	2.26%	2.90%	2.04%	1.25%	1.60%	3.42%	1.42%	0.83%	2.47%	1.69%	0.97%	0.00%	1.78%	0.00%	3.45%	0.00%	0.51%	0.00%	2.17%	1.56%	2.31%	1.35%	0.93%	0.00%	1.06%	0.00%	0.00%	0.99%	2.33%	1.33%	0.00%	1.87%	1.52%	2.44%	4.17%	3.59%	0.93%	0.00%	0.00%	2.31%	0.00%	0.00%	2.03%	0.00%	0.00%	1.28%	0.53%	1.19%									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
