Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																				
Дата голосования: 04.12.2011																																																																																																				
																																																																																																				
"Наименование Избирательной комиссии:    Краснодар, Прикубанская"																																																																																																				
																																																																																																				
Сводная таблица результатов выборов																																																																																																				
																																																																																																				
		Сумма	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2264	УИК №2265	УИК №2266	УИК №2267	УИК №2268	УИК №2269	УИК №2270	УИК №2271	УИК №2272	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2277	УИК №2278	УИК №2279	УИК №2280	УИК №2281	УИК №2282	УИК №2283	УИК №2284	УИК №2285	УИК №2286	УИК №2287	УИК №2288	УИК №2295	УИК №2296	УИК №2297	УИК №2298	УИК №2299					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	6128	55	70	20	69	60	45	72	55	92	100	115	65	80	45	65	70	50	70	50	65	55	60	40	90	40	40	60	50	60	80	125	72	62	105	70	75	96	95	65	68	53	93	85	55	90	50	60	65	55	60	105	65	80	95	110	100	40	113	135	70	66	50	80	60	65	60	70	75	60	50	60	50	40	41	40	80	160	50	120	40	81	50	60	60	70	50	65	75	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	5973	46	57	16	66	58	42	70	52	92	100	111	53	80	45	65	70	50	65	47	62	55	60	40	90	40	40	60	50	58	80	125	71	62	102	68	70	93	92	65	68	53	93	83	53	88	44	56	62	54	58	103	65	80	91	110	100	39	113	135	70	66	50	80	60	65	60	70	75	53	50	60	47	37	41	36	79	157	50	120	40	79	50	55	60	66	49	60	72	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	5704	72	84	11	23	53	26	53	43	44	48	106	165	127	30	204	231	11	32	20	32	116	18	30	37	14	23	31	21	189	39	49	43	23	24	17	61	26	38	28	21	33	57	65	30	38	23	60	18	35	35	34	18	59	48	53	29	249	61	40	29	19	24	23	23	31	29	25	49	20	24	19	20	14	145	28	56	43	57	22	23	107	14	87	23	182	17	34	62	172	959	10	0	66					
14	Число погашенных неиспользованных открепительных удостоверений	155	9	13	4	3	2	3	2	3	0	0	4	12	0	0	0	0	0	5	3	3	0	0	0	0	0	0	0	0	2	0	0	1	0	3	2	5	3	3	0	0	0	0	2	2	2	6	4	3	1	2	2	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	0	3	3	0	4	1	3	0	0	0	2	0	5	0	4	1	5	3	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	627	5	8	1	2	3	4	10	11	11	10	4	1	10	1	8	8	4	8	4	8	6	9	2	10	8	3	7	9	4	8	40	3	13	2	10	3	7	13	13	4	7	13	11	5	6	3	2	10	7	2	15	2	12	8	7	9	1	8	12	5	9	8	10	8	7	7	5	7	3	2	9	5	4	0	3	2	18	14	12	4	10	7	2	5	6	6	6	8	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	18126	216	171	45	127	212	171	243	208	200	223	305	224	254	157	241	256	231	204	174	194	177	143	83	240	142	128	164	142	220	313	61	276	247	244	226	209	241	294	267	217	237	280	197	185	221	160	248	201	165	63	260	251	138	176	216	174	353	279	297	264	173	138	212	167	198	193	209	231	132	81	218	226	150	338	92	252	291	197	248	137	208	182	244	167	244	89	170	179	93	136	25	22	29					
		13.17%	10.70%	9.86%	15.96%	7.88%	9.70%	9.64%	15.61%	13.02%	12.55%	13.82%	15.88%	18.21%	13.77%	13.98%	14.77%	15.22%	13.23%	13.43%	14.66%	11.07%	12.17%	14.53%	11.84%	13.19%	11.15%	9.84%	13.66%	15.19%	12.76%	18.10%	2.63%	12.79%	15.41%	13.16%	18.20%	14.03%	15.92%	18.43%	12.70%	15.46%	18.04%	18.19%	11.60%	14.19%	14.48%	10.82%	16.00%	14.16%	12.58%	5.33%	16.13%	17.07%	7.83%	11.65%	13.74%	13.77%	12.98%	17.87%	16.05%	16.60%	11.86%	10.76%	12.31%	12.72%	14.90%	12.06%	11.35%	13.28%	13.69%	7.03%	13.29%	15.79%	16.36%	10.72%	8.06%	14.43%	17.56%	13.36%	12.68%	12.31%	13.79%	15.04%	12.40%	16.12%	13.86%	9.58%	14.69%	11.31%	16.73%	9.27%	17.12%	9.78%	13.36%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	15866	208	139	39	137	212	172	219	217	279	239	294	165	312	146	242	260	110	238	126	168	233	132	103	90	195	204	199	165	234	231	107	417	172	485	124	194	191	209	211	175	173	140	162	46	207	103	147	167	170	85	231	21	13	149	200	165	328	178	258	226	173	169	101	180	31	103	101	129	180	68	169	151	124	287	80	247	36	182	448	93	222	184	163	23	354	133	162	166	78	72	15	49	31					
		11.53%	10.30%	8.02%	13.83%	8.50%	9.70%	9.70%	14.07%	13.58%	17.51%	14.81%	15.30%	13.41%	16.91%	13.00%	14.83%	15.46%	6.30%	15.67%	10.61%	9.58%	16.02%	13.41%	14.69%	4.95%	15.32%	15.68%	16.57%	17.65%	13.57%	13.36%	4.61%	19.32%	10.73%	26.16%	9.98%	13.02%	12.62%	13.10%	10.03%	12.46%	13.17%	9.10%	9.54%	3.53%	13.56%	6.96%	9.48%	11.77%	12.96%	7.19%	14.33%	1.43%	0.74%	9.86%	12.72%	13.05%	12.06%	11.40%	13.94%	14.21%	11.86%	13.17%	5.87%	13.71%	2.33%	6.44%	5.48%	7.41%	18.67%	5.90%	10.30%	10.55%	13.52%	9.11%	7.01%	14.15%	2.17%	12.34%	22.90%	8.36%	14.72%	15.21%	8.28%	2.22%	20.10%	14.32%	14.00%	10.49%	14.03%	4.91%	10.27%	21.78%	14.29%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1851	31	15	6	20	28	22	21	35	24	27	42	18	39	18	34	27	10	34	22	16	26	20	0	7	15	17	19	12	29	45	12	36	26	45	26	25	23	25	21	28	25	19	17	6	25	3	18	15	26	12	17	4	27	13	25	23	8	34	36	25	2	21	27	13	2	23	25	12	16	2	3	27	20	14	12	22	11	22	33	2	21	22	24	5	33	21	26	37	11	12	1	1	4					
		1.34%	1.54%	0.87%	2.13%	1.24%	1.28%	1.24%	1.35%	2.19%	1.51%	1.67%	2.19%	1.46%	2.11%	1.60%	2.08%	1.61%	0.57%	2.24%	1.85%	0.91%	1.79%	2.03%	0.00%	0.38%	1.18%	1.31%	1.58%	1.28%	1.68%	2.60%	0.52%	1.67%	1.62%	2.43%	2.09%	1.68%	1.52%	1.57%	0.99%	1.99%	1.90%	1.23%	1.00%	0.46%	1.64%	0.20%	1.16%	1.06%	1.98%	1.01%	1.05%	0.27%	1.53%	0.86%	1.59%	1.82%	0.29%	2.18%	1.94%	1.57%	0.14%	1.64%	1.57%	0.99%	0.15%	1.44%	1.36%	0.69%	1.66%	0.17%	0.18%	1.89%	2.18%	0.44%	1.05%	1.26%	0.66%	1.49%	1.69%	0.18%	1.39%	1.82%	1.22%	0.48%	1.87%	2.26%	2.25%	2.34%	1.98%	0.82%	0.68%	0.44%	1.84%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	29928	356	281	60	253	469	298	402	308	371	437	482	308	439	242	313	322	279	349	311	434	328	249	160	336	239	251	250	181	381	532	459	424	320	452	382	444	378	385	412	336	389	344	376	288	314	327	321	308	278	308	265	338	399	278	378	237	518	465	447	442	377	226	381	299	346	354	433	370	224	295	279	256	208	663	152	356	371	324	348	218	303	279	323	232	397	189	260	461	123	126	46	36	40					
		21.74%	17.63%	16.21%	21.28%	15.70%	21.45%	16.80%	25.82%	19.27%	23.29%	27.08%	25.09%	25.04%	23.79%	21.55%	19.18%	19.14%	15.98%	22.98%	26.20%	24.76%	22.56%	25.30%	22.82%	18.47%	18.77%	19.29%	20.82%	19.36%	22.10%	30.77%	19.78%	19.65%	19.96%	24.38%	30.76%	29.80%	24.97%	24.14%	19.59%	23.93%	29.60%	22.35%	22.13%	22.09%	20.58%	22.11%	20.71%	21.71%	21.19%	26.04%	16.44%	22.99%	22.64%	18.40%	24.05%	18.75%	19.04%	29.79%	24.15%	27.80%	25.84%	17.61%	22.13%	22.77%	26.03%	22.13%	23.51%	21.26%	23.24%	25.59%	17.01%	17.89%	22.68%	21.03%	13.32%	20.39%	22.39%	21.97%	17.79%	19.59%	20.09%	23.06%	16.41%	22.39%	22.54%	20.34%	22.47%	29.12%	22.12%	8.59%	31.51%	16.00%	18.43%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	5197	67	104	1	46	107	70	77	72	78	112	154	61	104	55	70	86	7	66	72	57	76	33	3	20	30	32	75	37	89	114	41	62	71	63	54	75	97	97	24	94	91	92	81	22	71	20	65	84	68	31	104	7	2	72	77	62	10	97	108	75	2	64	19	32	10	42	24	17	33	21	16	94	70	23	31	76	17	54	85	24	68	20	78	12	70	65	65	98	14	37	6	8	10					
		3.78%	3.32%	5.99%	0.35%	2.86%	4.89%	3.95%	4.95%	4.51%	4.90%	6.94%	8.02%	4.96%	5.64%	4.90%	4.29%	5.11%	0.40%	4.34%	6.07%	3.25%	5.23%	3.35%	0.43%	1.10%	2.36%	2.46%	6.24%	3.96%	5.16%	6.59%	1.77%	2.87%	4.43%	3.40%	4.35%	5.03%	6.41%	6.08%	1.14%	6.70%	6.93%	5.98%	4.77%	1.69%	4.65%	1.35%	4.19%	5.92%	5.18%	2.62%	6.45%	0.48%	0.11%	4.77%	4.90%	4.91%	0.37%	6.21%	5.83%	4.72%	0.14%	4.99%	1.10%	2.44%	0.75%	2.63%	1.30%	0.98%	3.42%	1.82%	0.98%	6.57%	7.63%	0.73%	2.72%	4.35%	1.03%	3.66%	4.35%	2.16%	4.51%	1.65%	3.96%	1.16%	3.98%	6.99%	5.62%	6.19%	2.52%	2.52%	4.11%	3.56%	4.61%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	63573	1100	996	111	1002	1124	987	550	721	605	549	570	435	657	481	698	687	1077	581	458	868	585	395	298	1095	619	641	465	379	739	450	1544	861	741	526	409	501	550	529	1120	511	367	639	835	721	663	826	724	622	571	662	685	816	1151	784	635	573	1456	454	658	518	730	632	939	582	717	872	1025	952	364	665	942	657	318	1766	738	761	903	654	739	638	657	484	1086	581	618	401	444	612	216	1062	47	97	99					
		46.19%	54.48%	57.44%	39.36%	62.20%	51.42%	55.64%	35.32%	45.12%	37.98%	34.01%	29.67%	35.37%	35.61%	42.83%	42.77%	40.84%	61.68%	38.25%	38.58%	49.52%	40.23%	40.14%	42.51%	60.20%	48.63%	49.27%	38.72%	40.53%	42.87%	26.03%	66.55%	39.90%	46.23%	28.37%	32.93%	33.62%	36.33%	33.17%	53.26%	36.40%	27.93%	41.52%	49.15%	55.29%	43.45%	55.85%	46.71%	43.83%	43.52%	55.96%	42.49%	55.51%	65.32%	51.89%	40.39%	45.33%	53.53%	29.08%	35.55%	32.58%	50.03%	49.26%	54.53%	44.33%	53.95%	54.50%	55.65%	54.71%	37.76%	57.68%	57.44%	45.91%	34.68%	56.03%	64.68%	43.59%	54.50%	44.34%	37.78%	57.32%	43.57%	40.00%	55.18%	56.08%	35.09%	43.16%	38.38%	38.66%	38.85%	72.39%	32.19%	43.11%	45.62%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	967	18	10	6	8	17	11	15	10	12	7	34	7	18	14	14	19	6	15	7	9	6	4	0	6	8	2	9	5	14	14	6	30	6	16	4	15	15	21	17	15	15	12	8	5	9	2	8	9	10	9	29	3	14	11	8	8	6	23	15	21	2	11	15	7	1	9	4	9	6	1	3	6	10	7	5	15	7	16	17	1	16	5	26	5	10	20	11	13	3	6	0	5	0					
		0.70%	0.89%	0.58%	2.13%	0.50%	0.78%	0.62%	0.96%	0.63%	0.75%	0.43%	1.77%	0.57%	0.98%	1.25%	0.86%	1.13%	0.34%	0.99%	0.59%	0.51%	0.41%	0.41%	0.00%	0.33%	0.63%	0.15%	0.75%	0.53%	0.81%	0.81%	0.26%	1.39%	0.37%	0.86%	0.32%	1.01%	0.99%	1.32%	0.81%	1.07%	1.14%	0.78%	0.47%	0.38%	0.59%	0.14%	0.52%	0.63%	0.76%	0.76%	1.80%	0.20%	0.79%	0.73%	0.51%	0.63%	0.22%	1.47%	0.81%	1.32%	0.14%	0.86%	0.87%	0.53%	0.08%	0.56%	0.22%	0.52%	0.62%	0.09%	0.18%	0.42%	1.09%	0.22%	0.44%	0.86%	0.42%	1.08%	0.87%	0.09%	1.06%	0.41%	1.32%	0.48%	0.57%	2.15%	0.95%	0.82%	0.54%	0.41%	0.00%	2.22%	0.00%					
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
