Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																
Дата голосования: 18.09.2016																																																																																																
																																																																																																
Наименование Избирательной комиссии:    Сызранская городская																																																																																																
																																																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																
																																																																																																
		Сумма	УИК №3701	УИК №3702	УИК №3703	УИК №3704	УИК №3705	УИК №3706	УИК №3707	УИК №3708	УИК №3709	УИК №3710	УИК №3711	УИК №3712	УИК №3713	УИК №3714	УИК №3715	УИК №3716	УИК №3717	УИК №3718	УИК №3719	УИК №3720	УИК №3721	УИК №3722	УИК №3723	УИК №3724	УИК №3725	УИК №3726	УИК №3727	УИК №3728	УИК №3729	УИК №3730	УИК №3731	УИК №3732	УИК №3733	УИК №3734	УИК №3735	УИК №3736	УИК №3737	УИК №3738	УИК №3739	УИК №3740	УИК №3741	УИК №3742	УИК №3743	УИК №3744	УИК №3745	УИК №3746	УИК №3747	УИК №3748	УИК №3749	УИК №3750	УИК №3751	УИК №3752	УИК №3753	УИК №3754	УИК №3755	УИК №3756	УИК №3757	УИК №3758	УИК №3759	УИК №3760	УИК №3761	УИК №3762	УИК №3763	УИК №3764	УИК №3765	УИК №3766	УИК №3767	УИК №3768	УИК №3769	УИК №3770	УИК №3771	УИК №3772	УИК №3773	УИК №3774	УИК №3775	УИК №3776	УИК №3777	УИК №3778	УИК №3779	УИК №3780	УИК №3781	УИК №3782	УИК №3783	УИК №3784	УИК №3785									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1670	10	15	20	10	15	10	15	20	20	20	15	15	30	15	15	45	40	40	40	30	30	40	30	21	40	40	35	20	35	14	30	13	20	25	10	15	25	15	10	15	15	15	30	20	25	25	17	20	15	30	35	20	25	20	15	25	5	20	20	0	0	25	15	15	10	20	5	50	20	30	15	10	15	15	10	20	10	10	10	15	25	5	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1356	10	5	14	10	12	6	15	13	17	20	15	11	18	15	15	38	38	37	35	27	21	34	22	21	34	35	25	19	32	11	19	11	20	17	7	11	17	13	10	13	14	11	26	17	18	19	17	19	13	30	29	15	21	17	13	15	1	17	19	0	0	16	15	12	8	12	5	42	18	29	11	8	13	10	2	15	4	8	3	10	19	2	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	979	8	12	4	9	9	1	8	10	3	0	13	6	15	7	9	61	65	12	4	3	10	16	7	13	10	49	14	18	9	14	16	5	4	10	14	10	7	10	5	3	8	7	15	12	14	7	5	15	3	7	46	7	0	27	9	3	2	8	9	22	0	8	9	17	1	8	77	14	6	4	4	1	2	12	9	16	19	10	4	3	11	1	0	14	0									
14	Число погашенных неиспользованных открепительных удостоверений	314	0	10	6	0	3	4	0	7	3	0	0	4	12	0	0	7	2	3	5	3	9	6	8	0	6	5	10	1	3	3	11	2	0	8	3	4	8	2	0	2	1	4	4	3	7	6	0	1	2	0	6	5	4	3	2	10	4	3	1	0	0	9	0	3	2	8	0	8	2	1	4	2	2	5	8	5	6	2	7	5	6	3	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	152	0	1	1	1	6	0	1	1	1	0	4	0	4	4	2	3	1	1	4	2	4	3	1	2	3	2	3	1	3	2	1	0	2	1	1	4	0	3	4	0	5	0	5	1	6	3	3	1	2	1	1	2	0	1	1	1	0	2	2	0	0	2	1	6	0	0	0	5	7	0	2	3	0	2	1	2	1	1	1	1	2	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	811	0	6	10	5	4	7	13	7	9	10	14	6	4	7	8	15	21	15	14	18	17	28	13	12	19	22	10	7	9	9	9	6	4	14	2	2	13	4	17	5	6	3	17	16	12	9	6	13	7	17	16	5	6	12	5	12	2	12	5	1	0	11	5	7	4	5	2	32	41	14	10	10	2	10	4	11	4	5	7	9	11	2	6	2	0									
		1.27%	0.00%	0.56%	1.27%	1.58%	0.55%	1.44%	1.51%	1.03%	0.83%	1.36%	1.52%	1.03%	0.38%	0.97%	1.13%	1.34%	1.56%	1.34%	1.01%	1.91%	1.33%	2.13%	1.29%	0.95%	1.70%	1.53%	0.99%	1.06%	0.72%	1.13%	1.01%	1.83%	0.61%	1.77%	0.67%	0.40%	1.66%	0.65%	2.58%	1.25%	0.79%	0.52%	1.93%	2.49%	1.46%	1.21%	1.00%	1.44%	1.52%	1.50%	1.35%	0.88%	0.96%	1.29%	1.02%	1.45%	0.98%	1.33%	0.85%	0.25%	0.00%	1.53%	0.64%	0.95%	0.82%	0.84%	0.36%	2.11%	2.45%	1.34%	1.41%	1.42%	0.27%	1.81%	0.89%	1.86%	0.65%	1.31%	1.88%	2.09%	1.21%	0.70%	1.57%	2.41%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	2123	3	41	23	4	27	20	37	23	40	27	21	17	37	22	21	40	39	42	35	29	42	28	35	48	40	44	48	13	47	24	37	6	28	24	9	18	30	17	22	9	28	22	25	18	18	33	23	38	8	55	48	19	19	39	11	31	8	33	21	6	2	25	20	25	32	19	5	58	52	36	14	24	33	15	27	20	6	17	7	17	25	4	12	8	0									
		3.34%	1.54%	3.81%	2.92%	1.26%	3.68%	4.11%	4.30%	3.39%	3.67%	3.68%	2.28%	2.91%	3.48%	3.04%	2.96%	3.56%	2.89%	3.76%	2.53%	3.09%	3.29%	2.13%	3.47%	3.82%	3.58%	3.05%	4.79%	1.97%	3.76%	3.02%	4.14%	1.83%	4.29%	3.04%	3.01%	3.59%	3.83%	2.77%	3.34%	2.26%	3.67%	3.84%	2.83%	2.80%	2.19%	4.44%	3.85%	4.20%	1.74%	4.87%	4.04%	3.34%	3.04%	4.20%	2.24%	3.74%	3.90%	3.65%	3.58%	1.49%	3.28%	3.47%	2.56%	3.40%	6.58%	3.21%	0.89%	3.82%	3.10%	3.45%	1.98%	3.41%	4.45%	2.72%	6.01%	3.38%	0.97%	4.44%	1.88%	3.95%	2.74%	1.39%	3.15%	9.64%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1169	3	21	15	4	17	10	8	8	21	16	29	11	16	10	10	27	24	25	22	21	30	26	16	21	17	41	24	22	18	17	11	2	10	14	3	8	11	11	13	8	12	12	23	11	22	25	15	13	13	26	19	1	16	27	4	21	2	13	16	9	0	10	14	8	8	5	7	26	19	22	10	17	9	8	10	6	3	3	4	10	14	4	7	3	1									
		1.84%	1.54%	1.95%	1.90%	1.26%	2.32%	2.05%	0.93%	1.18%	1.93%	2.18%	3.14%	1.88%	1.51%	1.38%	1.41%	2.40%	1.78%	2.24%	1.59%	2.23%	2.35%	1.98%	1.58%	1.67%	1.52%	2.84%	2.39%	3.33%	1.44%	2.14%	1.23%	0.61%	1.53%	1.77%	1.00%	1.59%	1.40%	1.79%	1.98%	2.01%	1.57%	2.09%	2.60%	1.71%	2.68%	3.36%	2.51%	1.44%	2.83%	2.30%	1.60%	0.18%	2.56%	2.91%	0.81%	2.54%	0.98%	1.44%	2.73%	2.23%	0.00%	1.39%	1.79%	1.09%	1.65%	0.84%	1.25%	1.71%	1.13%	2.11%	1.41%	2.42%	1.21%	1.45%	2.23%	1.02%	0.48%	0.78%	1.07%	2.33%	1.54%	1.39%	1.84%	3.61%	1.56%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	26479	88	474	363	169	356	196	312	263	379	283	366	243	423	306	278	448	515	428	560	359	441	493	367	467	395	540	352	219	554	297	441	137	290	364	133	221	379	213	220	199	325	229	330	246	318	310	240	368	197	413	466	234	279	352	237	382	96	404	242	252	58	313	361	372	222	261	351	514	815	425	369	295	320	279	200	252	352	177	156	184	376	155	153	36	32									
		41.63%	45.13%	44.09%	46.07%	53.31%	48.57%	40.25%	36.28%	38.79%	34.77%	38.61%	39.65%	41.54%	39.79%	42.32%	39.15%	39.89%	38.18%	38.28%	40.52%	38.19%	34.51%	37.49%	36.34%	37.12%	35.39%	37.45%	35.09%	33.13%	44.28%	37.41%	49.33%	41.77%	44.48%	46.13%	44.48%	44.02%	48.34%	34.75%	33.43%	49.87%	42.65%	39.97%	37.37%	38.26%	38.69%	41.67%	40.13%	40.71%	42.83%	36.55%	39.23%	41.12%	44.57%	37.89%	48.27%	46.14%	46.83%	44.74%	41.30%	62.38%	95.08%	43.47%	46.22%	50.61%	45.68%	44.09%	62.79%	33.88%	48.63%	40.71%	52.19%	41.96%	43.18%	50.64%	44.54%	42.64%	56.87%	46.21%	41.82%	42.79%	41.23%	54.01%	40.16%	43.37%	50.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	587	1	8	10	1	5	9	7	6	4	7	9	5	9	4	9	16	13	14	8	16	13	13	18	16	14	16	11	8	8	6	4	3	4	9	2	4	10	8	4	1	11	5	15	11	2	5	6	3	7	11	7	5	4	9	4	6	1	11	3	5	0	5	4	7	5	4	3	8	29	7	5	4	4	3	5	7	10	0	2	3	3	2	1	1	1									
		0.92%	0.51%	0.74%	1.27%	0.32%	0.68%	1.85%	0.81%	0.88%	0.37%	0.95%	0.98%	0.85%	0.85%	0.55%	1.27%	1.42%	0.96%	1.25%	0.58%	1.70%	1.02%	0.99%	1.78%	1.27%	1.25%	1.11%	1.10%	1.21%	0.64%	0.76%	0.45%	0.91%	0.61%	1.14%	0.67%	0.80%	1.28%	1.31%	0.61%	0.25%	1.44%	0.87%	1.70%	1.71%	0.24%	0.67%	1.00%	0.33%	1.52%	0.97%	0.59%	0.88%	0.64%	0.97%	0.81%	0.72%	0.49%	1.22%	0.51%	1.24%	0.00%	0.69%	0.51%	0.95%	1.03%	0.68%	0.54%	0.53%	1.73%	0.67%	0.71%	0.57%	0.54%	0.54%	1.11%	1.18%	1.62%	0.00%	0.54%	0.70%	0.33%	0.70%	0.26%	1.20%	1.56%									
24	"6. Политическая партия ""Гражданская Платформа"""	181	0	2	3	0	2	1	5	1	9	3	13	0	3	2	3	1	2	1	5	1	2	3	2	0	2	0	2	0	4	3	1	0	3	4	0	1	0	6	5	0	2	1	6	2	10	2	2	2	2	1	5	1	1	1	1	2	0	2	2	1	0	1	0	0	2	2	2	4	7	2	1	3	1	0	3	0	0	3	3	0	2	1	1	1	1									
		0.28%	0.00%	0.19%	0.38%	0.00%	0.27%	0.21%	0.58%	0.15%	0.83%	0.41%	1.41%	0.00%	0.28%	0.28%	0.42%	0.09%	0.15%	0.09%	0.36%	0.11%	0.16%	0.23%	0.20%	0.00%	0.18%	0.00%	0.20%	0.00%	0.32%	0.38%	0.11%	0.00%	0.46%	0.51%	0.00%	0.20%	0.00%	0.98%	0.76%	0.00%	0.26%	0.17%	0.68%	0.31%	1.22%	0.27%	0.33%	0.22%	0.43%	0.09%	0.42%	0.18%	0.16%	0.11%	0.20%	0.24%	0.00%	0.22%	0.34%	0.25%	0.00%	0.14%	0.00%	0.00%	0.41%	0.34%	0.36%	0.26%	0.42%	0.19%	0.14%	0.43%	0.13%	0.00%	0.67%	0.00%	0.00%	0.78%	0.80%	0.00%	0.22%	0.35%	0.26%	1.20%	1.56%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	12259	52	168	156	53	146	108	196	146	191	152	193	160	201	126	131	200	254	235	276	182	241	305	215	221	200	241	203	146	241	144	153	83	133	162	79	115	139	101	110	98	137	97	168	134	154	125	100	172	115	206	211	101	96	173	99	148	39	197	140	29	1	170	162	178	77	122	101	286	303	163	140	129	114	88	75	123	142	80	104	86	158	45	81	11	23									
		19.27%	26.67%	15.63%	19.80%	16.72%	19.92%	22.18%	22.79%	21.53%	17.52%	20.74%	20.91%	27.35%	18.91%	17.43%	18.45%	17.81%	18.83%	21.02%	19.97%	19.36%	18.86%	23.19%	21.29%	17.57%	17.92%	16.71%	20.24%	22.09%	19.26%	18.14%	17.11%	25.30%	20.40%	20.53%	26.42%	22.91%	17.73%	16.48%	16.72%	24.56%	17.98%	16.93%	19.03%	20.84%	18.73%	16.80%	16.72%	19.03%	25.00%	18.23%	17.76%	17.75%	15.34%	18.62%	20.16%	17.87%	19.02%	21.82%	23.89%	7.18%	1.64%	23.61%	20.74%	24.22%	15.84%	20.61%	18.07%	18.85%	18.08%	15.61%	19.80%	18.35%	15.38%	15.97%	16.70%	20.81%	22.94%	20.89%	27.88%	20.00%	17.32%	15.68%	21.26%	13.25%	35.94%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	498	0	7	7	1	5	1	4	3	8	9	11	6	9	14	6	18	6	7	8	9	12	15	4	7	5	11	7	12	6	5	8	7	5	4	2	4	5	12	10	0	7	5	7	5	15	5	7	10	3	5	13	12	4	8	0	5	0	4	3	1	0	4	4	5	3	3	4	11	8	10	2	2	5	4	1	2	6	5	2	3	9	4	1	1	0									
		0.78%	0.00%	0.65%	0.89%	0.32%	0.68%	0.21%	0.47%	0.44%	0.73%	1.23%	1.19%	1.03%	0.85%	1.94%	0.85%	1.60%	0.44%	0.63%	0.58%	0.96%	0.94%	1.14%	0.40%	0.56%	0.45%	0.76%	0.70%	1.82%	0.48%	0.63%	0.89%	2.13%	0.77%	0.51%	0.67%	0.80%	0.64%	1.96%	1.52%	0.00%	0.92%	0.87%	0.79%	0.78%	1.82%	0.67%	1.17%	1.11%	0.65%	0.44%	1.09%	2.11%	0.64%	0.86%	0.00%	0.60%	0.00%	0.44%	0.51%	0.25%	0.00%	0.56%	0.51%	0.68%	0.62%	0.51%	0.72%	0.73%	0.48%	0.96%	0.28%	0.28%	0.67%	0.73%	0.22%	0.34%	0.97%	1.31%	0.54%	0.70%	0.99%	1.39%	0.26%	1.20%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	2883	3	24	24	4	35	16	25	31	81	25	28	15	40	20	49	57	95	55	68	37	78	67	53	90	81	94	66	33	52	45	38	14	15	24	9	20	26	40	42	10	32	27	39	39	43	38	28	28	15	73	63	27	48	35	14	21	2	36	16	0	0	22	25	8	19	30	4	149	79	64	14	35	31	15	17	14	9	8	19	9	39	4	15	0	1									
		4.53%	1.54%	2.23%	3.05%	1.26%	4.77%	3.29%	2.91%	4.57%	7.43%	3.41%	3.03%	2.56%	3.76%	2.77%	6.90%	5.08%	7.04%	4.92%	4.92%	3.94%	6.10%	5.10%	5.25%	7.15%	7.26%	6.52%	6.58%	4.99%	4.16%	5.67%	4.25%	4.27%	2.30%	3.04%	3.01%	3.98%	3.32%	6.53%	6.38%	2.51%	4.20%	4.71%	4.42%	6.07%	5.23%	5.11%	4.68%	3.10%	3.26%	6.46%	5.30%	4.75%	7.67%	3.77%	2.85%	2.54%	0.98%	3.99%	2.73%	0.00%	0.00%	3.06%	3.20%	1.09%	3.91%	5.07%	0.72%	9.82%	4.71%	6.13%	1.98%	4.98%	4.18%	2.72%	3.79%	2.37%	1.45%	2.09%	5.09%	2.09%	4.28%	1.39%	3.94%	0.00%	1.56%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	83	1	1	1	0	1	2	2	1	2	1	1	1	1	0	0	1	0	0	1	2	2	3	1	3	3	2	2	1	0	2	0	0	0	1	0	3	2	0	1	0	0	0	1	2	2	3	0	1	0	1	0	0	1	0	0	1	0	4	0	1	0	0	0	3	0	0	1	3	4	0	2	0	1	1	1	0	1	0	1	0	2	0	1	0	0									
		0.13%	0.51%	0.09%	0.13%	0.00%	0.14%	0.41%	0.23%	0.15%	0.18%	0.14%	0.11%	0.17%	0.09%	0.00%	0.00%	0.09%	0.00%	0.00%	0.07%	0.21%	0.16%	0.23%	0.10%	0.24%	0.27%	0.14%	0.20%	0.15%	0.00%	0.25%	0.00%	0.00%	0.00%	0.13%	0.00%	0.60%	0.26%	0.00%	0.15%	0.00%	0.00%	0.00%	0.11%	0.31%	0.24%	0.40%	0.00%	0.11%	0.00%	0.09%	0.00%	0.00%	0.16%	0.00%	0.00%	0.12%	0.00%	0.44%	0.00%	0.25%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.18%	0.20%	0.24%	0.00%	0.28%	0.00%	0.13%	0.18%	0.22%	0.00%	0.16%	0.00%	0.27%	0.00%	0.22%	0.00%	0.26%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	835	1	11	9	0	6	9	6	6	21	9	15	5	19	7	14	16	19	17	25	14	12	16	7	19	20	26	17	13	12	16	6	4	6	12	3	4	7	16	27	1	9	5	22	16	16	15	13	10	3	8	17	8	4	19	5	7	4	10	3	2	0	3	12	10	1	8	2	20	26	13	12	7	4	2	9	8	7	2	2	4	10	2	1	1	0									
		1.31%	0.51%	1.02%	1.14%	0.00%	0.82%	1.85%	0.70%	0.88%	1.93%	1.23%	1.63%	0.85%	1.79%	0.97%	1.97%	1.42%	1.41%	1.52%	1.81%	1.49%	0.94%	1.22%	0.69%	1.51%	1.79%	1.80%	1.69%	1.97%	0.96%	2.02%	0.67%	1.22%	0.92%	1.52%	1.00%	0.80%	0.89%	2.61%	4.10%	0.25%	1.18%	0.87%	2.49%	2.49%	1.95%	2.02%	2.17%	1.11%	0.65%	0.71%	1.43%	1.41%	0.64%	2.05%	1.02%	0.85%	1.95%	1.11%	0.51%	0.50%	0.00%	0.42%	1.54%	1.36%	0.21%	1.35%	0.36%	1.32%	1.55%	1.25%	1.70%	0.99%	0.54%	0.36%	2.00%	1.35%	1.13%	0.52%	0.54%	0.93%	1.10%	0.70%	0.26%	1.20%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	9450	18	202	90	57	85	62	151	112	182	110	130	63	184	116	99	191	217	156	228	154	188	179	175	184	185	235	157	106	189	124	116	44	93	82	34	65	104	127	124	42	133	111	143	94	133	94	100	159	57	184	208	97	98	158	73	102	30	119	84	19	0	101	115	70	59	101	21	264	169	190	77	92	144	80	67	91	55	52	41	56	156	39	50	2	2									
		14.86%	9.23%	18.79%	11.42%	17.98%	11.60%	12.73%	17.56%	16.52%	16.70%	15.01%	14.08%	10.77%	17.31%	16.04%	13.94%	17.01%	16.09%	13.95%	16.50%	16.38%	14.71%	13.61%	17.33%	14.63%	16.58%	16.30%	15.65%	16.04%	15.11%	15.62%	12.98%	13.41%	14.26%	10.39%	11.37%	12.95%	13.27%	20.72%	18.84%	10.53%	17.45%	19.37%	16.19%	14.62%	16.18%	12.63%	16.72%	17.59%	12.39%	16.28%	17.51%	17.05%	15.65%	17.01%	14.87%	12.32%	14.63%	13.18%	14.33%	4.70%	0.00%	14.03%	14.72%	9.52%	12.14%	17.06%	3.76%	17.40%	10.08%	18.20%	10.89%	13.09%	19.43%	14.52%	14.92%	15.40%	8.89%	13.58%	10.99%	13.02%	17.11%	13.59%	13.12%	2.41%	3.13%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	469	3	8	3	2	8	3	8	3	6	3	4	4	9	7	3	5	11	13	13	9	10	10	11	8	11	11	5	7	8	3	5	1	5	8	3	3	9	4	6	4	3	8	9	2	4	1	5	11	4	7	7	8	7	9	0	3	2	1	1	2	0	3	3	3	4	1	12	18	17	14	4	4	9	3	1	4	1	1	1	3	5	1	5	1	0									
		0.74%	1.54%	0.74%	0.38%	0.63%	1.09%	0.62%	0.93%	0.44%	0.55%	0.41%	0.43%	0.68%	0.85%	0.97%	0.42%	0.45%	0.82%	1.16%	0.94%	0.96%	0.78%	0.76%	1.09%	0.64%	0.99%	0.76%	0.50%	1.06%	0.64%	0.38%	0.56%	0.30%	0.77%	1.01%	1.00%	0.60%	1.15%	0.65%	0.91%	1.00%	0.39%	1.40%	1.02%	0.31%	0.49%	0.13%	0.84%	1.22%	0.87%	0.62%	0.59%	1.41%	1.12%	0.97%	0.00%	0.36%	0.98%	0.11%	0.17%	0.50%	0.00%	0.42%	0.38%	0.41%	0.82%	0.17%	2.15%	1.19%	1.01%	1.34%	0.57%	0.57%	1.21%	0.54%	0.22%	0.68%	0.16%	0.26%	0.27%	0.70%	0.55%	0.35%	1.31%	1.20%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3589	14	56	41	8	22	23	52	48	94	61	62	21	73	51	59	61	90	72	86	60	75	86	54	113	89	98	66	48	70	64	28	12	31	43	9	19	23	42	34	10	32	42	59	36	56	43	32	51	17	75	59	39	26	62	22	64	7	37	26	5	0	18	27	24	29	22	20	82	58	59	25	55	49	36	17	24	12	18	13	29	71	9	26	8	0									
