Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																															
Дата голосования: 07.12.2003 0:00:00																																																																															
																																																																															
Наименование Избирательной комиссии:    Петрозаводская городская №1																																																																															
																																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																															
																																																																															
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88					
18	"1. ""ЕДИНЕНИЕ"""	378	4	6	7	2	1	5	4	6	4	4	8	3	1	4	2	6	6	11	0	3	6	3	2	5	7	4	5	4	8	4	9	4	4	3	2	8	3	3	3	3	9	8	6	4	6	3	3	4	6	12	7	8	2	6	6	9	6	3	6	5	14	2	5	6	9	4	6	8	8	3	5	12					
		0.57%	0.84%	1.72%	0.80%	0.49%	0.21%	0.40%	0.51%	0.93%	0.47%	0.31%	0.79%	0.37%	0.16%	0.46%	0.32%	0.59%	0.75%	1.23%	0.0%	0.32%	0.85%	0.25%	0.24%	0.62%	0.74%	0.41%	0.62%	0.48%	0.85%	0.41%	1.06%	0.42%	0.50%	0.31%	0.21%	1.05%	0.33%	0.39%	0.34%	0.31%	0.82%	0.85%	0.60%	0.44%	0.79%	0.29%	0.26%	0.36%	0.56%	0.98%	0.73%	0.8%	0.18%	0.73%	0.58%	1.04%	0.53%	0.26%	0.56%	0.52%	1.37%	0.18%	0.43%	0.57%	0.83%	0.36%	0.66%	0.83%	0.74%	0.29%	0.53%	1.03%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	5530	24	11	34	42	40	114	54	66	67	91	90	71	43	79	59	122	47	57	92	94	42	132	109	71	68	74	67	55	76	67	73	46	76	74	63	52	94	62	83	72	74	50	87	66	82	75	120	117	111	116	89	61	96	75	81	78	85	79	91	65	76	80	107	75	97	104	68	69	83	87	88	145					
		8.36%	5.07%	3.16%	3.89%	10.29%	8.77%	9.15%	6.98%	10.26%	7.98%	7.16%	8.98%	8.80%	6.90%	9.25%	9.51%	12.05%	5.90%	6.39%	9.33%	10.05%	5.96%	11.36%	13.10%	8.90%	7.25%	7.64%	8.40%	6.67%	8.14%	6.91%	8.59%	4.85%	9.52%	7.86%	6.76%	6.86%	10.46%	8.14%	9.65%	7.45%	6.82%	5.37%	8.74%	7.31%	10.80%	7.32%	10.77%	10.77%	10.46%	9.50%	9.31%	6.1%	9.10%	9.19%	7.84%	9.04%	7.56%	6.96%	8.51%	6.86%	7.44%	7.55%	9.24%	7.21%	8.98%	9.61%	7.54%	7.22%	7.74%	8.65%	9.49%	12.5%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1855	13	15	23	9	10	33	26	19	24	19	41	26	26	21	10	13	30	31	24	21	18	16	32	27	28	23	23	25	34	26	22	22	15	24	19	35	35	26	36	45	37	24	37	43	31	31	20	19	29	37	17	31	33	33	26	30	34	19	13	33	19	38	38	24	24	32	21	27	30	26	16	18					
		2.80%	2.74%	4.31%	2.63%	2.20%	2.19%	2.65%	3.36%	2.95%	2.86%	1.49%	4.09%	3.22%	4.17%	2.45%	1.61%	1.28%	3.76%	3.47%	2.43%	2.24%	2.55%	1.37%	3.84%	3.38%	2.98%	2.37%	2.88%	3.03%	3.64%	2.68%	2.59%	2.32%	1.87%	2.55%	2.04%	4.61%	3.89%	3.41%	4.18%	4.65%	3.41%	2.57%	3.71%	4.76%	4.08%	3.02%	1.79%	1.74%	2.73%	3.03%	1.78%	3.1%	3.13%	4.04%	2.51%	3.48%	3.02%	1.67%	1.21%	3.48%	1.86%	3.58%	3.28%	2.30%	2.22%	2.95%	2.33%	2.82%	2.79%	2.58%	1.72%	1.55%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	7590	20	23	30	47	68	148	72	66	75	138	95	90	56	115	74	173	87	115	129	135	75	146	38	54	96	100	94	90	99	96	78	84	62	105	98	73	109	78	91	95	116	92	112	112	79	90	143	107	176	147	109	122	128	99	131	88	138	155	152	111	130	174	175	135	130	151	148	98	132	126	115	152					
		11.48%	4.22%	6.60%	3.44%	11.51%	14.91%	11.88%	9.31%	10.26%	8.93%	10.86%	9.48%	11.16%	8.98%	13.46%	11.93%	17.09%	10.92%	12.90%	13.08%	14.43%	10.65%	12.57%	4.56%	6.77%	10.24%	10.33%	11.79%	10.92%	10.61%	9.90%	9.18%	8.86%	7.76%	11.15%	10.52%	9.63%	12.13%	10.24%	10.58%	9.83%	10.69%	9.88%	11.25%	12.41%	10.40%	8.78%	12.83%	9.85%	16.58%	12.03%	11.41%	12.2%	12.14%	12.13%	12.68%	10.20%	12.28%	13.66%	14.21%	11.72%	12.73%	16.43%	15.12%	12.98%	12.04%	13.95%	16.42%	10.26%	12.31%	12.53%	12.40%	13.10%					
22	"5. ""За Русь Святую"""	209	2	2	5	0	2	4	0	2	1	0	6	2	1	4	2	3	4	0	1	1	4	1	9	6	6	7	4	2	11	4	0	3	3	6	1	4	2	3	2	4	0	3	1	3	3	2	2	2	1	7	1	2	2	4	3	2	3	2	5	2	1	2	5	0	5	3	1	3	6	4	4	1					
		0.31%	0.42%	0.57%	0.57%	0.0%	0.43%	0.32%	0.0%	0.31%	0.11%	0.0%	0.59%	0.24%	0.16%	0.46%	0.32%	0.29%	0.50%	0.0%	0.10%	0.10%	0.56%	0.08%	1.08%	0.75%	0.64%	0.72%	0.50%	0.24%	1.17%	0.41%	0.0%	0.31%	0.37%	0.63%	0.10%	0.52%	0.22%	0.39%	0.23%	0.41%	0.0%	0.32%	0.10%	0.33%	0.39%	0.19%	0.17%	0.18%	0.09%	0.57%	0.10%	0.2%	0.18%	0.49%	0.29%	0.23%	0.26%	0.17%	0.46%	0.21%	0.09%	0.18%	0.43%	0.0%	0.46%	0.27%	0.11%	0.31%	0.55%	0.39%	0.43%	0.08%					
23	"6. ""Объединенная Российская партия ""Русь"""	126	1	1	2	2	1	2	2	0	1	3	3	1	0	0	1	0	1	1	0	1	1	2	3	0	1	2	2	3	3	1	1	3	2	4	5	1	3	1	4	4	4	2	2	2	1	1	2	1	3	3	3	2	4	1	1	0	1	0	2	0	1	1	1	1	3	2	2	2	5	1	2	1					
		0.19%	0.21%	0.28%	0.22%	0.49%	0.21%	0.16%	0.25%	0.0%	0.11%	0.23%	0.29%	0.12%	0.0%	0.0%	0.16%	0.0%	0.12%	0.11%	0.0%	0.10%	0.14%	0.17%	0.36%	0.0%	0.10%	0.20%	0.25%	0.36%	0.32%	0.10%	0.11%	0.31%	0.25%	0.42%	0.53%	0.13%	0.33%	0.13%	0.46%	0.41%	0.36%	0.21%	0.20%	0.22%	0.13%	0.09%	0.17%	0.09%	0.28%	0.24%	0.31%	0.2%	0.37%	0.12%	0.09%	0.0%	0.08%	0.0%	0.18%	0.0%	0.09%	0.09%	0.08%	0.09%	0.27%	0.18%	0.22%	0.20%	0.46%	0.09%	0.21%	0.08%					
24	"7. ""Новый курс - Автомобильная Россия"""	561	7	2	13	6	3	15	4	8	6	16	4	11	3	10	4	16	6	9	6	7	3	11	2	1	10	15	6	9	4	5	10	5	6	3	5	5	8	4	3	4	17	9	9	8	5	9	7	4	8	10	6	8	4	1	10	6	6	10	11	13	14	15	7	12	10	14	9	3	12	10	8	11					
		0.84%	1.47%	0.57%	1.49%	1.47%	0.65%	1.20%	0.51%	1.24%	0.71%	1.25%	0.39%	1.36%	0.48%	1.17%	0.64%	1.58%	0.75%	1.01%	0.60%	0.74%	0.42%	0.94%	0.24%	0.12%	1.06%	1.54%	0.75%	1.09%	0.42%	0.51%	1.17%	0.52%	0.75%	0.31%	0.53%	0.65%	0.89%	0.52%	0.34%	0.41%	1.56%	0.96%	0.90%	0.88%	0.65%	0.87%	0.62%	0.36%	0.75%	0.81%	0.62%	0.8%	0.37%	0.12%	0.96%	0.69%	0.53%	0.88%	1.02%	1.37%	1.37%	1.41%	0.60%	1.15%	0.92%	1.29%	0.99%	0.31%	1.11%	0.99%	0.86%	0.94%					
25	"8. ""Народно-республиканская партия России"""	61	0	0	0	1	1	1	0	0	1	1	0	3	0	2	0	2	0	0	2	0	2	0	4	1	2	2	0	0	1	0	1	0	0	1	0	2	1	1	1	3	1	1	1	0	2	0	2	1	0	1	0	0	0	3	0	0	0	2	0	0	0	0	8	0	1	0	0	1	0	0	0	1					
		0.09%	0.0%	0.0%	0.0%	0.24%	0.21%	0.08%	0.0%	0.0%	0.11%	0.07%	0.0%	0.37%	0.0%	0.23%	0.0%	0.19%	0.0%	0.0%	0.20%	0.0%	0.28%	0.0%	0.48%	0.12%	0.21%	0.20%	0.0%	0.0%	0.10%	0.0%	0.11%	0.0%	0.0%	0.10%	0.0%	0.26%	0.11%	0.13%	0.11%	0.31%	0.09%	0.10%	0.10%	0.0%	0.26%	0.0%	0.17%	0.09%	0.0%	0.08%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.69%	0.0%	0.09%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.08%					
26	"9. ""Российская экологическая партия ""Зеленые"""	342	0	3	5	2	3	3	3	5	8	10	4	6	6	6	5	5	2	2	9	3	2	8	4	0	6	3	3	1	4	4	3	5	10	2	5	3	3	5	5	5	8	3	5	5	6	4	5	8	4	4	1	1	7	5	7	9	8	7	7	4	4	7	8	9	4	6	0	7	5	3	7	3					
		0.51%	0.0%	0.86%	0.57%	0.49%	0.65%	0.24%	0.38%	0.77%	0.95%	0.78%	0.39%	0.74%	0.96%	0.70%	0.80%	0.49%	0.25%	0.22%	0.91%	0.32%	0.28%	0.68%	0.48%	0.0%	0.64%	0.30%	0.37%	0.12%	0.42%	0.41%	0.35%	0.52%	1.25%	0.21%	0.53%	0.39%	0.33%	0.65%	0.58%	0.51%	0.73%	0.32%	0.50%	0.55%	0.79%	0.39%	0.44%	0.73%	0.37%	0.32%	0.10%	0.1%	0.66%	0.61%	0.67%	1.04%	0.71%	0.61%	0.65%	0.42%	0.39%	0.66%	0.69%	0.86%	0.37%	0.55%	0.0%	0.73%	0.46%	0.29%	0.75%	0.25%					
27	"10. ""Аграрная партия России"""	1142	11	7	11	11	6	35	7	12	18	27	14	16	13	20	14	6	14	14	17	12	12	16	16	10	15	12	9	6	22	19	9	14	8	13	10	12	18	18	16	13	21	24	25	21	13	26	28	29	16	17	8	18	14	22	20	8	10	23	16	17	24	11	20	12	17	25	13	22	19	10	20	20					
		1.72%	2.32%	2.01%	1.26%	2.69%	1.31%	2.81%	0.90%	1.86%	2.14%	2.12%	1.39%	1.98%	2.08%	2.34%	2.25%	0.59%	1.75%	1.57%	1.72%	1.28%	1.70%	1.37%	1.92%	1.25%	1.60%	1.23%	1.12%	0.72%	2.35%	1.96%	1.06%	1.47%	1.00%	1.38%	1.07%	1.58%	2.00%	2.36%	1.86%	1.34%	1.93%	2.57%	2.51%	2.32%	1.71%	2.53%	2.51%	2.67%	1.50%	1.39%	0.83%	1.8%	1.32%	2.69%	1.93%	0.92%	0.89%	2.02%	1.49%	1.79%	2.35%	1.03%	1.72%	1.15%	1.57%	2.31%	1.44%	2.30%	1.77%	0.99%	2.15%	1.72%					
28	"11. ""Истинные патриоты России"""	47	1	0	8	0	3	1	2	0	0	10	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	1	1	0	1	0	0	0	0	3	0	3	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0					
		0.07%	0.21%	0.0%	0.91%	0.0%	0.65%	0.08%	0.25%	0.0%	0.0%	0.78%	0.09%	0.0%	0.0%	0.23%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.21%	0.0%	0.0%	0.11%	0.0%	0.0%	0.10%	0.09%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.24%	0.20%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	689	2	5	6	4	0	13	7	10	6	11	7	3	9	8	10	7	6	13	18	14	9	17	9	8	10	12	7	6	8	12	9	6	11	12	9	5	6	9	9	8	17	8	16	9	6	10	16	11	10	7	10	16	12	8	14	6	8	15	8	5	8	9	13	5	8	13	11	17	10	15	12	15					
		1.04%	0.42%	1.43%	0.68%	0.98%	0.0%	1.04%	0.90%	1.55%	0.71%	0.86%	0.69%	0.37%	1.44%	0.93%	1.61%	0.69%	0.75%	1.45%	1.82%	1.49%	1.27%	1.46%	1.08%	1.00%	1.06%	1.23%	0.87%	0.72%	0.85%	1.23%	1.06%	0.63%	1.37%	1.27%	0.96%	0.65%	0.66%	1.18%	1.04%	0.82%	1.56%	0.85%	1.60%	0.99%	0.79%	0.97%	1.43%	1.01%	0.94%	0.57%	1.04%	1.6%	1.13%	0.98%	1.35%	0.69%	0.71%	1.32%	0.74%	0.52%	0.78%	0.84%	1.12%	0.48%	0.74%	1.20%	1.22%	1.78%	0.93%	1.49%	1.29%	1.29%					
30	"13. ""Демократическая партия России"""	112	1	1	0	0	1	3	2	0	1	4	2	1	2	1	0	2	2	0	1	1	0	2	1	4	2	1	0	0	1	1	0	0	2	1	0	2	2	2	0	3	1	2	1	0	1	3	3	1	0	1	0	1	13	3	2	2	1	2	2	1	2	3	1	1	2	1	1	1	2	3	5	1					
		0.16%	0.21%	0.28%	0.0%	0.0%	0.21%	0.24%	0.25%	0.0%	0.11%	0.31%	0.19%	0.12%	0.32%	0.11%	0.0%	0.19%	0.25%	0.0%	0.10%	0.10%	0.0%	0.17%	0.12%	0.50%	0.21%	0.10%	0.0%	0.0%	0.10%	0.10%	0.0%	0.0%	0.25%	0.10%	0.0%	0.26%	0.22%	0.26%	0.0%	0.31%	0.09%	0.21%	0.10%	0.0%	0.13%	0.29%	0.26%	0.09%	0.0%	0.08%	0.0%	0.1%	1.23%	0.36%	0.19%	0.23%	0.08%	0.17%	0.18%	0.10%	0.19%	0.28%	0.08%	0.09%	0.18%	0.09%	0.11%	0.10%	0.18%	0.29%	0.53%	0.08%					
31	"14. ""Великая Россия - Евразийский Союз"""	142	1	0	8	0	3	0	2	0	4	6	1	2	3	1	0	2	1	1	0	0	2	1	2	0	3	0	2	1	1	1	6	1	4	9	0	4	1	2	1	3	2	1	1	1	2	3	2	5	5	2	2	0	0	1	1	3	2	2	4	4	0	2	0	1	1	3	2	4	0	1	2	4					
		0.21%	0.21%	0.0%	0.91%	0.0%	0.65%	0.0%	0.25%	0.0%	0.47%	0.47%	0.09%	0.24%	0.48%	0.11%	0.0%	0.19%	0.12%	0.11%	0.0%	0.0%	0.28%	0.08%	0.24%	0.0%	0.32%	0.0%	0.25%	0.12%	0.10%	0.10%	0.70%	0.10%	0.50%	0.95%	0.0%	0.52%	0.11%	0.26%	0.11%	0.31%	0.18%	0.10%	0.10%	0.11%	0.26%	0.29%	0.17%	0.46%	0.47%	0.16%	0.20%	0.0%	0.0%	0.12%	0.09%	0.34%	0.17%	0.17%	0.37%	0.42%	0.0%	0.18%	0.0%	0.09%	0.09%	0.27%	0.22%	0.41%	0.0%	0.09%	0.21%	0.34%					
32	"15. ""Партия СЛОН"""	202	1	0	3	0	0	1	0	0	0	7	5	2	1	2	2	7	4	5	6	7	3	3	1	3	1	3	3	0	1	1	1	6	3	1	1	1	1	2	1	4	6	1	8	2	4	0	1	4	3	4	4	3	5	0	2	4	2	5	5	1	3	3	2	4	2	5	7	3	2	8	2	4					
		0.30%	0.21%	0.0%	0.34%	0.0%	0.0%	0.08%	0.0%	0.0%	0.0%	0.55%	0.49%	0.24%	0.16%	0.23%	0.32%	0.69%	0.50%	0.56%	0.60%	0.74%	0.42%	0.25%	0.12%	0.37%	0.10%	0.30%	0.37%	0.0%	0.10%	0.10%	0.11%	0.63%	0.37%	0.10%	0.10%	0.13%	0.11%	0.26%	0.11%	0.41%	0.55%	0.10%	0.80%	0.22%	0.52%	0.0%	0.08%	0.36%	0.28%	0.32%	0.41%	0.3%	0.47%	0.0%	0.19%	0.46%	0.17%	0.44%	0.46%	0.10%	0.29%	0.28%	0.17%	0.38%	0.18%	0.46%	0.77%	0.31%	0.18%	0.79%	0.21%	0.34%					
33	"16. ""Родина"" (народно-патриотический союз)"""	6259	23	26	113	24	39	100	46	64	53	70	100	86	62	91	48	84	66	100	79	62	62	106	61	51	106	92	64	92	76	126	69	85	29	86	86	73	87	86	71	103	103	89	96	100	74	108	133	113	131	137	122	135	117	97	135	50	102	111	126	99	88	94	106	90	112	90	74	79	107	71	104	119					
		9.46%	4.86%	7.47%	12.95%	5.88%	8.55%	8.03%	5.95%	9.95%	6.31%	5.51%	9.98%	10.66%	9.95%	10.65%	7.74%	8.30%	8.29%	11.22%	8.01%	6.63%	8.80%	9.13%	7.33%	6.39%	11.31%	9.50%	8.03%	11.16%	8.14%	13.00%	8.12%	8.96%	3.63%	9.13%	9.23%	9.63%	9.68%	11.30%	8.25%	10.66%	9.49%	9.55%	9.64%	11.08%	9.74%	10.54%	11.93%	10.40%	12.34%	11.22%	12.77%	13.5%	11.10%	11.88%	13.06%	5.80%	9.08%	9.78%	11.78%	10.45%	8.61%	8.87%	9.16%	8.65%	10.37%	8.31%	8.21%	8.27%	9.98%	7.06%	11.21%	10.25%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	89	1	1	5	1	0	11	1	0	1	3	1	1	1	2	0	1	3	1	3	2	1	1	0	3	2	2	0	4	1	0	2	2	0	2	0	0	1	2	0	3	1	0	1	0	1	0	0	0	0	2	1	1	0	0	1	0	1	3	1	1	0	0	1	1	0	3	0	1	1	0	0	3					
		0.13%	0.21%	0.28%	0.57%	0.24%	0.0%	0.88%	0.12%	0.0%	0.11%	0.23%	0.09%	0.12%	0.16%	0.23%	0.0%	0.09%	0.37%	0.11%	0.30%	0.21%	0.14%	0.08%	0.0%	0.37%	0.21%	0.20%	0.0%	0.48%	0.10%	0.0%	0.23%	0.21%	0.0%	0.21%	0.0%	0.0%	0.11%	0.26%	0.0%	0.31%	0.09%	0.0%	0.10%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.16%	0.10%	0.1%	0.0%	0.0%	0.09%	0.0%	0.08%	0.26%	0.09%	0.10%	0.0%	0.0%	0.08%	0.09%	0.0%	0.27%	0.0%	0.10%	0.09%	0.0%	0.0%	0.25%					
35	"18. ""ЛДПР"""	8590	80	41	158	65	74	176	132	74	137	255	92	85	92	101	109	135	99	145	133	156	99	181	115	128	88	154	106	99	104	103	135	141	119	132	95	112	119	77	93	115	157	110	99	95	82	127	81	121	57	95	78	122	95	69	89	101	184	148	151	132	164	142	168	180	146	110	133	130	167	126	107	170					
