Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																					
Дата голосования: 18.09.2016																																																																																																					
																																																																																																					
"Наименование Избирательной комиссии:    Пермь, Свердловская"																																																																																																					
																																																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																					
																																																																																																					
		Сумма	УИК №3401	УИК №3402	УИК №3403	УИК №3404	УИК №3405	УИК №3406	УИК №3407	УИК №3408	УИК №3409	УИК №3410	УИК №3411	УИК №3412	УИК №3413	УИК №3414	УИК №3415	УИК №3416	УИК №3417	УИК №3418	УИК №3419	УИК №3420	УИК №3421	УИК №3422	УИК №3423	УИК №3424	УИК №3425	УИК №3426	УИК №3427	УИК №3428	УИК №3429	УИК №3430	УИК №3431	УИК №3432	УИК №3433	УИК №3434	УИК №3435	УИК №3436	УИК №3437	УИК №3438	УИК №3439	УИК №3440	УИК №3441	УИК №3442	УИК №3443	УИК №3444	УИК №3445	УИК №3446	УИК №3447	УИК №3448	УИК №3449	УИК №3450	УИК №3451	УИК №3452	УИК №3453	УИК №3454	УИК №3455	УИК №3456	УИК №3457	УИК №3458	УИК №3459	УИК №3460	УИК №3461	УИК №3462	УИК №3463	УИК №3464	УИК №3465	УИК №3466	УИК №3467	УИК №3468	УИК №3469	УИК №3470	УИК №3471	УИК №3472	УИК №3473	УИК №3474	УИК №3475	УИК №3476	УИК №3477	УИК №3478	УИК №3479	УИК №3480	УИК №3481	УИК №3482	УИК №3483	УИК №3484	УИК №3485	УИК №3486	УИК №3487	УИК №3488	УИК №3489	УИК №3490									
14	Число погашенных неиспользованных открепительных удостоверений	2430	17	13	18	15	18	26	6	26	25	29	18	32	27	21	31	23	39	2	40	34	44	14	30	30	39	32	29	26	24	30	23	32	16	27	37	37	26	28	36	35	19	40	30	29	28	28	36	36	26	28	32	35	31	41	25	41	38	41	32	35	44	46	37	33	48	26	22	31	28	29	25	18	15	21	13	13	29	23	40	43	41	36	35	28	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	251	1	5	1	10	6	1	12	3	1	6	4	4	5	9	7	1	2	3	1	4	1	4	0	2	2	0	7	0	2	2	7	3	4	2	0	0	0	2	1	0	1	0	1	2	2	2	2	2	2	1	3	0	1	3	6	0	1	2	2	1	0	0	4	1	3	8	4	10	6	10	7	1	5	5	5	4	3	2	6	0	1	2	1	4	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1149	18	20	14	26	18	14	20	14	19	15	5	16	18	29	15	12	12	18	8	9	10	21	11	9	13	12	16	20	21	11	8	11	20	22	13	13	14	13	8	3	12	10	17	13	17	12	20	19	11	11	12	11	10	16	9	5	16	3	16	13	2	8	18	11	2	12	24	8	10	12	15	8	21	14	21	25	7	26	6	3	10	12	16	11	2	0	1	1	0	1									
		2.07%	2.20%	2.43%	1.49%	2.52%	2.03%	1.68%	2.15%	2.15%	2.26%	1.81%	0.98%	1.65%	2.62%	3.67%	2.53%	1.80%	2.25%	2.58%	1.90%	1.97%	2.48%	2.88%	1.62%	1.50%	2.73%	2.31%	3.21%	2.65%	3.57%	2.14%	1.55%	2.06%	2.41%	2.95%	1.82%	1.97%	1.96%	1.92%	1.47%	0.49%	1.96%	2.24%	2.64%	2.62%	2.06%	2.09%	3.30%	2.75%	1.59%	1.38%	2.14%	2.35%	1.41%	2.96%	1.29%	0.99%	2.10%	1.11%	2.16%	2.47%	0.42%	2.09%	3.06%	1.59%	0.96%	1.55%	2.83%	1.28%	1.61%	1.94%	1.98%	1.39%	2.09%	1.55%	2.13%	2.67%	1.24%	3.75%	1.45%	1.17%	2.30%	1.66%	1.85%	1.29%	3.13%	0.00%	1.64%	4.00%	0.00%	1.14%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	2192	35	24	36	34	28	29	34	21	23	34	17	29	32	23	18	34	14	22	18	22	10	31	21	26	24	7	20	19	14	29	25	14	25	21	40	31	36	27	17	23	25	22	30	19	26	22	28	28	39	28	23	21	31	19	33	21	37	14	36	21	20	13	23	26	7	33	31	31	38	39	25	21	41	36	37	23	31	35	21	6	12	37	40	43	2	2	3	3	2	1									
		3.94%	4.27%	2.92%	3.83%	3.29%	3.16%	3.48%	3.65%	3.23%	2.73%	4.09%	3.32%	2.99%	4.66%	2.91%	3.04%	5.11%	2.62%	3.15%	4.28%	4.82%	2.48%	4.26%	3.09%	4.32%	5.04%	1.35%	4.01%	2.51%	2.38%	5.63%	4.84%	2.62%	3.02%	2.81%	5.61%	4.69%	5.04%	3.99%	3.13%	3.75%	4.08%	4.92%	4.66%	3.83%	3.16%	3.84%	4.62%	4.05%	5.63%	3.52%	4.11%	4.48%	4.37%	3.52%	4.74%	4.18%	4.85%	5.17%	4.86%	3.98%	4.19%	3.40%	3.91%	3.75%	3.37%	4.27%	3.65%	4.96%	6.12%	6.32%	3.30%	3.65%	4.07%	3.97%	3.76%	2.45%	5.50%	5.05%	5.06%	2.34%	2.76%	5.13%	4.62%	5.02%	3.13%	2.47%	4.92%	12.00%	3.57%	1.14%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1363	28	29	29	20	22	17	18	31	11	16	16	18	12	19	8	12	9	17	9	13	15	18	14	11	19	7	8	14	19	15	9	13	21	16	19	27	20	16	16	19	15	9	19	16	18	18	15	15	18	21	17	7	28	15	14	13	20	9	17	12	11	6	9	16	7	16	23	8	22	11	25	11	24	19	20	13	9	11	14	9	10	20	23	24	2	5	1	2	3	3									
		2.45%	3.42%	3.53%	3.09%	1.94%	2.48%	2.04%	1.93%	4.77%	1.31%	1.93%	3.13%	1.86%	1.75%	2.41%	1.35%	1.80%	1.69%	2.44%	2.14%	2.85%	3.71%	2.47%	2.06%	1.83%	3.99%	1.35%	1.60%	1.85%	3.23%	2.91%	1.74%	2.43%	2.53%	2.14%	2.66%	4.08%	2.80%	2.37%	2.94%	3.09%	2.45%	2.01%	2.95%	3.23%	2.18%	3.14%	2.48%	2.17%	2.60%	2.64%	3.04%	1.49%	3.94%	2.78%	2.01%	2.59%	2.62%	3.32%	2.29%	2.28%	2.31%	1.57%	1.53%	2.31%	3.37%	2.07%	2.71%	1.28%	3.54%	1.78%	3.30%	1.91%	2.38%	2.10%	2.03%	1.39%	1.60%	1.59%	3.37%	3.52%	2.30%	2.77%	2.66%	2.80%	3.13%	6.17%	1.64%	8.00%	5.36%	3.41%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	20958	272	269	337	355	300	349	353	197	275	271	156	418	270	262	228	228	172	240	124	160	149	230	246	223	158	168	147	324	205	164	153	219	358	292	269	223	197	240	203	193	242	170	226	182	301	211	243	275	292	305	242	187	267	213	288	202	260	127	255	198	170	145	227	241	92	340	350	273	239	217	300	216	437	402	373	376	246	292	169	110	187	358	373	402	22	38	22	6	19	33									
		37.72%	33.21%	32.73%	35.89%	34.40%	33.82%	41.90%	37.92%	30.31%	32.66%	32.61%	30.47%	43.14%	39.36%	33.16%	38.51%	34.23%	32.21%	34.38%	29.45%	35.09%	36.88%	31.59%	36.18%	37.04%	33.19%	32.31%	29.46%	42.86%	34.80%	31.84%	29.59%	40.93%	43.18%	39.09%	37.73%	33.74%	27.59%	35.50%	37.32%	31.43%	39.48%	38.03%	35.09%	36.69%	36.53%	36.82%	40.10%	39.80%	42.14%	38.32%	43.21%	39.87%	37.61%	39.44%	41.38%	40.24%	34.08%	46.86%	34.41%	37.57%	35.64%	37.96%	38.61%	34.78%	44.23%	44.04%	41.22%	43.68%	38.49%	35.17%	39.58%	37.57%	43.40%	44.37%	37.91%	40.13%	43.62%	42.14%	40.72%	42.97%	43.09%	49.65%	43.12%	46.96%	34.38%	46.91%	36.07%	24.00%	33.93%	37.50%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	576	13	12	8	13	12	9	7	4	13	13	10	16	8	13	8	14	11	11	4	3	5	11	4	5	0	8	4	13	4	8	4	4	9	6	11	10	8	7	7	6	9	4	3	5	6	4	1	8	4	4	6	4	9	4	0	4	6	3	9	5	4	3	4	10	2	9	6	7	8	5	8	5	10	9	7	11	8	8	4	3	3	3	2	2	1	0	0	0	0	0									
		1.04%	1.59%	1.46%	0.85%	1.26%	1.35%	1.08%	0.75%	0.62%	1.54%	1.56%	1.95%	1.65%	1.17%	1.65%	1.35%	2.10%	2.06%	1.58%	0.95%	0.66%	1.24%	1.51%	0.59%	0.83%	0.00%	1.54%	0.80%	1.72%	0.68%	1.55%	0.77%	0.75%	1.09%	0.80%	1.54%	1.51%	1.12%	1.04%	1.29%	0.98%	1.47%	0.89%	0.47%	1.01%	0.73%	0.70%	0.17%	1.16%	0.58%	0.50%	1.07%	0.85%	1.27%	0.74%	0.00%	0.80%	0.79%	1.11%	1.21%	0.95%	0.84%	0.79%	0.68%	1.44%	0.96%	1.17%	0.71%	1.12%	1.29%	0.81%	1.06%	0.87%	0.99%	0.99%	0.71%	1.17%	1.42%	1.15%	0.96%	1.17%	0.69%	0.42%	0.23%	0.23%	1.56%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	142	7	5	5	1	0	3	1	2	3	6	2	5	3	2	2	1	0	2	1	0	2	2	1	0	1	0	1	3	1	1	1	0	2	3	3	3	2	0	1	1	1	0	1	1	3	3	1	1	0	1	1	0	4	0	1	0	1	0	3	1	1	0	0	4	0	4	2	2	0	2	1	1	3	2	2	1	2	2	0	1	1	1	3	2	0	2	1	0	0	0									
		0.26%	0.85%	0.61%	0.53%	0.10%	0.00%	0.36%	0.11%	0.31%	0.36%	0.72%	0.39%	0.52%	0.44%	0.25%	0.34%	0.15%	0.00%	0.29%	0.24%	0.00%	0.50%	0.27%	0.15%	0.00%	0.21%	0.00%	0.20%	0.40%	0.17%	0.19%	0.19%	0.00%	0.24%	0.40%	0.42%	0.45%	0.28%	0.00%	0.18%	0.16%	0.16%	0.00%	0.16%	0.20%	0.36%	0.52%	0.17%	0.14%	0.00%	0.13%	0.18%	0.00%	0.56%	0.00%	0.14%	0.00%	0.13%	0.00%	0.40%	0.19%	0.21%	0.00%	0.00%	0.58%	0.00%	0.52%	0.24%	0.32%	0.00%	0.32%	0.13%	0.17%	0.30%	0.22%	0.20%	0.11%	0.35%	0.29%	0.00%	0.39%	0.23%	0.14%	0.35%	0.23%	0.00%	2.47%	1.64%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	7318	111	124	124	108	125	102	112	73	95	105	65	105	75	102	69	63	58	97	62	60	39	97	101	83	64	69	71	82	71	78	66	69	95	110	73	98	111	104	70	85	83	60	76	77	112	101	80	92	95	115	76	82	93	76	97	64	105	38	89	86	65	69	80	99	34	78	116	73	83	94	112	90	133	92	106	136	74	90	64	34	66	79	112	105	16	7	20	5	8	10									
		13.17%	13.55%	15.09%	13.21%	10.47%	14.09%	12.24%	12.03%	11.23%	11.28%	12.64%	12.70%	10.84%	10.93%	12.91%	11.66%	9.46%	10.86%	13.90%	14.73%	13.16%	9.65%	13.32%	14.85%	13.79%	13.45%	13.27%	14.23%	10.85%	12.05%	15.15%	12.77%	12.90%	11.46%	14.73%	10.24%	14.83%	15.55%	15.38%	12.87%	13.84%	13.54%	13.42%	11.80%	15.52%	13.59%	17.63%	13.20%	13.31%	13.71%	14.45%	13.57%	17.48%	13.10%	14.07%	13.94%	12.75%	13.76%	14.02%	12.01%	16.32%	13.63%	18.06%	13.61%	14.29%	16.35%	10.10%	13.66%	11.68%	13.37%	15.24%	14.78%	15.65%	13.21%	10.15%	10.77%	14.51%	13.12%	12.99%	15.42%	13.28%	15.21%	10.96%	12.95%	12.27%	25.00%	8.64%	32.79%	20.00%	14.29%	11.36%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	866	21	17	15	33	19	11	16	20	13	18	6	25	12	14	13	14	21	23	4	8	7	10	7	12	6	10	13	15	10	9	11	10	11	10	13	12	10	7	3	8	13	1	10	3	13	2	7	7	5	10	12	6	9	5	11	8	10	1	8	11	3	2	7	11	2	7	9	9	3	10	10	4	14	14	15	13	2	12	10	7	5	3	11	9	2	1	0	0	1	1									
		1.56%	2.56%	2.07%	1.60%	3.20%	2.14%	1.32%	1.72%	3.08%	1.54%	2.17%	1.17%	2.58%	1.75%	1.77%	2.20%	2.10%	3.93%	3.30%	0.95%	1.75%	1.73%	1.37%	1.03%	1.99%	1.26%	1.92%	2.61%	1.98%	1.70%	1.75%	2.13%	1.87%	1.33%	1.34%	1.82%	1.82%	1.40%	1.04%	0.55%	1.30%	2.12%	0.22%	1.55%	0.60%	1.58%	0.35%	1.16%	1.01%	0.72%	1.26%	2.14%	1.28%	1.27%	0.93%	1.58%	1.59%	1.31%	0.37%	1.08%	2.09%	0.63%	0.52%	1.19%	1.59%	0.96%	0.91%	1.06%	1.44%	0.48%	1.62%	1.32%	0.70%	1.39%	1.55%	1.52%	1.39%	0.35%	1.73%	2.41%	2.73%	1.15%	0.42%	1.27%	1.05%	3.13%	1.23%	0.00%	0.00%	1.79%	1.14%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1647	40	29	35	70	35	19	39	29	28	53	26	49	20	29	28	22	28	32	7	18	20	26	25	23	16	26	17	35	19	18	30	11	19	34	22	15	17	16	9	17	7	7	18	6	31	13	10	15	17	21	10	6	21	13	12	9	11	5	15	8	7	7	11	18	3	18	13	10	9	3	23	13	20	17	21	30	21	16	15	10	11	9	15	13	1	1	3	1	0	2									
		2.96%	4.88%	3.53%	3.73%	6.78%	3.95%	2.28%	4.19%	4.46%	3.33%	6.38%	5.08%	5.06%	2.92%	3.67%	4.73%	3.30%	5.24%	4.58%	1.66%	3.95%	4.95%	3.57%	3.68%	3.82%	3.36%	5.00%	3.41%	4.63%	3.23%	3.50%	5.80%	2.06%	2.29%	4.55%	3.09%	2.27%	2.38%	2.37%	1.65%	2.77%	1.14%	1.57%	2.80%	1.21%	3.76%	2.27%	1.65%	2.17%	2.45%	2.64%	1.79%	1.28%	2.96%	2.41%	1.72%	1.79%	1.44%	1.85%	2.02%	1.52%	1.47%	1.83%	1.87%	2.60%	1.44%	2.33%	1.53%	1.60%	1.45%	0.49%	3.03%	2.26%	1.99%	1.88%	2.13%	3.20%	3.72%	2.31%	3.61%	3.91%	2.53%	1.25%	1.73%	1.52%	1.56%	1.23%	4.92%	4.00%	0.00%	2.27%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	100	2	2	2	2	1	2	2	1	1	5	0	0	0	1	2	0	0	1	1	2	1	1	0	4	0	1	1	0	1	2	0	1	2	1	1	2	1	0	0	1	1	0	0	2	0	0	2	2	1	1	0	0	0	0	0	0	2	2	3	3	2	0	1	2	0	2	2	2	1	1	1	0	1	2	1	3	1	1	2	0	0	1	2	4	0	1	1	0	0	0									
		0.18%	0.24%	0.24%	0.21%	0.19%	0.11%	0.24%	0.21%	0.15%	0.12%	0.60%	0.00%	0.00%	0.00%	0.13%	0.34%	0.00%	0.00%	0.14%	0.24%	0.44%	0.25%	0.14%	0.00%	0.66%	0.00%	0.19%	0.20%	0.00%	0.17%	0.39%	0.00%	0.19%	0.24%	0.13%	0.14%	0.30%	0.14%	0.00%	0.00%	0.16%	0.16%	0.00%	0.00%	0.40%	0.00%	0.00%	0.33%	0.29%	0.14%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.74%	0.40%	0.57%	0.42%	0.00%	0.17%	0.29%	0.00%	0.26%	0.24%	0.32%	0.16%	0.16%	0.13%	0.00%	0.10%	0.22%	0.10%	0.32%	0.18%	0.14%	0.48%	0.00%	0.00%	0.14%	0.23%	0.47%	0.00%	1.23%	1.64%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3517	56	69	75	153	79	66	80	64	77	72	50	102	51	76	51	67	70	79	35	40	34	76	73	57	37	57	46	64	63	32	22	32	33	50	33	36	47	40	34	28	32	20	35	27	48	25	27	25	23	37	17	15	31	22	30	22	31	7	30	22	23	15	28	26	5	36	33	23	29	26	35	20	37	39	46	59	35	35	21	10	23	30	22	17	2	1	1	1	2	5									
		6.33%	6.84%	8.39%	7.99%	14.83%	8.91%	7.92%	8.59%	9.85%	9.14%	8.66%	9.77%	10.53%	7.43%	9.62%	8.61%	10.06%	13.11%	11.32%	8.31%	8.77%	8.42%	10.44%	10.74%	9.47%	7.77%	10.96%	9.22%	8.47%	10.70%	6.21%	4.26%	5.98%	3.98%	6.69%	4.63%	5.45%	6.58%	5.92%	6.25%	4.56%	5.22%	4.47%	5.43%	5.44%	5.83%	4.36%	4.46%	3.62%	3.32%	4.65%	3.04%	3.20%	4.37%	4.07%	4.31%	4.38%	4.06%	2.58%	4.05%	4.17%	4.82%	3.93%	4.76%	3.75%	2.40%	4.66%	3.89%	3.68%	4.67%	4.21%	4.62%	3.48%	3.67%	4.30%	4.67%	6.30%	6.21%	5.05%	5.06%	3.91%	5.30%	4.16%	2.54%	1.99%	3.13%	1.23%	1.64%	4.00%	3.57%	5.68%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	7745	130	111	124	129	133	98	134	91	139	110	81	103	111	124	69	117	54	80	52	47	66	106	102	66	73	80	80	94	89	82	119	81	99	100	101	89	117	84	72	106	67	52	76	70	117	55	84	113	101	122	77	65	98	55	89	66	119	31	126	61	59	58	82	118	30	106	131	83	83	73	103	97	126	106	168	104	78	100	39	35	62	92	150	120	4	14	5	4	12	16									
		13.94%	15.87%	13.50%	13.21%	12.50%	14.99%	11.76%	14.39%	14.00%	16.51%	13.24%	15.82%	10.63%	16.18%	15.70%	11.66%	17.57%	10.11%	11.46%	12.35%	10.31%	16.34%	14.56%	15.00%	10.96%	15.34%	15.38%	16.03%	12.43%	15.11%	15.92%	23.02%	15.14%	11.94%	13.39%	14.17%	13.46%	16.39%	12.43%	13.24%	17.26%	10.93%	11.63%	11.80%	14.11%	14.20%	9.60%	13.86%	16.35%	14.57%	15.33%	13.75%	13.86%	13.80%	10.19%	12.79%	13.15%	15.60%	11.44%	17.00%	11.57%	12.37%	15.18%	13.95%	17.03%	14.42%	13.73%	15.43%	13.28%	13.37%	11.83%	13.59%	16.87%	12.51%	11.70%	17.07%	11.10%	13.83%	14.43%	9.40%	13.67%	14.29%	12.76%	17.34%	14.02%	6.25%	17.28%	8.20%	16.00%	21.43%	18.18%									
