Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
"Наименование Избирательной комиссии:    Самара, Красноглинская"																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №8047	УИК №8048									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	509	1	26	13	17	9	11	8	9	8	15	9	18	7	4	13	15	20	6	18	9	9	15	4	13	8	11	5	16	21	9	11	12	6	15	12	12	12	14	24	12	8	9	1	13	1									
		1.49%	0.23%	2.35%	1.16%	1.77%	1.17%	1.99%	1.17%	1.17%	1.21%	2.52%	1.64%	2.46%	0.89%	1.48%	1.84%	1.76%	2.00%	0.76%	2.01%	1.06%	1.15%	2.06%	0.48%	1.69%	1.33%	1.39%	1.40%	1.62%	3.13%	0.99%	1.37%	1.07%	0.60%	1.49%	1.72%	1.83%	1.45%	1.67%	1.98%	1.56%	1.19%	1.12%	0.43%	4.35%	0.15%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	977	13	23	16	19	27	17	22	21	21	23	27	19	22	5	24	27	39	33	26	33	35	22	19	23	15	20	11	26	25	29	32	42	24	34	21	24	25	22	16	17	12	11	5	7	3									
		2.86%	2.97%	2.08%	1.42%	1.98%	3.52%	3.07%	3.21%	2.74%	3.18%	3.86%	4.91%	2.60%	2.80%	1.85%	3.39%	3.17%	3.90%	4.17%	2.90%	3.89%	4.48%	3.02%	2.27%	2.99%	2.50%	2.53%	3.09%	2.63%	3.73%	3.18%	3.99%	3.73%	2.42%	3.37%	3.00%	3.67%	3.03%	2.63%	1.32%	2.22%	1.78%	1.37%	2.17%	2.34%	0.45%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	595	3	13	12	21	18	10	13	14	13	13	13	14	19	7	12	18	19	19	12	14	20	10	14	6	10	19	9	23	11	23	12	27	17	15	10	14	18	14	14	5	8	9	1	7	2									
		1.74%	0.68%	1.17%	1.07%	2.19%	2.35%	1.81%	1.90%	1.83%	1.97%	2.18%	2.36%	1.91%	2.42%	2.58%	1.70%	2.11%	1.90%	2.40%	1.34%	1.65%	2.56%	1.37%	1.67%	0.78%	1.67%	2.41%	2.53%	2.33%	1.64%	2.52%	1.50%	2.40%	1.71%	1.49%	1.43%	2.14%	2.18%	1.67%	1.16%	0.65%	1.19%	1.12%	0.43%	2.34%	0.30%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	16706	230	599	646	496	378	278	333	358	309	314	245	340	393	195	307	380	404	309	355	344	301	320	334	333	246	390	179	449	280	424	350	523	498	498	320	337	404	381	715	446	422	480	99	148	616									
		48.96%	52.51%	54.06%	57.42%	51.77%	49.28%	50.18%	48.61%	46.68%	46.82%	52.68%	44.55%	46.45%	50.06%	71.96%	43.42%	44.55%	40.44%	39.06%	39.62%	40.52%	38.49%	43.90%	39.86%	43.42%	41.00%	49.37%	50.28%	45.49%	41.73%	46.44%	43.70%	46.49%	50.15%	49.40%	45.78%	51.53%	48.91%	45.57%	59.09%	58.15%	62.61%	59.70%	43.04%	49.50%	91.67%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	367	7	14	15	6	15	10	6	5	7	4	2	6	14	0	6	12	11	12	8	12	12	7	18	16	8	5	5	9	6	7	8	15	6	9	5	4	6	12	16	3	9	3	1	4	1									
		1.08%	1.60%	1.26%	1.33%	0.63%	1.96%	1.81%	0.88%	0.65%	1.06%	0.67%	0.36%	0.82%	1.78%	0.00%	0.85%	1.41%	1.10%	1.52%	0.89%	1.41%	1.53%	0.96%	2.15%	2.09%	1.33%	0.63%	1.40%	0.91%	0.89%	0.77%	0.99%	1.33%	0.60%	0.89%	0.72%	0.61%	0.73%	1.44%	1.32%	0.39%	1.34%	0.37%	0.43%	1.34%	0.15%									
24	"6. Политическая партия ""Гражданская Платформа"""	123	1	3	6	5	2	0	2	5	2	2	1	4	1	3	1	6	4	6	5	4	2	3	5	2	0	6	0	4	3	2	2	1	3	4	1	2	2	1	3	3	5	5	1	0	0									
		0.36%	0.23%	0.27%	0.53%	0.52%	0.26%	0.00%	0.29%	0.65%	0.30%	0.34%	0.18%	0.55%	0.13%	1.11%	0.14%	0.70%	0.40%	0.76%	0.56%	0.47%	0.26%	0.41%	0.60%	0.26%	0.00%	0.76%	0.00%	0.41%	0.45%	0.22%	0.25%	0.09%	0.30%	0.40%	0.14%	0.31%	0.24%	0.12%	0.25%	0.39%	0.74%	0.62%	0.43%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4846	84	186	189	124	102	76	76	110	72	57	72	102	111	20	93	113	125	88	119	108	118	76	140	87	101	111	52	153	91	138	124	167	121	183	141	104	145	166	179	107	80	122	53	36	24									
		14.20%	19.18%	16.79%	16.80%	12.94%	13.30%	13.72%	11.09%	14.34%	10.91%	9.56%	13.09%	13.93%	14.14%	7.38%	13.15%	13.25%	12.51%	11.13%	13.28%	12.72%	15.09%	10.43%	16.71%	11.34%	16.83%	14.05%	14.61%	15.50%	13.56%	15.12%	15.48%	14.84%	12.19%	18.15%	20.17%	15.90%	17.55%	19.86%	14.79%	13.95%	11.87%	15.17%	23.04%	12.04%	3.57%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	308	1	9	13	9	3	8	6	6	9	11	5	5	8	0	4	13	7	4	8	14	6	7	9	9	7	9	1	7	6	7	4	8	10	7	3	6	3	5	16	7	11	13	1	3	0									
		0.90%	0.23%	0.81%	1.16%	0.94%	0.39%	1.44%	0.88%	0.78%	1.36%	1.85%	0.91%	0.68%	1.02%	0.00%	0.57%	1.52%	0.70%	0.51%	0.89%	1.65%	0.77%	0.96%	1.07%	1.17%	1.17%	1.14%	0.28%	0.71%	0.89%	0.77%	0.50%	0.71%	1.01%	0.69%	0.43%	0.92%	0.36%	0.60%	1.32%	0.91%	1.63%	1.62%	0.43%	1.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	456	1	15	8	13	13	7	14	9	9	3	9	17	7	2	11	8	11	10	14	7	28	3	16	14	6	18	8	12	16	18	13	15	11	16	7	4	14	4	13	7	9	7	0	7	2									
		1.34%	0.23%	1.35%	0.71%	1.36%	1.69%	1.26%	2.04%	1.17%	1.36%	0.50%	1.64%	2.32%	0.89%	0.74%	1.56%	0.94%	1.10%	1.26%	1.56%	0.82%	3.58%	0.41%	1.91%	1.83%	1.00%	2.28%	2.25%	1.22%	2.38%	1.97%	1.62%	1.33%	1.11%	1.59%	1.00%	0.61%	1.69%	0.48%	1.07%	0.91%	1.34%	0.87%	0.00%	2.34%	0.30%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	52	1	2	2	2	0	1	0	1	1	2	1	1	2	0	0	2	2	0	1	1	1	1	4	0	2	0	0	1	0	2	2	0	1	0	0	2	0	1	0	9	0	0	0	4	0									
		0.15%	0.23%	0.18%	0.18%	0.21%	0.00%	0.18%	0.00%	0.13%	0.15%	0.34%	0.18%	0.14%	0.25%	0.00%	0.00%	0.23%	0.20%	0.00%	0.11%	0.12%	0.13%	0.14%	0.48%	0.00%	0.33%	0.00%	0.00%	0.10%	0.00%	0.22%	0.25%	0.00%	0.10%	0.00%	0.00%	0.31%	0.00%	0.12%	0.00%	1.17%	0.00%	0.00%	0.00%	1.34%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	788	12	16	24	26	18	6	20	16	23	12	13	14	14	0	17	21	35	18	28	38	11	32	39	25	18	29	13	23	24	22	13	19	16	17	9	7	13	9	27	16	12	10	8	4	1									
		2.31%	2.74%	1.44%	2.13%	2.71%	2.35%	1.08%	2.92%	2.09%	3.48%	2.01%	2.36%	1.91%	1.78%	0.00%	2.40%	2.46%	3.50%	2.28%	3.13%	4.48%	1.41%	4.39%	4.65%	3.26%	3.00%	3.67%	3.65%	2.33%	3.58%	2.41%	1.62%	1.69%	1.61%	1.69%	1.29%	1.07%	1.57%	1.08%	2.23%	2.09%	1.78%	1.24%	3.48%	1.34%	0.15%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5411	61	123	122	140	118	85	116	146	137	78	110	141	132	30	156	128	202	177	202	166	134	153	161	166	110	110	42	167	104	143	146	178	194	150	119	80	102	130	110	92	56	87	39	52	16									
		15.86%	13.93%	11.10%	10.84%	14.61%	15.38%	15.34%	16.93%	19.04%	20.76%	13.09%	20.00%	19.26%	16.82%	11.07%	22.07%	15.01%	20.22%	22.38%	22.54%	19.55%	17.14%	20.99%	19.21%	21.64%	18.33%	13.92%	11.80%	16.92%	15.50%	15.66%	18.23%	15.82%	19.54%	14.88%	17.02%	12.23%	12.35%	15.55%	9.09%	11.99%	8.31%	10.82%	16.96%	17.39%	2.38%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	120	1	8	3	2	1	1	9	2	2	2	3	3	1	0	2	3	5	3	4	3	1	2	1	2	3	11	2	1	3	1	1	1	3	6	4	3	3	4	1	0	4	1	1	2	1									
		0.35%	0.23%	0.72%	0.27%	0.21%	0.13%	0.18%	1.31%	0.26%	0.30%	0.34%	0.55%	0.41%	0.13%	0.00%	0.28%	0.35%	0.50%	0.38%	0.45%	0.35%	0.13%	0.27%	0.12%	0.26%	0.50%	1.39%	0.56%	0.10%	0.45%	0.11%	0.12%	0.09%	0.30%	0.60%	0.57%	0.46%	0.36%	0.48%	0.08%	0.00%	0.59%	0.12%	0.43%	0.67%	0.15%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1892	22	34	28	45	36	28	37	47	38	41	22	33	36	5	35	62	87	73	73	70	60	56	59	52	46	41	19	63	48	55	61	75	62	34	25	46	52	44	52	20	26	20	10	11	3									
		5.54%	5.02%	3.07%	2.49%	4.70%	4.69%	5.05%	5.40%	6.13%	5.76%	6.88%	4.00%	4.51%	4.59%	1.85%	4.95%	7.27%	8.71%	9.23%	8.15%	8.24%	7.67%	7.68%	7.04%	6.78%	7.67%	5.19%	5.34%	6.38%	7.15%	6.02%	7.62%	6.67%	6.24%	3.37%	3.58%	7.03%	6.30%	5.26%	4.30%	2.61%	3.86%	2.49%	4.35%	3.68%	0.45%									
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
