Выборы Президента Российской Федерации																																																																									
																																																																									
Наименование Избирательной комиссии:    Тогучинская																																																																									
																																																																									
Итоги голосования 																																																																									
																																																																									
		Сумма	УИК  946	УИК  947	УИК  948	УИК  949	УИК  950	УИК  951	УИК  952	УИК  953	УИК  954	УИК  955	УИК  956	УИК  957	УИК  958	УИК  959	УИК  960	УИК  961	УИК  962	УИК  963	УИК  964	УИК  965	УИК  966	УИК  967	УИК  968	УИК  969	УИК  970	УИК  971	УИК  972	УИК  973	УИК  974	УИК  975	УИК  976	УИК  977	УИК  978	УИК  979	УИК  980	УИК  981	УИК  982	УИК  983	УИК  984	УИК  985	УИК  986	УИК  987	УИК  988	УИК  989	УИК  990	УИК  991	УИК  992	УИК  993	УИК  994	УИК  995	УИК  996	УИК  997	УИК  998	УИК  999	УИК  1000	УИК  1001	УИК  1002	УИК  1003	УИК  1004	УИК  1005	УИК  1006	УИК  1007	УИК  1008	УИК  1009	УИК  1010	УИК  1011					
20	. Миронов Сергей Михайлович	188	0	11	8	11	3	7	3	5	4	2	0	0	0	3	3	9	13	7	4	1	0	0	4	1	0	3	2	3	0	0	0	0	1	2	2	1	3	0	2	8	4	1	0	3	1	1	6	1	0	3	6	2	3	3	0	3	1	0	1	3	1	0	2	6	10	1					
		0.65%	0.00%	1.26%	0.71%	0.85%	0.39%	0.65%	0.31%	0.65%	0.34%	1.46%	0.00%	0.00%	0.00%	0.46%	1.35%	0.59%	0.82%	0.55%	0.69%	0.33%	0.00%	0.00%	0.69%	0.46%	0.00%	0.65%	0.95%	1.73%	0.00%	0.00%	0.00%	0.00%	0.26%	0.79%	0.30%	0.78%	0.53%	0.00%	0.49%	1.57%	1.10%	0.63%	0.00%	0.78%	0.75%	0.78%	1.28%	0.28%	0.00%	1.28%	1.11%	0.55%	0.92%	3.33%	0.00%	0.63%	0.48%	0.00%	0.51%	0.69%	1.72%	0.00%	0.72%	1.96%	1.01%	1.45%					
21	. Путин Владимир Владимирович	18310	114	590	680	790	500	642	610	477	703	89	284	275	68	459	144	991	1003	692	424	225	71	137	377	164	76	307	122	98	221	120	121	72	280	168	455	81	352	184	238	311	198	125	21	303	90	55	282	237	262	168	386	222	211	71	78	232	155	35	136	292	48	59	132	209	554	34					
		63.21%	60.64%	67.66%	60.66%	61.00%	64.85%	59.17%	62.44%	62.11%	59.88%	64.96%	57.37%	62.22%	68.69%	70.51%	64.86%	64.52%	63.12%	54.15%	73.61%	75.00%	48.97%	82.04%	65.45%	75.23%	68.47%	66.02%	57.82%	56.65%	66.37%	74.07%	72.89%	74.23%	73.11%	66.14%	68.32%	63.28%	62.52%	58.97%	58.62%	60.86%	54.25%	78.62%	24.42%	78.29%	67.16%	42.97%	60.13%	67.52%	60.65%	71.79%	71.22%	60.99%	64.92%	78.89%	69.03%	48.43%	74.52%	58.33%	69.74%	67.13%	82.76%	69.41%	47.83%	68.30%	55.73%	49.28%					
22	. Хакамада Ирина Муцуовна	566	3	25	22	36	10	26	29	11	47	6	19	12	2	9	6	27	25	26	7	1	1	0	17	1	0	8	2	4	6	0	0	0	3	4	11	3	9	3	5	10	7	3	1	4	5	3	6	3	5	6	15	2	6	0	2	5	0	0	3	9	2	3	4	0	31	5					
		1.95%	1.60%	2.87%	1.96%	2.78%	1.30%	2.40%	2.97%	1.43%	4.00%	4.38%	3.84%	2.71%	2.02%	1.38%	2.70%	1.76%	1.57%	2.03%	1.22%	0.33%	0.69%	0.00%	2.95%	0.46%	0.00%	1.72%	0.95%	2.31%	1.80%	0.00%	0.00%	0.00%	0.78%	1.57%	1.65%	2.34%	1.60%	0.96%	1.23%	1.96%	1.92%	1.89%	1.16%	1.03%	3.73%	2.34%	1.28%	0.85%	1.16%	2.56%	2.77%	0.55%	1.85%	0.00%	1.77%	1.04%	0.00%	0.00%	1.54%	2.07%	3.45%	3.53%	1.45%	0.00%	3.12%	7.25%					
23	. Харитонов Николай Михайлович	7127	49	169	326	330	163	229	252	198	288	29	133	128	27	128	54	283	326	377	108	54	65	15	125	35	31	108	62	55	79	34	30	17	67	51	143	37	145	101	109	151	122	19	62	52	35	57	150	94	134	43	109	108	80	9	28	202	36	23	35	97	4	16	111	64	312	14					
		24.60%	26.06%	19.38%	29.08%	25.48%	21.14%	21.11%	25.79%	25.78%	24.53%	21.17%	26.87%	28.96%	27.27%	19.66%	24.32%	18.42%	20.52%	29.50%	18.75%	18.00%	44.83%	8.98%	21.70%	16.06%	27.93%	23.23%	29.38%	31.79%	23.72%	20.99%	18.07%	17.53%	17.49%	20.08%	21.47%	28.91%	25.75%	32.37%	26.85%	29.55%	33.42%	11.95%	72.09%	13.44%	26.12%	44.53%	31.98%	26.78%	31.02%	18.38%	20.11%	29.67%	24.62%	10.00%	24.78%	42.17%	17.31%	38.33%	17.95%	22.30%	6.90%	18.82%	40.22%	20.92%	31.39%	20.29%					
																																																																									
24	Против всех	882	12	24	22	43	26	113	22	19	42	5	12	10	0	14	3	55	136	93	9	4	4	1	16	5	2	4	2	2	6	4	2	0	6	11	5	1	6	4	14	8	8	0	1	3	0	0	5	6	12	2	9	9	4	2	3	9	1	0	4	7	0	3	5	7	12	3					
		3.04%	6.38%	2.75%	1.96%	3.32%	3.37%	10.41%	2.25%	2.47%	3.58%	3.65%	2.42%	2.26%	0.00%	2.15%	1.35%	3.58%	8.56%	7.28%	1.56%	1.33%	2.76%	0.60%	2.78%	2.29%	1.80%	0.86%	0.95%	1.16%	1.80%	2.47%	1.20%	0.00%	1.57%	4.33%	0.75%	0.78%	1.07%	1.28%	3.45%	1.57%	2.19%	0.00%	1.16%	0.78%	0.00%	0.00%	1.07%	1.71%	2.78%	0.85%	1.66%	2.47%	1.23%	2.22%	2.65%	1.88%	0.48%	0.00%	2.05%	1.61%	0.00%	3.53%	1.81%	2.29%	1.21%	4.35%					
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
