Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																										
Дата голосования: 07.12.2003 0:00:00																																																										
																																																										
Наименование Избирательной комиссии:    Липецкая																																																										
																																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																										
																																																										
		Сумма	УИК  244	УИК  245	УИК  246	УИК  247	УИК  248	УИК  249	УИК  250	УИК  251	УИК  252	УИК  253	УИК  254	УИК  255	УИК  256	УИК  257	УИК  258	УИК  259	УИК  260	УИК  261	УИК  262	УИК  263	УИК  264	УИК  265	УИК  266	УИК  267	УИК  268	УИК  269	УИК  270	УИК  271	УИК  272	УИК  273	УИК  274	УИК  275	УИК  276	УИК  277	УИК  278	УИК  279	УИК  280	УИК  281	УИК  282	УИК  283	УИК  284	УИК  285	УИК  286	УИК  287	УИК  288	УИК  289	УИК  290	УИК  291	УИК  292	УИК  293	УИК  294					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	500	35	22	8	12	6	22	8	12	10	6	6	10	7	5	7	3	12	21	6	6	21	7	21	5	8	2	7	17	5	7	4	5	5	6	22	3	4	3	2	2	3	18	18	18	18	8	6	5	2	21	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	80	5	8	3	0	0	3	2	0	1	0	0	1	0	1	0	0	1	2	1	2	0	1	1	0	3	0	1	5	0	2	1	3	0	0	4	1	2	0	0	0	0	3	3	9	1	1	1	2	0	6	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	116	4	2	8	2	1	2	2	1	5	5	2	0	0	2	3	4	1	2	8	6	1	0	2	2	2	2	2	0	3	3	0	1	0	2	0	4	2	1	7	1	1	2	3	3	1	2	3	0	2	3	1					
14	Число погашенных открепительных удостоверений	420	30	14	5	12	6	19	6	12	9	6	6	9	7	4	7	3	11	19	5	4	21	6	20	5	5	2	6	12	5	5	3	2	5	6	18	2	2	3	2	2	3	15	15	9	17	7	5	3	2	15	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																										
18	"1. ""ЕДИНЕНИЕ"""	348	19	8	5	5	2	10	7	11	12	2	11	7	5	5	6	3	13	6	7	13	11	0	12	4	14	2	1	7	7	9	2	2	7	9	11	3	4	3	4	2	1	11	10	4	11	6	5	7	4	15	3					
		1.90%	1.53%	0.96%	1.66%	1.62%	1.41%	1.30%	2.58%	2.72%	2.73%	0.74%	3.47%	1.92%	4.58%	2.24%	1.48%	1.86%	2.65%	0.80%	2.46%	3.66%	1.99%	0.0%	2.07%	1.72%	3.11%	1.78%	1.26%	0.92%	2.75%	2.24%	1.15%	0.90%	3.15%	2.41%	1.51%	4.91%	3.00%	3.03%	3.73%	2.35%	0.96%	2.36%	1.98%	0.76%	2.28%	2.0%	2.11%	2.84%	4.76%	1.59%	2.54%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	360	21	20	5	6	2	15	6	8	6	1	9	12	2	8	5	9	15	20	3	17	9	8	9	1	9	1	1	14	5	4	2	4	3	4	9	3	1	0	1	2	4	7	13	12	12	2	5	2	1	22	0					
		1.97%	1.69%	2.41%	1.66%	1.94%	1.41%	1.96%	2.21%	1.98%	1.36%	0.37%	2.83%	3.30%	1.83%	3.58%	1.24%	5.59%	3.06%	2.69%	1.05%	4.78%	1.63%	3.53%	1.55%	0.43%	2.00%	0.89%	1.26%	1.85%	1.96%	0.99%	1.15%	1.80%	1.35%	1.07%	1.23%	4.91%	0.75%	0.0%	0.93%	2.35%	3.84%	1.50%	2.58%	2.30%	2.48%	0.66%	2.11%	0.81%	1.19%	2.34%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	420	27	14	8	5	6	10	4	11	19	11	6	7	3	5	15	10	8	18	10	12	8	7	15	7	7	0	1	15	9	14	3	2	7	11	14	2	5	1	1	1	2	6	7	13	12	6	3	8	3	19	2					
		2.30%	2.18%	1.69%	2.65%	1.62%	4.25%	1.30%	1.47%	2.72%	4.33%	4.07%	1.89%	1.92%	2.75%	2.24%	3.72%	6.21%	1.63%	2.42%	3.52%	3.38%	1.45%	3.09%	2.59%	3.01%	1.55%	0.0%	1.26%	1.99%	3.54%	3.49%	1.73%	0.90%	3.15%	2.95%	1.92%	3.27%	3.75%	1.01%	0.93%	1.17%	1.92%	1.28%	1.39%	2.49%	2.48%	2.0%	1.27%	3.25%	3.57%	2.02%	1.69%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	337	29	14	15	3	2	4	7	9	8	6	4	3	2	8	7	4	9	13	7	5	12	4	11	0	7	2	1	12	4	4	0	3	3	3	10	0	2	1	4	0	2	9	15	16	18	5	3	4	1	22	0					
		1.84%	2.34%	1.69%	4.98%	0.97%	1.41%	0.52%	2.58%	2.22%	1.82%	2.22%	1.26%	0.82%	1.83%	3.58%	1.73%	2.48%	1.84%	1.75%	2.46%	1.40%	2.17%	1.76%	1.90%	0.0%	1.55%	1.78%	1.26%	1.59%	1.57%	0.99%	0.0%	1.35%	1.35%	0.80%	1.37%	0.0%	1.50%	1.01%	3.73%	0.0%	1.92%	1.93%	2.98%	3.07%	3.73%	1.66%	1.27%	1.62%	1.19%	2.34%	0.0%					
22	"5. ""За Русь Святую"""	172	10	2	2	5	0	5	4	2	7	4	3	3	1	1	4	1	3	4	0	2	8	2	10	2	3	0	2	6	2	1	0	3	1	3	10	5	0	2	1	0	0	7	2	10	6	4	4	4	1	10	0					
		0.94%	0.80%	0.24%	0.66%	1.62%	0.0%	0.65%	1.47%	0.49%	1.59%	1.48%	0.94%	0.82%	0.91%	0.44%	0.99%	0.62%	0.61%	0.53%	0.0%	0.56%	1.45%	0.88%	1.73%	0.86%	0.66%	0.0%	2.53%	0.79%	0.78%	0.24%	0.0%	1.35%	0.45%	0.80%	1.37%	8.19%	0.0%	2.02%	0.93%	0.0%	0.0%	1.50%	0.39%	1.91%	1.24%	1.33%	1.69%	1.62%	1.19%	1.06%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	44	5	0	0	0	0	1	2	0	0	0	0	2	0	0	2	1	0	1	0	0	2	0	2	2	1	0	0	3	1	2	0	3	0	1	0	0	0	0	0	0	0	1	1	2	3	1	2	1	0	2	0					
		0.24%	0.40%	0.0%	0.0%	0.0%	0.0%	0.13%	0.73%	0.0%	0.0%	0.0%	0.0%	0.55%	0.0%	0.0%	0.49%	0.62%	0.0%	0.13%	0.0%	0.0%	0.36%	0.0%	0.34%	0.86%	0.22%	0.0%	0.0%	0.39%	0.39%	0.49%	0.0%	1.35%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.19%	0.38%	0.62%	0.33%	0.84%	0.40%	0.0%	0.21%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	122	7	1	3	1	0	6	1	3	1	2	1	1	2	1	5	1	1	4	1	0	6	3	6	0	3	1	4	5	0	1	6	2	2	1	5	0	0	1	0	0	0	9	4	1	2	3	4	0	0	11	0					
		0.66%	0.56%	0.12%	0.99%	0.32%	0.0%	0.78%	0.36%	0.74%	0.22%	0.74%	0.31%	0.27%	1.83%	0.44%	1.24%	0.62%	0.20%	0.53%	0.35%	0.0%	1.08%	1.32%	1.03%	0.0%	0.66%	0.89%	5.06%	0.66%	0.0%	0.24%	3.46%	0.90%	0.90%	0.26%	0.68%	0.0%	0.0%	1.01%	0.0%	0.0%	0.0%	1.93%	0.79%	0.19%	0.41%	1.0%	1.69%	0.0%	0.0%	1.17%	0.0%					
25	"8. ""Народно-республиканская партия России"""	41	0	1	1	2	0	1	4	3	3	1	0	0	2	0	1	3	1	0	0	1	1	1	0	0	1	0	0	0	1	1	0	1	0	0	2	1	0	0	0	1	0	0	0	1	1	0	2	1	0	1	1					
		0.22%	0.0%	0.12%	0.33%	0.64%	0.0%	0.13%	1.47%	0.74%	0.68%	0.37%	0.0%	0.0%	1.83%	0.0%	0.24%	1.86%	0.20%	0.0%	0.0%	0.28%	0.18%	0.44%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.39%	0.24%	0.0%	0.45%	0.0%	0.0%	0.27%	1.63%	0.0%	0.0%	0.0%	1.17%	0.0%	0.0%	0.0%	0.19%	0.20%	0.0%	0.84%	0.40%	0.0%	0.10%	0.84%					
26	"9. ""Российская экологическая партия ""Зеленые"""	55	5	5	1	2	0	1	0	2	1	1	2	0	2	0	0	0	0	1	1	3	1	1	1	0	1	0	0	6	3	0	1	0	1	0	1	0	0	0	0	0	0	4	0	2	2	0	0	0	0	4	0					
		0.30%	0.40%	0.60%	0.33%	0.64%	0.0%	0.13%	0.0%	0.49%	0.22%	0.37%	0.63%	0.0%	1.83%	0.0%	0.0%	0.0%	0.0%	0.13%	0.35%	0.84%	0.18%	0.44%	0.17%	0.0%	0.22%	0.0%	0.0%	0.79%	1.18%	0.0%	0.57%	0.0%	0.45%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.85%	0.0%	0.38%	0.41%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%					
27	"10. ""Аграрная партия России"""	837	54	62	6	16	8	34	10	7	11	19	36	7	0	9	18	4	32	21	21	10	11	4	26	13	26	5	8	57	14	14	9	10	8	33	28	2	8	3	10	8	5	11	8	13	12	13	6	23	2	53	9					
		4.58%	4.36%	7.49%	1.99%	5.19%	5.67%	4.44%	3.69%	1.73%	2.51%	7.03%	11.35%	1.92%	0.0%	4.03%	4.46%	2.48%	6.54%	2.83%	7.39%	2.81%	1.99%	1.76%	4.49%	5.60%	5.79%	4.46%	10.12%	7.56%	5.51%	3.49%	5.20%	4.50%	3.60%	8.87%	3.85%	3.27%	6.01%	3.03%	9.34%	9.41%	4.80%	2.36%	1.59%	2.49%	2.48%	4.33%	2.54%	9.34%	2.38%	5.63%	7.62%					
28	"11. ""Истинные патриоты России"""	56	2	9	3	0	0	0	0	0	0	0	4	0	0	0	0	1	1	1	2	0	0	0	1	1	3	0	0	3	5	0	6	3	1	2	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	3	0					
		0.30%	0.16%	1.08%	0.99%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.26%	0.0%	0.0%	0.0%	0.0%	0.62%	0.20%	0.13%	0.70%	0.0%	0.0%	0.0%	0.17%	0.43%	0.66%	0.0%	0.0%	0.39%	1.96%	0.0%	3.46%	1.35%	0.45%	0.53%	0.0%	0.0%	0.0%	0.0%	0.93%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	0.0%	0.0%	0.40%	0.0%	0.31%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	180	10	9	2	7	2	3	1	2	2	4	2	2	3	1	7	1	6	9	0	4	9	4	5	3	8	2	0	13	1	5	4	2	0	5	3	0	0	2	1	0	4	3	4	5	4	2	3	0	0	9	2					
		0.98%	0.80%	1.08%	0.66%	2.27%	1.41%	0.39%	0.36%	0.49%	0.45%	1.48%	0.63%	0.55%	2.75%	0.44%	1.73%	0.62%	1.22%	1.21%	0.0%	1.12%	1.63%	1.76%	0.86%	1.29%	1.78%	1.78%	0.0%	1.72%	0.39%	1.24%	2.31%	0.90%	0.0%	1.34%	0.41%	0.0%	0.0%	2.02%	0.93%	0.0%	3.84%	0.64%	0.79%	0.95%	0.82%	0.66%	1.27%	0.0%	0.0%	0.95%	1.69%					
30	"13. ""Демократическая партия России"""	50	2	1	0	1	0	1	2	0	0	1	2	0	2	1	2	0	1	5	1	1	0	0	3	0	1	0	0	0	1	2	0	2	0	3	3	1	0	0	1	0	1	0	0	1	0	2	1	0	0	4	1					
		0.27%	0.16%	0.12%	0.0%	0.32%	0.0%	0.13%	0.73%	0.0%	0.0%	0.37%	0.63%	0.0%	1.83%	0.44%	0.49%	0.0%	0.20%	0.67%	0.35%	0.28%	0.0%	0.0%	0.51%	0.0%	0.22%	0.0%	0.0%	0.0%	0.39%	0.49%	0.0%	0.90%	0.0%	0.80%	0.41%	1.63%	0.0%	0.0%	0.93%	0.0%	0.96%	0.0%	0.0%	0.19%	0.0%	0.66%	0.42%	0.0%	0.0%	0.42%	0.84%					
31	"14. ""Великая Россия - Евразийский Союз"""	43	4	1	1	0	0	1	1	0	1	0	1	0	1	1	0	0	2	0	0	1	2	4	0	0	0	0	0	2	1	1	6	0	0	1	4	0	0	0	0	0	0	1	0	3	0	0	0	0	0	3	0					
		0.23%	0.32%	0.12%	0.33%	0.0%	0.0%	0.13%	0.36%	0.0%	0.22%	0.0%	0.31%	0.0%	0.91%	0.44%	0.0%	0.0%	0.40%	0.0%	0.0%	0.28%	0.36%	1.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.39%	0.24%	3.46%	0.0%	0.0%	0.26%	0.55%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%					
32	"15. ""Партия СЛОН"""	32	4	2	0	1	2	2	0	1	0	0	1	1	0	0	1	0	0	2	1	2	0	0	1	1	0	0	0	4	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0					
		0.17%	0.32%	0.24%	0.0%	0.32%	1.41%	0.26%	0.0%	0.24%	0.0%	0.0%	0.31%	0.27%	0.0%	0.0%	0.24%	0.0%	0.0%	0.26%	0.35%	0.56%	0.0%	0.0%	0.17%	0.43%	0.0%	0.0%	0.0%	0.53%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1503	114	74	25	26	11	79	23	30	20	27	19	31	7	16	20	13	48	74	15	39	48	10	45	15	37	1	4	62	8	14	17	16	12	26	74	2	9	5	8	6	4	67	62	54	29	25	36	17	7	69	3					
		8.23%	9.21%	8.94%	8.30%	8.44%	7.80%	10.32%	8.48%	7.42%	4.56%	10.0%	5.99%	8.53%	6.42%	7.17%	4.96%	8.07%	9.81%	9.97%	5.28%	10.98%	8.71%	4.42%	7.78%	6.46%	8.24%	0.89%	5.06%	8.23%	3.14%	3.49%	9.82%	7.20%	5.40%	6.98%	10.19%	3.27%	6.76%	5.05%	7.47%	7.05%	3.84%	14.37%	12.32%	10.36%	6.01%	8.33%	15.25%	6.91%	8.33%	7.34%	2.54%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	57	0	2	3	3	0	1	1	1	1	0	3	1	2	0	2	1	0	4	0	0	2	1	3	3	2	2	0	1	1	2	1	0	0	2	0	1	1	0	0	0	0	0	3	0	0	1	1	0	1	3	1					
		0.31%	0.0%	0.24%	0.99%	0.97%	0.0%	0.13%	0.36%	0.24%	0.22%	0.0%	0.94%	0.27%	1.83%	0.0%	0.49%	0.62%	0.0%	0.53%	0.0%	0.0%	0.36%	0.44%	0.51%	1.29%	0.44%	1.78%	0.0%	0.13%	0.39%	0.49%	0.57%	0.0%	0.0%	0.53%	0.0%	1.63%	0.75%	0.0%	0.0%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	0.33%	0.42%	0.0%	1.19%	0.31%	0.84%					
35	"18. ""ЛДПР"""	2763	169	118	34	37	20	95	42	82	64	44	56	65	12	30	38	13	64	128	50	53	91	40	92	36	94	23	5	120	50	74	16	29	37	72	110	6	19	21	10	5	18	80	78	67	64	47	39	40	8	138	20					
		15.14%	13.66%	14.26%	11.29%	12.01%	14.18%	12.41%	15.49%	20.29%	14.61%	16.29%	17.66%	17.90%	11.00%	13.45%	9.42%	8.07%	13.08%	17.25%	17.60%	14.92%	16.51%	17.69%	15.91%	15.51%	20.93%	20.53%	6.32%	15.93%	19.68%	18.45%	9.24%	13.06%	16.66%	19.35%	15.15%	9.83%	14.28%	21.21%	9.34%	5.88%	17.30%	17.16%	15.50%	12.85%	13.27%	15.66%	16.52%	16.26%	9.52%	14.68%	16.94%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	443	45	29	5	14	0	14	2	10	13	6	8	7	7	6	5	10	8	19	4	6	14	3	14	8	8	1	1	23	7	6	9	9	4	4	18	2	2	3	7	1	3	15	11	10	8	4	5	7	1	14	3					
		2.42%	3.63%	3.50%	1.66%	4.54%	0.0%	1.83%	0.73%	2.47%	2.96%	2.22%	2.52%	1.92%	6.42%	2.69%	1.24%	6.21%	1.63%	2.56%	1.40%	1.69%	2.54%	1.32%	2.42%	3.44%	1.78%	0.89%	1.26%	3.05%	2.75%	1.49%	5.20%	4.05%	1.80%	1.07%	2.47%	3.27%	1.50%	3.03%	6.54%	1.17%	2.88%	3.21%	2.18%	1.91%	1.65%	1.33%	2.11%	2.84%	1.19%	1.48%	2.54%					
37	"20. ""Политическая партия ""Единая Россия"""	5641	324	200	99	84	55	240	76	149	135	57	87	134	35	80	139	45	155	248	75	73	184	85	174	60	100	53	19	219	78	155	40	80	86	113	214	9	47	40	36	38	43	155	164	167	169	112	69	84	46	285	27					
		30.92%	26.19%	24.18%	32.89%	27.27%	39.00%	31.37%	28.04%	36.88%	30.82%	21.11%	27.44%	36.91%	32.11%	35.87%	34.49%	27.95%	31.69%	33.42%	26.40%	20.56%	33.39%	37.61%	30.10%	25.86%	22.27%	47.32%	24.05%	29.08%	30.70%	38.65%	23.12%	36.03%	38.73%	30.37%	29.47%	14.75%	35.33%	40.40%	33.64%	44.70%	41.34%	33.26%	32.60%	32.05%	35.06%	37.33%	29.23%	34.14%	54.76%	30.31%	22.88%					
38	"21. ""Российская Конституционно-демократическая партия"""	44	6	1	4	0	0	0	1	0	0	3	1	0	0	1	2	0	0	1	0	1	2	0	0	2	1	0	0	2	0	3	0	0	1	0	1	0	1	0	2	0	0	0	4	0	0	1	0	1	1	0	1					
		0.24%	0.48%	0.12%	1.32%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	1.11%	0.31%	0.0%	0.0%	0.44%	0.49%	0.0%	0.0%	0.13%	0.0%	0.28%	0.36%	0.0%	0.0%	0.86%	0.22%	0.0%	0.0%	0.26%	0.0%	0.74%	0.0%	0.0%	0.45%	0.0%	0.13%	0.0%	0.75%	0.0%	1.86%	0.0%	0.0%	0.0%	0.79%	0.0%	0.0%	0.33%	0.0%	0.40%	1.19%	0.0%	0.84%					
39	"22. ""Развитие предпринимательства"""	44	2	4	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	4	0	0	0	0	3	1	0	0	0	2	2	2	0	3	0	1	1	1	1	1	0	0	0	0	2	1	4	0	1	0	0	2	1					
		0.24%	0.16%	0.48%	0.33%	0.32%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.53%	0.0%	0.0%	0.0%	0.0%	0.51%	0.43%	0.0%	0.0%	0.0%	0.26%	0.78%	0.49%	0.0%	1.35%	0.0%	0.26%	0.13%	1.63%	0.75%	1.01%	0.0%	0.0%	0.0%	0.0%	0.39%	0.19%	0.82%	0.0%	0.42%	0.0%	0.0%	0.21%	0.84%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2959	291	156	46	58	24	171	47	50	88	58	36	62	14	28	75	20	94	98	49	77	64	23	96	44	92	5	20	84	21	48	34	29	33	45	136	21	20	9	12	20	10	57	41	92	76	45	34	29	5	148	24					
		16.21%	23.52%	18.86%	15.28%	18.83%	17.02%	22.35%	17.34%	12.37%	20.09%	21.48%	11.35%	17.07%	12.84%	12.55%	18.61%	12.42%	19.22%	13.20%	17.25%	21.69%	11.61%	10.17%	16.60%	18.96%	20.48%	4.46%	25.31%	11.15%	8.26%	11.97%	19.65%	13.06%	14.86%	12.09%	18.73%	34.42%	15.03%	9.09%	11.21%	23.52%	9.61%	12.23%	8.15%	17.65%	15.76%	15.0%	14.40%	11.78%	5.95%	15.74%	20.33%					
																																																										
41	Против всех	1047	73	63	7	20	6	38	19	17	29	12	13	12	3	14	21	6	21	45	14	29	27	20	31	13	21	12	5	73	12	23	12	15	13	13	43	2	5	4	3	1	7	10	28	31	24	17	11	17	3	84	5					
		5.73%	5.90%	7.61%	2.32%	6.49%	4.25%	4.96%	7.01%	4.20%	6.62%	4.44%	4.10%	3.30%	2.75%	6.27%	5.21%	3.72%	4.29%	6.06%	4.92%	8.16%	4.90%	8.84%	5.36%	5.60%	4.67%	10.71%	6.32%	9.69%	4.72%	5.73%	6.93%	6.75%	5.85%	3.49%	5.92%	3.27%	3.75%	4.04%	2.80%	1.17%	6.73%	2.14%	5.56%	5.95%	4.97%	5.66%	4.66%	6.91%	3.57%	8.93%	4.23%					
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
