Выборы Президента Российской Федерации																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Белокалитвинская																																																																																	
																																																																																	
Итоги голосования 																																																																																	
																																																																																	
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №1713	УИК №2481	УИК №2574	УИК №2581	УИК №2591					
11	Число полученных открепительных  удостоверений	2347	40	50	30	40	30	30	40	40	50	40	30	35	50	50	50	50	60	30	10	10	20	30	30	30	20	10	10	10	30	40	30	10	10	10	100	110	130	70	50	60	80	50	10	57	10	10	10	30	30	10	20	40	10	40	30	20	10	10	10	20	5	20	10	20	30	20	10	20	10	40	20	10	40	10					
12	Число выданных открепительных удостоверений	1463	20	21	7	7	7	1	15	14	15	15	15	18	20	23	36	26	31	14	6	5	3	7	4	15	7	4	2	10	30	30	8	7	10	0	96	100	123	70	50	56	72	44	0	57	4	5	7	8	25	6	19	40	7	39	24	19	10	10	8	4	0	3	0	6	2	7	6	2	4	19	19	3	36	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	433	7	2	3	10	24	5	8	16	10	6	5	34	15	15	19	13	10	11	4	3	2	5	5	3	4	5	0	4	5	5	1	4	2	1	12	18	13	7	3	6	5	2	0	1	2	2	2	17	2	5	4	3	1	5	6	5	3	0	3	4	6	3	0	1	4	5	2	4	1	3	2	3	2	0					
14	Число неиспользованных открепительных удостоверений	884	20	29	23	33	23	29	25	26	35	25	15	17	30	27	14	24	29	16	4	5	17	23	26	15	13	6	8	0	0	10	22	3	0	10	4	10	7	0	0	4	8	6	10	0	6	5	3	22	5	4	1	0	3	1	6	1	0	0	2	16	5	17	10	14	28	13	4	18	6	21	1	7	4	10					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																	
18	. Глазьев Сергей Юрьевич	1922	13	33	19	54	31	31	46	47	91	59	35	52	74	68	89	89	88	45	17	2	21	2	3	3	19	6	6	19	24	20	22	22	19	1	7	5	3	61	57	49	86	7	4	14	14	4	15	32	21	12	14	13	16	16	36	8	4	11	4	18	3	31	3	17	22	19	6	38	0	36	5	4	31	6					
		3.40%	1.20%	2.68%	2.89%	4.22%	3.76%	5.09%	3.76%	4.73%	5.75%	4.60%	3.52%	4.61%	5.33%	5.03%	5.61%	5.31%	5.29%	5.10%	3.57%	0.54%	4.28%	0.21%	0.29%	0.29%	4.48%	2.94%	3.57%	2.61%	3.63%	2.42%	6.13%	6.11%	4.19%	0.53%	0.42%	0.34%	0.23%	5.66%	4.80%	4.92%	7.43%	1.26%	3.03%	1.82%	3.42%	2.22%	3.33%	2.82%	1.93%	3.16%	2.53%	2.16%	6.99%	2.68%	3.32%	1.22%	1.24%	2.99%	0.98%	3.05%	3.95%	4.11%	0.92%	3.62%	2.33%	3.16%	1.62%	4.80%	0.00%	3.04%	3.03%	2.65%	4.38%	2.20%					
19	. Малышкин Олег Александрович	3021	36	95	46	91	52	33	69	77	82	56	49	63	73	78	125	97	88	49	36	6	27	6	16	4	32	7	7	29	51	60	30	37	29	16	25	14	4	56	48	70	60	27	6	36	14	26	28	50	84	25	47	42	28	62	57	28	19	30	20	49	6	21	22	26	50	34	13	59	3	107	11	15	32	15					
		5.34%	3.33%	7.72%	6.99%	7.10%	6.31%	5.42%	5.63%	7.75%	5.18%	4.36%	4.93%	5.59%	5.26%	5.77%	7.88%	5.79%	5.29%	5.56%	7.56%	1.61%	5.50%	0.62%	1.55%	0.38%	7.55%	3.43%	4.17%	3.98%	7.70%	7.26%	8.36%	10.28%	6.39%	8.47%	1.50%	0.94%	0.30%	5.19%	4.04%	7.03%	5.19%	4.87%	4.55%	4.67%	3.42%	14.44%	6.21%	4.40%	7.72%	6.58%	8.48%	6.99%	12.23%	10.39%	5.26%	4.27%	5.90%	8.15%	4.88%	8.31%	7.89%	2.79%	6.77%	5.53%	5.29%	5.66%	3.50%	7.45%	2.00%	9.02%	6.67%	9.93%	4.52%	5.49%					
20	. Миронов Сергей Михайлович	354	2	6	5	9	10	4	10	10	10	8	0	6	15	12	15	10	16	5	5	1	4	1	1	1	4	0	0	4	7	6	2	4	4	1	2	1	2	10	5	4	6	2	0	7	8	1	3	6	8	2	2	3	6	5	11	2	3	5	2	5	1	3	2	3	4	3	3	8	0	9	0	1	6	2					
		0.63%	0.19%	0.49%	0.76%	0.70%	1.21%	0.66%	0.82%	1.01%	0.63%	0.62%	0.00%	0.53%	1.08%	0.89%	0.95%	0.60%	0.96%	0.57%	1.05%	0.27%	0.81%	0.10%	0.10%	0.10%	0.94%	0.00%	0.00%	0.55%	1.06%	0.73%	0.56%	1.11%	0.88%	0.53%	0.12%	0.07%	0.15%	0.93%	0.42%	0.40%	0.52%	0.36%	0.00%	0.91%	1.96%	0.56%	0.67%	0.53%	0.74%	0.53%	0.36%	0.50%	2.62%	0.84%	1.01%	0.31%	0.93%	1.36%	0.49%	0.85%	1.32%	0.40%	0.62%	0.64%	0.42%	0.50%	0.81%	1.01%	0.00%	0.76%	0.00%	0.66%	0.85%	0.73%					
21	. Путин Владимир Владимирович	36673	845	832	456	878	555	400	836	622	965	829	646	692	884	862	1012	1107	1044	560	276	269	275	751	722	746	272	130	115	370	363	467	207	196	276	144	1161	938	908	569	610	494	628	322	78	399	271	121	295	780	793	236	380	402	115	384	735	532	230	256	321	392	43	532	217	337	649	438	306	569	138	778	121	99	375	117					
		64.83%	78.24%	67.59%	69.30%	68.54%	67.35%	65.68%	68.24%	62.58%	60.96%	64.56%	65.06%	61.40%	63.69%	63.76%	63.77%	66.05%	62.78%	63.49%	57.98%	72.31%	56.01%	77.82%	70.17%	71.52%	64.15%	63.73%	68.45%	50.82%	54.83%	56.54%	57.66%	54.44%	60.79%	76.19%	69.77%	63.16%	68.22%	52.78%	51.35%	49.60%	54.28%	58.12%	59.09%	51.75%	66.26%	67.22%	65.41%	68.66%	72.89%	62.11%	68.59%	66.89%	50.22%	64.32%	67.80%	81.22%	71.43%	69.57%	78.29%	66.44%	56.58%	70.56%	66.77%	71.70%	68.68%	72.88%	82.48%	71.84%	92.00%	65.60%	73.33%	65.56%	52.97%	42.86%					
22	. Хакамада Ирина Муцуовна	961	8	20	12	26	21	9	18	23	46	30	32	35	33	35	46	37	32	16	3	1	6	2	1	1	13	2	2	8	11	25	13	4	10	3	2	6	1	24	25	16	41	8	4	7	2	4	7	24	4	8	10	7	6	5	32	10	4	4	11	10	1	11	4	6	11	9	2	11	0	22	0	2	11	5					
		1.70%	0.74%	1.62%	1.82%	2.03%	2.55%	1.48%	1.47%	2.31%	2.91%	2.34%	3.22%	3.11%	2.38%	2.59%	2.90%	2.21%	1.92%	1.81%	0.63%	0.27%	1.22%	0.21%	0.10%	0.10%	3.07%	0.98%	1.19%	1.10%	1.66%	3.03%	3.62%	1.11%	2.20%	1.59%	0.12%	0.40%	0.08%	2.23%	2.10%	1.61%	3.54%	1.44%	3.03%	0.91%	0.49%	2.22%	1.55%	2.11%	0.37%	2.11%	1.81%	1.16%	2.62%	0.84%	2.95%	1.53%	1.24%	1.09%	2.68%	1.69%	1.32%	1.46%	1.23%	1.28%	1.16%	1.50%	0.54%	1.39%	0.00%	1.85%	0.00%	1.32%	1.55%	1.83%					
23	. Харитонов Николай Михайлович	11988	166	160	98	203	129	108	203	172	330	243	190	240	258	236	207	248	343	186	131	85	140	190	284	277	75	56	35	271	190	224	74	82	105	24	459	509	406	328	386	327	290	178	39	291	97	20	99	217	161	89	86	121	54	96	164	64	54	55	44	106	22	140	71	72	174	91	37	99	7	165	24	26	239	118					
		21.19%	15.37%	13.00%	14.89%	15.85%	15.66%	17.73%	16.57%	17.30%	20.85%	18.93%	19.13%	21.30%	18.59%	17.46%	13.04%	14.80%	20.63%	21.09%	27.52%	22.85%	28.51%	19.69%	27.60%	26.56%	17.69%	27.45%	20.83%	37.23%	28.70%	27.12%	20.61%	22.78%	23.13%	12.70%	27.58%	34.28%	30.50%	30.43%	32.49%	32.83%	25.06%	32.13%	29.55%	37.74%	23.72%	11.11%	21.95%	19.10%	14.80%	23.42%	15.52%	20.13%	23.58%	16.08%	15.13%	9.77%	16.77%	14.95%	10.73%	17.97%	28.95%	18.57%	21.85%	15.32%	18.41%	15.14%	9.97%	12.50%	4.67%	13.91%	14.55%	17.22%	33.76%	43.22%					
																																																																																	
24	Против всех	1316	4	73	15	14	24	21	34	38	50	54	39	35	43	55	89	84	45	16	5	2	11	2	2	4	9	3	3	21	6	13	9	10	5	0	2	4	3	23	44	33	42	8	0	14	1	4	3	19	11	4	13	11	4	20	38	9	8	5	5	7	0	8	3	9	17	6	3	5	1	69	2	4	13	3					
		2.33%	0.37%	5.93%	2.28%	1.09%	2.91%	3.45%	2.78%	3.82%	3.16%	4.21%	3.93%	3.11%	3.10%	4.07%	5.61%	5.01%	2.71%	1.81%	1.05%	0.54%	2.24%	0.21%	0.19%	0.38%	2.12%	1.47%	1.79%	2.88%	0.91%	1.57%	2.51%	2.78%	1.10%	0.00%	0.12%	0.27%	0.23%	2.13%	3.70%	3.31%	3.63%	1.44%	0.00%	1.82%	0.24%	2.22%	0.67%	1.67%	1.01%	1.05%	2.35%	1.83%	1.75%	3.35%	3.51%	1.37%	2.48%	1.36%	1.22%	1.19%	0.00%	1.06%	0.92%	1.91%	1.80%	1.00%	0.81%	0.63%	0.67%	5.82%	1.21%	2.65%	1.84%	1.10%					
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
