Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
Наименование Избирательной комиссии:    Егорлыкская																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК  161	УИК  162	УИК  163	УИК  164	УИК  165	УИК  166	УИК  167	УИК  168	УИК  169	УИК  170	УИК  171	УИК  172	УИК  173	УИК  174	УИК  175	УИК  176	УИК  177	УИК  179	УИК  180	УИК  181	УИК  182	УИК  183	УИК  184					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	310	15	15	15	15	15	15	15	15	45	10	10	10	10	15	10	10	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	92	5	1	8	2	4	5	2	0	39	3	5	1	3	2	1	1	1	1	0	0	6	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	87	5	4	4	0	11	5	3	5	4	4	2	2	3	4	3	3	2	5	2	3	4	4	5					
14	Число погашенных открепительных удостоверений	218	10	14	7	13	11	10	13	15	6	7	5	9	7	13	9	9	9	9	10	10	4	9	9					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
18	"1. ""ЕДИНЕНИЕ"""	243	17	5	12	14	32	14	4	5	13	3	4	8	12	12	0	6	11	18	6	6	20	0	21					
		1.16%	1.41%	0.68%	1.15%	1.47%	2.40%	0.97%	0.31%	0.61%	1.38%	0.42%	0.67%	2.29%	2.62%	1.90%	0.0%	2.45%	1.33%	1.81%	0.88%	0.61%	1.20%	0.0%	1.80%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	170	14	7	18	3	14	8	8	9	18	9	3	0	5	12	14	0	3	6	2	0	7	0	10					
		0.81%	1.16%	0.96%	1.72%	0.31%	1.05%	0.55%	0.62%	1.11%	1.91%	1.27%	0.50%	0.0%	1.09%	1.90%	1.29%	0.0%	0.36%	0.60%	0.29%	0.0%	0.42%	0.0%	0.85%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	279	26	15	31	4	43	19	11	10	7	7	6	2	4	16	12	3	5	16	8	0	17	0	17					
		1.33%	2.15%	2.05%	2.97%	0.42%	3.22%	1.32%	0.86%	1.23%	0.74%	0.99%	1.01%	0.57%	0.87%	2.53%	1.10%	1.22%	0.60%	1.61%	1.18%	0.0%	1.02%	0.0%	1.46%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	203	11	19	23	8	19	14	0	14	11	3	4	1	1	7	12	1	2	14	2	7	8	7	15					
		0.97%	0.91%	2.60%	2.20%	0.84%	1.42%	0.97%	0.0%	1.73%	1.16%	0.42%	0.67%	0.28%	0.21%	1.11%	1.10%	0.40%	0.24%	1.40%	0.29%	0.71%	0.48%	0.86%	1.28%					
22	"5. ""За Русь Святую"""	44	4	3	1	2	6	1	2	5	6	2	1	0	0	2	0	1	1	0	3	0	1	0	3					
		0.21%	0.33%	0.41%	0.09%	0.21%	0.45%	0.06%	0.15%	0.61%	0.63%	0.28%	0.16%	0.0%	0.0%	0.31%	0.0%	0.40%	0.12%	0.0%	0.44%	0.0%	0.06%	0.0%	0.25%					
23	"6. ""Объединенная Российская партия ""Русь"""	37	2	0	4	2	2	4	4	2	5	1	0	0	2	3	0	0	3	2	0	0	1	0	0					
		0.17%	0.16%	0.0%	0.38%	0.21%	0.15%	0.27%	0.31%	0.24%	0.53%	0.14%	0.0%	0.0%	0.43%	0.47%	0.0%	0.0%	0.36%	0.20%	0.0%	0.0%	0.06%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	70	5	0	8	2	7	4	3	6	8	1	0	0	0	3	0	0	1	4	3	0	7	0	8					
		0.33%	0.41%	0.0%	0.76%	0.21%	0.52%	0.27%	0.23%	0.74%	0.84%	0.14%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%	0.12%	0.40%	0.44%	0.0%	0.42%	0.0%	0.68%					
25	"8. ""Народно-республиканская партия России"""	29	3	0	4	0	3	1	0	0	7	5	0	0	1	0	0	1	0	1	1	0	1	1	0					
		0.13%	0.24%	0.0%	0.38%	0.0%	0.22%	0.06%	0.0%	0.0%	0.74%	0.70%	0.0%	0.0%	0.21%	0.0%	0.0%	0.40%	0.0%	0.10%	0.14%	0.0%	0.06%	0.12%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	29	4	1	0	0	5	1	0	0	9	0	0	0	2	0	0	2	0	2	0	0	3	0	0					
		0.13%	0.33%	0.13%	0.0%	0.0%	0.37%	0.06%	0.0%	0.0%	0.95%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.81%	0.0%	0.20%	0.0%	0.0%	0.18%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	667	24	9	29	12	37	26	30	13	11	20	12	7	15	17	130	12	40	54	27	9	41	42	50					
		3.19%	1.99%	1.23%	2.78%	1.26%	2.77%	1.80%	2.34%	1.61%	1.16%	2.83%	2.02%	2.01%	3.27%	2.69%	11.99%	4.91%	4.85%	5.43%	3.99%	0.92%	2.47%	5.18%	4.29%					
28	"11. ""Истинные патриоты России"""	62	2	0	4	0	0	1	0	1	4	0	1	32	2	1	0	6	4	3	0	0	1	0	0					
		0.29%	0.16%	0.0%	0.38%	0.0%	0.0%	0.06%	0.0%	0.12%	0.42%	0.0%	0.16%	9.19%	0.43%	0.15%	0.0%	2.45%	0.48%	0.30%	0.0%	0.0%	0.06%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	216	32	8	6	0	27	11	17	17	13	1	2	0	14	9	0	5	5	13	14	0	9	4	9					
		1.03%	2.65%	1.09%	0.57%	0.0%	2.02%	0.76%	1.33%	2.10%	1.38%	0.14%	0.33%	0.0%	3.05%	1.42%	0.0%	2.04%	0.60%	1.30%	2.07%	0.0%	0.54%	0.49%	0.77%					
30	"13. ""Демократическая партия России"""	44	6	2	4	0	4	2	0	0	3	2	0	4	1	4	0	0	0	7	0	0	1	2	2					
		0.21%	0.49%	0.27%	0.38%	0.0%	0.30%	0.13%	0.0%	0.0%	0.31%	0.28%	0.0%	1.14%	0.21%	0.63%	0.0%	0.0%	0.0%	0.70%	0.0%	0.0%	0.06%	0.24%	0.17%					
31	"14. ""Великая Россия - Евразийский Союз"""	16	1	0	1	0	2	1	0	0	3	0	1	1	0	2	0	1	1	0	0	0	2	0	0					
		0.07%	0.08%	0.0%	0.09%	0.0%	0.15%	0.06%	0.0%	0.0%	0.31%	0.0%	0.16%	0.28%	0.0%	0.31%	0.0%	0.40%	0.12%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	18	2	0	1	0	1	2	0	0	3	0	0	0	2	0	0	2	1	1	0	0	1	1	1					
		0.08%	0.16%	0.0%	0.09%	0.0%	0.07%	0.13%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.81%	0.12%	0.10%	0.0%	0.0%	0.06%	0.12%	0.08%					
33	"16. ""Родина"" (народно-патриотический союз)"""	777	66	31	59	6	82	78	54	33	84	14	19	5	8	36	20	7	25	41	9	14	44	0	42					
		3.72%	5.47%	4.25%	5.65%	0.63%	6.15%	5.42%	4.22%	4.08%	8.91%	1.98%	3.19%	1.43%	1.74%	5.71%	1.84%	2.86%	3.03%	4.12%	1.33%	1.43%	2.65%	0.0%	3.61%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	23	1	1	2	0	0	5	1	2	4	0	0	0	1	0	0	0	1	3	0	0	2	0	0					
		0.11%	0.08%	0.13%	0.19%	0.0%	0.0%	0.34%	0.07%	0.24%	0.42%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.12%	0.30%	0.0%	0.0%	0.12%	0.0%	0.0%					
35	"18. ""ЛДПР"""	1595	110	61	116	48	133	55	112	62	193	85	32	11	50	67	5	27	56	95	58	16	94	0	109					
		7.63%	9.12%	8.36%	11.12%	5.05%	9.97%	3.82%	8.76%	7.68%	20.48%	12.03%	5.38%	3.16%	10.91%	10.63%	0.46%	11.06%	6.79%	9.56%	8.57%	1.64%	5.67%	0.0%	9.37%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	245	26	10	20	6	24	25	9	13	5	8	14	1	4	10	0	1	2	21	6	0	24	0	16					
		1.17%	2.15%	1.37%	1.91%	0.63%	1.80%	1.73%	0.70%	1.61%	0.53%	1.13%	2.35%	0.28%	0.87%	1.58%	0.0%	0.40%	0.24%	2.11%	0.88%	0.0%	1.44%	0.0%	1.37%					
37	"20. ""Политическая партия ""Единая Россия"""	12898	636	462	513	685	555	846	840	501	393	488	410	252	229	319	814	132	532	493	460	802	1167	636	733					
		61.75%	52.78%	63.37%	49.18%	72.10%	41.63%	58.83%	65.72%	62.08%	41.71%	69.12%	69.02%	72.41%	50.0%	50.63%	75.09%	54.09%	64.56%	49.64%	68.04%	82.42%	70.42%	78.51%	63.02%					
38	"21. ""Российская Конституционно-демократическая партия"""	43	5	1	2	0	3	4	3	5	2	0	3	1	3	1	0	0	0	1	3	0	5	0	1					
		0.20%	0.41%	0.13%	0.19%	0.0%	0.22%	0.27%	0.23%	0.61%	0.21%	0.0%	0.50%	0.28%	0.65%	0.15%	0.0%	0.0%	0.0%	0.10%	0.44%	0.0%	0.30%	0.0%	0.08%					
39	"22. ""Развитие предпринимательства"""	46	1	3	6	5	4	8	2	2	2	2	1	0	0	0	0	2	0	2	3	0	1	0	2					
		0.22%	0.08%	0.41%	0.57%	0.52%	0.30%	0.55%	0.15%	0.24%	0.21%	0.28%	0.16%	0.0%	0.0%	0.0%	0.0%	0.81%	0.0%	0.20%	0.44%	0.0%	0.06%	0.0%	0.17%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2481	164	66	138	137	283	272	150	74	65	38	71	20	74	77	57	28	109	140	51	90	166	115	96					
		11.87%	13.60%	9.05%	13.23%	14.42%	21.23%	18.91%	11.73%	9.16%	6.90%	5.38%	11.95%	5.74%	16.15%	12.22%	5.25%	11.47%	13.22%	14.09%	7.54%	9.24%	10.01%	14.19%	8.25%					
																														
41	Против всех	445	35	14	22	12	41	25	18	27	62	14	8	2	15	12	6	2	10	56	13	6	22	2	21					
		2.13%	2.90%	1.92%	2.10%	1.26%	3.07%	1.73%	1.40%	3.34%	6.58%	1.98%	1.34%	0.57%	3.27%	1.90%	0.55%	0.81%	1.21%	5.63%	1.92%	0.61%	1.32%	0.24%	1.80%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
