Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Чебулинская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1721	УИК №1722									
		0.29%	0.41%	0.29%	0.47%	1.64%	0.00%	0.00%	0.00%	0.25%	0.57%	0.24%	0.25%	0.00%	0.63%	0.60%	0.00%	0.25%	0.30%	0.00%	0.00%	0.25%	0.00%	0.76%	0.00%	0.00%	0.13%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	46	2	3	11	6	0	0	0	0	2	0	3	0	2	0	0	1	0	3	0	2	2	3	0	0	6	0									
		0.47%	0.27%	0.29%	1.30%	4.92%	0.00%	0.00%	0.00%	0.00%	0.57%	0.00%	0.74%	0.00%	1.27%	0.00%	0.00%	0.25%	0.00%	0.88%	0.00%	0.49%	0.23%	1.14%	0.00%	0.00%	0.77%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	26	2	2	6	0	0	0	0	0	1	1	2	0	0	0	0	4	2	0	0	3	1	0	1	0	1	0									
		0.27%	0.27%	0.19%	0.71%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.24%	0.49%	0.00%	0.00%	0.00%	0.00%	0.99%	0.30%	0.00%	0.00%	0.74%	0.12%	0.00%	2.63%	0.00%	0.13%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7927	623	838	755	103	31	132	100	355	295	302	248	98	130	420	61	345	565	282	138	372	608	199	26	119	605	177									
		81.02%	84.30%	79.96%	88.93%	84.43%	93.94%	80.98%	79.37%	87.87%	84.77%	72.42%	60.78%	85.22%	82.28%	84.51%	84.72%	85.40%	84.45%	82.94%	78.86%	91.40%	71.11%	75.38%	68.42%	82.64%	77.96%	83.10%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	18	2	2	4	1	0	0	0	0	0	0	0	0	1	0	2	0	1	0	1	0	2	1	0	0	1	0									
		0.18%	0.27%	0.19%	0.47%	0.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	2.78%	0.00%	0.15%	0.00%	0.57%	0.00%	0.23%	0.38%	0.00%	0.00%	0.13%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0									
		0.07%	0.14%	0.10%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	644	67	73	42	9	2	12	8	23	15	23	96	13	8	29	3	25	32	14	11	2	43	33	2	9	37	13									
		6.58%	9.07%	6.97%	4.95%	7.38%	6.06%	7.36%	6.35%	5.69%	4.31%	5.52%	23.53%	11.30%	5.06%	5.84%	4.17%	6.19%	4.78%	4.12%	6.29%	0.49%	5.03%	12.50%	5.26%	6.25%	4.77%	6.10%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	9	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	2	0									
		0.09%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	11	1	2	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0									
		0.11%	0.14%	0.19%	0.12%	0.00%	0.00%	0.00%	0.00%	0.50%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.38%	0.00%	0.00%	0.26%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0									
		0.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	24	3	2	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	3	0	2	3	0	0	0	6	0									
		0.25%	0.41%	0.19%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.63%	0.20%	0.00%	0.00%	0.15%	0.88%	0.00%	0.49%	0.35%	0.00%	0.00%	0.00%	0.77%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	603	26	94	14	1	0	19	13	20	18	21	50	3	10	23	6	24	36	24	18	16	45	16	7	11	75	13									
		6.16%	3.52%	8.97%	1.65%	0.82%	0.00%	11.66%	10.32%	4.95%	5.17%	5.04%	12.25%	2.61%	6.33%	4.63%	8.33%	5.94%	5.38%	7.06%	10.29%	3.93%	5.26%	6.06%	18.42%	7.64%	9.66%	6.10%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	10	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	4	0									
		0.10%	0.00%	0.19%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.52%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	350	2	14	5	0	0	0	5	2	12	64	0	0	2	21	0	0	21	1	7	0	145	2	2	3	33	9									
		3.58%	0.27%	1.34%	0.59%	0.00%	0.00%	0.00%	3.97%	0.50%	3.45%	15.35%	0.00%	0.00%	1.27%	4.23%	0.00%	0.00%	3.14%	0.29%	4.00%	0.00%	16.96%	0.76%	5.26%	2.08%	4.25%	4.23%									
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
