Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Вичугская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1255	151	181	42	70	111	106	107	50	28	32	74	24	34	73	43	67	62									
		20.54%	26.63%	33.64%	13.64%	18.23%	20.71%	19.10%	20.82%	19.53%	10.53%	11.03%	26.24%	13.95%	13.71%	17.59%	12.22%	34.36%	26.84%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	33	7	3	1	2	1	1	4	2	1	1	1	0	2	3	1	1	2									
		0.54%	1.23%	0.56%	0.32%	0.52%	0.19%	0.18%	0.78%	0.78%	0.38%	0.34%	0.35%	0.00%	0.81%	0.72%	0.28%	0.51%	0.87%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	326	27	15	27	33	39	35	40	6	4	11	7	2	5	41	17	12	5									
		5.34%	4.76%	2.79%	8.77%	8.59%	7.28%	6.31%	7.78%	2.34%	1.50%	3.79%	2.48%	1.16%	2.02%	9.88%	4.83%	6.15%	2.16%									
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
