Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																					
Дата голосования: 07.12.2003 0:00:00																																					
																																					
Наименование Избирательной комиссии:    Еманжелинская городская																																					
																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																					
																																					
		Сумма	УИК  1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	37	0	1	0	2	1	1	0	2	3	1	1	1	1	1	0	0	2	3	1	5	3	1	0	1	1	2	0	2	0	1					
		0.19%	0.0%	0.19%	0.0%	0.25%	0.13%	0.17%	0.0%	0.31%	0.41%	0.13%	0.15%	0.14%	0.13%	0.14%	0.0%	0.0%	1.32%	0.68%	0.16%	0.79%	0.40%	0.15%	0.0%	0.16%	0.18%	0.48%	0.0%	0.29%	0.0%	0.13%					
35	"18. ""ЛДПР"""	1980	76	41	70	75	60	69	61	43	61	70	64	80	74	95	76	44	13	67	88	70	55	88	60	75	79	44	30	76	75	101					
		10.69%	10.57%	7.86%	12.08%	9.67%	8.07%	12.27%	10.77%	6.83%	8.35%	9.66%	9.71%	11.73%	9.67%	13.41%	10.09%	7.06%	8.60%	15.33%	14.83%	11.09%	7.46%	13.72%	8.96%	12.01%	14.28%	10.65%	13.69%	11.17%	10.96%	13.46%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	186	9	7	4	6	6	5	7	7	6	4	3	1	10	11	6	4	0	5	4	4	9	10	7	12	14	6	5	4	3	7					
		1.00%	1.25%	1.34%	0.69%	0.77%	0.80%	0.88%	1.23%	1.11%	0.82%	0.55%	0.45%	0.14%	1.30%	1.55%	0.79%	0.64%	0.0%	1.14%	0.67%	0.63%	1.22%	1.56%	1.04%	1.92%	2.53%	1.45%	2.28%	0.58%	0.43%	0.93%					
37	"20. ""Политическая партия ""Единая Россия"""	3627	146	95	117	177	172	107	126	99	133	154	130	130	117	125	146	141	39	79	101	118	152	121	137	130	110	77	42	113	144	149					
		19.58%	20.30%	18.23%	20.20%	22.83%	23.14%	19.03%	22.26%	15.73%	18.21%	21.27%	19.72%	19.06%	15.29%	17.65%	19.38%	22.63%	25.82%	18.07%	17.03%	18.70%	20.62%	18.87%	20.47%	20.83%	19.89%	18.64%	19.17%	16.61%	21.05%	19.86%					
38	"21. ""Российская Конституционно-демократическая партия"""	24	1	0	3	0	2	1	0	0	0	0	1	2	2	1	1	3	0	0	1	0	0	1	1	0	0	2	0	1	0	1					
		0.12%	0.13%	0.0%	0.51%	0.0%	0.26%	0.17%	0.0%	0.0%	0.0%	0.0%	0.15%	0.29%	0.26%	0.14%	0.13%	0.48%	0.0%	0.0%	0.16%	0.0%	0.0%	0.15%	0.14%	0.0%	0.0%	0.48%	0.0%	0.14%	0.0%	0.13%					
39	"22. ""Развитие предпринимательства"""	47	0	2	3	0	1	0	1	2	4	1	3	4	4	0	7	1	0	0	2	2	2	1	1	1	0	0	0	3	1	1					
		0.25%	0.0%	0.38%	0.51%	0.0%	0.13%	0.0%	0.17%	0.31%	0.54%	0.13%	0.45%	0.58%	0.52%	0.0%	0.92%	0.16%	0.0%	0.0%	0.33%	0.31%	0.27%	0.15%	0.14%	0.16%	0.0%	0.0%	0.0%	0.44%	0.14%	0.13%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2185	57	56	59	86	78	77	79	55	68	71	45	88	69	74	84	59	33	61	66	101	112	120	109	70	64	51	29	98	90	76					
		11.79%	7.92%	10.74%	10.18%	11.09%	10.49%	13.70%	13.95%	8.74%	9.31%	9.80%	6.82%	12.90%	9.01%	10.45%	11.15%	9.47%	21.85%	13.95%	11.12%	16.00%	15.19%	18.72%	16.29%	11.21%	11.57%	12.34%	13.24%	14.41%	13.15%	10.13%					
																																					
41	Против всех	765	17	12	17	25	20	24	16	28	17	25	42	26	22	27	27	25	9	14	46	22	34	25	21	31	35	20	13	40	40	45					
		4.13%	2.36%	2.30%	2.93%	3.22%	2.69%	4.27%	2.82%	4.45%	2.32%	3.45%	6.37%	3.81%	2.87%	3.81%	3.58%	4.01%	5.96%	3.20%	7.75%	3.48%	4.61%	3.90%	3.13%	4.96%	6.32%	4.84%	5.93%	5.88%	5.84%	6.0%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
