Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																													
Дата голосования: 18.09.2016																																																																													
																																																																													
Наименование Избирательной комиссии:    Минераловодская																																																																													
																																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																																													
																																																																													
		Сумма	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	615	7	10	10	10	10	7	10	18	15	7	13	10	10	10	15	10	13	10	10	10	15	15	10	10	10	7	10	12	10	5	15	10	10	7	5	10	7	15	10	7	10	5	5	14	7	7	10	7	10	5	10	5	5	3	3	4	10	5	5	10	10	13	10	15	7	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	411	2	7	9	10	10	5	3	18	12	5	12	7	10	9	15	4	13	7	8	7	7	14	8	8	2	0	10	10	5	3	15	2	8	2	1	10	3	15	5	1	8	1	1	11	1	1	4	7	5	3	6	2	0	1	0	2	4	0	2	10	7	13	5	15	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	463	0	6	1	16	2	2	3	6	7	5	7	8	8	11	10	8	6	4	4	5	1	11	1	3	1	2	20	7	2	1	0	1	4	0	1	1	1	0	5	2	11	4	2	6	44	1	2	3	21	7	13	0	21	1	28	18	27	15	27	3	10	4	0	7	5	0									
14	Число погашенных неиспользованных открепительных удостоверений	204	5	3	1	0	0	2	7	0	3	2	1	3	0	1	0	6	0	3	2	3	8	1	2	2	8	7	0	2	5	2	0	8	2	5	4	0	4	0	5	6	2	4	4	3	6	6	6	0	5	2	4	3	5	2	3	2	6	5	3	0	3	0	5	0	7	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	69	1	1	2	2	1	1	1	2	0	0	0	2	2	2	2	1	3	0	2	2	1	5	0	0	1	1	1	2	2	0	1	0	0	2	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	1	0	4	3	5	1	2	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	542	10	6	3	8	11	7	8	15	1	12	17	17	15	12	13	10	8	14	9	10	23	25	10	10	6	2	3	13	4	2	11	13	18	5	7	13	2	4	16	7	5	1	1	1	3	1	9	4	6	11	6	0	0	2	1	3	11	2	2	13	6	11	6	21	13	3									
		1.79%	3.47%	1.59%	0.85%	1.96%	2.22%	2.82%	1.81%	2.07%	0.17%	3.24%	2.81%	2.37%	2.72%	3.31%	1.50%	2.27%	1.60%	2.24%	1.68%	1.61%	2.92%	2.69%	2.51%	2.46%	1.60%	0.66%	0.63%	1.98%	1.15%	1.35%	1.50%	2.19%	2.96%	2.09%	4.58%	3.13%	0.99%	0.58%	3.60%	2.38%	0.88%	0.85%	0.71%	0.24%	0.87%	0.29%	1.60%	1.23%	1.01%	1.53%	0.81%	0.00%	0.00%	0.42%	0.18%	0.90%	1.83%	1.37%	1.09%	2.29%	1.23%	1.77%	1.30%	2.72%	4.02%	1.95%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1062	9	13	11	22	18	9	17	24	14	18	10	33	15	0	22	20	19	22	17	22	14	29	13	14	14	9	3	22	18	7	30	21	24	5	5	12	12	26	10	25	20	1	5	7	8	9	22	15	22	28	18	3	3	15	10	14	26	7	4	18	13	18	17	30	72	9									
		3.50%	3.13%	3.44%	3.13%	5.39%	3.63%	3.63%	3.85%	3.31%	2.31%	4.86%	1.65%	4.60%	2.72%	0.00%	2.54%	4.55%	3.80%	3.52%	3.17%	3.54%	1.78%	3.12%	3.26%	3.45%	3.72%	2.98%	0.63%	3.35%	5.19%	4.73%	4.09%	3.54%	3.94%	2.09%	3.27%	2.88%	5.97%	3.78%	2.25%	8.50%	3.50%	0.85%	3.57%	1.71%	2.33%	2.60%	3.92%	4.62%	3.69%	3.89%	2.43%	0.92%	2.59%	3.15%	1.80%	4.19%	4.33%	4.79%	2.19%	3.17%	2.67%	2.89%	3.70%	3.88%	22.29%	5.84%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	656	3	9	2	18	9	8	7	14	4	10	20	19	8	4	40	5	15	28	8	9	18	27	11	12	11	5	4	17	12	3	24	17	12	2	2	6	5	7	4	9	9	1	3	5	3	5	8	5	7	14	13	8	4	6	6	4	14	4	3	15	6	12	13	27	9	4									
		2.16%	1.04%	2.38%	0.57%	4.41%	1.81%	3.23%	1.59%	1.93%	0.66%	2.70%	3.31%	2.65%	1.45%	1.10%	4.62%	1.14%	3.00%	4.48%	1.49%	1.45%	2.29%	2.90%	2.76%	2.96%	2.93%	1.66%	0.84%	2.59%	3.46%	2.03%	3.27%	2.86%	1.97%	0.84%	1.31%	1.44%	2.49%	1.02%	0.90%	3.06%	1.58%	0.85%	2.14%	1.22%	0.87%	1.45%	1.43%	1.54%	1.17%	1.94%	1.75%	2.45%	3.45%	1.26%	1.08%	1.20%	2.33%	2.74%	1.64%	2.65%	1.23%	1.93%	2.83%	3.49%	2.79%	2.60%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13510	98	147	200	147	192	115	160	280	371	106	254	281	217	173	381	179	203	186	197	282	312	327	145	155	128	139	286	215	126	52	263	306	250	123	67	160	107	290	186	125	285	58	96	241	194	166	268	144	305	389	516	270	53	314	405	166	253	73	63	227	260	210	178	287	102	56									
		44.55%	34.03%	38.89%	56.82%	36.03%	38.71%	46.37%	36.28%	38.67%	61.32%	28.65%	41.98%	39.14%	39.38%	47.79%	44.05%	40.68%	40.60%	29.76%	36.69%	45.41%	39.64%	35.16%	36.34%	38.18%	34.04%	46.03%	60.34%	32.77%	36.31%	35.14%	35.83%	51.52%	41.05%	51.46%	43.79%	38.46%	53.23%	42.15%	41.89%	42.52%	49.91%	49.57%	68.57%	58.92%	56.56%	47.98%	47.77%	44.31%	51.09%	54.03%	69.54%	82.57%	45.69%	65.97%	72.97%	49.70%	42.17%	50.00%	34.43%	40.04%	53.39%	33.76%	38.70%	37.13%	31.58%	36.36%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	317	2	2	0	6	6	2	7	7	8	5	7	10	6	2	15	7	8	11	5	3	12	16	7	2	5	7	2	7	6	3	11	6	6	1	0	8	0	3	7	0	3	0	0	2	3	2	2	7	6	4	7	1	1	3	4	2	6	0	2	5	5	8	4	7	5	0									
		1.05%	0.69%	0.53%	0.00%	1.47%	1.21%	0.81%	1.59%	0.97%	1.32%	1.35%	1.16%	1.39%	1.09%	0.55%	1.73%	1.59%	1.60%	1.76%	0.93%	0.48%	1.52%	1.72%	1.75%	0.49%	1.33%	2.32%	0.42%	1.07%	1.73%	2.03%	1.50%	1.01%	0.99%	0.42%	0.00%	1.92%	0.00%	0.44%	1.58%	0.00%	0.53%	0.00%	0.00%	0.49%	0.87%	0.58%	0.36%	2.15%	1.01%	0.56%	0.94%	0.31%	0.86%	0.63%	0.72%	0.60%	1.00%	0.00%	1.09%	0.88%	1.03%	1.29%	0.87%	0.91%	1.55%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	46	0	0	1	0	1	0	0	0	1	1	2	0	0	0	0	1	1	1	0	2	1	0	0	0	0	0	1	4	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	2	2	1	2	1	0	1	0	0	1	1	1	1	1	1	2	2	5	1	0									
		0.15%	0.00%	0.00%	0.28%	0.00%	0.20%	0.00%	0.00%	0.00%	0.17%	0.27%	0.33%	0.00%	0.00%	0.00%	0.00%	0.23%	0.20%	0.16%	0.00%	0.32%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.61%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.29%	0.00%	0.36%	0.62%	0.17%	0.28%	0.13%	0.00%	0.86%	0.00%	0.00%	0.30%	0.17%	0.68%	0.55%	0.18%	0.21%	0.32%	0.43%	0.65%	0.31%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5534	71	72	42	88	91	46	102	139	89	84	126	129	89	45	118	60	92	140	94	108	132	185	90	106	70	65	75	125	86	39	167	100	137	37	23	103	41	162	111	58	95	28	24	75	33	72	111	63	92	89	26	24	34	40	45	48	90	29	39	96	82	187	99	182	63	31									
		18.25%	24.65%	19.05%	11.93%	21.57%	18.35%	18.55%	23.13%	19.20%	14.71%	22.70%	20.83%	17.97%	16.15%	12.43%	13.64%	13.64%	18.40%	22.40%	17.50%	17.39%	16.77%	19.89%	22.56%	26.11%	18.62%	21.52%	15.82%	19.05%	24.78%	26.35%	22.75%	16.84%	22.50%	15.48%	15.03%	24.76%	20.40%	23.55%	25.00%	19.73%	16.64%	23.93%	17.14%	18.34%	9.62%	20.81%	19.79%	19.38%	15.41%	12.36%	3.50%	7.34%	29.31%	8.40%	8.11%	14.37%	15.00%	19.86%	21.31%	16.93%	16.84%	30.06%	21.52%	23.54%	19.50%	20.13%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	216	2	1	4	6	0	1	3	5	2	4	5	12	3	2	4	2	5	5	10	7	4	17	1	8	7	0	2	7	2	1	1	3	5	2	1	1	0	2	1	2	3	0	0	1	0	3	2	3	3	1	1	1	1	1	4	2	5	0	1	4	0	6	2	14	8	0									
		0.71%	0.69%	0.26%	1.14%	1.47%	0.00%	0.40%	0.68%	0.69%	0.33%	1.08%	0.83%	1.67%	0.54%	0.55%	0.46%	0.45%	1.00%	0.80%	1.86%	1.13%	0.51%	1.83%	0.25%	1.97%	1.86%	0.00%	0.42%	1.07%	0.58%	0.68%	0.14%	0.51%	0.82%	0.84%	0.65%	0.24%	0.00%	0.29%	0.23%	0.68%	0.53%	0.00%	0.00%	0.24%	0.00%	0.87%	0.36%	0.92%	0.50%	0.14%	0.13%	0.31%	0.86%	0.21%	0.72%	0.60%	0.83%	0.00%	0.55%	0.71%	0.00%	0.96%	0.43%	1.81%	2.48%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	335	3	2	3	6	6	4	5	16	6	6	12	9	6	6	11	8	6	3	6	5	7	17	7	10	10	6	1	11	3	2	10	3	7	0	0	6	3	11	5	0	2	0	0	1	3	1	4	3	3	1	3	2	0	2	0	3	4	2	1	6	5	13	1	13	12	2									
		1.10%	1.04%	0.53%	0.85%	1.47%	1.21%	1.61%	1.13%	2.21%	0.99%	1.62%	1.98%	1.25%	1.09%	1.66%	1.27%	1.82%	1.20%	0.48%	1.12%	0.81%	0.89%	1.83%	1.75%	2.46%	2.66%	1.99%	0.21%	1.68%	0.86%	1.35%	1.36%	0.51%	1.15%	0.00%	0.00%	1.44%	1.49%	1.60%	1.13%	0.00%	0.35%	0.00%	0.00%	0.24%	0.87%	0.29%	0.71%	0.92%	0.50%	0.14%	0.40%	0.61%	0.00%	0.42%	0.00%	0.90%	0.67%	1.37%	0.55%	1.06%	1.03%	2.09%	0.22%	1.68%	3.72%	1.30%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	27	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	1	0	1	2	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	2									
		0.09%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.14%	0.18%	0.00%	0.00%	0.00%	0.20%	0.16%	0.19%	0.00%	0.13%	0.22%	0.00%	0.00%	0.00%	0.33%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.34%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.18%	0.00%	0.17%	0.14%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.17%	0.00%	0.00%	0.18%	0.21%	0.00%	0.00%	0.00%	0.31%	1.30%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	335	5	8	5	7	3	1	5	7	3	6	5	10	6	8	14	6	12	8	5	4	32	14	7	3	9	5	2	14	0	3	10	1	6	1	0	3	2	3	2	2	4	0	1	2	0	1	3	0	0	10	8	1	1	0	4	1	1	1	5	16	5	7	4	7	4	2									
		1.10%	1.74%	2.12%	1.42%	1.72%	0.60%	0.40%	1.13%	0.97%	0.50%	1.62%	0.83%	1.39%	1.09%	2.21%	1.62%	1.36%	2.40%	1.28%	0.93%	0.64%	4.07%	1.51%	1.75%	0.74%	2.39%	1.66%	0.42%	2.13%	0.00%	2.03%	1.36%	0.17%	0.99%	0.42%	0.00%	0.72%	0.99%	0.44%	0.45%	0.68%	0.70%	0.00%	0.71%	0.49%	0.00%	0.29%	0.53%	0.00%	0.00%	1.39%	1.08%	0.31%	0.86%	0.00%	0.72%	0.30%	0.17%	0.68%	2.73%	2.82%	1.03%	1.13%	0.87%	0.91%	1.24%	1.30%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4817	59	82	53	63	107	31	92	142	69	75	98	122	135	8	150	72	95	109	100	114	149	148	68	62	73	39	60	146	51	22	134	82	87	33	32	70	19	113	62	37	82	17	6	48	52	46	76	45	85	120	71	13	14	72	46	68	126	11	41	117	60	93	76	124	16	29									
		15.88%	20.49%	21.69%	15.06%	15.44%	21.57%	12.50%	20.86%	19.61%	11.40%	20.27%	16.20%	16.99%	24.50%	2.21%	17.34%	16.36%	19.00%	17.44%	18.62%	18.36%	18.93%	15.91%	17.04%	15.27%	19.41%	12.91%	12.66%	22.26%	14.70%	14.86%	18.26%	13.80%	14.29%	13.81%	20.92%	16.83%	9.45%	16.42%	13.96%	12.59%	14.36%	14.53%	4.29%	11.74%	15.16%	13.29%	13.55%	13.85%	14.24%	16.67%	9.57%	3.98%	12.07%	15.13%	8.29%	20.36%	21.00%	7.53%	22.40%	20.63%	12.32%	14.95%	16.52%	16.04%	4.95%	18.83%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	144	2	0	0	2	0	0	0	3	2	6	3	2	2	0	5	2	1	3	5	3	8	7	3	1	1	6	1	5	0	1	8	2	4	4	2	4	1	1	2	1	3	0	0	0	1	1	2	2	3	3	2	0	0	0	0	1	0	2	2	1	5	6	2	4	1	0									
		0.47%	0.69%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.41%	0.33%	1.62%	0.50%	0.28%	0.36%	0.00%	0.58%	0.45%	0.20%	0.48%	0.93%	0.48%	1.02%	0.75%	0.75%	0.25%	0.27%	1.99%	0.21%	0.76%	0.00%	0.68%	1.09%	0.34%	0.66%	1.67%	1.31%	0.96%	0.50%	0.15%	0.45%	0.34%	0.53%	0.00%	0.00%	0.00%	0.29%	0.29%	0.36%	0.62%	0.50%	0.42%	0.27%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	1.37%	1.09%	0.18%	1.03%	0.96%	0.43%	0.52%	0.31%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1628	16	17	16	19	35	11	23	43	31	19	28	63	30	28	71	32	34	77	57	39	54	76	23	12	27	12	13	47	16	9	38	27	33	15	8	15	5	38	18	8	24	0	1	16	22	12	12	24	40	25	21	3	3	14	19	16	26	9	11	32	14	30	27	30	7	7									
		5.37%	5.56%	4.50%	4.55%	4.66%	7.06%	4.44%	5.22%	5.94%	5.12%	5.14%	4.63%	8.77%	5.44%	7.73%	8.21%	7.27%	6.80%	12.32%	10.61%	6.28%	6.86%	8.17%	5.76%	2.96%	7.18%	3.97%	2.74%	7.16%	4.61%	6.08%	5.18%	4.55%	5.42%	6.28%	5.23%	3.61%	2.49%	5.52%	4.05%	2.72%	4.20%	0.00%	0.71%	3.91%	6.41%	3.47%	2.14%	7.38%	6.70%	3.47%	2.83%	0.92%	2.59%	2.94%	3.42%	4.79%	4.33%	6.16%	6.01%	5.64%	2.87%	4.82%	5.87%	3.88%	2.17%	4.55%									
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
