Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																				
Дата голосования: 18.09.2016																																																																				
																																																																				
"Наименование Избирательной комиссии:    Сочи, Лазаревская"																																																																				
																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																				
																																																																				
		Сумма	УИК №4401	УИК №4402	УИК №4403	УИК №4404	УИК №4405	УИК №4406	УИК №4407	УИК №4408	УИК №4409	УИК №4410	УИК №4411	УИК №4412	УИК №4413	УИК №4414	УИК №4415	УИК №4416	УИК №4417	УИК №4418	УИК №4419	УИК №4420	УИК №4421	УИК №4422	УИК №4423	УИК №4424	УИК №4425	УИК №4426	УИК №4427	УИК №4428	УИК №4429	УИК №4430	УИК №4431	УИК №4432	УИК №4433	УИК №4434	УИК №4435	УИК №4436	УИК №4437	УИК №4438	УИК №4439	УИК №4440	УИК №4441	УИК №4442	УИК №4443	УИК №4444	УИК №4445	УИК №4446	УИК №4447	УИК №4448	УИК №4449	УИК №4450	УИК №4451	УИК №4452	УИК №4453	УИК №4454	УИК №4455	УИК №4456	УИК №4457									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1220	10	10	10	10	40	10	40	10	10	10	40	20	20	20	50	30	20	40	40	10	10	20	40	20	10	10	20	10	10	10	10	20	10	20	40	10	30	40	30	20	40	20	20	30	20	30	10	30	10	20	20	30	15	20	10	15	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	764	10	3	10	8	32	0	38	1	4	0	12	5	6	20	50	23	20	40	34	2	8	14	40	9	0	5	11	5	9	10	6	20	10	7	12	2	8	5	9	6	21	15	13	30	6	15	1	20	4	14	8	30	15	13	1	12	32									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1686	7	7	2	6	3	1	5	10	19	4	230	43	18	124	32	5	0	7	278	24	137	47	9	46	16	3	31	95	21	15	0	14	7	2	26	0	105	50	15	0	93	3	8	0	15	10	8	5	1	2	3	15	1	2	2	2	52									
14	Число погашенных неиспользованных открепительных удостоверений	456	0	7	0	2	8	10	2	9	6	10	28	15	14	0	0	7	0	0	6	8	2	6	0	11	10	5	9	5	1	0	4	0	0	13	28	8	22	35	21	14	19	5	7	0	14	15	9	10	6	6	12	0	0	7	9	3	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	96	3	0	1	0	3	0	3	1	4	0	7	3	5	2	7	1	5	1	7	4	2	4	4	0	0	3	5	2	0	1	0	1	2	0	4	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	2	1	1	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	714	3	0	1	2	12	7	6	6	9	0	28	10	2	14	22	10	21	14	40	19	12	18	9	9	11	1	18	12	7	5	5	9	12	3	34	3	10	14	13	19	37	13	24	38	51	6	5	9	1	17	15	10	2	14	1	4	17									
		1.89%	2.52%	0.00%	0.31%	0.93%	1.85%	1.92%	0.72%	3.66%	1.72%	0.00%	2.67%	1.16%	0.21%	1.67%	1.79%	1.25%	2.50%	1.74%	4.02%	3.62%	2.73%	4.23%	1.13%	2.48%	1.69%	0.27%	2.46%	2.34%	1.58%	0.78%	1.44%	1.02%	2.15%	0.44%	2.15%	0.57%	1.47%	1.65%	1.60%	2.73%	1.90%	1.21%	1.86%	3.65%	5.98%	1.16%	0.63%	0.80%	0.81%	2.82%	2.19%	2.44%	1.85%	2.42%	0.79%	0.88%	2.27%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	816	1	9	19	6	17	11	1	8	12	4	21	18	3	18	30	23	20	12	27	8	9	9	25	12	7	22	33	14	16	14	10	6	6	19	33	6	13	8	10	6	27	8	25	33	22	25	3	43	9	18	21	8	2	5	6	5	10									
		2.16%	0.84%	4.86%	5.97%	2.80%	2.63%	3.01%	0.12%	4.88%	2.30%	3.92%	2.00%	2.08%	0.32%	2.15%	2.44%	2.88%	2.38%	1.49%	2.71%	1.52%	2.05%	2.11%	3.15%	3.31%	1.08%	5.90%	4.51%	2.73%	3.61%	2.17%	2.88%	0.68%	1.08%	2.77%	2.09%	1.13%	1.91%	0.94%	1.23%	0.86%	1.39%	0.75%	1.94%	3.17%	2.58%	4.84%	0.38%	3.81%	7.32%	2.99%	3.06%	1.95%	1.85%	0.87%	4.76%	1.10%	1.33%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	636	0	3	10	2	5	3	3	6	10	0	29	12	14	7	8	9	29	15	31	8	15	10	6	4	8	2	18	16	8	10	1	7	8	7	33	4	8	10	15	17	28	13	37	29	23	12	8	11	1	12	10	9	1	4	5	3	19									
		1.68%	0.00%	1.62%	3.14%	0.93%	0.77%	0.82%	0.36%	3.66%	1.92%	0.00%	2.77%	1.39%	1.49%	0.84%	0.65%	1.13%	3.46%	1.86%	3.11%	1.52%	3.42%	2.35%	0.76%	1.10%	1.23%	0.54%	2.46%	3.13%	1.81%	1.55%	0.29%	0.79%	1.44%	1.02%	2.09%	0.76%	1.17%	1.18%	1.84%	2.44%	1.44%	1.21%	2.87%	2.79%	2.70%	2.33%	1.00%	0.98%	0.81%	1.99%	1.46%	2.20%	0.93%	0.69%	3.97%	0.66%	2.53%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	22971	68	126	151	109	416	234	527	65	305	80	530	610	681	474	813	583	542	519	433	326	199	190	503	168	511	232	407	227	238	343	251	649	390	402	935	406	384	512	606	494	1246	688	758	486	334	272	575	753	89	316	391	201	57	345	82	321	418									
		60.72%	57.14%	68.11%	47.48%	50.93%	64.30%	64.11%	63.57%	39.63%	58.43%	78.43%	50.57%	70.52%	72.45%	56.63%	66.15%	72.88%	64.60%	64.47%	43.47%	62.10%	45.33%	44.60%	63.43%	46.28%	78.49%	62.20%	55.68%	44.34%	53.72%	53.18%	72.33%	73.58%	70.02%	58.52%	59.10%	76.75%	56.30%	60.24%	74.45%	70.88%	63.99%	64.12%	58.81%	46.73%	39.16%	52.71%	72.06%	66.76%	72.36%	52.40%	56.99%	49.02%	52.78%	59.69%	65.08%	70.86%	55.73%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	310	0	4	0	2	3	1	2	0	2	0	15	4	2	2	10	14	5	9	14	13	3	2	12	5	3	3	8	6	3	2	2	2	3	2	7	1	3	11	4	3	20	9	13	14	12	16	1	9	0	5	3	4	0	3	4	3	7									
		0.82%	0.00%	2.16%	0.00%	0.93%	0.46%	0.27%	0.24%	0.00%	0.38%	0.00%	1.43%	0.46%	0.21%	0.24%	0.81%	1.75%	0.60%	1.12%	1.41%	2.48%	0.68%	0.47%	1.51%	1.38%	0.46%	0.80%	1.09%	1.17%	0.68%	0.31%	0.58%	0.23%	0.54%	0.29%	0.44%	0.19%	0.44%	1.29%	0.49%	0.43%	1.03%	0.84%	1.01%	1.35%	1.41%	3.10%	0.13%	0.80%	0.00%	0.83%	0.44%	0.98%	0.00%	0.52%	3.17%	0.66%	0.93%									
24	"6. Политическая партия ""Гражданская Платформа"""	59	0	0	1	0	5	0	0	0	0	0	0	1	2	0	0	1	1	0	2	2	1	1	2	0	1	1	1	1	1	0	0	0	1	0	3	0	3	3	0	1	4	0	1	0	2	2	2	2	0	3	1	1	1	0	1	0	4									
		0.16%	0.00%	0.00%	0.31%	0.00%	0.77%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.21%	0.00%	0.00%	0.13%	0.12%	0.00%	0.20%	0.38%	0.23%	0.23%	0.25%	0.00%	0.15%	0.27%	0.14%	0.20%	0.23%	0.00%	0.00%	0.00%	0.18%	0.00%	0.19%	0.00%	0.44%	0.35%	0.00%	0.14%	0.21%	0.00%	0.08%	0.00%	0.23%	0.39%	0.25%	0.18%	0.00%	0.50%	0.15%	0.24%	0.93%	0.00%	0.79%	0.00%	0.53%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5149	26	13	15	53	61	49	134	23	80	3	168	84	30	124	139	73	102	115	180	57	90	83	121	36	51	25	102	69	59	148	36	108	56	124	226	49	76	126	73	74	280	172	190	192	147	77	94	105	9	116	80	93	24	88	8	68	145									
		13.61%	21.85%	7.03%	4.72%	24.77%	9.43%	13.42%	16.16%	14.02%	15.33%	2.94%	16.03%	9.71%	3.19%	14.81%	11.31%	9.13%	12.16%	14.29%	18.07%	10.86%	20.50%	19.48%	15.26%	9.92%	7.83%	6.70%	13.95%	13.48%	13.32%	22.95%	10.37%	12.24%	10.05%	18.05%	14.29%	9.26%	11.14%	14.82%	8.97%	10.62%	14.38%	16.03%	14.74%	18.46%	17.23%	14.92%	11.78%	9.31%	7.32%	19.24%	11.66%	22.68%	22.22%	15.22%	6.35%	15.01%	19.33%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	315	0	0	0	3	2	1	2	3	3	0	7	1	8	10	13	5	8	8	14	10	4	6	3	8	0	1	8	5	1	5	1	4	3	6	5	1	14	9	6	6	20	4	15	14	13	14	3	5	2	3	10	5	0	4	1	0	8									
		0.83%	0.00%	0.00%	0.00%	1.40%	0.31%	0.27%	0.24%	1.83%	0.57%	0.00%	0.67%	0.12%	0.85%	1.19%	1.06%	0.63%	0.95%	0.99%	1.41%	1.90%	0.91%	1.41%	0.38%	2.20%	0.00%	0.27%	1.09%	0.98%	0.23%	0.78%	0.29%	0.45%	0.54%	0.87%	0.32%	0.19%	2.05%	1.06%	0.74%	0.86%	1.03%	0.37%	1.16%	1.35%	1.52%	2.71%	0.38%	0.44%	1.63%	0.50%	1.46%	1.22%	0.00%	0.69%	0.79%	0.00%	1.07%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	453	0	0	1	8	10	1	0	7	1	0	19	5	4	14	11	5	7	9	26	13	5	11	5	7	2	3	9	5	2	6	0	5	2	3	29	3	22	13	2	10	16	12	24	18	20	12	8	5	0	8	9	6	1	5	1	4	19									
		1.20%	0.00%	0.00%	0.31%	3.74%	1.55%	0.27%	0.00%	4.27%	0.19%	0.00%	1.81%	0.58%	0.43%	1.67%	0.90%	0.63%	0.83%	1.12%	2.61%	2.48%	1.14%	2.58%	0.63%	1.93%	0.31%	0.80%	1.23%	0.98%	0.45%	0.93%	0.00%	0.57%	0.36%	0.44%	1.83%	0.57%	3.23%	1.53%	0.25%	1.43%	0.82%	1.12%	1.86%	1.73%	2.34%	2.33%	1.00%	0.44%	0.00%	1.33%	1.31%	1.46%	0.93%	0.87%	0.79%	0.88%	2.53%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	61	0	0	2	0	2	0	0	0	0	0	1	0	0	1	0	0	0	1	2	1	0	1	1	0	0	1	0	1	1	0	0	0	1	0	1	0	0	2	0	0	19	1	0	5	1	1	0	6	1	1	0	0	0	1	0	1	5									
		0.16%	0.00%	0.00%	0.63%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.12%	0.20%	0.19%	0.00%	0.23%	0.13%	0.00%	0.00%	0.27%	0.00%	0.20%	0.23%	0.00%	0.00%	0.00%	0.18%	0.00%	0.06%	0.00%	0.00%	0.24%	0.00%	0.00%	0.98%	0.09%	0.00%	0.48%	0.12%	0.19%	0.00%	0.53%	0.81%	0.17%	0.00%	0.00%	0.00%	0.17%	0.00%	0.22%	0.67%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	453	3	3	9	1	12	6	1	6	8	0	17	13	11	13	13	7	6	13	22	7	6	13	10	1	0	2	8	9	5	3	1	6	3	4	5	5	11	8	4	3	25	8	22	16	24	10	8	6	2	5	15	7	0	11	1	2	13									
		1.20%	2.52%	1.62%	2.83%	0.47%	1.85%	1.64%	0.12%	3.66%	1.53%	0.00%	1.62%	1.50%	1.17%	1.55%	1.06%	0.88%	0.72%	1.61%	2.21%	1.33%	1.37%	3.05%	1.26%	0.28%	0.00%	0.54%	1.09%	1.76%	1.13%	0.47%	0.29%	0.68%	0.54%	0.58%	0.32%	0.95%	1.61%	0.94%	0.49%	0.43%	1.28%	0.75%	1.71%	1.54%	2.81%	1.94%	1.00%	0.53%	1.63%	0.83%	2.19%	1.71%	0.00%	1.90%	0.79%	0.44%	1.73%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4098	14	21	88	17	77	44	132	29	74	14	152	82	151	118	112	56	71	60	153	39	66	71	63	93	49	64	98	110	84	88	19	75	55	28	139	37	104	96	50	50	103	105	121	132	119	54	43	79	8	47	102	50	12	75	12	34	59									
		10.83%	11.76%	11.35%	27.67%	7.94%	11.90%	12.05%	15.92%	17.68%	14.18%	13.73%	14.50%	9.48%	16.06%	14.10%	9.11%	7.00%	8.46%	7.45%	15.36%	7.43%	15.03%	16.67%	7.94%	25.62%	7.53%	17.16%	13.41%	21.48%	18.96%	13.64%	5.48%	8.50%	9.87%	4.08%	8.79%	6.99%	15.25%	11.29%	6.14%	7.17%	5.29%	9.79%	9.39%	12.69%	13.95%	10.47%	5.39%	7.00%	6.50%	7.79%	14.87%	12.20%	11.11%	12.98%	9.52%	7.51%	7.87%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	474	0	0	1	2	4	2	0	2	2	0	9	3	5	3	4	3	5	4	7	3	3	1	1	5	0	2	3	7	6	7	1	2	2	78	59	0	3	10	13	4	24	24	11	6	7	3	33	52	0	24	15	2	1	3	0	1	2									
		1.25%	0.00%	0.00%	0.31%	0.93%	0.62%	0.55%	0.00%	1.22%	0.38%	0.00%	0.86%	0.35%	0.53%	0.36%	0.33%	0.38%	0.60%	0.50%	0.70%	0.57%	0.68%	0.23%	0.13%	1.38%	0.00%	0.54%	0.41%	1.37%	1.35%	1.09%	0.29%	0.23%	0.36%	11.35%	3.73%	0.00%	0.44%	1.18%	1.60%	0.57%	1.23%	2.24%	0.85%	0.58%	0.82%	0.58%	4.14%	4.61%	0.00%	3.98%	2.19%	0.49%	0.93%	0.52%	0.00%	0.22%	0.27%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	885	2	5	1	6	12	2	17	3	9	0	33	18	10	27	30	8	16	14	32	16	21	5	23	8	8	5	11	22	9	8	17	6	9	9	60	14	28	20	11	10	78	16	26	44	55	9	9	24	1	7	7	7	3	13	1	6	14									
		2.34%	1.68%	2.70%	0.31%	2.80%	1.85%	0.55%	2.05%	1.83%	1.72%	0.00%	3.15%	2.08%	1.06%	3.23%	2.44%	1.00%	1.91%	1.74%	3.21%	3.05%	4.78%	1.17%	2.90%	2.20%	1.23%	1.34%	1.50%	4.30%	2.03%	1.24%	4.90%	0.68%	1.62%	1.31%	3.79%	2.65%	4.11%	2.35%	1.35%	1.43%	4.01%	1.49%	2.02%	4.23%	6.45%	1.74%	1.13%	2.13%	0.81%	1.16%	1.02%	1.71%	2.78%	2.25%	0.79%	1.32%	1.87%									
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
