Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																				
Дата голосования: 07.12.2003 0:00:00																				
																				
Наименование Избирательной комиссии:    Кировградская городская																				
																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																				
																				
		Сумма	УИК  1974	УИК  1975	УИК  1976	УИК  1977	УИК  1978	УИК  1979	УИК  1980	УИК  1981	УИК  1982	УИК  1983	УИК  1984	УИК  1985	УИК  1986					
18	"1. ""ЕДИНЕНИЕ"""	104	12	3	8	8	11	7	9	4	13	4	9	6	10					
		0.85%	0.87%	0.23%	0.71%	0.92%	0.88%	0.67%	1.05%	0.46%	2.10%	0.44%	1.12%	1.13%	1.47%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	592	94	62	46	38	85	66	45	44	24	37	15	13	23					
		4.88%	6.88%	4.89%	4.12%	4.40%	6.86%	6.32%	5.26%	5.08%	3.87%	4.12%	1.87%	2.46%	3.39%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	751	88	57	99	47	68	64	66	29	40	53	52	35	53					
		6.19%	6.44%	4.50%	8.88%	5.44%	5.49%	6.13%	7.71%	3.35%	6.46%	5.91%	6.51%	6.64%	7.82%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	384	49	59	32	26	52	40	28	30	27	19	7	8	7					
		3.16%	3.58%	4.66%	2.87%	3.01%	4.20%	3.83%	3.27%	3.46%	4.36%	2.12%	0.87%	1.51%	1.03%					
22	"5. ""За Русь Святую"""	44	3	1	6	1	3	6	1	4	1	2	10	4	2					
		0.36%	0.21%	0.07%	0.53%	0.11%	0.24%	0.57%	0.11%	0.46%	0.16%	0.22%	1.25%	0.75%	0.29%					
23	"6. ""Объединенная Российская партия ""Русь"""	33	4	1	4	0	6	3	5	3	1	1	3	0	2					
		0.27%	0.29%	0.07%	0.35%	0.0%	0.48%	0.28%	0.58%	0.34%	0.16%	0.11%	0.37%	0.0%	0.29%					
24	"7. ""Новый курс - Автомобильная Россия"""	84	18	7	7	5	9	3	8	5	1	6	5	2	8					
		0.69%	1.31%	0.55%	0.62%	0.57%	0.72%	0.28%	0.93%	0.57%	0.16%	0.66%	0.62%	0.37%	1.18%					
25	"8. ""Народно-республиканская партия России"""	17	2	3	1	1	2	1	0	1	1	2	1	2	0					
		0.14%	0.14%	0.23%	0.08%	0.11%	0.16%	0.09%	0.0%	0.11%	0.16%	0.22%	0.12%	0.37%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	57	3	6	3	7	8	4	11	5	2	3	1	3	1					
		0.47%	0.21%	0.47%	0.26%	0.81%	0.64%	0.38%	1.28%	0.57%	0.32%	0.33%	0.12%	0.56%	0.14%					
27	"10. ""Аграрная партия России"""	234	33	17	23	10	22	23	18	7	19	23	22	11	6					
		1.92%	2.41%	1.34%	2.06%	1.15%	1.77%	2.20%	2.10%	0.80%	3.06%	2.56%	2.75%	2.08%	0.88%					
28	"11. ""Истинные патриоты России"""	24	0	2	2	3	1	5	1	2	1	0	0	3	4					
		0.19%	0.0%	0.15%	0.17%	0.34%	0.08%	0.47%	0.11%	0.23%	0.16%	0.0%	0.0%	0.56%	0.59%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	116	8	6	7	8	13	14	10	10	3	16	8	5	8					
		0.95%	0.58%	0.47%	0.62%	0.92%	1.05%	1.34%	1.16%	1.15%	0.48%	1.78%	1.00%	0.94%	1.18%					
30	"13. ""Демократическая партия России"""	24	4	4	2	0	3	1	3	2	2	1	0	0	2					
		0.19%	0.29%	0.31%	0.17%	0.0%	0.24%	0.09%	0.35%	0.23%	0.32%	0.11%	0.0%	0.0%	0.29%					
31	"14. ""Великая Россия - Евразийский Союз"""	35	2	2	5	4	1	2	1	5	3	3	4	2	1					
		0.28%	0.14%	0.15%	0.44%	0.46%	0.08%	0.19%	0.11%	0.57%	0.48%	0.33%	0.50%	0.37%	0.14%					
32	"15. ""Партия СЛОН"""	22	1	3	0	1	4	2	1	1	1	1	2	2	3					
		0.18%	0.07%	0.23%	0.0%	0.11%	0.32%	0.19%	0.11%	0.11%	0.16%	0.11%	0.25%	0.37%	0.44%					
33	"16. ""Родина"" (народно-патриотический союз)"""	592	73	55	42	24	44	30	47	39	41	67	66	32	32					
		4.88%	5.34%	4.34%	3.77%	2.78%	3.55%	2.87%	5.49%	4.50%	6.62%	7.47%	8.27%	6.07%	4.72%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	23	0	0	4	1	3	4	1	4	1	1	1	2	1					
		0.18%	0.0%	0.0%	0.35%	0.11%	0.24%	0.38%	0.11%	0.46%	0.16%	0.11%	0.12%	0.37%	0.14%					
35	"18. ""ЛДПР"""	1512	182	149	137	103	155	117	77	115	106	94	106	64	107					
		12.46%	13.32%	11.76%	12.29%	11.93%	12.52%	11.21%	9.00%	13.29%	17.12%	10.49%	13.28%	12.14%	15.80%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	236	16	28	24	18	26	21	12	16	6	23	20	8	18					
		1.94%	1.17%	2.21%	2.15%	2.08%	2.10%	2.01%	1.40%	1.84%	0.96%	2.56%	2.50%	1.51%	2.65%					
37	"20. ""Политическая партия ""Единая Россия"""	5270	576	607	509	418	533	451	363	408	246	361	306	222	270					
		43.45%	42.16%	47.94%	45.69%	48.43%	43.05%	43.24%	42.45%	47.16%	39.74%	40.29%	38.34%	42.12%	39.88%					
38	"21. ""Российская Конституционно-демократическая партия"""	34	7	2	1	3	4	1	1	1	2	3	1	1	7					
		0.28%	0.51%	0.15%	0.08%	0.34%	0.32%	0.09%	0.11%	0.11%	0.32%	0.33%	0.12%	0.18%	1.03%					
39	"22. ""Развитие предпринимательства"""	24	1	2	2	4	2	0	2	3	2	2	2	0	2					
		0.19%	0.07%	0.15%	0.17%	0.46%	0.16%	0.0%	0.23%	0.34%	0.32%	0.22%	0.25%	0.0%	0.29%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1041	99	76	82	59	94	101	65	62	41	102	115	79	66					
		8.58%	7.24%	6.00%	7.36%	6.83%	7.59%	9.68%	7.60%	7.16%	6.62%	11.38%	14.41%	14.99%	9.74%					
																				
41	Против всех	632	73	87	53	56	67	57	54	41	29	46	20	20	29					
		5.21%	5.34%	6.87%	4.75%	6.48%	5.41%	5.46%	6.31%	4.73%	4.68%	5.13%	2.50%	3.79%	4.28%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
