Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																					
Дата голосования: 07.12.2003 0:00:00																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Щекинская																																																																																					
																																																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																					
																																																																																					
		Сумма	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №5088	УИК №5089	УИК №5090	УИК №5091	УИК №5092					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	795	20	30	26	14	12	30	20	32	13	0	5	10	25	10	10	37	27	25	10	23	15	10	11	20	10	10	5	20	20	20	10	0	0	5	5	5	5	10	15	0	20	5	5	5	5	10	5	5	10	5	10	5	5	5	5	10	5	5	15	10	5	5	5	5	5	5	5	5	5	5	10	5	5	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	559	15	24	20	14	12	28	18	28	11	0	4	3	25	2	6	31	26	20	10	22	14	6	11	12	10	9	2	16	13	12	5	0	0	0	0	2	5	10	14	0	19	1	4	0	1	1	2	3	4	0	1	1	1	5	2	5	5	0	12	10	0	1	0	0	2	0	0	0	4	3	7	5	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	452	6	3	2	7	11	7	4	7	2	107	2	6	16	0	4	8	5	10	10	4	10	4	7	2	5	0	2	1	4	6	5	5	2	5	2	2	4	3	1	35	2	4	4	8	6	9	4	14	4	4	4	5	2	4	1	10	4	0	8	3	1	1	1	2	0	1	5	8	0	2	1	3	0	0	0	0	1	0					
14	Число погашенных открепительных удостоверений	236	5	6	6	0	0	2	2	4	2	0	1	7	0	8	4	6	1	5	0	1	1	4	0	8	0	1	3	4	7	8	5	0	0	5	5	3	0	0	1	0	1	4	1	5	4	9	3	2	6	5	9	4	4	0	3	5	0	5	3	0	5	4	5	5	3	5	5	5	1	2	3	0	5	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
																																																																																					
18	"1. ""ЕДИНЕНИЕ"""	594	24	26	14	19	15	16	7	16	12	5	5	4	14	4	3	7	11	11	7	8	10	2	19	9	9	4	11	8	22	9	8	0	1	2	5	3	14	8	16	0	16	8	2	5	2	8	3	1	1	1	6	1	1	13	4	14	7	2	15	4	1	11	3	6	0	6	3	2	2	5	7	14	5	6	9	6	5	1					
		1.19%	1.85%	1.74%	1.23%	1.32%	1.07%	1.16%	0.50%	1.16%	1.01%	4.67%	2.45%	0.65%	1.12%	0.55%	0.69%	0.53%	0.95%	0.92%	0.73%	0.92%	1.16%	0.50%	1.57%	1.28%	0.94%	0.93%	4.68%	0.54%	1.60%	0.81%	1.01%	0.0%	0.59%	1.03%	1.25%	0.93%	1.34%	0.65%	1.42%	0.0%	1.45%	4.18%	0.52%	3.49%	1.10%	1.46%	0.96%	0.83%	0.27%	0.34%	1.22%	0.57%	1.35%	3.35%	1.72%	1.89%	2.33%	2.0%	1.77%	0.40%	0.75%	3.47%	1.44%	3.89%	0.0%	4.54%	1.54%	1.29%	0.64%	3.96%	0.96%	4.01%	2.38%	0.63%	0.79%	0.57%	0.65%	2.32%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2987	50	39	23	46	51	60	40	48	51	3	6	20	37	14	5	43	38	37	23	33	34	11	35	24	24	9	3	40	45	31	23	1	4	2	9	6	15	23	30	0	28	5	11	0	1	16	12	3	1	7	11	1	1	12	7	18	13	2	25	30	3	2	6	7	1	5	19	3	5	5	11	10	3	447	531	441	245	3					
		5.99%	3.85%	2.61%	2.03%	3.20%	3.67%	4.36%	2.86%	3.48%	4.32%	2.80%	2.94%	3.25%	2.96%	1.94%	1.15%	3.26%	3.31%	3.11%	2.41%	3.80%	3.96%	2.79%	2.89%	3.41%	2.52%	2.11%	1.27%	2.73%	3.28%	2.79%	2.92%	20.0%	2.36%	1.03%	2.25%	1.87%	1.43%	1.87%	2.67%	0.0%	2.54%	2.61%	2.86%	0.0%	0.55%	2.93%	3.84%	2.5%	0.27%	2.38%	2.24%	0.57%	1.35%	3.09%	3.01%	2.43%	4.33%	2.0%	2.95%	3.06%	2.27%	0.63%	2.89%	4.54%	1.23%	3.78%	9.79%	1.94%	1.62%	3.96%	1.51%	2.86%	1.42%	47.15%	47.03%	42.24%	32.06%	6.97%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1789	65	68	38	48	42	37	19	33	54	1	3	18	35	25	15	54	70	37	44	25	17	13	61	32	34	12	22	59	50	41	35	0	6	0	9	12	49	52	34	2	49	6	17	3	3	15	4	2	8	6	13	5	1	16	11	22	6	10	15	17	1	7	4	4	10	0	5	7	17	5	24	18	7	36	28	63	52	1					
		3.58%	5.01%	4.55%	3.35%	3.34%	3.02%	2.68%	1.36%	2.39%	4.58%	0.93%	1.47%	2.93%	2.80%	3.47%	3.47%	4.09%	6.10%	3.11%	4.61%	2.88%	1.98%	3.29%	5.05%	4.55%	3.57%	2.81%	9.36%	4.04%	3.64%	3.70%	4.44%	0.0%	3.55%	0.0%	2.25%	3.75%	4.69%	4.23%	3.02%	5.71%	4.45%	3.14%	4.42%	2.09%	1.65%	2.74%	1.28%	1.66%	2.17%	2.04%	2.64%	2.85%	1.35%	4.12%	4.74%	2.97%	2.0%	10.0%	1.77%	1.73%	0.75%	2.20%	1.93%	2.59%	12.34%	0.0%	2.57%	4.54%	5.51%	3.96%	3.31%	5.15%	3.33%	3.79%	2.48%	6.03%	6.80%	2.32%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	3062	71	83	76	67	68	87	88	59	52	8	16	21	57	36	16	79	46	64	56	55	54	22	71	41	54	22	10	80	84	87	59	0	2	6	6	6	19	44	45	3	46	2	29	5	5	16	16	10	20	8	30	4	0	12	3	23	19	5	16	25	0	2	7	0	0	3	9	3	10	2	13	11	7	208	257	224	188	4					
		6.14%	5.47%	5.56%	6.71%	4.67%	4.89%	6.32%	6.30%	4.28%	4.41%	7.47%	7.84%	3.42%	4.56%	5.00%	3.70%	5.99%	4.01%	5.39%	5.87%	6.34%	6.30%	5.58%	5.88%	5.83%	5.67%	5.16%	4.25%	5.47%	6.12%	7.85%	7.49%	0.0%	1.18%	3.09%	1.5%	1.87%	1.82%	3.58%	4.00%	8.57%	4.18%	1.04%	7.55%	3.49%	2.76%	2.93%	5.12%	8.33%	5.44%	2.73%	6.10%	2.28%	0.0%	3.09%	1.29%	3.10%	6.33%	5.0%	1.89%	2.55%	0.0%	0.63%	3.38%	0.0%	0.0%	2.27%	4.63%	1.94%	3.24%	1.58%	1.79%	3.15%	3.33%	21.94%	22.76%	21.45%	24.60%	9.30%					
22	"5. ""За Русь Святую"""	415	13	16	19	11	8	7	6	13	5	0	0	3	15	7	4	8	7	13	9	5	6	2	9	9	11	2	5	16	11	9	8	0	4	5	1	3	16	16	12	1	10	0	6	3	1	5	5	0	3	10	9	3	0	1	1	3	2	1	5	3	0	2	0	5	0	0	1	0	2	2	11	2	2	0	1	0	1	0					
		0.83%	1.00%	1.07%	1.67%	0.76%	0.57%	0.50%	0.42%	0.94%	0.42%	0.0%	0.0%	0.48%	1.20%	0.97%	0.92%	0.60%	0.61%	1.09%	0.94%	0.57%	0.70%	0.50%	0.74%	1.28%	1.15%	0.46%	2.12%	1.09%	0.80%	0.81%	1.01%	0.0%	2.36%	2.57%	0.25%	0.93%	1.53%	1.30%	1.06%	2.85%	0.90%	0.0%	1.56%	2.09%	0.55%	0.91%	1.60%	0.0%	0.81%	3.41%	1.83%	1.71%	0.0%	0.25%	0.43%	0.40%	0.66%	1.0%	0.59%	0.30%	0.0%	0.63%	0.0%	3.24%	0.0%	0.0%	0.51%	0.0%	0.64%	1.58%	1.51%	0.57%	0.95%	0.0%	0.08%	0.0%	0.13%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	110	5	3	2	4	3	4	1	1	3	1	0	1	1	0	1	2	2	1	2	2	3	1	2	5	1	0	1	2	4	0	0	0	0	1	2	0	7	3	0	0	5	0	5	0	0	1	0	0	1	0	2	0	0	1	0	3	2	0	2	2	1	0	0	0	0	0	1	1	1	3	3	2	0	0	0	0	3	0					
		0.22%	0.38%	0.20%	0.17%	0.27%	0.21%	0.29%	0.07%	0.07%	0.25%	0.93%	0.0%	0.16%	0.08%	0.0%	0.23%	0.15%	0.17%	0.08%	0.20%	0.23%	0.35%	0.25%	0.16%	0.71%	0.10%	0.0%	0.42%	0.13%	0.29%	0.0%	0.0%	0.0%	0.0%	0.51%	0.5%	0.0%	0.67%	0.24%	0.0%	0.0%	0.45%	0.0%	1.30%	0.0%	0.0%	0.18%	0.0%	0.0%	0.27%	0.0%	0.40%	0.0%	0.0%	0.25%	0.0%	0.40%	0.66%	0.0%	0.23%	0.20%	0.75%	0.0%	0.0%	0.0%	0.0%	0.0%	0.51%	0.64%	0.32%	2.38%	0.41%	0.57%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	457	23	12	9	12	17	16	81	11	10	1	2	8	16	7	4	11	8	9	10	10	8	3	9	5	7	4	1	18	6	10	8	0	3	4	4	2	2	9	1	1	4	0	2	0	2	1	5	1	5	3	2	3	1	2	0	4	5	0	7	9	1	2	0	3	0	1	1	1	0	0	3	0	1	0	1	3	2	0					
		0.91%	1.77%	0.80%	0.79%	0.83%	1.22%	1.16%	5.80%	0.79%	0.84%	0.93%	0.98%	1.30%	1.28%	0.97%	0.92%	0.83%	0.69%	0.75%	1.04%	1.15%	0.93%	0.76%	0.74%	0.71%	0.73%	0.93%	0.42%	1.23%	0.43%	0.90%	1.01%	0.0%	1.77%	2.06%	1.0%	0.62%	0.19%	0.73%	0.08%	2.85%	0.36%	0.0%	0.52%	0.0%	1.10%	0.18%	1.60%	0.83%	1.36%	1.02%	0.40%	1.71%	1.35%	0.51%	0.0%	0.54%	1.66%	0.0%	0.82%	0.91%	0.75%	0.63%	0.0%	1.94%	0.0%	0.75%	0.51%	0.64%	0.0%	0.0%	0.41%	0.0%	0.47%	0.0%	0.08%	0.28%	0.26%	0.0%					
25	"8. ""Народно-республиканская партия России"""	134	1	0	0	5	1	0	4	3	4	0	0	1	1	0	2	1	2	0	0	2	1	2	2	4	2	1	1	4	1	0	0	0	0	1	3	2	3	0	4	0	0	1	0	0	0	1	0	1	2	3	0	1	0	0	1	3	0	0	1	1	0	4	0	0	0	0	1	0	1	0	5	2	0	1	15	11	21	0					
		0.26%	0.07%	0.0%	0.0%	0.34%	0.07%	0.0%	0.28%	0.21%	0.33%	0.0%	0.0%	0.16%	0.08%	0.0%	0.46%	0.07%	0.17%	0.0%	0.0%	0.23%	0.11%	0.50%	0.16%	0.56%	0.21%	0.23%	0.42%	0.27%	0.07%	0.0%	0.0%	0.0%	0.0%	0.51%	0.75%	0.62%	0.28%	0.0%	0.35%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.18%	0.0%	0.83%	0.54%	1.02%	0.0%	0.57%	0.0%	0.0%	0.43%	0.40%	0.0%	0.0%	0.11%	0.10%	0.0%	1.26%	0.0%	0.0%	0.0%	0.0%	0.51%	0.0%	0.32%	0.0%	0.69%	0.57%	0.0%	0.10%	1.32%	1.05%	2.74%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	161	3	9	5	5	7	5	5	7	3	0	1	1	1	3	0	4	8	2	2	5	5	0	3	2	4	0	1	4	3	3	3	0	0	1	0	1	3	4	6	0	3	2	5	0	1	1	1	0	0	1	2	0	0	1	1	3	0	1	0	0	0	2	0	1	0	0	0	0	1	0	2	1	1	1	5	5	1	0					
		0.32%	0.23%	0.60%	0.44%	0.34%	0.50%	0.36%	0.35%	0.50%	0.25%	0.0%	0.49%	0.16%	0.08%	0.41%	0.0%	0.30%	0.69%	0.16%	0.20%	0.57%	0.58%	0.0%	0.24%	0.28%	0.42%	0.0%	0.42%	0.27%	0.21%	0.27%	0.38%	0.0%	0.0%	0.51%	0.0%	0.31%	0.28%	0.32%	0.53%	0.0%	0.27%	1.04%	1.30%	0.0%	0.55%	0.18%	0.32%	0.0%	0.0%	0.34%	0.40%	0.0%	0.0%	0.25%	0.43%	0.40%	0.0%	1.0%	0.0%	0.0%	0.0%	0.63%	0.0%	0.64%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.27%	0.28%	0.47%	0.10%	0.44%	0.47%	0.13%	0.0%					
27	"10. ""Аграрная партия России"""	1424	24	30	27	30	19	35	37	33	30	6	12	11	26	18	11	47	23	30	27	31	28	9	35	16	30	9	26	31	24	25	30	0	2	3	13	17	26	42	28	1	15	2	22	5	3	19	10	6	18	8	16	12	2	33	17	40	11	5	53	40	11	24	21	8	9	7	14	15	12	7	24	10	6	5	2	4	4	2					
		2.85%	1.85%	2.01%	2.38%	2.09%	1.36%	2.54%	2.65%	2.39%	2.54%	5.60%	5.88%	1.79%	2.08%	2.50%	2.54%	3.56%	2.00%	2.52%	2.83%	3.57%	3.26%	2.28%	2.89%	2.27%	3.15%	2.11%	11.06%	2.12%	1.75%	2.25%	3.81%	0.0%	1.18%	1.54%	3.25%	5.31%	2.49%	3.42%	2.49%	2.85%	1.36%	1.04%	5.72%	3.49%	1.65%	3.47%	3.20%	5.0%	4.90%	2.73%	3.25%	6.85%	2.70%	8.50%	7.32%	5.40%	3.66%	5.0%	6.27%	4.08%	8.33%	7.57%	10.14%	5.19%	11.11%	5.30%	7.21%	9.74%	3.89%	5.55%	3.31%	2.86%	2.85%	0.52%	0.17%	0.38%	0.52%	4.65%					
28	"11. ""Истинные патриоты России"""	50	0	0	2	1	2	2	1	0	2	1	0	1	3	0	0	3	2	1	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	2	1	1	0	2	0	2	0	0	0	2	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	2	1	0	2	1	1					
		0.10%	0.0%	0.0%	0.17%	0.06%	0.14%	0.14%	0.07%	0.0%	0.16%	0.93%	0.0%	0.16%	0.24%	0.0%	0.0%	0.22%	0.17%	0.08%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.09%	0.0%	0.0%	0.0%	0.51%	0.0%	0.31%	0.19%	0.08%	0.08%	0.0%	0.18%	0.0%	0.52%	0.0%	0.0%	0.0%	0.64%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.25%	0.43%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	1.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.95%	0.10%	0.0%	0.19%	0.13%	2.32%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	726	31	34	16	24	19	35	24	20	19	1	2	13	12	13	12	23	29	28	13	13	15	6	9	11	17	7	1	16	18	11	15	0	0	1	5	6	13	11	18	2	16	5	2	0	2	11	4	2	3	4	1	2	4	3	1	9	4	3	13	13	2	7	1	2	2	2	1	2	3	4	9	9	2	5	4	1	4	1					
		1.45%	2.39%	2.27%	1.41%	1.67%	1.36%	2.54%	1.71%	1.45%	1.61%	0.93%	0.98%	2.11%	0.96%	1.80%	2.77%	1.74%	2.52%	2.36%	1.36%	1.49%	1.75%	1.52%	0.74%	1.56%	1.78%	1.64%	0.42%	1.09%	1.31%	0.99%	1.90%	0.0%	0.0%	0.51%	1.25%	1.87%	1.24%	0.89%	1.60%	5.71%	1.45%	2.61%	0.52%	0.0%	1.10%	2.01%	1.28%	1.66%	0.81%	1.36%	0.20%	1.14%	5.40%	0.77%	0.43%	1.21%	1.33%	3.0%	1.53%	1.32%	1.51%	2.20%	0.48%	1.29%	2.46%	1.51%	0.51%	1.29%	0.97%	3.17%	1.24%	2.57%	0.95%	0.52%	0.35%	0.09%	0.52%	2.32%					
30	"13. ""Демократическая партия России"""	98	2	0	3	1	2	0	2	2	1	0	0	2	3	0	0	2	1	3	3	1	1	0	5	1	2	0	0	4	4	1	1	0	0	0	0	1	2	2	1	0	7	0	1	0	0	1	1	0	1	0	5	0	0	2	1	3	0	0	1	1	0	2	0	0	0	0	1	1	1	0	2	0	2	2	1	6	2	1					
		0.19%	0.15%	0.0%	0.26%	0.06%	0.14%	0.0%	0.14%	0.14%	0.08%	0.0%	0.0%	0.32%	0.24%	0.0%	0.0%	0.15%	0.08%	0.25%	0.31%	0.11%	0.11%	0.0%	0.41%	0.14%	0.21%	0.0%	0.0%	0.27%	0.29%	0.09%	0.12%	0.0%	0.0%	0.0%	0.0%	0.31%	0.19%	0.16%	0.08%	0.0%	0.63%	0.0%	0.26%	0.0%	0.0%	0.18%	0.32%	0.0%	0.27%	0.0%	1.01%	0.0%	0.0%	0.51%	0.43%	0.40%	0.0%	0.0%	0.11%	0.10%	0.0%	0.63%	0.0%	0.0%	0.0%	0.0%	0.51%	0.64%	0.32%	0.0%	0.27%	0.0%	0.95%	0.21%	0.08%	0.57%	0.26%	2.32%					
31	"14. ""Великая Россия - Евразийский Союз"""	93	2	5	2	5	0	3	0	0	0	0	0	1	3	1	1	3	1	4	1	4	1	0	1	5	4	1	1	2	5	0	3	0	1	0	0	1	4	5	4	0	1	0	0	0	0	1	0	0	0	0	1	2	0	0	0	2	0	0	4	1	1	0	1	0	0	0	0	0	0	1	1	0	2	0	1	0	0	0					
		0.18%	0.15%	0.33%	0.17%	0.34%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.24%	0.13%	0.23%	0.22%	0.08%	0.33%	0.10%	0.46%	0.11%	0.0%	0.08%	0.71%	0.42%	0.23%	0.42%	0.13%	0.36%	0.0%	0.38%	0.0%	0.59%	0.0%	0.0%	0.31%	0.38%	0.40%	0.35%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.20%	1.14%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.47%	0.10%	0.75%	0.0%	0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.79%	0.13%	0.0%	0.95%	0.0%	0.08%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	57	0	2	1	0	4	0	2	1	1	0	0	2	1	2	0	2	2	2	0	0	0	0	1	0	1	0	0	0	0	3	1	0	0	0	1	0	3	2	1	0	3	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	1	2	0	1	2	2	0	0	0	0	0	0	1	2	0	1	0	0	2	0					
		0.11%	0.0%	0.13%	0.08%	0.0%	0.28%	0.0%	0.14%	0.07%	0.08%	0.0%	0.0%	0.32%	0.08%	0.27%	0.0%	0.15%	0.17%	0.16%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.27%	0.12%	0.0%	0.0%	0.0%	0.25%	0.0%	0.28%	0.16%	0.08%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%	0.0%	0.27%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.20%	0.0%	0.31%	0.96%	1.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.57%	0.0%	0.10%	0.0%	0.0%	0.26%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	5232	164	205	132	204	176	166	185	139	131	9	14	50	151	93	65	152	140	126	103	119	136	36	153	79	123	37	7	173	170	113	88	0	11	30	13	31	112	148	106	2	110	16	37	27	18	54	35	20	45	41	74	13	4	37	25	58	24	11	70	111	5	22	9	13	6	9	21	20	18	2	50	33	23	15	25	15	22	2					
