Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																					
Дата голосования: 02.12.2007																																																																																					
																																																																																					
"Наименование Избирательной комиссии:    Магнитогорск, Орджоникидзевская"																																																																																					
																																																																																					
Сводная таблица результатов выборов																																																																																					
																																																																																					
		Сумма	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	2070	29	2	16	146	25	27	26	8	12	24	11	23	13	4	18	30	9	35	6	30	16	2	8	7	10	91	11	19	6	18	13	116	103	19	16	25	28	23	18	1	6	18	8	24	3	14	20	24	26	38	19	24	17	18	16	27	16	6	11	22	20	18	20	28	34	17	20	18	11	21	27	15	12	15	51	4	10	328					
14	Число погашенных неиспользованных открепительных удостоверений	297	5	2	7	3	7	10	13	4	3	10	2	12	3	0	3	10	0	4	13	0	5	5	0	1	0	8	0	10	3	5	0	6	0	21	0	0	3	0	16	7	11	0	1	5	0	3	5	7	0	2	1	0	0	0	0	1	4	0	6	3	4	0	0	0	3	15	0	0	5	0	9	5	0	4	2	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	140	3	0	0	0	1	3	3	4	3	3	0	4	4	0	1	14	1	2	1	1	1	2	2	0	1	2	1	1	1	0	4	0	2	3	0	1	1	0	5	0	1	8	1	3	0	1	1	0	4	2	4	3	3	1	0	1	2	2	1	0	3	3	2	1	3	2	1	3	0	1	4	1	1	1	1	0	0	0					
16	Число утраченных избирательных бюллетеней	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																					
18	1.Политическая партия «Аграрная партия России»	1307	11	10	11	8	3	24	14	9	5	6	6	19	8	5	18	18	10	5	11	8	8	9	7	4	2	8	25	24	20	19	21	23	14	18	12	15	24	25	20	3	25	25	12	28	25	23	18	18	19	23	14	26	18	15	23	15	13	27	8	18	30	24	14	22	25	14	38	27	21	25	22	24	29	23	28	19	19	0					
		1.18%	1.02%	1.08%	1.15%	0.67%	0.93%	1.75%	0.91%	1.09%	0.43%	0.44%	0.85%	1.77%	0.75%	0.87%	3.20%	0.97%	0.97%	0.49%	1.39%	0.96%	0.82%	2.12%	1.17%	0.75%	0.30%	0.89%	1.41%	1.46%	1.38%	1.28%	1.06%	1.26%	0.76%	1.10%	0.83%	0.87%	1.33%	1.53%	1.17%	1.43%	1.69%	1.27%	0.63%	1.45%	1.51%	1.25%	0.93%	1.15%	1.05%	1.08%	1.09%	1.17%	1.17%	0.90%	1.57%	0.85%	0.75%	1.43%	0.78%	0.91%	1.63%	1.12%	1.00%	1.12%	1.39%	0.97%	2.48%	1.52%	1.09%	1.57%	1.43%	1.34%	1.92%	1.53%	1.63%	1.20%	1.54%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	843	5	5	1	4	2	3	8	13	5	13	6	1	5	3	6	13	6	7	3	4	13	1	4	1	2	8	12	16	14	11	27	20	17	14	10	22	12	10	13	2	8	11	13	10	17	6	14	14	14	15	13	19	16	15	14	16	16	19	7	15	19	13	17	18	16	11	16	14	9	13	7	11	10	8	16	18	13	0					
		0.76%	0.46%	0.54%	0.10%	0.34%	0.62%	0.22%	0.52%	1.57%	0.43%	0.96%	0.85%	0.09%	0.47%	0.52%	1.07%	0.70%	0.58%	0.68%	0.38%	0.48%	1.33%	0.24%	0.67%	0.19%	0.30%	0.89%	0.68%	0.98%	0.96%	0.74%	1.37%	1.09%	0.92%	0.85%	0.69%	1.27%	0.67%	0.61%	0.76%	0.95%	0.54%	0.56%	0.69%	0.52%	1.03%	0.33%	0.72%	0.90%	0.77%	0.70%	1.01%	0.85%	1.04%	0.90%	0.96%	0.90%	0.92%	1.01%	0.68%	0.76%	1.03%	0.61%	1.22%	0.92%	0.89%	0.76%	1.05%	0.79%	0.47%	0.82%	0.45%	0.61%	0.66%	0.53%	0.93%	1.14%	1.06%	0.00%					
20	3.Политическая партия «Демократическая партия России»	194	3	1	4	3	0	0	3	1	1	1	1	0	1	2	2	1	0	1	1	0	1	0	1	0	0	3	5	1	3	4	9	1	3	1	4	3	2	2	2	0	1	3	8	3	4	4	2	2	1	0	2	4	1	9	4	11	1	4	1	3	6	5	3	2	7	4	3	3	2	4	1	1	1	2	4	5	2	0					
		0.18%	0.28%	0.11%	0.42%	0.25%	0.00%	0.00%	0.19%	0.12%	0.09%	0.07%	0.14%	0.00%	0.09%	0.35%	0.36%	0.05%	0.00%	0.10%	0.13%	0.00%	0.10%	0.00%	0.17%	0.00%	0.00%	0.33%	0.28%	0.06%	0.21%	0.27%	0.46%	0.05%	0.16%	0.06%	0.28%	0.17%	0.11%	0.12%	0.12%	0.00%	0.07%	0.15%	0.42%	0.16%	0.24%	0.22%	0.10%	0.13%	0.06%	0.00%	0.16%	0.18%	0.06%	0.54%	0.27%	0.62%	0.06%	0.21%	0.10%	0.15%	0.33%	0.23%	0.21%	0.10%	0.39%	0.28%	0.20%	0.17%	0.10%	0.25%	0.06%	0.06%	0.07%	0.13%	0.23%	0.32%	0.16%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	7675	53	45	33	49	11	76	85	38	55	55	35	72	50	36	33	94	61	65	30	42	49	14	34	40	37	37	155	138	132	135	205	147	146	114	103	109	139	131	92	9	86	110	110	133	95	160	162	142	141	161	84	171	116	131	87	141	126	145	85	163	159	156	121	189	167	106	78	108	124	141	110	130	90	90	133	151	88	1					
		6.95%	4.90%	4.85%	3.44%	4.11%	3.41%	5.53%	5.51%	4.60%	4.75%	4.06%	4.98%	6.70%	4.69%	6.28%	5.86%	5.06%	5.93%	6.32%	3.80%	5.02%	5.03%	3.29%	5.69%	7.52%	5.62%	4.11%	8.77%	8.42%	9.08%	9.12%	10.40%	8.04%	7.90%	6.95%	7.14%	6.31%	7.73%	7.99%	5.36%	4.29%	5.81%	5.61%	5.82%	6.88%	5.75%	8.70%	8.35%	9.10%	7.79%	7.53%	6.52%	7.67%	7.51%	7.84%	5.95%	7.95%	7.25%	7.68%	8.28%	8.24%	8.64%	7.29%	8.67%	9.65%	9.26%	7.32%	5.09%	6.06%	6.46%	8.84%	7.13%	7.27%	5.96%	5.98%	7.72%	9.54%	7.14%	0.12%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	660	2	2	4	1	0	3	3	3	2	7	3	5	6	4	2	4	2	12	8	3	0	0	0	3	5	8	11	14	11	9	16	11	17	9	15	10	9	14	10	1	5	16	10	19	10	12	21	9	16	9	8	19	5	23	17	7	12	7	4	18	20	9	10	11	5	6	7	12	10	11	5	4	12	7	11	10	14	0					
		0.60%	0.19%	0.22%	0.42%	0.08%	0.00%	0.22%	0.19%	0.36%	0.17%	0.52%	0.43%	0.47%	0.56%	0.70%	0.36%	0.22%	0.19%	1.17%	1.01%	0.36%	0.00%	0.00%	0.00%	0.56%	0.76%	0.89%	0.62%	0.85%	0.76%	0.61%	0.81%	0.60%	0.92%	0.55%	1.04%	0.58%	0.50%	0.85%	0.58%	0.48%	0.34%	0.82%	0.53%	0.98%	0.61%	0.65%	1.08%	0.58%	0.88%	0.42%	0.62%	0.85%	0.32%	1.38%	1.16%	0.39%	0.69%	0.37%	0.39%	0.91%	1.09%	0.42%	0.72%	0.56%	0.28%	0.41%	0.46%	0.67%	0.52%	0.69%	0.32%	0.22%	0.79%	0.47%	0.64%	0.63%	1.14%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	297	2	6	3	6	0	4	3	3	3	2	0	4	1	2	1	4	2	0	1	2	2	0	1	0	2	2	8	5	3	3	8	6	7	1	6	2	7	7	6	0	3	2	5	7	3	7	8	4	2	8	4	5	2	2	5	5	4	9	2	7	6	5	3	10	2	4	4	3	8	6	4	1	4	4	7	3	4	0					
		0.27%	0.19%	0.65%	0.31%	0.50%	0.00%	0.29%	0.19%	0.36%	0.26%	0.15%	0.00%	0.37%	0.09%	0.35%	0.18%	0.22%	0.19%	0.00%	0.13%	0.24%	0.21%	0.00%	0.17%	0.00%	0.30%	0.22%	0.45%	0.31%	0.21%	0.20%	0.41%	0.33%	0.38%	0.06%	0.42%	0.12%	0.39%	0.43%	0.35%	0.00%	0.20%	0.10%	0.26%	0.36%	0.18%	0.38%	0.41%	0.26%	0.11%	0.37%	0.31%	0.22%	0.13%	0.12%	0.34%	0.28%	0.23%	0.48%	0.19%	0.35%	0.33%	0.23%	0.21%	0.51%	0.11%	0.28%	0.26%	0.17%	0.42%	0.38%	0.26%	0.06%	0.26%	0.27%	0.41%	0.19%	0.32%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	12905	120	108	120	137	43	177	188	98	157	195	75	126	121	69	63	219	140	114	102	98	131	42	90	64	67	81	202	149	144	134	200	172	223	218	163	237	252	199	198	35	178	225	230	243	206	202	229	165	193	254	145	271	189	205	190	244	220	242	135	250	223	240	166	242	229	180	171	198	202	168	186	216	176	159	178	133	137	14					
		11.68%	11.10%	11.64%	12.50%	11.49%	13.31%	12.87%	12.18%	11.86%	13.55%	14.40%	10.67%	11.73%	11.35%	12.04%	11.19%	11.78%	13.62%	11.08%	12.91%	11.71%	13.44%	9.88%	15.05%	12.03%	10.18%	8.99%	11.43%	9.09%	9.91%	9.05%	10.14%	9.41%	12.07%	13.28%	11.30%	13.72%	14.01%	12.15%	11.55%	16.67%	12.03%	11.47%	12.16%	12.58%	12.48%	10.98%	11.80%	10.58%	10.67%	11.87%	11.26%	12.15%	12.24%	12.27%	12.99%	13.76%	12.65%	12.82%	13.15%	12.64%	12.12%	11.22%	11.89%	12.36%	12.70%	12.42%	11.17%	11.12%	10.53%	10.53%	12.06%	12.07%	11.66%	10.57%	10.34%	8.41%	11.12%	1.61%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	12836	99	144	94	111	35	123	144	62	106	115	58	80	112	41	68	159	119	92	93	86	80	35	47	82	51	110	222	231	156	211	261	211	239	160	198	210	218	165	206	24	154	230	246	282	232	236	219	172	217	238	175	282	189	180	169	179	197	247	109	257	244	243	114	221	208	216	180	252	245	193	211	230	192	215	222	211	166	5					
		11.62%	9.16%	15.52%	9.79%	9.31%	10.84%	8.95%	9.33%	7.51%	9.15%	8.49%	8.25%	7.45%	10.51%	7.16%	12.08%	8.55%	11.58%	8.94%	11.77%	10.27%	8.21%	8.24%	7.86%	15.41%	7.75%	12.21%	12.56%	14.09%	10.74%	14.25%	13.24%	11.54%	12.94%	9.75%	13.72%	12.15%	12.12%	10.07%	12.01%	11.43%	10.41%	11.73%	13.01%	14.60%	14.05%	12.83%	11.28%	11.03%	11.99%	11.13%	13.59%	12.65%	12.24%	10.77%	11.56%	10.10%	11.33%	13.08%	10.61%	12.99%	13.26%	11.36%	8.17%	11.29%	11.54%	14.91%	11.76%	14.15%	12.77%	12.10%	13.68%	12.86%	12.72%	14.30%	12.89%	13.34%	13.47%	0.58%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	790	8	6	8	3	2	8	13	7	5	9	7	6	10	1	2	19	8	7	2	7	5	3	6	6	5	6	13	5	11	19	10	12	16	14	7	14	15	12	9	3	9	7	9	11	8	19	15	15	10	19	11	21	8	18	11	16	10	15	6	12	17	8	10	17	11	9	10	10	18	9	9	13	11	9	21	15	14	0					
		0.72%	0.74%	0.65%	0.83%	0.25%	0.62%	0.58%	0.84%	0.85%	0.43%	0.66%	0.99%	0.56%	0.94%	0.17%	0.36%	1.02%	0.78%	0.68%	0.25%	0.84%	0.51%	0.71%	1.00%	1.13%	0.76%	0.67%	0.74%	0.31%	0.76%	1.28%	0.51%	0.66%	0.87%	0.85%	0.49%	0.81%	0.83%	0.73%	0.52%	1.43%	0.61%	0.36%	0.48%	0.57%	0.48%	1.03%	0.77%	0.96%	0.55%	0.89%	0.85%	0.94%	0.52%	1.08%	0.75%	0.90%	0.58%	0.79%	0.58%	0.61%	0.92%	0.37%	0.72%	0.87%	0.61%	0.62%	0.65%	0.56%	0.94%	0.56%	0.58%	0.73%	0.73%	0.60%	1.22%	0.95%	1.14%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	69966	747	581	666	851	223	931	1054	567	784	926	494	742	718	397	357	1293	667	701	533	567	668	313	399	319	480	611	1067	1000	912	891	1169	1172	1122	1052	884	1062	1070	1031	1122	128	974	1252	1131	1128	1006	1120	1196	972	1130	1360	789	1337	965	1032	897	1073	1095	1121	648	1182	1071	1369	894	1168	1080	849	987	1119	1231	987	944	1115	948	945	1051	967	740	822					
		63.33%	69.10%	62.61%	69.38%	71.39%	69.04%	67.71%	68.26%	68.64%	67.64%	68.39%	70.27%	69.09%	67.35%	69.28%	63.41%	69.55%	64.88%	68.12%	67.47%	67.74%	68.51%	73.65%	66.72%	59.96%	72.95%	67.81%	60.35%	61.01%	62.77%	60.16%	59.28%	64.11%	60.75%	64.11%	61.26%	61.46%	59.48%	62.94%	65.42%	60.95%	65.81%	63.84%	59.81%	58.39%	60.93%	60.87%	61.62%	62.31%	62.47%	63.58%	61.26%	59.96%	62.50%	61.76%	61.35%	60.52%	62.97%	59.38%	63.10%	59.76%	58.21%	64.00%	64.04%	59.65%	59.90%	58.59%	64.47%	62.83%	64.15%	61.88%	61.22%	62.33%	62.78%	62.83%	61.03%	61.13%	60.06%	94.81%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1441	10	4	7	6	1	12	6	6	17	10	6	7	10	6	7	17	8	6	3	10	6	1	2	6	6	19	29	24	35	26	21	28	32	16	23	19	19	24	12	1	8	30	33	27	21	21	30	29	39	24	25	42	17	29	21	40	17	26	12	24	20	37	21	22	28	34	22	21	26	25	28	23	24	16	26	28	17	0					
		1.30%	0.93%	0.43%	0.73%	0.50%	0.31%	0.87%	0.39%	0.73%	1.47%	0.74%	0.85%	0.65%	0.94%	1.05%	1.24%	0.91%	0.78%	0.58%	0.38%	1.19%	0.62%	0.24%	0.33%	1.13%	0.91%	2.11%	1.64%	1.46%	2.41%	1.76%	1.06%	1.53%	1.73%	0.98%	1.59%	1.10%	1.06%	1.47%	0.70%	0.48%	0.54%	1.53%	1.75%	1.40%	1.27%	1.14%	1.55%	1.86%	2.16%	1.12%	1.94%	1.88%	1.10%	1.74%	1.44%	2.26%	0.98%	1.38%	1.17%	1.21%	1.09%	1.73%	1.50%	1.12%	1.55%	2.35%	1.44%	1.18%	1.35%	1.57%	1.82%	1.29%	1.59%	1.06%	1.51%	1.77%	1.38%	0.00%					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
