Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																							
Дата голосования: 07.12.2003 0:00:00																																																																							
																																																																							
Наименование Избирательной комиссии:    Московская № 19																																																																							
																																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																							
																																																																							
		Сумма	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК  5295					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																							
18	"1. ""ЕДИНЕНИЕ"""	412	7	3	4	9	5	10	2	7	10	4	6	3	7	2	7	9	3	4	3	8	4	6	7	3	5	3	13	16	4	8	5	10	8	12	8	11	12	6	11	9	5	8	3	7	4	8	6	3	11	1	15	4	8	1	3	5	6	10	7	3	3	4	11	2					
		0.67%	1.17%	0.46%	0.60%	1.02%	0.63%	1.61%	0.19%	0.89%	1.18%	0.58%	0.78%	0.35%	0.85%	0.28%	0.71%	1.00%	0.28%	0.42%	0.32%	0.81%	0.43%	0.49%	0.53%	0.33%	0.41%	0.26%	0.91%	1.30%	0.32%	0.67%	0.40%	0.80%	0.73%	1.12%	0.66%	0.95%	0.91%	0.56%	0.90%	0.73%	0.47%	0.93%	0.28%	0.88%	0.47%	1.10%	0.65%	0.29%	1.05%	0.08%	1.44%	0.41%	0.78%	0.21%	0.38%	0.49%	0.67%	0.86%	0.79%	0.30%	0.29%	0.53%	1.61%	1.88%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	6692	68	61	50	83	137	111	41	79	108	68	107	92	138	83	154	131	176	109	117	154	96	137	142	95	161	167	189	110	117	138	149	101	107	94	98	97	137	86	89	111	152	137	137	85	81	76	140	89	87	135	64	97	73	33	75	119	88	106	73	112	89	93	49	14					
		10.94%	11.42%	9.45%	7.61%	9.41%	17.29%	17.87%	3.90%	10.12%	12.81%	9.98%	13.95%	10.82%	16.91%	11.67%	15.65%	14.57%	16.98%	11.60%	12.75%	15.60%	10.36%	11.22%	10.88%	10.48%	13.21%	14.63%	13.36%	8.97%	9.41%	11.59%	11.99%	8.17%	9.87%	8.84%	8.20%	8.38%	10.49%	8.13%	7.30%	9.04%	14.53%	16.06%	13.14%	10.77%	9.57%	10.52%	15.18%	8.80%	8.32%	12.06%	6.17%	9.94%	7.13%	6.94%	9.68%	11.86%	9.86%	9.14%	8.29%	11.35%	8.78%	12.55%	7.18%	13.20%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1680	23	26	12	27	20	9	16	10	26	17	12	15	17	15	19	32	26	26	33	23	20	37	41	37	21	18	35	38	42	42	34	49	35	27	39	31	27	24	51	19	18	12	36	27	24	22	26	26	33	24	34	38	42	19	20	15	20	37	32	22	55	13	12	2					
		2.74%	3.86%	4.03%	1.82%	3.06%	2.52%	1.44%	1.52%	1.28%	3.08%	2.49%	1.56%	1.76%	2.08%	2.10%	1.93%	3.55%	2.50%	2.76%	3.59%	2.33%	2.15%	3.03%	3.14%	4.08%	1.72%	1.57%	2.47%	3.09%	3.37%	3.52%	2.73%	3.96%	3.23%	2.53%	3.26%	2.67%	2.06%	2.27%	4.18%	1.54%	1.72%	1.40%	3.45%	3.42%	2.83%	3.04%	2.81%	2.57%	3.15%	2.14%	3.27%	3.89%	4.10%	4.0%	2.58%	1.49%	2.24%	3.19%	3.63%	2.23%	5.42%	1.75%	1.75%	1.88%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	6699	63	69	61	83	86	96	45	88	103	78	92	98	102	89	145	104	144	105	134	141	110	102	134	106	178	160	189	121	138	105	163	129	119	126	111	113	142	115	106	123	124	126	113	115	83	63	105	98	110	107	107	78	87	54	89	99	81	101	109	104	98	75	40	17					
		10.95%	10.58%	10.69%	9.28%	9.41%	10.85%	15.45%	4.28%	11.28%	12.21%	11.45%	11.99%	11.52%	12.5%	12.51%	14.73%	11.56%	13.89%	11.18%	14.61%	14.28%	11.87%	8.36%	10.27%	11.69%	14.61%	14.02%	13.36%	9.86%	11.10%	8.82%	13.12%	10.44%	10.98%	11.85%	9.28%	9.76%	10.88%	10.87%	8.69%	10.02%	11.85%	14.77%	10.84%	14.57%	9.81%	8.72%	11.38%	9.69%	10.52%	9.56%	10.31%	8.0%	8.50%	11.36%	11.49%	9.87%	9.08%	8.71%	12.38%	10.54%	9.67%	10.12%	5.86%	16.03%					
22	"5. ""За Русь Святую"""	398	6	4	7	6	6	4	4	4	7	2	3	7	7	10	6	6	6	8	9	2	7	10	10	11	8	7	6	5	8	8	3	3	10	11	7	4	6	9	15	6	7	4	4	4	0	7	9	6	9	11	2	7	7	2	3	3	9	3	6	9	5	2	11	0					
		0.65%	1.00%	0.62%	1.06%	0.68%	0.75%	0.64%	0.38%	0.51%	0.83%	0.29%	0.39%	0.82%	0.85%	1.40%	0.60%	0.66%	0.57%	0.85%	0.98%	0.20%	0.75%	0.81%	0.76%	1.21%	0.65%	0.61%	0.42%	0.40%	0.64%	0.67%	0.24%	0.24%	0.92%	1.03%	0.58%	0.34%	0.45%	0.85%	1.23%	0.48%	0.66%	0.46%	0.38%	0.50%	0.0%	0.96%	0.97%	0.59%	0.86%	0.98%	0.19%	0.71%	0.68%	0.42%	0.38%	0.29%	1.00%	0.25%	0.68%	0.91%	0.49%	0.26%	1.61%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	112	4	1	6	1	1	0	1	1	1	6	1	2	2	1	2	5	1	0	4	2	4	1	4	1	2	1	2	4	3	2	2	4	0	3	2	1	3	2	2	0	1	0	0	1	0	1	0	1	2	2	2	1	3	2	2	0	1	1	4	0	0	1	2	0					
		0.18%	0.67%	0.15%	0.91%	0.11%	0.12%	0.0%	0.09%	0.12%	0.11%	0.88%	0.13%	0.23%	0.24%	0.14%	0.20%	0.55%	0.09%	0.0%	0.43%	0.20%	0.43%	0.08%	0.30%	0.11%	0.16%	0.08%	0.14%	0.32%	0.24%	0.16%	0.16%	0.32%	0.0%	0.28%	0.16%	0.08%	0.22%	0.18%	0.16%	0.0%	0.09%	0.0%	0.0%	0.12%	0.0%	0.13%	0.0%	0.09%	0.19%	0.17%	0.19%	0.10%	0.29%	0.42%	0.25%	0.0%	0.11%	0.08%	0.45%	0.0%	0.0%	0.13%	0.29%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	364	5	1	2	4	9	1	6	4	5	4	8	7	2	2	2	5	6	7	2	2	4	10	8	3	16	8	8	7	11	5	3	14	6	5	6	4	14	8	5	11	5	4	6	4	2	3	3	9	11	3	8	13	1	2	9	5	6	2	4	13	4	4	3	0					
		0.59%	0.84%	0.15%	0.30%	0.45%	1.13%	0.16%	0.57%	0.51%	0.59%	0.58%	1.04%	0.82%	0.24%	0.28%	0.20%	0.55%	0.57%	0.74%	0.21%	0.20%	0.43%	0.81%	0.61%	0.33%	1.31%	0.70%	0.56%	0.57%	0.88%	0.42%	0.24%	1.13%	0.55%	0.47%	0.50%	0.34%	1.07%	0.75%	0.41%	0.89%	0.47%	0.46%	0.57%	0.50%	0.23%	0.41%	0.32%	0.89%	1.05%	0.26%	0.77%	1.33%	0.09%	0.42%	1.16%	0.49%	0.67%	0.17%	0.45%	1.31%	0.39%	0.53%	0.43%	0.0%					
25	"8. ""Народно-республиканская партия России"""	51	0	1	1	2	0	0	1	1	1	0	1	1	1	0	1	0	1	0	1	0	0	0	3	0	0	0	0	0	3	1	0	0	1	1	2	0	1	1	0	0	1	0	0	0	0	1	0	0	2	0	1	0	2	1	2	0	1	3	2	1	1	3	4	0					
		0.08%	0.0%	0.15%	0.15%	0.22%	0.0%	0.0%	0.09%	0.12%	0.11%	0.0%	0.13%	0.11%	0.12%	0.0%	0.10%	0.0%	0.09%	0.0%	0.10%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.08%	0.0%	0.0%	0.09%	0.09%	0.16%	0.0%	0.07%	0.09%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.19%	0.0%	0.09%	0.0%	0.19%	0.21%	0.25%	0.0%	0.11%	0.25%	0.22%	0.10%	0.09%	0.40%	0.58%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	302	1	0	3	6	9	2	7	7	1	3	8	5	4	3	7	4	4	2	1	9	5	6	6	0	3	4	5	6	5	10	6	5	4	5	6	8	6	3	6	10	3	6	4	3	4	5	3	4	7	3	4	6	8	4	4	9	9	4	4	4	3	5	0	1					
		0.49%	0.16%	0.0%	0.45%	0.68%	1.13%	0.32%	0.66%	0.89%	0.11%	0.44%	1.04%	0.58%	0.49%	0.42%	0.71%	0.44%	0.38%	0.21%	0.10%	0.91%	0.53%	0.49%	0.46%	0.0%	0.24%	0.35%	0.35%	0.48%	0.40%	0.84%	0.48%	0.40%	0.36%	0.47%	0.50%	0.69%	0.45%	0.28%	0.49%	0.81%	0.28%	0.70%	0.38%	0.38%	0.47%	0.69%	0.32%	0.39%	0.66%	0.26%	0.38%	0.61%	0.78%	0.84%	0.51%	0.89%	1.00%	0.34%	0.45%	0.40%	0.29%	0.67%	0.0%	0.94%					
27	"10. ""Аграрная партия России"""	937	15	12	4	11	5	11	6	8	7	10	5	16	10	10	10	8	6	16	12	16	12	20	23	7	22	12	15	20	22	18	17	19	13	26	23	22	17	23	17	23	11	11	14	7	14	13	9	23	24	14	28	16	19	10	8	17	24	23	7	9	17	27	21	2					
		1.53%	2.52%	1.86%	0.60%	1.24%	0.63%	1.77%	0.57%	1.02%	0.83%	1.46%	0.65%	1.88%	1.22%	1.40%	1.01%	0.88%	0.57%	1.70%	1.30%	1.62%	1.29%	1.63%	1.76%	0.77%	1.80%	1.05%	1.06%	1.63%	1.76%	1.51%	1.36%	1.53%	1.20%	2.44%	1.92%	1.90%	1.30%	2.17%	1.39%	1.87%	1.05%	1.28%	1.34%	0.88%	1.65%	1.80%	0.97%	2.27%	2.29%	1.25%	2.70%	1.64%	1.85%	2.10%	1.03%	1.69%	2.69%	1.98%	0.79%	0.91%	1.67%	3.64%	3.07%	1.88%					
28	"11. ""Истинные патриоты России"""	42	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	1	0	2	0	0	1	0	1	1	0	0	0	2	3	1	0	0	1	1	0	1	0	3	1	2	0	0	1	0	2	0	2	0	0	0	0	2	0	0	1	3	2	3	0	1	0	0	0	0					
		0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.29%	0.0%	0.0%	0.12%	0.0%	0.0%	0.11%	0.0%	0.21%	0.0%	0.0%	0.10%	0.0%	0.07%	0.11%	0.0%	0.0%	0.0%	0.16%	0.24%	0.08%	0.0%	0.0%	0.09%	0.09%	0.0%	0.08%	0.0%	0.28%	0.08%	0.16%	0.0%	0.0%	0.09%	0.0%	0.23%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.12%	0.29%	0.22%	0.25%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	607	6	6	6	8	3	5	6	12	7	13	10	13	10	7	11	13	9	6	10	14	7	12	8	8	12	12	11	7	15	11	17	14	9	8	10	12	15	14	9	12	4	6	6	12	8	6	7	10	8	14	19	12	11	4	9	7	9	11	9	8	8	9	12	0					
		0.99%	1.00%	0.93%	0.91%	0.90%	0.37%	0.80%	0.57%	1.53%	0.83%	1.90%	1.30%	1.52%	1.22%	0.98%	1.11%	1.44%	0.86%	0.63%	1.09%	1.41%	0.75%	0.98%	0.61%	0.88%	0.98%	1.05%	0.77%	0.57%	1.20%	0.92%	1.36%	1.13%	0.83%	0.75%	0.83%	1.03%	1.14%	1.32%	0.73%	0.97%	0.38%	0.70%	0.57%	1.52%	0.94%	0.83%	0.75%	0.98%	0.76%	1.25%	1.83%	1.23%	1.07%	0.84%	1.16%	0.69%	1.00%	0.94%	1.02%	0.81%	0.78%	1.21%	1.75%	0.0%					
30	"13. ""Демократическая партия России"""	39	1	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	2	1	0	1	0	0	1	1	0	1	0	0	0	3	0	0	0	0	1	1	0	1	3	1	2	3	0	0	2	0	0	1	0	1	1	3	0					
		0.06%	0.16%	0.15%	0.0%	0.34%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.16%	0.08%	0.0%	0.08%	0.0%	0.0%	0.09%	0.08%	0.0%	0.07%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.13%	0.10%	0.0%	0.09%	0.26%	0.09%	0.20%	0.29%	0.0%	0.0%	0.19%	0.0%	0.0%	0.11%	0.0%	0.09%	0.13%	0.43%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	93	1	0	2	2	2	1	0	2	1	1	0	3	5	4	1	0	0	0	1	2	2	2	0	2	0	0	3	5	2	3	2	1	3	0	2	1	2	3	3	1	0	2	0	0	3	0	1	0	2	1	1	3	3	1	0	0	0	2	1	3	2	3	0	0					
		0.15%	0.16%	0.0%	0.30%	0.22%	0.25%	0.16%	0.0%	0.25%	0.11%	0.14%	0.0%	0.35%	0.61%	0.56%	0.10%	0.0%	0.0%	0.0%	0.10%	0.20%	0.21%	0.16%	0.0%	0.22%	0.0%	0.0%	0.21%	0.40%	0.16%	0.25%	0.16%	0.08%	0.27%	0.0%	0.16%	0.08%	0.15%	0.28%	0.24%	0.08%	0.0%	0.23%	0.0%	0.0%	0.35%	0.0%	0.10%	0.0%	0.19%	0.08%	0.09%	0.30%	0.29%	0.21%	0.0%	0.0%	0.0%	0.17%	0.11%	0.30%	0.19%	0.40%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	73	2	0	1	1	0	3	1	2	2	1	1	1	0	0	0	2	1	1	1	3	1	2	2	1	0	0	2	0	1	1	1	1	1	0	1	3	0	0	1	2	3	1	1	1	0	1	3	4	0	2	1	1	2	0	2	1	0	1	2	2	1	0	0	1					
		0.11%	0.33%	0.0%	0.15%	0.11%	0.0%	0.48%	0.09%	0.25%	0.23%	0.14%	0.13%	0.11%	0.0%	0.0%	0.0%	0.22%	0.09%	0.10%	0.10%	0.30%	0.10%	0.16%	0.15%	0.11%	0.0%	0.0%	0.14%	0.0%	0.08%	0.08%	0.08%	0.08%	0.09%	0.0%	0.08%	0.25%	0.0%	0.0%	0.08%	0.16%	0.28%	0.11%	0.09%	0.12%	0.0%	0.13%	0.32%	0.39%	0.0%	0.17%	0.09%	0.10%	0.19%	0.0%	0.25%	0.09%	0.0%	0.08%	0.22%	0.20%	0.09%	0.0%	0.0%	0.94%					
33	"16. ""Родина"" (народно-патриотический союз)"""	9785	67	85	83	115	118	85	94	138	111	132	125	158	126	90	181	178	184	118	138	169	162	247	240	164	251	248	218	208	183	201	251	166	171	158	216	177	209	171	206	227	149	136	147	100	158	121	128	124	140	190	143	142	149	55	165	148	138	213	155	164	154	103	90	4					
		15.99%	11.26%	13.17%	12.63%	13.03%	14.89%	13.68%	8.94%	17.69%	13.16%	19.38%	16.29%	18.58%	15.44%	12.65%	18.39%	19.79%	17.76%	12.56%	15.04%	17.12%	17.49%	20.24%	18.40%	18.10%	20.60%	21.73%	15.41%	16.96%	14.72%	16.89%	20.20%	13.44%	15.78%	14.86%	18.07%	15.29%	16.01%	16.17%	16.89%	18.50%	14.24%	15.94%	14.10%	12.67%	18.67%	16.75%	13.88%	12.26%	13.39%	16.97%	13.78%	14.56%	14.56%	11.57%	21.31%	14.75%	15.47%	18.37%	17.61%	16.63%	15.20%	13.90%	13.19%	3.77%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	51	2	1	2	2	0	0	0	0	0	0	0	1	1	0	0	0	2	1	0	0	1	1	0	0	1	1	0	0	1	1	1	1	0	1	0	1	3	1	1	2	1	1	2	1	1	0	2	1	1	1	3	1	0	0	0	1	0	1	0	0	2	3	0	0					
		0.08%	0.33%	0.15%	0.30%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.12%	0.0%	0.0%	0.0%	0.19%	0.10%	0.0%	0.0%	0.10%	0.08%	0.0%	0.0%	0.08%	0.08%	0.0%	0.0%	0.08%	0.08%	0.08%	0.08%	0.0%	0.09%	0.0%	0.08%	0.22%	0.09%	0.08%	0.16%	0.09%	0.11%	0.19%	0.12%	0.11%	0.0%	0.21%	0.09%	0.09%	0.08%	0.28%	0.10%	0.0%	0.0%	0.0%	0.09%	0.0%	0.08%	0.0%	0.0%	0.19%	0.40%	0.0%	0.0%					
35	"18. ""ЛДПР"""	3620	73	58	50	83	36	32	78	58	54	33	71	54	47	41	38	36	40	61	45	41	50	70	67	47	60	46	57	71	78	52	66	85	33	54	61	102	76	57	71	77	65	42	84	53	27	41	43	72	65	39	66	77	71	46	45	90	38	62	45	58	53	53	74	2					
		5.91%	12.26%	8.99%	7.61%	9.41%	4.54%	5.15%	7.42%	7.43%	6.40%	4.84%	9.25%	6.35%	5.75%	5.76%	3.86%	4.00%	3.86%	6.49%	4.90%	4.15%	5.39%	5.73%	5.13%	5.18%	4.92%	4.03%	4.03%	5.79%	6.27%	4.36%	5.31%	6.88%	3.04%	5.07%	5.10%	8.81%	5.82%	5.39%	5.82%	6.27%	6.21%	4.92%	8.06%	6.71%	3.19%	5.67%	4.66%	7.12%	6.22%	3.48%	6.36%	7.89%	6.94%	9.68%	5.81%	8.97%	4.26%	5.34%	5.11%	5.88%	5.23%	7.15%	10.85%	1.88%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	2493	31	35	25	38	31	19	27	32	24	26	22	29	26	37	29	32	30	38	26	34	42	22	70	37	31	34	55	59	79	59	39	66	43	39	54	54	61	47	49	56	30	22	49	29	46	38	35	49	41	54	68	37	54	23	11	39	32	59	40	38	37	34	39	2					
		4.07%	5.21%	5.42%	3.80%	4.30%	3.91%	3.05%	2.56%	4.10%	2.84%	3.81%	2.86%	3.41%	3.18%	5.20%	2.94%	3.55%	2.89%	4.04%	2.83%	3.44%	4.53%	1.80%	5.36%	4.08%	2.54%	2.97%	3.88%	4.81%	6.35%	4.95%	3.14%	5.34%	3.97%	3.66%	4.51%	4.66%	4.67%	4.44%	4.01%	4.56%	2.86%	2.57%	4.70%	3.67%	5.43%	5.26%	3.79%	4.84%	3.92%	4.82%	6.55%	3.79%	5.27%	4.84%	1.42%	3.88%	3.58%	5.09%	4.54%	3.85%	3.65%	4.58%	5.71%	1.88%					
37	"20. ""Политическая партия ""Единая Россия"""	17480	159	200	227	266	209	164	626	197	250	174	178	216	198	221	228	198	226	283	243	229	225	348	345	226	299	267	391	374	358	332	295	385	324	297	326	355	375	310	380	367	316	213	284	203	247	206	261	321	327	328	305	292	321	153	215	328	248	325	240	317	290	219	209	41					
		28.57%	26.72%	31.00%	34.55%	30.15%	26.38%	26.40%	59.56%	25.25%	29.65%	25.55%	23.20%	25.41%	24.26%	31.08%	23.17%	22.02%	21.81%	30.13%	26.49%	23.20%	24.29%	28.52%	26.45%	24.94%	24.54%	23.40%	27.65%	30.50%	28.80%	27.89%	23.75%	31.17%	29.91%	27.93%	27.28%	30.68%	28.73%	29.32%	31.17%	29.91%	30.21%	24.97%	27.25%	25.72%	29.19%	28.53%	28.30%	31.75%	31.29%	29.31%	29.41%	29.94%	31.37%	32.21%	27.77%	32.70%	27.80%	28.04%	27.27%	32.15%	28.62%	29.55%	30.64%	38.67%					
38	"21. ""Российская Конституционно-демократическая партия"""	60	0	1	0	1	0	0	1	2	2	0	1	2	1	0	4	1	1	0	1	0	0	1	0	1	2	0	2	1	0	1	2	0	0	0	0	1	3	1	3	0	1	0	1	1	1	4	1	0	1	1	1	3	1	0	1	0	2	1	1	1	0	0	2	0					
