Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																													
Дата голосования: 02.12.2007																																																																																													
																																																																																													
Наименование Избирательной комиссии:    Василеостровская N 2																																																																																													
																																																																																													
Сводная таблица результатов выборов																																																																																													
																																																																																													
		Сумма	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №1830					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	4100	150	50	50	50	50	50	50	50	50	50	100	50	50	100	50	100	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	100	50	50	100	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	100	50	0	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2102	93	32	27	29	15	22	37	28	24	17	50	30	38	74	19	53	14	34	30	34	15	26	35	30	19	29	19	32	33	20	33	20	26	31	27	20	26	22	14	25	36	11	22	26	30	16	35	26	20	24	57	29	11	50	24	27	18	27	16	24	21	23	25	25	34	32	26	24	25	23	13	27	47	26	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1385	20	41	19	32	30	16	15	22	28	23	13	8	13	39	17	12	18	14	40	33	14	23	21	19	15	16	13	25	17	18	19	12	15	18	15	22	21	8	14	8	38	6	18	9	33	18	16	6	17	10	26	7	17	9	6	19	6	13	9	13	31	26	20	24	18	20	9	19	14	16	24	16	28	24	5	0	1	8	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	1998	57	18	23	21	35	28	13	22	26	33	50	20	12	26	31	47	36	16	20	16	35	24	15	20	31	21	31	18	17	30	17	30	24	19	23	30	24	28	36	25	14	39	28	24	20	34	15	24	30	26	43	21	39	50	26	23	32	23	34	26	29	27	25	25	16	18	24	26	25	27	37	23	53	24	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	176	15	3	1	2	0	2	3	3	2	0	15	5	9	5	1	3	2	0	0	1	1	6	4	1	1	3	4	3	3	1	1	3	3	3	3	1	2	1	2	0	2	2	3	2	1	2	3	0	1	3	0	2	1	3	0	2	1	3	1	1	2	3	2	1	2	2	1	1	1	2	1	2	1	4	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																													
18	1.Политическая партия «Аграрная партия России»	1849	37	25	21	32	22	24	18	16	29	16	20	12	24	33	15	31	16	19	28	24	17	31	28	22	27	16	23	23	22	20	26	21	22	25	27	23	26	24	12	21	23	12	26	26	33	28	21	23	34	30	38	30	32	15	35	24	32	18	23	24	35	32	28	19	38	27	24	22	24	28	29	30	23	27	1	3	3	3	2	1	0	0	1	1	3	0					
		2.23%	2.17%	2.23%	2.22%	3.62%	2.45%	2.44%	2.07%	1.88%	2.88%	1.67%	1.47%	1.02%	1.96%	2.69%	1.85%	2.47%	1.65%	2.07%	2.68%	2.19%	1.91%	3.21%	2.42%	2.38%	2.91%	2.00%	2.38%	2.10%	1.95%	1.84%	2.10%	1.68%	2.06%	1.96%	2.87%	2.12%	2.42%	2.22%	1.49%	2.07%	1.88%	1.30%	2.34%	1.82%	2.42%	2.58%	1.75%	2.33%	2.46%	2.47%	3.33%	2.34%	2.77%	1.82%	3.38%	2.09%	2.80%	1.62%	2.69%	1.96%	2.79%	2.48%	2.51%	1.60%	2.91%	2.28%	1.85%	1.82%	2.36%	2.44%	2.59%	2.15%	1.89%	2.19%	1.02%	3.80%	2.42%	1.42%	5.41%	7.69%	0.00%	0.00%	2.56%	5.00%	2.24%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	2362	27	39	29	22	25	28	18	23	32	20	23	24	25	28	26	28	32	21	34	33	21	33	36	31	24	18	36	33	20	32	42	30	32	51	28	47	16	18	19	20	35	19	30	46	35	36	26	23	56	39	82	32	40	19	19	38	33	25	25	27	41	46	48	45	32	28	51	41	39	37	24	30	44	35	2	0	0	1	0	0	0	2	0	1	6	0					
		2.85%	1.58%	3.48%	3.07%	2.49%	2.79%	2.85%	2.07%	2.70%	3.17%	2.09%	1.69%	2.04%	2.04%	2.29%	3.20%	2.23%	3.30%	2.29%	3.25%	3.01%	2.36%	3.41%	3.11%	3.35%	2.59%	2.25%	3.72%	3.01%	1.77%	2.94%	3.39%	2.41%	2.99%	4.00%	2.98%	4.33%	1.49%	1.66%	2.36%	1.97%	2.85%	2.06%	2.70%	3.22%	2.57%	3.31%	2.16%	2.33%	4.05%	3.20%	7.18%	2.49%	3.46%	2.30%	1.84%	3.30%	2.89%	2.25%	2.92%	2.21%	3.27%	3.57%	4.30%	3.79%	2.45%	2.36%	3.93%	3.38%	3.84%	3.23%	2.14%	2.15%	3.61%	2.84%	2.04%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	11.76%	0.00%	5.00%	4.48%	0.00%					
20	3.Политическая партия «Демократическая партия России»	141	5	1	1	1	1	3	1	2	1	2	2	1	4	1	1	2	2	3	1	1	4	3	3	5	2	1	1	1	1	3	8	2	1	5	1	2	0	0	0	1	1	1	0	3	4	2	2	0	0	1	5	0	5	5	1	2	0	4	2	0	2	1	2	1	2	2	1	3	1	1	0	3	1	0	2	0	0	0	1	0	0	0	0	0	0	0					
		0.17%	0.29%	0.09%	0.11%	0.11%	0.11%	0.31%	0.11%	0.23%	0.10%	0.21%	0.15%	0.08%	0.33%	0.08%	0.12%	0.16%	0.21%	0.33%	0.10%	0.09%	0.45%	0.31%	0.26%	0.54%	0.22%	0.13%	0.10%	0.09%	0.09%	0.28%	0.65%	0.16%	0.09%	0.39%	0.11%	0.18%	0.00%	0.00%	0.00%	0.10%	0.08%	0.11%	0.00%	0.21%	0.29%	0.18%	0.17%	0.00%	0.00%	0.08%	0.44%	0.00%	0.43%	0.61%	0.10%	0.17%	0.00%	0.36%	0.23%	0.00%	0.16%	0.08%	0.18%	0.08%	0.15%	0.17%	0.08%	0.25%	0.10%	0.09%	0.00%	0.21%	0.08%	0.00%	2.04%	0.00%	0.00%	0.00%	2.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	10447	187	124	109	102	81	98	115	92	108	121	177	112	147	173	99	159	86	85	112	122	107	95	117	114	86	71	86	125	138	104	132	145	149	151	108	151	127	161	105	123	194	101	132	213	220	128	143	131	215	233	124	193	157	102	140	176	145	217	131	167	176	201	77	162	174	204	180	182	132	138	135	214	189	150	4	2	25	7	3	2	2	1	5	2	13	1					
		12.62%	10.97%	11.07%	11.53%	11.54%	9.03%	9.98%	13.22%	10.80%	10.71%	12.66%	12.99%	9.52%	12.01%	14.12%	12.19%	12.69%	8.86%	9.25%	10.71%	11.11%	12.02%	9.82%	10.12%	12.32%	9.28%	8.88%	8.88%	11.42%	12.21%	9.56%	10.65%	11.63%	13.94%	11.85%	11.49%	13.92%	11.80%	14.87%	13.03%	12.11%	15.82%	10.93%	11.86%	14.91%	16.16%	11.79%	11.89%	13.25%	15.53%	19.15%	10.86%	15.04%	13.58%	12.36%	13.53%	15.29%	12.71%	19.53%	15.30%	13.64%	14.05%	15.58%	6.89%	13.64%	13.31%	17.23%	13.86%	15.02%	13.00%	12.03%	12.06%	15.32%	15.52%	12.16%	4.08%	2.53%	20.16%	3.32%	8.11%	15.38%	5.00%	5.88%	12.82%	10.00%	9.70%	7.14%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	3190	39	48	46	38	50	55	33	39	35	35	26	50	48	33	32	64	41	48	54	59	35	45	39	40	31	25	24	47	40	43	45	61	54	52	32	65	35	25	41	30	65	14	22	76	52	48	57	31	44	45	78	44	53	22	31	40	28	26	21	46	28	37	39	62	47	50	74	58	30	54	29	56	60	26	0	3	3	2	0	0	1	0	0	2	4	0					
		3.85%	2.29%	4.29%	4.87%	4.30%	5.57%	5.60%	3.79%	4.58%	3.47%	3.66%	1.91%	4.25%	3.92%	2.69%	3.94%	5.11%	4.22%	5.22%	5.16%	5.37%	3.93%	4.65%	3.37%	4.32%	3.34%	3.13%	2.48%	4.29%	3.54%	3.95%	3.63%	4.89%	5.05%	4.08%	3.40%	5.99%	3.25%	2.31%	5.09%	2.95%	5.30%	1.52%	1.98%	5.32%	3.82%	4.42%	4.74%	3.13%	3.18%	3.70%	6.83%	3.43%	4.58%	2.67%	2.99%	3.48%	2.45%	2.34%	2.45%	3.76%	2.23%	2.87%	3.49%	5.22%	3.60%	4.22%	5.70%	4.79%	2.96%	4.71%	2.59%	4.01%	4.93%	2.11%	0.00%	3.80%	2.42%	0.95%	0.00%	0.00%	2.50%	0.00%	0.00%	10.00%	2.99%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	220	8	2	3	0	3	2	2	2	5	4	0	5	4	2	0	6	2	2	7	3	2	1	5	2	1	0	5	1	3	3	4	5	4	3	0	2	1	2	1	3	5	4	2	2	1	1	0	4	4	4	8	4	1	2	1	3	3	2	2	1	9	5	2	1	3	1	2	3	0	4	1	4	4	11	0	1	1	0	0	0	1	0	1	0	2	0					
		0.27%	0.47%	0.18%	0.32%	0.00%	0.33%	0.20%	0.23%	0.23%	0.50%	0.42%	0.00%	0.42%	0.33%	0.16%	0.00%	0.48%	0.21%	0.22%	0.67%	0.27%	0.22%	0.10%	0.43%	0.22%	0.11%	0.00%	0.52%	0.09%	0.27%	0.28%	0.32%	0.40%	0.37%	0.24%	0.00%	0.18%	0.09%	0.18%	0.12%	0.30%	0.41%	0.43%	0.18%	0.14%	0.07%	0.09%	0.00%	0.40%	0.29%	0.33%	0.70%	0.31%	0.09%	0.24%	0.10%	0.26%	0.26%	0.18%	0.23%	0.08%	0.72%	0.39%	0.18%	0.08%	0.23%	0.08%	0.15%	0.25%	0.00%	0.35%	0.09%	0.29%	0.33%	0.89%	0.00%	1.27%	0.81%	0.00%	0.00%	0.00%	2.50%	0.00%	2.56%	0.00%	1.49%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	6044	253	74	60	58	76	65	63	68	83	74	185	93	100	109	60	87	72	72	93	95	83	50	109	63	76	78	76	87	82	131	105	97	71	83	70	74	69	71	60	56	76	90	94	53	58	56	81	48	72	64	97	80	85	83	68	100	68	63	59	75	64	86	92	62	85	81	54	63	65	69	93	76	62	118	2	3	9	26	7	1	1	1	8	1	14	0					
		7.30%	14.85%	6.61%	6.35%	6.56%	8.47%	6.62%	7.24%	7.98%	8.23%	7.74%	13.57%	7.90%	8.17%	8.90%	7.39%	6.94%	7.42%	7.83%	8.89%	8.65%	9.33%	5.17%	9.43%	6.81%	8.20%	9.75%	7.85%	7.95%	7.26%	12.04%	8.47%	7.78%	6.64%	6.51%	7.45%	6.82%	6.41%	6.56%	7.44%	5.51%	6.20%	9.74%	8.45%	3.71%	4.26%	5.16%	6.73%	4.85%	5.20%	5.26%	8.49%	6.24%	7.35%	10.06%	6.57%	8.69%	5.96%	5.67%	6.89%	6.13%	5.11%	6.67%	8.24%	5.22%	6.50%	6.84%	4.16%	5.20%	6.40%	6.02%	8.31%	5.44%	5.09%	9.56%	2.04%	3.80%	7.26%	12.32%	18.92%	7.69%	2.50%	5.88%	20.51%	5.00%	10.45%	0.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	13193	155	202	178	170	136	177	146	156	162	168	128	189	220	189	115	232	184	155	176	164	138	177	183	172	186	104	141	199	253	116	224	228	196	223	190	171	151	172	136	183	179	108	158	244	235	180	189	187	220	183	135	162	180	96	154	192	179	173	152	188	239	187	142	143	210	173	230	232	163	184	153	253	196	162	16	4	18	15	2	0	4	3	4	2	16	3					
		15.94%	9.10%	18.04%	18.84%	19.23%	15.16%	18.02%	16.78%	18.31%	16.07%	17.57%	9.39%	16.06%	17.97%	15.43%	14.16%	18.52%	18.95%	16.87%	16.83%	14.94%	15.51%	18.30%	15.83%	18.59%	20.06%	13.00%	14.57%	18.17%	22.39%	10.66%	18.06%	18.28%	18.33%	17.50%	20.21%	15.76%	14.03%	15.88%	16.87%	18.01%	14.60%	11.69%	14.20%	17.07%	17.27%	16.57%	15.71%	18.91%	15.90%	15.04%	11.82%	12.63%	15.57%	11.64%	14.88%	16.68%	15.69%	15.57%	17.76%	15.36%	19.07%	14.50%	12.71%	12.04%	16.07%	14.61%	17.71%	19.14%	16.06%	16.04%	13.67%	18.11%	16.09%	13.13%	16.33%	5.06%	14.52%	7.11%	5.41%	0.00%	10.00%	17.65%	10.26%	10.00%	11.94%	21.43%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	871	20	12	4	8	8	12	6	8	4	7	21	10	14	11	8	11	16	12	11	12	10	8	14	14	8	1	17	11	10	13	15	18	10	15	5	11	15	14	8	6	13	10	11	16	15	8	17	8	27	9	15	8	19	16	7	13	8	11	8	14	13	9	13	21	7	16	13	11	12	8	12	12	12	13	1	0	2	0	1	0	0	0	1	0	3	0					
		1.05%	1.17%	1.07%	0.42%	0.90%	0.89%	1.22%	0.69%	0.94%	0.40%	0.73%	1.54%	0.85%	1.14%	0.90%	0.99%	0.88%	1.65%	1.31%	1.05%	1.09%	1.12%	0.83%	1.21%	1.51%	0.86%	0.13%	1.76%	1.00%	0.88%	1.19%	1.21%	1.44%	0.94%	1.18%	0.53%	1.01%	1.39%	1.29%	0.99%	0.59%	1.06%	1.08%	0.99%	1.12%	1.10%	0.74%	1.41%	0.81%	1.95%	0.74%	1.31%	0.62%	1.64%	1.94%	0.68%	1.13%	0.70%	0.99%	0.93%	1.14%	1.04%	0.70%	1.16%	1.77%	0.54%	1.35%	1.00%	0.91%	1.18%	0.70%	1.07%	0.86%	0.99%	1.05%	1.02%	0.00%	1.61%	0.00%	2.70%	0.00%	0.00%	0.00%	2.56%	0.00%	2.24%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	37982	893	477	396	366	411	435	409	379	438	436	708	599	557	572	397	541	423	420	449	491	385	423	558	384	421	410	493	485	480	551	537	523	443	575	399	441	557	501	356	480	548	510	580	621	581	485	583	459	601	481	448	626	518	403	529	474	563	497	389	609	568	591	581	567	613	516	562	491	479	525	560	597	518	622	64	60	56	151	16	7	27	8	18	10	62	9					
		45.90%	52.41%	42.59%	41.90%	41.40%	45.82%	44.30%	47.01%	44.48%	43.45%	45.61%	51.94%	50.89%	45.51%	46.69%	48.89%	43.18%	43.56%	45.70%	42.93%	44.72%	43.26%	43.74%	48.27%	41.51%	45.42%	51.25%	50.93%	44.29%	42.48%	50.64%	43.31%	41.94%	41.44%	45.13%	42.45%	40.65%	51.77%	46.26%	44.17%	47.24%	44.70%	55.19%	52.11%	43.46%	42.69%	44.66%	48.46%	46.41%	43.42%	39.52%	39.23%	48.79%	44.81%	48.85%	51.11%	41.18%	49.34%	44.73%	45.44%	49.75%	45.33%	45.81%	52.01%	47.73%	46.90%	43.58%	43.26%	40.51%	47.19%	45.77%	50.04%	42.73%	42.53%	50.41%	65.31%	75.95%	45.16%	71.56%	43.24%	53.85%	67.50%	47.06%	46.15%	50.00%	46.27%	64.29%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	5570	51	99	88	70	77	72	50	64	101	66	50	70	71	61	49	74	91	67	71	78	79	86	46	69	59	71	57	74	75	58	85	103	78	78	70	84	61	82	56	87	77	47	49	116	117	102	79	68	96	113	91	93	58	48	43	73	65	67	39	61	63	85	78	99	86	74	99	85	60	89	72	109	103	58	6	3	5	3	0	0	4	2	0	1	5	1					
		6.73%	2.99%	8.84%	9.31%	7.92%	8.58%	7.33%	5.75%	7.51%	10.02%	6.90%	3.67%	5.95%	5.80%	4.98%	6.03%	5.91%	9.37%	7.29%	6.79%	7.10%	8.88%	8.89%	3.98%	7.46%	6.36%	8.88%	5.89%	6.76%	6.64%	5.33%	6.85%	8.26%	7.30%	6.12%	7.45%	7.74%	5.67%	7.57%	6.95%	8.56%	6.28%	5.09%	4.40%	8.12%	8.60%	9.39%	6.57%	6.88%	6.94%	9.29%	7.97%	7.25%	5.02%	5.82%	4.15%	6.34%	5.70%	6.03%	4.56%	4.98%	5.03%	6.59%	6.98%	8.33%	6.58%	6.25%	7.62%	7.01%	5.91%	7.76%	6.43%	7.80%	8.46%	4.70%	6.12%	3.80%	4.03%	1.42%	0.00%	0.00%	10.00%	11.76%	0.00%	5.00%	3.73%	7.14%					
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
